gen	nevals	avg   	min  	max  
0  	20    	86.36 	49.4 	113.4
1  	20    	94.07 	62.4 	117.2
2  	20    	101.5 	77   	122.2
3  	20    	107.2 	71   	125.8
4  	20    	111.13	96.2 	137.2
5  	20    	107.32	66.8 	126.4
6  	20    	112.63	100.2	127.6
7  	20    	111.65	80.8 	123.6
8  	20    	111.82	88   	130  
9  	20    	113.37	87.6 	131.6
10 	20    	113.78	97.2 	133.4
11 	20    	113.86	102.2	124.8
12 	20    	116.04	94.6 	138.2
13 	20    	119.39	104.2	137.6
14 	20    	112.65	95.4 	132  
15 	20    	119.08	90.4 	135.6
16 	20    	113.67	90.4 	126.4
17 	20    	114.71	93.6 	129.6
18 	20    	116.12	94.4 	127.4
19 	20    	119.8 	86.4 	141.8
20 	20    	115.88	99.6 	133.6
21 	20    	115.81	102.8	134.4
22 	20    	117.54	95.6 	133.6
23 	20    	118.95	104.6	128  
24 	20    	120.72	107.2	135.8
25 	20    	121.56	90.2 	138.2
26 	20    	120.04	97   	137.6
27 	20    	120.09	102.8	127.6
28 	20    	122.88	101.8	133.6
29 	20    	124.17	108  	134.2
30 	20    	124.28	103.8	142.2
31 	20    	118.69	104.4	131.8
32 	20    	120.51	100.6	139.8
33 	20    	118.58	106.8	133.6
34 	20    	122.91	110  	137  
35 	20    	120.52	100.8	133.2
36 	20    	121.14	100.8	140.4
37 	20    	118.96	101.2	126.2
38 	20    	123.45	110.2	139.4
39 	20    	123.03	112.6	132.6
40 	20    	121.24	112  	131  
41 	20    	121.17	107.6	134  
42 	20    	120.76	96.4 	138  
43 	20    	123.57	96   	140.8
44 	20    	118.43	100.4	135.2
45 	20    	123.51	106.6	134.8
46 	20    	124.15	105.4	143.2
47 	20    	124.85	110.2	137.8
48 	20    	118.29	96   	134.4
49 	20    	123.4 	109  	134  
50 	20    	125.14	111.6	139.8
51 	20    	122.73	105.8	135.6
52 	20    	122.25	109.6	137  
53 	20    	121.95	101  	134.8
54 	20    	123.14	105.6	133  
55 	20    	119.66	104.6	134  
56 	20    	124.63	101.8	140.4
57 	20    	121.23	103  	133.8
58 	20    	123.78	111  	139.8
59 	20    	123.36	107.4	138.4
60 	20    	120.52	97.6 	130.6
61 	20    	121.36	109.4	134  
62 	20    	119.96	108.6	128.8
63 	20    	118.32	105.4	129  
64 	20    	118.58	100.6	131.4
65 	20    	122.95	105  	138.6
66 	20    	125.98	109.6	136.4
67 	20    	121.26	99.6 	133.8
68 	20    	123.01	103.2	137.2
69 	20    	123.92	108.2	134  
70 	20    	125.23	104.2	141.6
71 	20    	123.71	99.2 	138.2
72 	20    	121.11	106.4	133.6
73 	20    	120.91	107  	130.8
74 	20    	123.05	102.8	143  
75 	20    	121.89	98.2 	138.6
