Episode 1, Score: 6.60449, Steps: 16819, Episode Time: 0h 2m 54.08137226104736s
Episode 2, Score: 10.3518, Steps: 16819, Episode Time: 0h 2m 56.16601300239563s
Episode 3, Score: 21.1213, Steps: 16819, Episode Time: 0h 2m 55.97318434715271s
Episode 4, Score: 8.36328, Steps: 16819, Episode Time: 0h 2m 55.51520252227783s
Episode 5, Score: 8.14551, Steps: 16819, Episode Time: 0h 2m 55.028008460998535s
Episode 6, Score: 7.75171, Steps: 16819, Episode Time: 0h 2m 57.29192852973938s
Episode 7, Score: 7.72534, Steps: 16819, Episode Time: 0h 2m 57.442467212677s
Episode 8, Score: 6.64819, Steps: 16819, Episode Time: 0h 2m 57.63705825805664s
Episode 9, Score: 8.34937, Steps: 16819, Episode Time: 0h 2m 55.0869140625s
Episode 10, Score: 33.6963, Steps: 16819, Episode Time: 0h 3m 0.5966486930847168s
Episode 11, Score: 20.7373, Steps: 16819, Episode Time: 0h 3m 6.837364435195923s
Episode 12, Score: 9.90503, Steps: 16819, Episode Time: 0h 3m 18.768413305282593s
Episode 13, Score: 8.35034, Steps: 16819, Episode Time: 0h 3m 26.20480179786682s
Episode 14, Score: 11.1367, Steps: 16819, Episode Time: 0h 3m 27.862680196762085s
Episode 15, Score: 8.22681, Steps: 16819, Episode Time: 0h 3m 16.776068687438965s
Episode 16, Score: 13.7825, Steps: 16819, Episode Time: 0h 3m 5.446983337402344s
Episode 17, Score: 10.3914, Steps: 16819, Episode Time: 0h 3m 10.157618761062622s
Episode 18, Score: 11.9431, Steps: 16819, Episode Time: 0h 3m 26.79675054550171s
Episode 19, Score: 8.61621, Steps: 16819, Episode Time: 0h 3m 2.66735577583313s
Episode 20, Score: 8.32861, Steps: 16819, Episode Time: 0h 2m 58.90596628189087s
Episode 21, Score: 9.63818, Steps: 16819, Episode Time: 0h 3m 0.6299314498901367s
Episode 22, Score: 6.79688, Steps: 16819, Episode Time: 0h 3m 1.277050495147705s
Episode 23, Score: 8.10156, Steps: 16819, Episode Time: 0h 2m 59.95794630050659s
Episode 24, Score: 10.0518, Steps: 16819, Episode Time: 0h 3m 4.699136257171631s
Episode 25, Score: 8.54468, Steps: 16819, Episode Time: 0h 3m 6.088063716888428s
Episode 26, Score: 17.6257, Steps: 16819, Episode Time: 0h 3m 3.7377426624298096s
Episode 27, Score: 38.4824, Steps: 16819, Episode Time: 0h 2m 59.694748401641846s
Episode 28, Score: 6.76172, Steps: 16819, Episode Time: 0h 3m 1.8129382133483887s
Episode 29, Score: 6.81006, Steps: 16819, Episode Time: 0h 3m 4.347367286682129s
Episode 30, Score: 11.3386, Steps: 16819, Episode Time: 0h 3m 8.22843623161316s
Episode 31, Score: 8.99878, Steps: 16819, Episode Time: 0h 3m 8.555325746536255s
Episode 32, Score: 8.89355, Steps: 16819, Episode Time: 0h 3m 8.268861770629883s
Episode 33, Score: 8.73608, Steps: 16819, Episode Time: 0h 3m 11.726810932159424s
Episode 34, Score: 0.249756, Steps: 16819, Episode Time: 0h 3m 14.960588693618774s
Episode 35, Score: 6.72974, Steps: 16819, Episode Time: 0h 3m 11.164473533630371s
Episode 36, Score: 15.4797, Steps: 16819, Episode Time: 0h 3m 8.473333835601807s
Episode 37, Score: 19.5813, Steps: 16819, Episode Time: 0h 3m 2.4757916927337646s
Episode 38, Score: 21.3823, Steps: 16819, Episode Time: 0h 3m 8.356858253479004s
Episode 39, Score: 8.67896, Steps: 16819, Episode Time: 0h 3m 14.931053876876831s
Episode 40, Score: 12.3323, Steps: 16843, Episode Time: 0h 3m 13.172093629837036s
Episode 41, Score: 3.10376, Steps: 16819, Episode Time: 0h 3m 8.6696457862854s
Episode 42, Score: 9.95557, Steps: 16819, Episode Time: 0h 3m 8.048149108886719s
Episode 43, Score: 8.104, Steps: 16819, Episode Time: 0h 3m 2.2585110664367676s
Episode 44, Score: 10.2197, Steps: 16819, Episode Time: 0h 2m 57.82915115356445s
Episode 45, Score: 12.8496, Steps: 16819, Episode Time: 0h 2m 57.62913990020752s
Episode 46, Score: 17.7764, Steps: 16819, Episode Time: 0h 2m 54.58541464805603s
Episode 47, Score: 7.16431, Steps: 16819, Episode Time: 0h 2m 53.40839886665344s
Episode 48, Score: 7.74463, Steps: 16819, Episode Time: 0h 2m 57.86730980873108s
Episode 49, Score: 7.19946, Steps: 16819, Episode Time: 0h 2m 56.727084159851074s
Episode 50, Score: 9.5061, Steps: 16819, Episode Time: 0h 2m 56.945578813552856s
Episode 51, Score: 54.6343, Steps: 16819, Episode Time: 0h 2m 57.091673851013184s
Episode 52, Score: 94.353, Steps: 16819, Episode Time: 0h 2m 52.77601742744446s
Episode 53, Score: 94.9736, Steps: 16819, Episode Time: 0h 3m 5.001578092575073s
Episode 54, Score: 8.30786, Steps: 16819, Episode Time: 0h 3m 32.43385100364685s
Episode 55, Score: 7.41284, Steps: 16819, Episode Time: 0h 3m 36.065521001815796s
Episode 56, Score: 8.62549, Steps: 16819, Episode Time: 0h 3m 35.33459687232971s
Episode 57, Score: 8.22339, Steps: 16819, Episode Time: 0h 3m 35.646076679229736s
Episode 58, Score: 7.47705, Steps: 16819, Episode Time: 0h 3m 15.333112478256226s
Episode 59, Score: 53.6223, Steps: 16819, Episode Time: 0h 2m 59.42006802558899s
Episode 60, Score: 7.5625, Steps: 16819, Episode Time: 0h 2m 56.9996018409729s
Episode 61, Score: 8.73755, Steps: 16819, Episode Time: 0h 2m 55.43260312080383s
Episode 62, Score: 8.64453, Steps: 16819, Episode Time: 0h 2m 54.27784061431885s
