gen	nevals	avg    	min    	max    
0  	25    	2138.83	1919.76	2555.68
1  	25    	2210.98	1919.76	2555.68
2  	25    	2269.98	1919.76	2555.68
3  	25    	2316.56	2038.64	2555.68
4  	25    	2336.38	2038.64	2555.68
5  	25    	2344.67	2077.92	2555.68
6  	25    	2355.41	2172.56	2555.68
7  	25    	2364.59	2184.08	2555.68
8  	25    	2365.06	2184.08	2555.68
9  	25    	2379.54	2184.08	2555.68
10 	25    	2397.52	2193.76	2568.64
11 	25    	2418.26	2251.44	2589.2 
12 	25    	2424.72	2251.44	2589.2 
13 	25    	2434.56	2251.44	2589.2 
14 	25    	2448.25	2251.44	2605.52
15 	25    	2487.67	2297.28	2936.08
16 	25    	2497.54	2297.28	2936.08
17 	25    	2497.54	2297.28	2936.08
18 	25    	2502.9 	2297.28	2936.08
19 	25    	2510.7 	2297.28	2936.08
20 	25    	2521.63	2297.28	2936.08
21 	25    	2521.63	2297.28	2936.08
22 	25    	2524.31	2297.28	2936.08
23 	25    	2533.54	2362.08	2936.08
24 	25    	2533.54	2362.08	2936.08
25 	25    	2533.54	2362.08	2936.08
26 	25    	2533.54	2362.08	2936.08
27 	25    	2534.2 	2362.08	2936.08
28 	25    	2537.09	2362.08	2936.08
29 	25    	2549.95	2362.08	2936.08
30 	25    	2549.95	2362.08	2936.08
31 	25    	2570.4 	2362.08	2936.08
32 	25    	2570.51	2362.08	2936.08
33 	25    	2573.46	2362.08	2936.08
34 	25    	2577.35	2362.08	2936.08
35 	25    	2586.29	2411.04	2936.08
36 	25    	2595.82	2411.04	2936.08
37 	25    	2609.32	2411.04	2996.32
38 	25    	2609.32	2411.04	2996.32
39 	25    	2612.53	2411.04	2996.32
40 	25    	2613.75	2411.04	2996.32
41 	25    	2613.88	2411.04	2996.32
42 	25    	2622.79	2411.04	2996.32
43 	25    	2641.4 	2420.88	2996.32
44 	25    	2644.33	2420.88	2996.32
45 	25    	2644.33	2420.88	2996.32
46 	25    	2654.37	2420.88	2996.32
47 	25    	2654.37	2420.88	2996.32
48 	25    	2654.37	2420.88	2996.32
49 	25    	2655.82	2420.88	2996.32
50 	25    	2657.4 	2420.88	2996.32
51 	25    	2671.06	2420.88	2996.32
52 	25    	2684.46	2420.88	2996.32
53 	25    	2694.99	2420.88	2996.32
54 	25    	2701.04	2420.88	2996.32
55 	25    	2714.09	2420.88	2996.32
56 	25    	2747.12	2420.88	3389.12
57 	25    	2747.12	2420.88	3389.12
58 	25    	2751.64	2420.88	3389.12
59 	25    	2762.66	2513.36	3389.12
60 	25    	2769.91	2513.36	3389.12
61 	25    	2770.34	2513.36	3389.12
62 	25    	2773.79	2513.36	3389.12
63 	25    	2821.54	2513.36	3389.12
64 	25    	2825.12	2513.36	3389.12
65 	25    	2847.8 	2513.36	3563.28
66 	25    	2863.31	2513.36	3563.28
67 	25    	2863.31	2513.36	3563.28
68 	25    	2863.46	2513.36	3563.28
69 	25    	2875.69	2513.36	3563.28
