gen	nevals	avg    	min    	max    
0  	25    	85.6747	59.6   	114    
1  	25    	89.5387	59.6   	114    
2  	25    	92.632 	62.2667	116.267
3  	25    	97.6   	79.2   	116.267
4  	25    	98.4613	79.2   	116.267
5  	25    	100.851	89.2   	116.267
6  	25    	102.395	89.2   	119.667
7  	25    	103.512	90.5333	119.667
8  	25    	105.339	93.4   	119.667
9  	25    	106.136	94.1333	119.667
10 	25    	107.328	94.1333	119.667
11 	25    	107.328	94.1333	119.667
12 	25    	107.347	94.1333	119.667
13 	25    	107.456	94.1333	119.667
14 	25    	107.76 	94.1333	119.667
15 	25    	108.701	94.1333	119.667
16 	25    	108.944	94.1333	119.667
17 	25    	109.341	94.1333	119.667
18 	25    	109.563	94.1333	120.333
19 	25    	109.965	94.1333	120.333
20 	25    	109.981	94.1333	120.333
21 	25    	110.245	94.1333	120.333
22 	25    	110.48 	94.1333	124.733
23 	25    	110.784	94.1333	124.733
24 	25    	110.808	94.1333	124.733
25 	25    	110.912	94.1333	124.733
26 	25    	111.053	94.1333	124.733
27 	25    	111.339	94.8   	124.733
28 	25    	111.808	94.8   	124.733
29 	25    	112.197	94.8   	124.733
30 	25    	113.144	97     	124.733
31 	25    	113.875	105.2  	124.733
32 	25    	114.443	107.067	124.733
33 	25    	114.443	107.067	124.733
34 	25    	115.179	107.067	124.733
35 	25    	115.941	108.533	124.733
36 	25    	116.248	108.533	124.733
37 	25    	116.328	108.533	124.733
38 	25    	116.344	108.533	124.733
39 	25    	116.344	108.533	124.733
40 	25    	116.344	108.533	124.733
41 	25    	116.344	108.533	124.733
42 	25    	116.733	109.267	124.733
43 	25    	116.733	109.267	124.733
44 	25    	116.76 	109.267	124.733
45 	25    	117.28 	109.267	124.733
46 	25    	117.344	109.267	124.733
47 	25    	117.397	109.267	124.733
48 	25    	117.459	109.267	124.733
49 	25    	117.603	109.267	124.733
50 	25    	117.696	109.267	124.733
51 	25    	117.771	109.267	124.733
52 	25    	117.811	109.267	124.733
53 	25    	118.083	109.267	131    
54 	25    	118.595	109.267	131    
55 	25    	118.595	109.267	131    
56 	25    	118.8  	109.267	131    
57 	25    	118.971	109.267	131    
58 	25    	118.971	109.267	131    
59 	25    	119.032	109.267	131    
60 	25    	119.315	109.267	131    
61 	25    	119.459	109.267	131    
62 	25    	119.459	109.267	131    
63 	25    	119.459	109.267	131    
64 	25    	119.459	109.267	131    
65 	25    	119.459	109.267	131    
66 	25    	119.741	109.267	131    
67 	25    	119.741	109.267	131    
68 	25    	119.803	109.267	131    
69 	25    	119.811	109.267	131    
70 	25    	119.987	109.267	131    
71 	25    	119.995	109.267	131    
72 	25    	119.995	109.267	131    
73 	25    	119.995	109.267	131    
74 	25    	120.205	109.267	131    
75 	25    	120.309	109.267	131    
76 	25    	120.379	109.267	131    
77 	25    	120.515	112.067	131    
78 	25    	121.163	112.067	131    
79 	25    	121.301	112.067	131    
80 	25    	121.315	112.067	131    
81 	25    	121.541	112.067	131    
82 	25    	121.541	112.067	131    
83 	25    	121.669	112.067	131    
84 	25    	121.795	112.067	131    
85 	25    	121.901	112.067	131    
86 	25    	121.901	112.067	131    
87 	25    	121.901	112.067	131    
88 	25    	121.901	112.067	131    
89 	25    	121.901	112.067	131    
90 	25    	122.24 	113.8  	131    
91 	25    	122.336	113.8  	131    
92 	25    	122.445	115.933	131    
93 	25    	122.445	115.933	131    
94 	25    	122.725	115.933	131    
95 	25    	122.957	115.933	131    
96 	25    	123.011	115.933	131    
97 	25    	123.587	115.933	131    
98 	25    	123.587	115.933	131    
99 	25    	123.587	115.933	131    
100	25    	123.587	115.933	131    
101	25    	123.587	115.933	131    
102	25    	123.587	115.933	131    
103	25    	123.587	115.933	131    
104	25    	123.587	115.933	131    
105	25    	123.797	115.933	131    
106	25    	123.797	115.933	131    
107	25    	123.797	115.933	131    
108	25    	123.835	115.933	131    
109	25    	123.917	115.933	131    
110	25    	124.019	115.933	131    
111	25    	124.021	115.933	131    
112	25    	124.021	115.933	131    
113	25    	124.029	115.933	131    
114	25    	124.029	115.933	131    
115	25    	124.029	115.933	131    
116	25    	124.299	115.933	131    
117	25    	124.299	115.933	131    
