gen	nevals	avg      	min       	max      
0  	25    	0.0150937	0         	0.0546875
1  	25    	0.0182396	0.00078125	0.0546875
2  	25    	0.0221458	0.00078125	0.0575521
3  	25    	0.0300417	0.00494792	0.0635417
4  	25    	0.0353438	0.00598958	0.0635417
5  	25    	0.0398542	0.00703125	0.0635417
6  	25    	0.0504271	0.00703125	0.195573 
7  	25    	0.0687813	0.0153646 	0.26901  
8  	25    	0.0726562	0.0174479 	0.272396 
9  	25    	0.0772604	0.0190104 	0.272396 
10 	25    	0.0788021	0.0239583 	0.272396 
11 	25    	0.0862187	0.0335938 	0.314323 
12 	25    	0.0960521	0.0377604 	0.314323 
13 	25    	0.102281 	0.0377604 	0.314323 
14 	25    	0.102406 	0.0377604 	0.314323 
15 	25    	0.106594 	0.0502604 	0.314323 
16 	25    	0.110281 	0.0502604 	0.314323 
17 	25    	0.114167 	0.053125  	0.314323 
18 	25    	0.125479 	0.0643229 	0.314323 
19 	25    	0.132448 	0.0643229 	0.314323 
20 	25    	0.135042 	0.0643229 	0.314323 
21 	25    	0.138927 	0.0643229 	0.314323 
22 	25    	0.148198 	0.0643229 	0.314323 
23 	25    	0.163219 	0.0643229 	0.314323 
24 	25    	0.167    	0.0643229 	0.314323 
25 	25    	0.173406 	0.0643229 	0.333594 
26 	25    	0.177427 	0.0643229 	0.333594 
27 	25    	0.199406 	0.0789063 	0.53151  
28 	25    	0.206937 	0.0789063 	0.53151  
29 	25    	0.234156 	0.100521  	0.53151  
30 	25    	0.260115 	0.100521  	0.53151  
31 	25    	0.284365 	0.111979  	0.536458 
32 	25    	0.298323 	0.111979  	0.584896 
33 	25    	0.31199  	0.117448  	0.584896 
34 	25    	0.313948 	0.117448  	0.584896 
35 	25    	0.324125 	0.117448  	0.615365 
36 	25    	0.329052 	0.117448  	0.615365 
37 	25    	0.334646 	0.117448  	0.615365 
38 	25    	0.334646 	0.117448  	0.615365 
39 	25    	0.356625 	0.117448  	0.615365 
40 	25    	0.37101  	0.117448  	0.709635 
41 	25    	0.37949  	0.160677  	0.709635 
42 	25    	0.389167 	0.185417  	0.709635 
43 	25    	0.398031 	0.185417  	0.709635 
44 	25    	0.398542 	0.185417  	0.709635 
45 	25    	0.421177 	0.221094  	0.741667 
