gen	nevals	avg       	min       	max      
0  	25    	0.00716667	0         	0.0328125
1  	25    	0.0116562 	0.00130208	0.0440104
2  	25    	0.0147708 	0.00130208	0.0440104
3  	25    	0.0194271 	0.0015625 	0.0552083
4  	25    	0.0256667 	0.00390625	0.0861979
5  	25    	0.0333125 	0.00390625	0.0872396
6  	25    	0.0394792 	0.00390625	0.0872396
7  	25    	0.0433438 	0.00442708	0.0872396
8  	25    	0.0505521 	0.0132813 	0.0932292
9  	25    	0.0572604 	0.0143229 	0.10651  
10 	25    	0.0640521 	0.0177083 	0.10651  
11 	25    	0.0710104 	0.0177083 	0.10651  
12 	25    	0.0724688 	0.0244792 	0.130729 
13 	25    	0.0769896 	0.0325521 	0.130729 
14 	25    	0.0811771 	0.0429688 	0.130729 
15 	25    	0.0844375 	0.0429688 	0.135417 
16 	25    	0.0890521 	0.0447917 	0.135417 
17 	25    	0.0940312 	0.0611979 	0.159635 
18 	25    	0.101573  	0.0664062 	0.190104 
19 	25    	0.10476   	0.0664062 	0.190104 
20 	25    	0.106104  	0.0664062 	0.190104 
21 	25    	0.107875  	0.0742188 	0.190104 
22 	25    	0.116531  	0.0742188 	0.190104 
23 	25    	0.119187  	0.0809896 	0.190104 
24 	25    	0.119542  	0.0809896 	0.190104 
25 	25    	0.122771  	0.0809896 	0.190104 
26 	25    	0.124052  	0.0809896 	0.190104 
27 	25    	0.126667  	0.0809896 	0.190104 
28 	25    	0.128521  	0.0809896 	0.190104 
29 	25    	0.133844  	0.0809896 	0.213542 
30 	25    	0.136302  	0.0809896 	0.213542 
31 	25    	0.138677  	0.0809896 	0.213542 
32 	25    	0.138677  	0.0809896 	0.213542 
33 	25    	0.143708  	0.0809896 	0.213542 
34 	25    	0.146208  	0.0809896 	0.213542 
35 	25    	0.150698  	0.0809896 	0.246354 
36 	25    	0.154271  	0.0809896 	0.246354 
37 	25    	0.159938  	0.0869792 	0.246354 
38 	25    	0.161823  	0.0885417 	0.246354 
39 	25    	0.167219  	0.0885417 	0.246354 
40 	25    	0.170708  	0.0885417 	0.246354 
41 	25    	0.173833  	0.0885417 	0.246354 
42 	25    	0.176188  	0.0885417 	0.246354 
43 	25    	0.180813  	0.0885417 	0.26276  
44 	25    	0.181854  	0.0885417 	0.26276  
45 	25    	0.181854  	0.0885417 	0.26276  
46 	25    	0.183646  	0.0885417 	0.26276  
47 	25    	0.185635  	0.0885417 	0.26276  
48 	25    	0.185635  	0.0885417 	0.26276  
49 	25    	0.187469  	0.0885417 	0.26276  
50 	25    	0.190365  	0.0885417 	0.26276  
51 	25    	0.191563  	0.0885417 	0.26276  
52 	25    	0.191656  	0.0885417 	0.26276  
53 	25    	0.191885  	0.0929687 	0.26276  
54 	25    	0.192958  	0.0929687 	0.26276  
55 	25    	0.194927  	0.126823  	0.26276  
56 	25    	0.194927  	0.126823  	0.26276  
57 	25    	0.195073  	0.126823  	0.26276  
58 	25    	0.195073  	0.126823  	0.26276  
59 	25    	0.196708  	0.126823  	0.26276  
60 	25    	0.200875  	0.135937  	0.26276  
61 	25    	0.203781  	0.135937  	0.26276  
62 	25    	0.204885  	0.135937  	0.26276  
63 	25    	0.204885  	0.135937  	0.26276  
64 	25    	0.204885  	0.135937  	0.26276  
65 	25    	0.206021  	0.142188  	0.26276  
66 	25    	0.207677  	0.142188  	0.26276  
67 	25    	0.208271  	0.142188  	0.26276  
68 	25    	0.211885  	0.142188  	0.26276  
69 	25    	0.212052  	0.146354  	0.26276  
70 	25    	0.213406  	0.146354  	0.26276  
71 	25    	0.214094  	0.146354  	0.26276  
72 	25    	0.21599   	0.146354  	0.273698 
73 	25    	0.21599   	0.146354  	0.273698 
74 	25    	0.21599   	0.146354  	0.273698 
75 	25    	0.216063  	0.146354  	0.273698 
76 	25    	0.218792  	0.146354  	0.273698 
77 	25    	0.219135  	0.148698  	0.273698 
78 	25    	0.219135  	0.148698  	0.273698 
79 	25    	0.220031  	0.148698  	0.273698 
80 	25    	0.222781  	0.148698  	0.273698 
81 	25    	0.222781  	0.148698  	0.273698 
82 	25    	0.222781  	0.148698  	0.273698 
83 	25    	0.223656  	0.148698  	0.273698 
84 	25    	0.223656  	0.148698  	0.273698 
85 	25    	0.225625  	0.148698  	0.273698 
86 	25    	0.225625  	0.148698  	0.273698 
87 	25    	0.22651   	0.148698  	0.273698 
88 	25    	0.228792  	0.148698  	0.273698 
89 	25    	0.228865  	0.148698  	0.273698 
90 	25    	0.228865  	0.148698  	0.273698 
91 	25    	0.229438  	0.163021  	0.273698 
92 	25    	0.229438  	0.163021  	0.273698 
93 	25    	0.229438  	0.163021  	0.273698 
94 	25    	0.229708  	0.164062  	0.273698 
95 	25    	0.229708  	0.164062  	0.273698 
96 	25    	0.230625  	0.16849   	0.273698 
97 	25    	0.233625  	0.175781  	0.273698 
98 	25    	0.233625  	0.175781  	0.273698 
99 	25    	0.235156  	0.175781  	0.273698 
100	25    	0.237896  	0.184896  	0.273698 
101	25    	0.238854  	0.184896  	0.273698 
102	25    	0.239     	0.184896  	0.273698 
103	25    	0.239     	0.184896  	0.273698 
104	25    	0.241979  	0.184896  	0.299219 
105	25    	0.242521  	0.184896  	0.299219 
106	25    	0.244729  	0.184896  	0.299219 
107	25    	0.244729  	0.184896  	0.299219 
108	25    	0.252969  	0.184896  	0.365625 
109	25    	0.253323  	0.184896  	0.365625 
110	25    	0.254635  	0.184896  	0.365625 
111	25    	0.256177  	0.184896  	0.365625 
112	25    	0.25751   	0.184896  	0.365625 
113	25    	0.258104  	0.184896  	0.365625 
114	25    	0.258104  	0.184896  	0.365625 
115	25    	0.258104  	0.184896  	0.365625 
116	25    	0.258104  	0.184896  	0.365625 
117	25    	0.259417  	0.184896  	0.365625 
118	25    	0.259417  	0.184896  	0.365625 
119	25    	0.259417  	0.184896  	0.365625 
120	25    	0.259417  	0.184896  	0.365625 
121	25    	0.260375  	0.184896  	0.365625 
122	25    	0.260375  	0.184896  	0.365625 
123	25    	0.261646  	0.216667  	0.365625 
124	25    	0.261646  	0.216667  	0.365625 
125	25    	0.263104  	0.216667  	0.365625 
126	25    	0.263875  	0.216667  	0.365625 
127	25    	0.263875  	0.216667  	0.365625 
128	25    	0.263875  	0.216667  	0.365625 
129	25    	0.263875  	0.216667  	0.365625 
130	25    	0.263875  	0.216667  	0.365625 
131	25    	0.266042  	0.216667  	0.365625 
132	25    	0.26651   	0.216667  	0.365625 
133	25    	0.26651   	0.216667  	0.365625 
134	25    	0.268969  	0.234896  	0.365625 
135	25    	0.269312  	0.234896  	0.365625 
136	25    	0.270448  	0.234896  	0.365625 
137	25    	0.270448  	0.234896  	0.365625 
138	25    	0.270646  	0.234896  	0.365625 
139	25    	0.270646  	0.234896  	0.365625 
140	25    	0.27124   	0.234896  	0.365625 
141	25    	0.271448  	0.234896  	0.365625 
142	25    	0.271448  	0.234896  	0.365625 
143	25    	0.271448  	0.234896  	0.365625 
144	25    	0.272698  	0.234896  	0.365625 
145	25    	0.272698  	0.234896  	0.365625 
146	25    	0.27499   	0.234896  	0.365625 
147	25    	0.276781  	0.234896  	0.365625 
148	25    	0.276781  	0.234896  	0.365625 
149	25    	0.278958  	0.234896  	0.365625 
150	25    	0.28049   	0.242448  	0.365625 
151	25    	0.281354  	0.242448  	0.365625 
152	25    	0.284135  	0.242448  	0.365625 
153	25    	0.284135  	0.242448  	0.365625 
154	25    	0.285417  	0.242448  	0.365625 
155	25    	0.285417  	0.242448  	0.365625 
156	25    	0.285417  	0.242448  	0.365625 
157	25    	0.285417  	0.242448  	0.365625 
158	25    	0.287146  	0.242448  	0.365625 
159	25    	0.288063  	0.242448  	0.365625 
160	25    	0.288063  	0.242448  	0.365625 
161	25    	0.28826   	0.242448  	0.365625 
162	25    	0.28826   	0.242448  	0.365625 
163	25    	0.28826   	0.242448  	0.365625 
164	25    	0.28826   	0.242448  	0.365625 
165	25    	0.288625  	0.242448  	0.365625 
166	25    	0.288625  	0.242448  	0.365625 
167	25    	0.288625  	0.242448  	0.365625 
168	25    	0.288625  	0.242448  	0.365625 
169	25    	0.288625  	0.242448  	0.365625 
170	25    	0.288625  	0.242448  	0.365625 
171	25    	0.289802  	0.242448  	0.365625 
172	25    	0.289802  	0.242448  	0.365625 
173	25    	0.291125  	0.242448  	0.365625 
174	25    	0.291125  	0.242448  	0.365625 
175	25    	0.291125  	0.242448  	0.365625 
176	25    	0.291125  	0.242448  	0.365625 
177	25    	0.291125  	0.242448  	0.365625 
178	25    	0.291156  	0.242448  	0.365625 
179	25    	0.291594  	0.242448  	0.365625 
180	25    	0.291594  	0.242448  	0.365625 
181	25    	0.291594  	0.242448  	0.365625 
182	25    	0.291594  	0.242448  	0.365625 
183	25    	0.291594  	0.242448  	0.365625 
184	25    	0.291667  	0.242448  	0.365625 
185	25    	0.291667  	0.242448  	0.365625 
186	25    	0.291667  	0.242448  	0.365625 
187	25    	0.291667  	0.242448  	0.365625 
188	25    	0.291906  	0.242448  	0.365625 
189	25    	0.295063  	0.242448  	0.365625 
190	25    	0.295063  	0.242448  	0.365625 
191	25    	0.295948  	0.242448  	0.365625 
192	25    	0.295948  	0.242448  	0.365625 
193	25    	0.296687  	0.242448  	0.365625 
194	25    	0.296687  	0.242448  	0.365625 
195	25    	0.296687  	0.242448  	0.365625 
196	25    	0.2975    	0.25651   	0.365625 
197	25    	0.2975    	0.25651   	0.365625 
198	25    	0.2975    	0.25651   	0.365625 
199	25    	0.2975    	0.25651   	0.365625 
200	25    	0.2975    	0.25651   	0.365625 
201	25    	0.2975    	0.25651   	0.365625 
202	25    	0.2975    	0.25651   	0.365625 
203	25    	0.298875  	0.25651   	0.365625 
204	25    	0.298979  	0.25651   	0.365625 
205	25    	0.299021  	0.25651   	0.365625 
206	25    	0.299021  	0.25651   	0.365625 
207	25    	0.29924   	0.25651   	0.365625 
208	25    	0.300542  	0.25651   	0.365625 
209	25    	0.300542  	0.25651   	0.365625 
210	25    	0.300542  	0.25651   	0.365625 
211	25    	0.300542  	0.25651   	0.365625 
212	25    	0.300542  	0.25651   	0.365625 
213	25    	0.300542  	0.25651   	0.365625 
214	25    	0.300542  	0.25651   	0.365625 
215	25    	0.305052  	0.25651   	0.365625 
216	25    	0.305052  	0.25651   	0.365625 
217	25    	0.305823  	0.25651   	0.365625 
218	25    	0.305823  	0.25651   	0.365625 
219	25    	0.305823  	0.25651   	0.365625 
220	25    	0.305823  	0.25651   	0.365625 
221	25    	0.306646  	0.25651   	0.365625 
222	25    	0.307542  	0.25651   	0.365625 
223	25    	0.307604  	0.25651   	0.365625 
224	25    	0.307604  	0.25651   	0.365625 
225	25    	0.308229  	0.25651   	0.365625 
226	25    	0.308229  	0.25651   	0.365625 
227	25    	0.308229  	0.25651   	0.365625 
228	25    	0.308229  	0.25651   	0.365625 
229	25    	0.308229  	0.25651   	0.365625 
230	25    	0.308729  	0.25651   	0.365625 
231	25    	0.308729  	0.25651   	0.365625 
232	25    	0.308729  	0.25651   	0.365625 
233	25    	0.308792  	0.25651   	0.365625 
234	25    	0.308792  	0.25651   	0.365625 
235	25    	0.309354  	0.25651   	0.365625 
236	25    	0.309354  	0.25651   	0.365625 
237	25    	0.309354  	0.25651   	0.365625 
238	25    	0.309354  	0.25651   	0.365625 
239	25    	0.309354  	0.25651   	0.365625 
240	25    	0.310333  	0.25651   	0.365625 
241	25    	0.310333  	0.25651   	0.365625 
242	25    	0.310781  	0.25651   	0.365625 
243	25    	0.310781  	0.25651   	0.365625 
244	25    	0.310781  	0.25651   	0.365625 
245	25    	0.311323  	0.25651   	0.365625 
246	25    	0.311323  	0.25651   	0.365625 
247	25    	0.312542  	0.25651   	0.365625 
248	25    	0.312823  	0.25651   	0.365625 
249	25    	0.31499   	0.25651   	0.380208 
250	25    	0.31499   	0.25651   	0.380208 
251	25    	0.31499   	0.25651   	0.380208 
252	25    	0.31499   	0.25651   	0.380208 
253	25    	0.31499   	0.25651   	0.380208 
254	25    	0.31499   	0.25651   	0.380208 
255	25    	0.31501   	0.25651   	0.380208 
256	25    	0.31501   	0.25651   	0.380208 
257	25    	0.315125  	0.25651   	0.380208 
258	25    	0.316135  	0.25651   	0.380208 
259	25    	0.316135  	0.25651   	0.380208 
260	25    	0.316135  	0.25651   	0.380208 
261	25    	0.316219  	0.25651   	0.380208 
262	25    	0.316219  	0.25651   	0.380208 
263	25    	0.317146  	0.25651   	0.380208 
264	25    	0.317146  	0.25651   	0.380208 
265	25    	0.317292  	0.25651   	0.380208 
266	25    	0.317448  	0.257292  	0.380208 
267	25    	0.318021  	0.258594  	0.380208 
268	25    	0.318021  	0.258594  	0.380208 
269	25    	0.318021  	0.258594  	0.380208 
270	25    	0.318021  	0.258594  	0.380208 
271	25    	0.318021  	0.258594  	0.380208 
