gen 	nevals	avg    	min   	max   
0   	25    	1384.26	798.8 	2561.6
1   	25    	1739.6 	679.6 	2727.6
2   	25    	1898.06	687.6 	2907.2
3   	25    	2221.02	1488.4	2837.6
4   	25    	2181.44	1138  	3059.2
5   	25    	2345.31	769.2 	3036  
6   	25    	2295.84	1120.8	3386.8
7   	25    	2391.12	1404.8	3432.8
8   	25    	2487.49	1853.2	3494.8
9   	25    	2437.73	909.2 	3216.4
10  	25    	2563.52	1856  	3279.6
11  	25    	2573.68	1856.8	3120.4
12  	25    	2523.94	1531.2	3383.2
13  	25    	2446.72	1799.6	3600.8
14  	25    	2692.4 	1572.4	3582  
15  	25    	2616.3 	1418  	3279.2
16  	25    	2460.56	1736.8	3428  
17  	25    	2426.69	1952.4	3167.6
18  	25    	2435.17	1646.8	3278.4
19  	25    	2573.97	1966  	2978.4
20  	25    	2546.91	799.6 	3607.2
21  	25    	2595.87	1870  	3504  
22  	25    	2528.66	1896.8	3104.8
23  	25    	2558.7 	1867.6	3168.8
24  	25    	2472.53	1812  	3324.8
25  	25    	2600.53	2004  	3237.2
26  	25    	2759.1 	1955.6	3637.6
27  	25    	2636.3 	1978.8	3669.2
28  	25    	2590.34	2022.4	3227.6
29  	25    	2585.23	1949.6	3672.8
30  	25    	2590.11	2064.4	3164  
31  	25    	2606.67	1877.6	3376  
32  	25    	2600.88	1834.4	3578.8
33  	25    	2494.11	1373.2	3620  
34  	25    	2365.84	1080.8	3232.8
35  	25    	2462.43	1930.4	2883.2
36  	25    	2527.3 	2040.4	3232  
37  	25    	2477.94	1633.6	3113.6
38  	25    	2660.64	2021.6	3518.8
39  	25    	2529.58	1829.6	3381.2
40  	25    	2498.11	1728.4	3513.2
41  	25    	2708.18	590   	3621.2
42  	25    	2493.63	1796  	3048  
43  	25    	2811.7 	2090.4	3490.8
44  	25    	2682.35	2160.4	3303.6
45  	25    	2590.14	1833.2	3796.8
46  	25    	2746.14	1874.4	3740  
47  	25    	2627.5 	1951.6	3241.6
48  	25    	2493.26	1806.8	3134  
49  	25    	2585.46	2000.8	3357.2
50  	25    	2574.14	1856.4	3590  
51  	25    	2593.6 	2125.6	3462.8
52  	25    	2551.52	1718.4	3526.4
53  	25    	2717.22	2307.2	3525.2
54  	25    	2767.74	2121.2	3476.8
55  	25    	2602.78	1855.2	3349.6
56  	25    	2692.9 	2122.4	3725.6
57  	25    	2588.29	1785.2	3389.2
58  	25    	2714.38	2059.2	3811.6
59  	25    	2700.14	1954.4	3545.2
60  	25    	2597.71	1982  	3418  
61  	25    	2615.17	1859.6	3488.8
62  	25    	2766.03	2172  	3386.8
63  	25    	2563.22	1681.2	3460  
64  	25    	2626.48	2023.2	3756.8
65  	25    	2532.64	1753.6	3140.4
66  	25    	2543.73	1853.2	3140  
67  	25    	2691.28	2088.4	3416  
68  	25    	2533.6 	1572.4	3404.8
69  	25    	2568.53	1782  	3644  
70  	25    	2652.24	1280.4	3791.6
71  	25    	2518.96	719.2 	3232.8
72  	25    	2415.1 	687.2 	3317.2
73  	25    	2585.6 	1896  	3377.6
74  	25    	2591.82	2047.2	3540  
75  	25    	2715.36	1927.6	3341.6
76  	25    	2617.49	1849.2	3471.6
77  	25    	2671.98	2106.8	3871.2
78  	25    	2436.78	1518.4	3708.4
79  	25    	2581.94	940.4 	3243.6
80  	25    	2378.48	944.4 	3404.4
81  	25    	2597.1 	2038.4	3214  
82  	25    	2492.67	1882.8	3289.2
83  	25    	2514.5 	1943.6	3275.2
84  	25    	2543.82	1755.2	3650  
85  	25    	2605.06	1846  	3370  
86  	25    	2664.88	1822.4	3446  
87  	25    	2485.74	1551.2	3332.4
88  	25    	2613.71	1991.2	3656.8
89  	25    	2473.97	1671.2	3439.6
90  	25    	2429.42	1695.2	3066.4
91  	25    	2426.62	1780.8	3254  
92  	25    	2593.54	1847.6	3690.4
93  	25    	2707.22	1846.8	3649.6
94  	25    	2616.64	1936.8	3388.4
95  	25    	2671.46	2124.8	3515.2
96  	25    	2565.63	1833.2	3290.8
97  	25    	2499.25	1645.6	3313.6
98  	25    	2516.48	1660  	3760.4
99  	25    	2659.34	1979.6	3390.4
100 	25    	2571.73	1896.4	3521.2
101 	25    	2568.43	1997.2	3353.2
102 	25    	2521.42	1851.2	3385.2
103 	25    	2698.4 	1722.8	3159.6
104 	25    	2631.52	2002.8	3419.2
105 	25    	2515.17	1547.2	3232.4
106 	25    	2495.74	1795.2	3175.6
107 	25    	2558.16	1744.4	3395.2
108 	25    	2480.48	1696.4	3073.6
109 	25    	2545.06	1918.4	3252  
110 	25    	2662.19	2158.8	3403.2
111 	25    	2589.87	658.4 	3399.6
112 	25    	2473.42	824.8 	3316  
113 	25    	2512.82	840   	3078.8
114 	25    	2769.68	1981.6	3238  
115 	25    	2542.61	1580.4	3228.4
116 	25    	2567.01	1973.6	3297.6
117 	25    	2445.44	1839.2	3364.8
118 	25    	2684.74	2017.2	3664.4
119 	25    	2507.41	1907.6	3332  
120 	25    	2630.14	932.8 	3423.6
121 	25    	2610.06	1900.8	3274.4
122 	25    	2563.2 	1197.2	3270.4
123 	25    	2583.97	1917.6	3404.4
124 	25    	2584.4 	1805.2	3585.2
125 	25    	2488.27	1232.8	3534  
126 	25    	2733.55	2303.6	3306  
127 	25    	2613.44	1854  	3197.2
128 	25    	2617.57	1845.6	3446.8
129 	25    	2590.45	1394.4	3372.8
130 	25    	2776.48	1891.6	3377.2
131 	25    	2622.48	1810  	3638.4
132 	25    	2785.1 	745.6 	4007.2
133 	25    	2541.25	1075.2	3312.8
134 	25    	2625.76	818.8 	3632.8
135 	25    	2502.56	1889.2	3139.6
136 	25    	2467.36	620   	3056  
137 	25    	2699.36	1851.6	3518  
138 	25    	2617.34	1396.4	3761.2
139 	25    	2808.42	2060.8	3340.4
140 	25    	2678.4 	2138.8	3210  
141 	25    	2651.68	2143.6	3470.8
142 	25    	2769.73	1861.6	3972  
143 	25    	2568.26	1471.6	3986  
144 	25    	2775.97	1956.8	3569.6
145 	25    	2723.2 	1832.8	3604  
146 	25    	2736.4 	2157.2	3656  
147 	25    	2738.43	2044.4	3652  
