gen	nevals	avg    	min  	max  
0  	25    	79.928 	41.6 	109  
1  	25    	98.144 	75.4 	126.4
2  	25    	99.192 	77.4 	132.4
3  	25    	103.776	90   	114.8
4  	25    	105.224	82.6 	119  
5  	25    	105.344	88.2 	119.6
6  	25    	106.072	89.2 	117  
7  	25    	109.84 	93.2 	126  
8  	25    	109.68 	97   	119.6
9  	25    	112.072	98.8 	123.8
10 	25    	112.4  	95.6 	133  
11 	25    	113.24 	96.6 	127.2
12 	25    	113.624	92.4 	133.2
13 	25    	115.448	101.4	126.2
14 	25    	113.968	97   	133.6
15 	25    	116.96 	97.2 	135.8
16 	25    	114.568	101.4	129.2
17 	25    	116.56 	98.2 	125.6
18 	25    	113.928	99   	128.6
19 	25    	116.92 	105  	131.8
20 	25    	115.448	105.6	131  
21 	25    	118.096	101  	140  
22 	25    	115.92 	108  	130  
23 	25    	118.728	106.4	137.2
24 	25    	115.272	102.2	126.4
25 	25    	114.992	99.4 	128.2
26 	25    	117.432	100.8	132.8
27 	25    	116.136	103.6	130.4
28 	25    	116.352	100.6	124.6
29 	25    	115.656	100  	129  
30 	25    	114.976	102.6	125.2
31 	25    	114.24 	104.2	125.2
32 	25    	115.888	104  	128  
33 	25    	112.376	99.8 	127.6
34 	25    	116.52 	106.2	130.4
35 	25    	115.424	102.4	131.8
36 	25    	115.808	103  	135  
37 	25    	114.08 	101.4	133.2
38 	25    	116.496	102.2	131.2
39 	25    	117.568	100.2	132.6
40 	25    	116.112	100.6	131  
41 	25    	117.104	101.6	136.4
42 	25    	115.152	96.4 	131.4
43 	25    	118.856	103.2	131.4
44 	25    	115.864	98.2 	134.2
45 	25    	117.136	106.8	129.8
46 	25    	115.824	96.6 	129.8
47 	25    	117.28 	99   	128.2
48 	25    	119.2  	106  	135  
49 	25    	113.664	101  	128.2
50 	25    	115.504	101  	135  
51 	25    	115.904	105.8	130.2
52 	25    	116.784	104  	130.6
53 	25    	117.496	104.2	132.2
54 	25    	117.656	102.8	138.4
55 	25    	117.464	108  	125.4
56 	25    	116.576	101.6	128.4
57 	25    	115.824	101  	130.4
58 	25    	117.424	99.6 	132.4
59 	25    	115.08 	101.2	132.2
60 	25    	117.2  	107  	140.6
61 	25    	115.8  	100.8	129.4
62 	25    	118.8  	105.8	132.8
63 	25    	115.504	101.4	127.2
64 	25    	115.736	97.8 	128.8
65 	25    	118.384	103.2	136.8
66 	25    	118.464	103.2	134.8
67 	25    	117.208	105.2	131.6
68 	25    	116.888	107  	129.4
69 	25    	119.088	103.4	134  
70 	25    	118.856	98.6 	128.8
71 	25    	114.456	100  	133.8
72 	25    	115.704	103.8	128.4
73 	25    	116.56 	104  	129.8
74 	25    	117.392	95.4 	128  
75 	25    	118.088	107.8	129.8
76 	25    	115.424	99.2 	132.2
77 	25    	115.624	96   	127  
78 	25    	113.776	100  	134  
79 	25    	117.04 	102  	136.2
80 	25    	116.104	103.4	136  
81 	25    	118.072	87.2 	138  
82 	25    	116.472	101.6	131  
83 	25    	117.968	103.2	133.2
84 	25    	115.256	98.4 	128.2
85 	25    	114.624	97.8 	126.6
86 	25    	112.312	96.4 	128  
87 	25    	115.056	102.8	125.2
88 	25    	114.944	96.8 	139.4
89 	25    	116.352	97   	130.6
90 	25    	116    	104  	126.2
91 	25    	113.128	103.4	124.4
92 	25    	118.32 	103  	142  
93 	25    	118.736	104.2	131.4
94 	25    	114.984	97   	131.8
95 	25    	120.768	102.6	133  
96 	25    	117.768	95.6 	133  
97 	25    	115.16 	105.8	123  
98 	25    	116.304	98.2 	132.8
99 	25    	116.16 	102  	128.2
100	25    	120.808	105  	135  
101	25    	112.544	89   	133.8
102	25    	114.192	98.2 	132.6
103	25    	115.056	101.8	129.2
104	25    	115.96 	105  	133.2
105	25    	112.4  	103.2	124.2
106	25    	116.544	102.6	132.8
107	25    	116.712	104.4	130.2
108	25    	114.928	101.4	134.8
109	25    	113.688	99.8 	124.6
110	25    	114.752	93.2 	130.4
111	25    	116.048	99.4 	134  
112	25    	113.44 	92.2 	128.6
113	25    	118.128	99.4 	131.4
114	25    	115.168	100.4	129.8
115	25    	113.976	99   	128  
116	25    	113.112	102.4	124.2
117	25    	114.072	104.4	123.8
118	25    	114.984	95.4 	126.4
119	25    	113.768	98.6 	133.6
120	25    	112.728	96.2 	128.2
121	25    	111.312	96   	122.4
122	25    	113.896	97.2 	128.8
123	25    	110.936	87.2 	123.4
124	25    	112.2  	96.2 	125.4
125	25    	111.936	85.6 	126.6
126	25    	114.184	91.8 	126.6
127	25    	113.784	92.4 	126  
128	25    	114.344	94.2 	131.2
129	25    	117.52 	108  	133  
130	25    	117.864	107.2	130.6
131	25    	114.656	99.4 	131  
132	25    	115.016	98.4 	129.6
133	25    	117.176	105.2	135.2
134	25    	111.664	93.2 	122.4
135	25    	116.76 	103.4	128.8
136	25    	117.208	102.6	135.4
137	25    	116.856	98.4 	127.8
138	25    	116.672	105  	129.4
139	25    	114.144	101.2	136.6
140	25    	119.056	108.4	128.2
141	25    	117.696	103.4	129.6
142	25    	115.024	98   	124.4
143	25    	118.016	100.6	137.6
