gen	nevals	avg      	min       	max     
0  	25    	0.0274062	0         	0.174219
1  	25    	0.0391875	0.00078125	0.125781
2  	25    	0.0593125	0.0078125 	0.132812
3  	25    	0.0735625	0.0351562 	0.132812
4  	25    	0.0794062	0.0101562 	0.215625
5  	25    	0.10625  	0.021875  	0.2875  
6  	25    	0.135125 	0.0554687 	0.353125
7  	25    	0.189    	0.0570313 	0.414844
8  	25    	0.211719 	0.0929687 	0.482812
9  	25    	0.210281 	0.0257812 	0.610156
10 	25    	0.28325  	0.0257812 	0.635156
11 	25    	0.320188 	0.117969  	0.5375  
12 	25    	0.344938 	0.146094  	0.639844
13 	25    	0.308531 	0.0554687 	0.639844
14 	25    	0.357594 	0.0773437 	0.674219
15 	25    	0.374656 	0.0609375 	0.735937
16 	25    	0.46775  	0.0796875 	0.698438
17 	25    	0.442563 	0.200781  	0.690625
18 	25    	0.450531 	0.0585938 	0.639063
19 	25    	0.376187 	0.0757812 	0.652344
20 	25    	0.388563 	0.0328125 	0.664844
21 	25    	0.440406 	0.0109375 	0.642187
22 	25    	0.433281 	0.0523437 	0.70625 
23 	25    	0.382281 	0.0296875 	0.567187
24 	25    	0.430344 	0.19375   	0.713281
25 	25    	0.497406 	0.351562  	0.660156
26 	25    	0.483656 	0.28125   	0.645312
27 	25    	0.458406 	0.16875   	0.692187
28 	25    	0.469563 	0.114063  	0.803906
29 	25    	0.41225  	0.0492188 	0.682813
30 	25    	0.415656 	0.0125    	0.628906
31 	25    	0.471937 	0.229687  	0.78125 
32 	25    	0.406125 	0.0164062 	0.728125
33 	25    	0.436656 	0.046875  	0.652344
34 	25    	0.496    	0.141406  	0.760156
35 	25    	0.451687 	0.059375  	0.711719
36 	25    	0.417531 	0.110937  	0.691406
37 	25    	0.475844 	0.157813  	0.691406
38 	25    	0.428469 	0.0398437 	0.632031
39 	25    	0.494469 	0.311719  	0.704687
40 	25    	0.375687 	0.06875   	0.708594
41 	25    	0.43375  	0.164062  	0.74375 
42 	25    	0.549719 	0.345313  	0.765625
43 	25    	0.506875 	0.0734375 	0.814844
44 	25    	0.505094 	0.175781  	0.857031
45 	25    	0.508062 	0.257031  	0.809375
46 	25    	0.4955   	0.021875  	0.75625 
47 	25    	0.493562 	0.232031  	0.728125
48 	25    	0.572063 	0.339063  	0.822656
49 	25    	0.577313 	0.344531  	0.772656
50 	25    	0.498625 	0.0460938 	0.807031
51 	25    	0.569813 	0.0992187 	0.846094
52 	25    	0.51675  	0.110937  	0.723437
53 	25    	0.577937 	0.199219  	0.947656
54 	25    	0.611219 	0.0882813 	0.9125  
55 	25    	0.560969 	0.01875   	0.883594
56 	25    	0.582875 	0.0875    	0.901563
57 	25    	0.6205   	0.028125  	0.91875 
58 	25    	0.659312 	0.096875  	0.935156
59 	25    	0.650063 	0.05      	0.921875
60 	25    	0.664687 	0.0148437 	0.886719
61 	25    	0.668344 	0.0234375 	0.932813
62 	25    	0.683219 	0.20625   	0.915625
63 	25    	0.714406 	0.286719  	0.901563
64 	25    	0.716219 	0.41875   	0.964063
