gen	nevals	avg      	min       	max      
0  	25    	0.009    	0         	0.0804688
1  	25    	0.0208438	0         	0.0976562
2  	25    	0.0499375	0.0078125 	0.173438 
3  	25    	0.0970625	0.00546875	0.370313 
4  	25    	0.111781 	0.0078125 	0.554688 
5  	25    	0.193469 	0.0570313 	0.896875 
6  	25    	0.1615   	0.00859375	0.730469 
7  	25    	0.196375 	0.0078125 	0.852344 
8  	25    	0.243969 	0.0078125 	0.853125 
9  	25    	0.241125 	0.00859375	0.836719 
10 	25    	0.262344 	0.0078125 	0.808594 
11 	25    	0.279625 	0.00859375	0.792969 
12 	25    	0.346906 	0.0078125 	0.823438 
13 	25    	0.400219 	0.0078125 	0.9375   
14 	25    	0.467813 	0.0078125 	0.877344 
15 	25    	0.637906 	0.0078125 	0.860937 
16 	25    	0.585219 	0.00859375	0.878125 
17 	25    	0.615031 	0.0078125 	0.9      
18 	25    	0.59675  	0.0132813 	0.93125  
19 	25    	0.732938 	0.464063  	0.942969 
20 	25    	0.6895   	0.0078125 	0.982031 
21 	25    	0.699156 	0.0679687 	0.95     
22 	25    	0.704688 	0.5       	0.903906 
23 	25    	0.680813 	0.0078125 	0.870313 
24 	25    	0.688031 	0.0507812 	0.909375 
25 	25    	0.754531 	0.498437  	0.93125  
26 	25    	0.723437 	0.557813  	0.950781 
27 	25    	0.62075  	0.0078125 	0.978906 
28 	25    	0.644594 	0.0078125 	0.894531 
29 	25    	0.610187 	0.0101562 	0.964063 
30 	25    	0.635688 	0.0109375 	0.964063 
31 	25    	0.554969 	0.0078125 	0.903906 
32 	25    	0.668719 	0.0140625 	0.940625 
33 	25    	0.781375 	0.601562  	0.923437 
34 	25    	0.673406 	0.0078125 	0.924219 
35 	25    	0.673125 	0.0078125 	1        
36 	25    	0.670719 	0.0679687 	0.915625 
37 	25    	0.71575  	0.0078125 	0.955469 
38 	25    	0.602375 	0.0078125 	0.932031 
39 	25    	0.654688 	0.0078125 	0.954687 
40 	25    	0.653938 	0.0078125 	0.949219 
41 	25    	0.679812 	0.0078125 	0.973437 
42 	25    	0.598313 	0.0078125 	0.870313 
43 	25    	0.591    	0.009375  	0.93125  
44 	25    	0.664    	0.0078125 	0.894531 
45 	25    	0.600812 	0.0078125 	0.953125 
46 	25    	0.661937 	0.0867188 	0.88125  
47 	25    	0.758625 	0.0953125 	0.940625 
48 	25    	0.662531 	0.0078125 	0.946875 
49 	25    	0.660625 	0.0078125 	0.913281 
50 	25    	0.6175   	0.0078125 	0.907031 
51 	25    	0.691844 	0.111719  	0.953906 
52 	25    	0.747531 	0.465625  	0.915625 
53 	25    	0.648531 	0.0078125 	0.970312 
54 	25    	0.694375 	0.0078125 	0.985156 
55 	25    	0.705313 	0.105469  	0.930469 
56 	25    	0.658094 	0.0078125 	0.989062 
57 	25    	0.7325   	0.0078125 	0.936719 
58 	25    	0.697062 	0.0523437 	0.978125 
59 	25    	0.747281 	0.0078125 	0.98125  
60 	25    	0.606656 	0.0078125 	0.839063 
61 	25    	0.624156 	0.00859375	0.858594 
62 	25    	0.675781 	0.0078125 	0.892187 
63 	25    	0.730156 	0.0078125 	0.953125 
64 	25    	0.737437 	0.110937  	0.946094 
65 	25    	0.720469 	0.0335938 	0.967969 
66 	25    	0.741906 	0.0078125 	0.946875 
67 	25    	0.670375 	0.0078125 	0.964063 
68 	25    	0.7165   	0.0796875 	0.886719 
69 	25    	0.698    	0.0078125 	0.9625   
70 	25    	0.645969 	0.0625    	0.885156 
71 	25    	0.631562 	0.0078125 	0.940625 
72 	25    	0.690562 	0.0109375 	0.910937 
73 	25    	0.718531 	0.430469  	0.934375 
74 	25    	0.652906 	0.0078125 	0.994531 
75 	25    	0.679531 	0.0101562 	0.954687 
76 	25    	0.66075  	0.0132813 	0.907031 
77 	25    	0.732812 	0.505469  	0.929688 
78 	25    	0.646625 	0.0859375 	0.923437 
79 	25    	0.683812 	0.009375  	0.927344 
80 	25    	0.72925  	0.0078125 	0.984375 
81 	25    	0.698062 	0.0078125 	0.884375 
82 	25    	0.66125  	0.0320312 	0.860156 
83 	25    	0.666312 	0.06875   	0.991406 
84 	25    	0.683344 	0.0117188 	0.976562 
85 	25    	0.636125 	0.0171875 	0.914844 
86 	25    	0.68675  	0.0078125 	0.994531 
87 	25    	0.616969 	0.0078125 	0.957031 
88 	25    	0.732687 	0.459375  	0.920313 
89 	25    	0.698969 	0.0078125 	0.967188 
90 	25    	0.717938 	0.475781  	0.921094 
91 	25    	0.730281 	0.0078125 	0.964844 
92 	25    	0.649469 	0.0078125 	0.98125  
93 	25    	0.654719 	0.0109375 	0.971094 
94 	25    	0.651219 	0.0109375 	0.909375 
95 	25    	0.707    	0.00859375	0.969531 
96 	25    	0.677906 	0.0078125 	0.984375 
97 	25    	0.671656 	0.0078125 	0.916406 
98 	25    	0.700562 	0.0078125 	0.974219 
99 	25    	0.681531 	0.0078125 	0.978125 
100	25    	0.635813 	0.00859375	0.929688 
101	25    	0.654156 	0.0078125 	0.975781 
102	25    	0.669375 	0.0078125 	0.942187 
103	25    	0.726656 	0.0101562 	0.979688 
104	25    	0.640875 	0.0117188 	0.891406 
105	25    	0.622875 	0.0078125 	0.923437 
106	25    	0.625687 	0.0078125 	0.958594 
107	25    	0.727375 	0.544531  	0.972656 
108	25    	0.670156 	0.0921875 	0.871875 
109	25    	0.61825  	0.0078125 	0.928125 
110	25    	0.67625  	0.0078125 	0.95     
111	25    	0.701375 	0.0078125 	0.994531 
112	25    	0.738719 	0.486719  	0.973437 
113	25    	0.674188 	0.0703125 	0.979688 
114	25    	0.708625 	0.0835937 	0.880469 
115	25    	0.583938 	0.0078125 	0.865625 
116	25    	0.718562 	0.0914062 	0.942187 
117	25    	0.748719 	0.554688  	0.95     
118	25    	0.691375 	0.0078125 	0.971094 
119	25    	0.726906 	0.407813  	0.929688 
120	25    	0.682406 	0.0132813 	0.9625   
121	25    	0.712969 	0.482812  	0.925781 
122	25    	0.641937 	0.0101562 	0.921875 
123	25    	0.657656 	0.0078125 	0.902344 
124	25    	0.666812 	0.0078125 	0.892969 
125	25    	0.680187 	0.0078125 	0.974219 
126	25    	0.619625 	0.0078125 	0.857031 
127	25    	0.716719 	0.0265625 	0.899219 
128	25    	0.578812 	0.00859375	0.927344 
129	25    	0.709969 	0.0859375 	0.9875   
130	25    	0.666656 	0.0195312 	0.921875 
131	25    	0.635344 	0.0078125 	0.978906 
132	25    	0.741156 	0.478906  	0.896094 
133	25    	0.651375 	0.053125  	0.955469 
134	25    	0.685219 	0.0078125 	0.953125 
135	25    	0.59325  	0.0078125 	0.991406 
136	25    	0.609625 	0.009375  	0.936719 
137	25    	0.707969 	0.015625  	0.9875   
138	25    	0.668594 	0.021875  	0.951563 
139	25    	0.680344 	0.0078125 	0.919531 
140	25    	0.710969 	0.0078125 	0.905469 
141	25    	0.680531 	0.0546875 	0.920313 
142	25    	0.701219 	0.0679687 	0.9125   
143	25    	0.676562 	0.0078125 	0.8875   
144	25    	0.726469 	0.460938  	0.909375 
145	25    	0.702375 	0.0203125 	0.932031 
146	25    	0.560094 	0.0078125 	0.982031 
147	25    	0.643188 	0.0117188 	0.933594 
148	25    	0.687719 	0.0171875 	0.925    
149	25    	0.692062 	0.0078125 	0.930469 
150	25    	0.604406 	0.0078125 	0.989062 
