gen	nevals	avg      	min      	max      
0  	25    	0.017125 	0        	0.053125 
1  	25    	0.0338125	0.0015625	0.0835937
2  	25    	0.0518125	0.0101562	0.116406 
3  	25    	0.0650312	0.0195312	0.107031 
4  	25    	0.072    	0.0335938	0.100781 
5  	25    	0.0758125	0.0390625	0.139844 
6  	25    	0.0777188	0.0460938	0.114063 
7  	25    	0.0749063	0.03125  	0.113281 
8  	25    	0.0855937	0.0476562	0.119531 
9  	25    	0.0834688	0.0390625	0.146094 
10 	25    	0.08775  	0.0445312	0.140625 
11 	25    	0.098875 	0.0492188	0.133594 
12 	25    	0.0938125	0.05     	0.15     
13 	25    	0.0984687	0.0484375	0.147656 
14 	25    	0.105531 	0.05625  	0.152344 
15 	25    	0.0975313	0.0679687	0.144531 
16 	25    	0.102094 	0.0507812	0.157031 
17 	25    	0.100125 	0.0460938	0.160156 
18 	25    	0.110969 	0.0515625	0.203906 
19 	25    	0.100219 	0.0625   	0.171094 
20 	25    	0.116281 	0.0789063	0.1875   
21 	25    	0.109    	0.0835937	0.148438 
22 	25    	0.104281 	0.0671875	0.136719 
23 	25    	0.097375 	0.0539063	0.1375   
24 	25    	0.102313 	0.0421875	0.1375   
25 	25    	0.108188 	0.05     	0.184375 
26 	25    	0.1165   	0.0476562	0.189063 
27 	25    	0.1115   	0.0695312	0.182812 
28 	25    	0.110687 	0.0710938	0.170312 
29 	25    	0.116125 	0.0578125	0.185156 
30 	25    	0.114375 	0.0757812	0.164062 
31 	25    	0.114531 	0.0554687	0.189844 
32 	25    	0.118344 	0.0742188	0.178906 
33 	25    	0.122906 	0.0710938	0.19375  
34 	25    	0.123875 	0.0929687	0.184375 
35 	25    	0.108844 	0.0554687	0.164062 
36 	25    	0.113    	0.059375 	0.161719 
37 	25    	0.110094 	0.0703125	0.151562 
38 	25    	0.123094 	0.065625 	0.165625 
39 	25    	0.124344 	0.0882813	0.167969 
40 	25    	0.122719 	0.0710938	0.1875   
41 	25    	0.112094 	0.0570313	0.172656 
42 	25    	0.111656 	0.0421875	0.16875  
43 	25    	0.120344 	0.0710938	0.199219 
44 	25    	0.11825  	0.0757812	0.190625 
45 	25    	0.110625 	0.04375  	0.199219 
46 	25    	0.115156 	0.0828125	0.176563 
47 	25    	0.126594 	0.0578125	0.179688 
48 	25    	0.120344 	0.0546875	0.196094 
49 	25    	0.127781 	0.04375  	0.210156 
50 	25    	0.129531 	0.0828125	0.185156 
51 	25    	0.127781 	0.0734375	0.171094 
52 	25    	0.138531 	0.065625 	0.252344 
53 	25    	0.136813 	0.0757812	0.204688 
54 	25    	0.125781 	0.0664062	0.18125  
55 	25    	0.133469 	0.0726563	0.213281 
56 	25    	0.119969 	0.0492188	0.276563 
57 	25    	0.141344 	0.0742188	0.205469 
58 	25    	0.130687 	0.03125  	0.225    
59 	25    	0.134594 	0.0835937	0.186719 
60 	25    	0.13425  	0.0765625	0.197656 
61 	25    	0.148813 	0.0960938	0.204688 
62 	25    	0.153937 	0.0890625	0.263281 
63 	25    	0.136563 	0.0984375	0.205469 
64 	25    	0.138062 	0.090625 	0.200781 
65 	25    	0.141531 	0.0835937	0.276563 
66 	25    	0.14475  	0.0773437	0.204688 
67 	25    	0.148937 	0.108594 	0.209375 
68 	25    	0.141812 	0.09375  	0.235938 
69 	25    	0.14575  	0.0796875	0.214844 
70 	25    	0.142344 	0.0976562	0.235938 
71 	25    	0.144719 	0.0789063	0.239844 
72 	25    	0.134219 	0.0632813	0.207031 
73 	25    	0.145625 	0.100781 	0.242188 
74 	25    	0.154031 	0.1      	0.2875   
75 	25    	0.141813 	0.0507812	0.241406 
76 	25    	0.15675  	0.0867188	0.217187 
77 	25    	0.159813 	0.101562 	0.230469 
78 	25    	0.144906 	0.0914062	0.217969 
79 	25    	0.150281 	0.0914062	0.221875 
80 	25    	0.134906 	0.0632813	0.210938 
81 	25    	0.160156 	0.102344 	0.203906 
82 	25    	0.150375 	0.0890625	0.21875  
83 	25    	0.142531 	0.0796875	0.234375 
84 	25    	0.155125 	0.103906 	0.257812 
85 	25    	0.155781 	0.0984375	0.24375  
86 	25    	0.15125  	0.1125   	0.188281 
87 	25    	0.135938 	0.0921875	0.199219 
88 	25    	0.145406 	0.0554687	0.266406 
89 	25    	0.148469 	0.0960938	0.211719 
90 	25    	0.160781 	0.107031 	0.269531 
91 	25    	0.172594 	0.0875   	0.2875   
92 	25    	0.161562 	0.0882813	0.251563 
93 	25    	0.145281 	0.09375  	0.21875  
94 	25    	0.167312 	0.0976562	0.24375  
95 	25    	0.166969 	0.078125 	0.260156 
96 	25    	0.168844 	0.102344 	0.242969 
97 	25    	0.167187 	0.0734375	0.240625 
98 	25    	0.175    	0.113281 	0.272656 
99 	25    	0.163906 	0.0945313	0.2375   
100	25    	0.167625 	0.084375 	0.28125  
101	25    	0.16375  	0.110937 	0.232812 
102	25    	0.183906 	0.116406 	0.279687 
103	25    	0.185156 	0.0976562	0.320312 
104	25    	0.185781 	0.096875 	0.321875 
105	25    	0.188469 	0.13125  	0.257812 
106	25    	0.192313 	0.0648438	0.317969 
107	25    	0.172031 	0.1125   	0.25     
108	25    	0.187531 	0.100781 	0.304688 
109	25    	0.170937 	0.075    	0.228906 
110	25    	0.181781 	0.116406 	0.382812 
111	25    	0.192188 	0.114063 	0.25     
112	25    	0.187594 	0.122656 	0.325781 
113	25    	0.186469 	0.0882813	0.307813 
114	25    	0.206313 	0.096875 	0.336719 
115	25    	0.196281 	0.119531 	0.309375 
116	25    	0.203125 	0.107031 	0.289844 
117	25    	0.199344 	0.120312 	0.310156 
118	25    	0.179781 	0.09375  	0.239844 
119	25    	0.188156 	0.113281 	0.277344 
120	25    	0.191594 	0.1      	0.277344 
121	25    	0.1945   	0.084375 	0.300781 
122	25    	0.200375 	0.11875  	0.328906 
123	25    	0.19725  	0.0765625	0.313281 
124	25    	0.203    	0.10625  	0.357031 
125	25    	0.202375 	0.0703125	0.339063 
126	25    	0.193469 	0.140625 	0.25     
127	25    	0.193031 	0.0921875	0.33125  
128	25    	0.198969 	0.119531 	0.282813 
129	25    	0.196719 	0.138281 	0.2875   
130	25    	0.187406 	0.0992187	0.279687 
131	25    	0.199656 	0.140625 	0.278906 
132	25    	0.1875   	0.0851562	0.285156 
133	25    	0.192438 	0.0890625	0.282813 
134	25    	0.212875 	0.139062 	0.303125 
135	25    	0.202844 	0.122656 	0.340625 
136	25    	0.201656 	0.11875  	0.282813 
137	25    	0.192906 	0.11875  	0.286719 
138	25    	0.19075  	0.0695312	0.36875  
139	25    	0.201563 	0.13125  	0.302344 
140	25    	0.206438 	0.111719 	0.300781 
141	25    	0.210219 	0.128125 	0.3625   
142	25    	0.202469 	0.109375 	0.28125  
143	25    	0.194156 	0.1      	0.341406 
144	25    	0.195375 	0.0929687	0.270312 
145	25    	0.20575  	0.0960938	0.302344 
146	25    	0.216906 	0.163281 	0.327344 
147	25    	0.201656 	0.116406 	0.328906 
148	25    	0.188688 	0.111719 	0.298438 
149	25    	0.1905   	0.116406 	0.303906 
150	25    	0.2235   	0.1375   	0.346875 
151	25    	0.219813 	0.114844 	0.314063 
152	25    	0.221344 	0.148438 	0.285937 
153	25    	0.227156 	0.150781 	0.330469 
154	25    	0.206344 	0.114844 	0.28125  
155	25    	0.21325  	0.09375  	0.326562 
156	25    	0.213562 	0.123438 	0.283594 
157	25    	0.211406 	0.100781 	0.292188 
158	25    	0.19     	0.075    	0.284375 
159	25    	0.208469 	0.0914062	0.300781 
160	25    	0.204312 	0.110937 	0.307031 
161	25    	0.209656 	0.139844 	0.285156 
162	25    	0.223406 	0.114844 	0.333594 
163	25    	0.234594 	0.142188 	0.359375 
164	25    	0.219719 	0.157813 	0.292969 
165	25    	0.231062 	0.127344 	0.363281 
166	25    	0.226719 	0.125    	0.333594 
167	25    	0.221156 	0.135156 	0.30625  
168	25    	0.216031 	0.11875  	0.345313 
169	25    	0.227906 	0.161719 	0.402344 
170	25    	0.218469 	0.108594 	0.346875 
171	25    	0.227344 	0.13125  	0.353906 
172	25    	0.226281 	0.141406 	0.296875 
173	25    	0.241781 	0.128906 	0.423438 
174	25    	0.211344 	0.151562 	0.332812 
175	25    	0.233625 	0.150781 	0.310156 
176	25    	0.238125 	0.157031 	0.3375   
177	25    	0.236469 	0.174219 	0.371094 
178	25    	0.240188 	0.119531 	0.396094 
179	25    	0.239813 	0.138281 	0.378906 
180	25    	0.243344 	0.125    	0.367188 
181	25    	0.220813 	0.0960938	0.323438 
182	25    	0.235563 	0.136719 	0.350781 
183	25    	0.238344 	0.15625  	0.320312 
184	25    	0.236469 	0.147656 	0.332812 
185	25    	0.2395   	0.146875 	0.400781 
186	25    	0.252469 	0.179688 	0.395312 
187	25    	0.239125 	0.119531 	0.367969 
188	25    	0.226094 	0.127344 	0.314063 
189	25    	0.241875 	0.114063 	0.446875 
190	25    	0.251312 	0.157813 	0.386719 
191	25    	0.232406 	0.135937 	0.353906 
192	25    	0.243688 	0.146094 	0.371875 
193	25    	0.241187 	0.111719 	0.323438 
194	25    	0.262156 	0.146875 	0.378125 
195	25    	0.244625 	0.113281 	0.373437 
196	25    	0.248469 	0.16875  	0.320312 
197	25    	0.245344 	0.132031 	0.416406 
198	25    	0.238656 	0.0945313	0.342187 
199	25    	0.2275   	0.113281 	0.382031 
200	25    	0.227781 	0.0984375	0.38125  
201	25    	0.227438 	0.157813 	0.325    
202	25    	0.237344 	0.114844 	0.335938 
203	25    	0.249    	0.121875 	0.335938 
204	25    	0.242313 	0.0976562	0.4      
205	25    	0.243375 	0.153125 	0.421094 
206	25    	0.238844 	0.134375 	0.332812 
207	25    	0.234969 	0.140625 	0.370313 
208	25    	0.234125 	0.170312 	0.308594 
209	25    	0.233906 	0.107031 	0.333594 
210	25    	0.241375 	0.164844 	0.389844 
211	25    	0.2465   	0.142969 	0.328125 
212	25    	0.223313 	0.138281 	0.310156 
213	25    	0.25525  	0.134375 	0.357812 
214	25    	0.238937 	0.148438 	0.386719 
215	25    	0.248781 	0.174219 	0.330469 
216	25    	0.2515   	0.164062 	0.405469 
217	25    	0.255531 	0.121875 	0.430469 
218	25    	0.247969 	0.135937 	0.3625   
219	25    	0.234531 	0.1625   	0.330469 
220	25    	0.237344 	0.1625   	0.360156 
221	25    	0.250094 	0.155469 	0.38125  
222	25    	0.24675  	0.135937 	0.330469 
223	25    	0.252687 	0.172656 	0.339844 
224	25    	0.261875 	0.129688 	0.339063 
225	25    	0.231062 	0.13125  	0.35     
226	25    	0.254063 	0.183594 	0.383594 
227	25    	0.225125 	0.141406 	0.324219 
228	25    	0.23675  	0.124219 	0.342969 
229	25    	0.238031 	0.166406 	0.330469 
230	25    	0.233562 	0.13125  	0.395312 
231	25    	0.242437 	0.149219 	0.414844 
232	25    	0.254281 	0.15625  	0.39375  
233	25    	0.231656 	0.164062 	0.348437 
234	25    	0.262    	0.174219 	0.370313 
235	25    	0.250375 	0.139062 	0.366406 
236	25    	0.234375 	0.105469 	0.422656 
237	25    	0.2385   	0.146875 	0.38125  
238	25    	0.242687 	0.116406 	0.364062 
239	25    	0.239625 	0.107813 	0.335156 
240	25    	0.257812 	0.161719 	0.414844 
241	25    	0.261156 	0.1875   	0.438281 
242	25    	0.257375 	0.176563 	0.403125 
243	25    	0.256375 	0.157031 	0.392188 
244	25    	0.263625 	0.165625 	0.371094 
245	25    	0.235219 	0.157031 	0.425781 
246	25    	0.246    	0.128125 	0.333594 
247	25    	0.248469 	0.153125 	0.384375 
248	25    	0.257844 	0.140625 	0.336719 
249	25    	0.245031 	0.178906 	0.345313 
250	25    	0.247813 	0.173438 	0.445312 
251	25    	0.249438 	0.161719 	0.351562 
252	25    	0.259344 	0.13125  	0.357812 
253	25    	0.260969 	0.119531 	0.345313 
254	25    	0.250937 	0.171094 	0.405469 
255	25    	0.246781 	0.139062 	0.360938 
256	25    	0.271437 	0.158594 	0.410937 
257	25    	0.25     	0.158594 	0.357812 
258	25    	0.246625 	0.157031 	0.408594 
259	25    	0.251625 	0.129688 	0.3625   
260	25    	0.265781 	0.180469 	0.413281 
261	25    	0.25175  	0.164062 	0.360156 
262	25    	0.25625  	0.149219 	0.409375 
263	25    	0.255906 	0.189844 	0.366406 
264	25    	0.246313 	0.175781 	0.335156 
265	25    	0.243594 	0.150781 	0.3125   
266	25    	0.234969 	0.146875 	0.335156 
267	25    	0.263938 	0.165625 	0.385938 
268	25    	0.252219 	0.178125 	0.342187 
269	25    	0.268    	0.164062 	0.352344 
270	25    	0.263437 	0.160938 	0.398438 
271	25    	0.270719 	0.117969 	0.3875   
272	25    	0.241937 	0.142188 	0.354688 
273	25    	0.25625  	0.150781 	0.321875 
274	25    	0.266156 	0.171875 	0.410937 
275	25    	0.233531 	0.132031 	0.35625  
276	25    	0.262219 	0.14375  	0.442187 
277	25    	0.252937 	0.159375 	0.330469 
278	25    	0.25375  	0.151562 	0.386719 
279	25    	0.251469 	0.142188 	0.332812 
280	25    	0.225156 	0.129688 	0.319531 
281	25    	0.255    	0.184375 	0.315625 
282	25    	0.245938 	0.135156 	0.371094 
283	25    	0.25275  	0.161719 	0.455469 
284	25    	0.265781 	0.183594 	0.4      
285	25    	0.231406 	0.16875  	0.355469 
286	25    	0.254187 	0.122656 	0.494531 
287	25    	0.277813 	0.171875 	0.409375 
288	25    	0.25625  	0.107031 	0.401563 
289	25    	0.282438 	0.184375 	0.394531 
290	25    	0.273938 	0.1375   	0.436719 
291	25    	0.251719 	0.178125 	0.365625 
292	25    	0.263562 	0.146875 	0.359375 
293	25    	0.266312 	0.201562 	0.326562 
294	25    	0.250406 	0.132031 	0.413281 
295	25    	0.253344 	0.178125 	0.342969 
296	25    	0.249469 	0.159375 	0.360156 
297	25    	0.249031 	0.161719 	0.354688 
298	25    	0.2725   	0.159375 	0.382031 
299	25    	0.229625 	0.14375  	0.301562 
300	25    	0.252844 	0.159375 	0.364062 
301	25    	0.263938 	0.19375  	0.385156 
302	25    	0.256656 	0.135156 	0.372656 
303	25    	0.2735   	0.157813 	0.375    
304	25    	0.266875 	0.157031 	0.395312 
305	25    	0.268406 	0.163281 	0.377344 
306	25    	0.280094 	0.179688 	0.411719 
307	25    	0.24475  	0.110156 	0.335938 
308	25    	0.266906 	0.180469 	0.411719 
309	25    	0.272938 	0.145313 	0.433594 
310	25    	0.260969 	0.171875 	0.372656 
311	25    	0.240781 	0.121875 	0.313281 
312	25    	0.26025  	0.169531 	0.386719 
313	25    	0.293625 	0.183594 	0.398438 
314	25    	0.260562 	0.142969 	0.349219 
315	25    	0.278031 	0.160156 	0.358594 
