gen	nevals	avg    	min      	max    
0  	10    	1.88093	-6.01514 	9.1499 
1  	10    	7.23811	-6.01685 	19.8206
2  	10    	14.9749	6.04785  	62.4958
3  	10    	18.2857	6.49365  	74.551 
4  	10    	16.6941	8.96143  	74.551 
5  	10    	17.9226	-11.4097 	74.551 
6  	10    	19.4456	7.58374  	90.5178
7  	10    	21.2753	9.32617  	74.551 
8  	10    	16.7198	6.71216  	43.9517
9  	10    	28.0318	9.02588  	44.1448
10 	10    	41.2799	19.55    	44.198 
11 	10    	43.6525	43.4854  	43.9199
12 	10    	39.9804	7.38135  	43.645 
13 	10    	42.2821	26.7847  	46.302 
14 	10    	43.6131	43.4497  	43.6538
15 	10    	40.1216	8.10669  	44.2629
16 	10    	43.6781	43.4712  	44.3335
17 	10    	43.6514	43.4834  	43.9363
18 	10    	43.6972	43.6118  	43.9556
19 	10    	39.8907	4.71777  	44.1431
20 	10    	43.6537	43.5764  	43.8933
21 	10    	43.6433	43.5999  	43.7058
22 	10    	41.0892	17.4006  	43.9858
23 	10    	43.6147	43.4382  	43.8564
24 	10    	43.7152	43.533   	44.6035
25 	10    	40.2456	9.77417  	43.6362
26 	10    	43.6259	43.4241  	43.7537
27 	10    	40.5607	12.3362  	44.1169
28 	10    	38.7654	16.3555  	47.9692
29 	10    	47.4587	43.4358  	73.8784
30 	10    	42.6753	12.1855  	75.4543
31 	10    	52.0322	43.4841  	73.532 
32 	10    	54.4359	9.6543   	73.8274
33 	10    	61.1629	13.6411  	75.7395
34 	10    	66.9982	13.7068  	73.6902
35 	10    	67.8446	7.68311  	76.802 
36 	10    	73.2345	72.2693  	73.6892
37 	10    	73.6163	73.1038  	74.467 
38 	10    	73.3734	72.6953  	73.9492
39 	10    	68.6615	24.9983  	73.8943
40 	10    	60.9674	7.63989  	74.9133
41 	10    	73.853 	73.1694  	75.126 
42 	10    	60.2598	6.30029  	73.73  
43 	10    	73.2745	72.3706  	73.7622
44 	10    	66.0237	-1.59473 	75.7446
45 	10    	73.4682	73.0244  	73.749 
46 	10    	73.6744	72.9878  	75.3469
47 	10    	73.6234	72.9111  	73.9387
48 	10    	73.5013	72.8562  	73.7244
49 	10    	67.447 	11.5852  	77.1482
50 	10    	73.6923	72.2778  	74.6467
51 	10    	59.6152	-4.70142 	74.9226
52 	10    	73.5845	73.2002  	73.8584
53 	10    	73.4528	72.4673  	73.9561
54 	10    	73.5217	73.2349  	73.6851
55 	10    	62.4304	7.24756  	74.2944
56 	10    	68.4041	23.405   	73.9119
57 	10    	73.5218	73.197   	73.75  
58 	10    	68.2639	21.4314  	73.6965
59 	10    	67.6418	16.729   	74.3345
60 	10    	60.9773	6.16504  	73.7532
61 	10    	73.4283	72.3818  	73.8142
62 	10    	67.4224	10.26    	75.7927
63 	10    	74.1311	73.0723  	76.7354
64 	10    	67.8587	12.5662  	78.4043
65 	10    	73.5118	73.1274  	73.8789
66 	10    	73.8651	72.823   	76.6511
67 	10    	73.792 	73.1128  	75.9111
68 	10    	65.353 	16.3125  	73.8975
69 	10    	67.3281	6.2124   	75.3503
70 	10    	71.3455	48.3572  	75.7444
