gen 	nevals	avg    	min   	max   
1   	25    	1359.6 	667.6 	2378  
2   	25    	1518.34	768   	2220.4
3   	25    	1596.08	858   	2993.2
4   	25    	1841.44	949.2 	2601.2
5   	25    	2197.02	1176.8	3352.8
6   	25    	2131.07	1375.6	2932  
7   	25    	2166.1 	1843.6	2844.4
8   	25    	2311.52	1664.4	3140  
9   	25    	2411.68	1366.8	3378  
10  	25    	2447.2 	1758.4	3730.4
11  	25    	2373.39	1531.6	3494  
12  	25    	2583.04	1678.4	3944  
13  	25    	2555.38	1676  	3295.2
14  	25    	2405.47	1368.4	3417.6
15  	25    	2516.75	1764  	4148  
16  	25    	2519.01	1623.6	3479.2
17  	25    	2858.93	1817.6	4013.2
18  	25    	2581.52	1480.8	3732.8
19  	25    	2711.95	1664.4	4343.6
20  	25    	2789.3 	1410.4	4475.6
21  	25    	2704.3 	1469.2	3612.4
22  	25    	2562.26	1578.4	3459.6
23  	25    	2607.2 	1285.6	3558.8
24  	25    	2913.22	1488.4	3918  
25  	25    	2614.69	1368.8	4663.6
26  	25    	2617.73	1488  	3877.2
27  	25    	2608.82	1477.6	3471.6
28  	25    	2739.49	1673.6	3923.2
29  	25    	2705.06	2050.8	3580.4
30  	25    	2768.69	1755.6	4346.8
31  	25    	2849.04	1836.8	3577.6
32  	25    	3115.14	1864  	4231.2
33  	25    	3086.26	1999.6	4674.4
34  	25    	3039.1 	2275.6	4146  
35  	25    	2869.33	2018  	3821.2
36  	25    	3103.73	1870  	4798.8
37  	25    	3016.93	1628.4	4867.6
38  	25    	2718.66	2016.8	3668.4
39  	25    	2755.41	2019.6	3930.4
40  	25    	2661.81	1656.8	3616  
41  	25    	2813.71	1843.6	3947.6
42  	25    	3045.95	1844.4	4555.2
43  	25    	3008.85	1953.2	3905.6
44  	25    	3027.63	1388  	4422.4
45  	25    	2795.14	2081.6	4480.4
46  	25    	3185.31	2273.6	4892.8
47  	25    	3102.69	2147.6	4236.8
48  	25    	3134.32	1871.2	4207.6
49  	25    	2854.8 	2056.4	3952  
50  	25    	3051.97	2054.8	4082.8
51  	25    	3130.83	2046.4	4318  
52  	25    	2771.79	2108  	4403.2
53  	25    	3153.18	2314  	4151.6
54  	25    	3106.69	2138.4	5095.2
55  	25    	3203.22	2086.8	5101.6
56  	25    	3122.43	1982.8	4198.8
57  	25    	2980.53	2092.8	4346.4
58  	25    	2922.51	2148.8	3916  
59  	25    	2897.66	1938  	4209.2
60  	25    	2982.88	1754  	4341.2
61  	25    	3051.36	2112  	4157.6
62  	25    	2938.3 	2167.6	3892.4
63  	25    	3142.78	2059.2	4064  
64  	25    	3157.2 	2493.2	4348  
65  	25    	2942.93	2039.6	3959.6
66  	25    	3142.58	2242.8	4180.8
67  	25    	3362.85	2359.6	5013.2
68  	25    	3135.79	1917.2	4589.2
69  	25    	3296.56	2542.4	4191.2
70  	25    	3240.3 	1883.6	3996.8
71  	25    	3246.43	1988.8	4523.6
72  	25    	3294   	1924.4	5393.6
73  	25    	3268.21	2239.6	4718.8
74  	25    	3378.42	2294  	4646  
75  	25    	3298.21	2038.8	4335.2
76  	25    	3150   	1935.2	4441.2
77  	25    	3427.04	2124  	4987.2
78  	25    	3303.42	2244.4	4564.8
79  	25    	3509.55	2849.2	4633.6
80  	25    	3243.84	1966.8	5011.2
81  	25    	3203.86	2388  	5189.6
82  	25    	3149.6 	2038  	4369.2
83  	25    	3275.07	2015.6	4694  
84  	25    	3100.34	1991.6	4488.8
85  	25    	3386.54	2202.8	4294.4
86  	25    	3329.52	2080  	4236.4
87  	25    	3118.82	2367.2	4797.2
88  	25    	3433.12	1976  	4705.2
89  	25    	3443.97	2094  	4648.8
90  	25    	3434.06	2146.8	5604  
91  	25    	3293.04	2250.8	4957.6
92  	25    	3688.53	2758.4	5426.8
93  	25    	3356.74	2496.4	4508.8
94  	25    	3166.7 	2277.6	4050.4
95  	25    	3223.66	1965.2	4839.6
96  	25    	3042.08	2068.4	4139.6
97  	25    	3211.79	2107.6	4693.6
98  	25    	3270.69	2380.8	4574.4
99  	25    	3233.12	1959.6	4784.4
100 	25    	3230.99	2260.4	4126  
101 	25    	3131.06	2084.8	4390.8
102 	25    	3172.1 	2116.4	4187.6
103 	25    	3122.74	1775.6	4712  
104 	25    	3260.96	2489.6	4397.2
105 	25    	3529.58	2604.4	5204.4
106 	25    	3300.22	2292  	4708.8
107 	25    	3396.02	2261.6	4462  
108 	25    	3294.14	2305.2	4554  
109 	25    	3569.31	2884  	4907.2
110 	25    	3277.62	2399.2	4505.6
111 	25    	3437.3 	2239.6	5048.4
112 	25    	3354.21	1963.2	5173.6
113 	25    	3492.94	2704  	4442.4
114 	25    	3301.17	1475.2	4144.4
115 	25    	3359.86	2445.6	4944.8
116 	25    	3126.21	2180.8	4391.6
117 	25    	3523.42	2370.4	4542.8
118 	25    	3463.49	2159.6	4691.2
119 	25    	3510.94	1947.2	5011.6
120 	25    	2968.46	1893.2	4198.4
121 	25    	3387.28	2466  	5220  
122 	25    	3338.08	2236.8	4362.8
123 	25    	3280.45	2444  	4610.4
124 	25    	3243.07	2197.6	4594.4
125 	25    	3216.93	2355.2	4520  
126 	25    	3254.38	2421.6	4686  
127 	25    	3241.41	2253.6	4259.2
128 	25    	3310.56	2179.2	5183.2
129 	25    	3251.62	2336.8	4678  
130 	25    	2995.18	2181.6	4020.4
131 	25    	2945.68	1982.8	4535.6
132 	25    	3171.52	2202.8	3963.2
133 	25    	3144.02	1878.8	4314  
134 	25    	3267.49	2335.6	4562.4
135 	25    	3133.38	1966  	4342.4
136 	25    	3102.48	2042.8	4914  
137 	25    	3085.76	1628.8	4233.6
138 	25    	3219.62	2352.4	4599.6
139 	25    	3051.14	2165.2	4048.8
140 	25    	3412.29	1767.2	5146  
141 	25    	3122   	2527.6	3930  
