gen	nevals	avg    	min  	max  
1  	25    	75.856 	40   	108.8
2  	25    	80.968 	50   	102.6
3  	25    	84.888 	59.2 	103.8
4  	25    	94.344 	79.2 	116.8
5  	25    	95.352 	76.4 	112.2
6  	25    	97.448 	34.4 	120.2
7  	25    	102.072	60.4 	129.6
8  	25    	98.656 	69.4 	114.2
9  	25    	103.064	74.6 	123  
10 	25    	109.016	92.8 	129.2
11 	25    	106.608	89.4 	123  
12 	25    	114.392	91.8 	125  
13 	25    	110.784	90.8 	129.6
14 	25    	110.944	86.4 	131.4
15 	25    	112.456	103.2	130  
16 	25    	113.768	95   	126  
17 	25    	112.496	92.8 	126.6
18 	25    	112.504	98   	131.8
19 	25    	109.216	55.2 	131  
20 	25    	112.936	100.8	130.8
21 	25    	108.464	66   	135.4
22 	25    	113.016	93   	128.6
23 	25    	115.32 	92.4 	134.6
24 	25    	113.704	100  	125.4
25 	25    	116.568	97.4 	133.2
26 	25    	111.872	95.6 	126.8
27 	25    	114.904	99.4 	127.8
28 	25    	111.984	96.8 	135.6
29 	25    	116.168	102.4	132.8
30 	25    	112.936	96.4 	125  
31 	25    	116.496	97.2 	132.4
32 	25    	113.544	98.4 	140.4
33 	25    	115.736	100.4	127  
34 	25    	116.48 	104.2	139.8
35 	25    	116.2  	103  	134.2
36 	25    	117.016	104  	141.6
37 	25    	117.952	105.4	134  
38 	25    	117.68 	102.2	133.2
39 	25    	117.408	102  	134.4
40 	25    	117.72 	105.6	128.6
41 	25    	119.68 	106.4	134.6
42 	25    	118.04 	107.8	124.2
43 	25    	116.704	102.2	134  
44 	25    	118.832	97.8 	134.2
45 	25    	116.52 	96.8 	124.6
46 	25    	118.832	109.8	132.4
47 	25    	118.752	106.2	136  
48 	25    	120.536	107.8	135.8
49 	25    	120.352	102.8	132.4
50 	25    	118.096	103.6	134.2
51 	25    	118.136	103  	128.6
52 	25    	119    	99.2 	139.2
53 	25    	120.384	102  	137  
54 	25    	120.768	105.2	137  
55 	25    	119.76 	98.2 	137.2
56 	25    	116.368	98.2 	129.2
57 	25    	120.896	109  	135.4
58 	25    	117.648	102.2	131.2
59 	25    	117.384	101.6	132.8
60 	25    	120.528	107.6	131.4
61 	25    	119.216	96.2 	139.4
62 	25    	116.552	98.4 	133.2
63 	25    	118.32 	105  	135  
64 	25    	118.384	105.8	131.8
65 	25    	118.064	105.4	133.4
66 	25    	119.584	100.4	133.8
67 	25    	118.704	105.4	135.8
68 	25    	118.28 	93   	141.6
69 	25    	120.96 	107.6	137.2
70 	25    	118.624	107.8	134  
71 	25    	121.288	106.8	138.4
72 	25    	122.024	107  	132.4
73 	25    	119.304	103.2	138.2
74 	25    	120.32 	99.8 	142.2
75 	25    	118.928	109  	133  
76 	25    	122.512	108.2	139.8
77 	25    	120.8  	107.4	138.6
78 	25    	118.936	108.4	131.4
79 	25    	119.384	104.8	131  
80 	25    	120.112	107.4	132.2
81 	25    	120.312	104.6	134.2
82 	25    	122.2  	109.6	138.2
83 	25    	119.144	99.8 	138.2
84 	25    	118.368	108.2	130.4
85 	25    	116.816	106.8	130.6
86 	25    	119.496	105  	132  
87 	25    	122.16 	110.4	146.2
88 	25    	119.824	107  	136.2
89 	25    	120.688	94.4 	135.2
90 	25    	121.376	107.2	135.4
91 	25    	120.44 	106.8	132.4
92 	25    	119.6  	109.6	131.8
93 	25    	117.256	105.2	134  
94 	25    	118.464	90.4 	133.8
95 	25    	115.08 	98.6 	126.4
96 	25    	119.416	104.4	131.6
97 	25    	119.728	101.6	134.8
98 	25    	120.864	106  	133  
99 	25    	122.176	108  	135.6
100	25    	114.664	105  	123.4
101	25    	116.064	100.6	136.4
102	25    	117.28 	101.4	137  
103	25    	117.928	99.6 	129.6
104	25    	117.616	104  	136.8
105	25    	119.8  	97.6 	136.2
106	25    	116.992	102.8	131  
107	25    	118.256	99.6 	128  
108	25    	121.312	107  	136  
109	25    	121.68 	104  	138.4
110	25    	121.152	106.6	141  
111	25    	119.56 	96.8 	130.4
112	25    	118.512	103.4	131.2
113	25    	117.36 	98.2 	128.4
114	25    	120.616	108.2	133  
115	25    	119.88 	107  	133.4
116	25    	120.952	107  	132.4
117	25    	120.128	103  	135.6
118	25    	121.016	101  	137.8
119	25    	117.728	107.2	130.4
120	25    	117.016	106.6	133.4
121	25    	120.208	103  	136.2
122	25    	118.624	103.8	136.2
123	25    	117.024	106  	130  
124	25    	117.128	102.8	134.6
125	25    	120.984	106.4	129.6
126	25    	116.832	105.4	131  
127	25    	118.824	106.8	133.4
128	25    	115.056	97.2 	129.2
129	25    	118.192	108  	129  
130	25    	119.376	106  	128.4
131	25    	118.68 	107.6	135.6
132	25    	118.896	106.6	134.2
133	25    	118.864	106.8	132.8
134	25    	117.712	103.2	130.8
135	25    	117.16 	94.4 	130.2
136	25    	115.8  	100.6	136.4
137	25    	118.784	103.2	132.2
138	25    	115.856	96.2 	127.8
139	25    	117.12 	103.2	129.4
140	25    	117.84 	104.4	131.2
141	25    	119.608	104.6	134.6
142	25    	119.264	98.6 	133.2
143	25    	121.248	108  	135.4
144	25    	121.136	105.4	132.8
145	25    	120.592	102.8	141  
146	25    	119.976	102  	127.4
147	25    	118.856	108.4	134.8
148	25    	119.352	104.2	135.4
149	25    	120.392	105.4	143.8
150	25    	118.608	104  	130  
151	25    	118.768	106  	136.2
152	25    	123.368	107.4	139  
153	25    	121.672	110.2	139.4
154	25    	119.408	104.4	139.4
155	25    	120.648	106.2	132.6
156	25    	118.448	105.6	132  
157	25    	121.928	107.8	137.2
158	25    	119.904	101.4	131.6
159	25    	120.424	103.8	131.6
160	25    	118.096	104  	132.6
161	25    	119.08 	105.4	134  
162	25    	119.12 	104.8	137.2
163	25    	120.816	104.4	137.8
164	25    	120.864	108.6	129.6
165	25    	121.464	103.4	139.6
