gen	nevals	avg      	min      	max     
1  	25    	0.0160312	0        	0.071875
2  	25    	0.03525  	0.003125 	0.199219
3  	25    	0.0949687	0.0101562	0.36875 
4  	25    	0.12425  	0.0382813	0.396875
5  	25    	0.190969 	0.021875 	0.594531
6  	25    	0.268469 	0.0398437	0.807813
7  	25    	0.302125 	0.0179687	0.652344
8  	25    	0.530688 	0.0789063	0.917188
9  	25    	0.614688 	0.0671875	0.845312
10 	25    	0.707594 	0.478125 	0.975781
11 	25    	0.667438 	0.267188 	0.945312
12 	25    	0.697719 	0.265625 	0.935938
13 	25    	0.782    	0.371875 	0.982031
14 	25    	0.78275  	0.413281 	0.973437
15 	25    	0.743094 	0.5375   	0.908594
16 	25    	0.738    	0.269531 	0.971875
17 	25    	0.768125 	0.321875 	0.9375  
18 	25    	0.780813 	0.525781 	0.944531
19 	25    	0.764    	0.39375  	0.955469
20 	25    	0.804469 	0.458594 	0.953906
21 	25    	0.791188 	0.611719 	0.954687
22 	25    	0.761938 	0.485156 	0.917188
23 	25    	0.767531 	0.342187 	0.960938
24 	25    	0.737813 	0.120312 	0.96875 
25 	25    	0.827094 	0.619531 	0.996875
26 	25    	0.772187 	0.432813 	0.992969
27 	25    	0.79675  	0.598437 	0.984375
28 	25    	0.804531 	0.296094 	1       
29 	25    	0.806062 	0.547656 	1       
30 	25    	0.83325  	0.700781 	1       
31 	25    	0.853063 	0.561719 	1       
32 	25    	0.844844 	0.603906 	1       
33 	25    	0.834687 	0.641406 	0.996094
34 	25    	0.851688 	0.615625 	1       
35 	25    	0.8295   	0.573438 	1       
36 	25    	0.884094 	0.767969 	0.992188
37 	25    	0.821813 	0.552344 	0.957031
38 	25    	0.800656 	0.389062 	1       
39 	25    	0.853219 	0.640625 	0.995313
40 	25    	0.831969 	0.598437 	1       
41 	25    	0.858281 	0.544531 	0.986719
42 	25    	0.8285   	0.248437 	1       
43 	25    	0.8265   	0.452344 	0.996094
44 	25    	0.809687 	0.567187 	0.991406
45 	25    	0.860375 	0.498437 	1       
46 	25    	0.859156 	0.755469 	0.998438
47 	25    	0.864344 	0.68125  	0.985156
48 	25    	0.861156 	0.685156 	0.997656
49 	25    	0.866656 	0.64375  	1       
50 	25    	0.877187 	0.517969 	0.995313
51 	25    	0.800594 	0.403906 	1       
52 	25    	0.885031 	0.660156 	1       
53 	25    	0.872344 	0.664844 	1       
54 	25    	0.82025  	0.507031 	1       
55 	25    	0.832687 	0.483594 	1       
56 	25    	0.817063 	0.19375  	0.994531
57 	25    	0.846562 	0.679688 	0.986719
58 	25    	0.876937 	0.715625 	0.982813
59 	25    	0.856156 	0.678125 	0.998438
60 	25    	0.8435   	0.319531 	1       
61 	25    	0.843375 	0.61875  	1       
62 	25    	0.846656 	0.566406 	0.996875
63 	25    	0.842906 	0.369531 	1       
64 	25    	0.891281 	0.760156 	0.9875  
65 	25    	0.865344 	0.569531 	1       
66 	25    	0.855219 	0.580469 	1       
67 	25    	0.852625 	0.660937 	0.997656
68 	25    	0.852656 	0.6375   	0.998438
69 	25    	0.852094 	0.667188 	1       
70 	25    	0.848781 	0.491406 	1       
71 	25    	0.831844 	0.64375  	0.998438
72 	25    	0.893906 	0.596094 	0.988281
73 	25    	0.88025  	0.709375 	1       
74 	25    	0.889875 	0.75625  	0.96875 
75 	25    	0.90575  	0.71875  	1       
76 	25    	0.869969 	0.603906 	0.996094
77 	25    	0.885094 	0.641406 	0.99375 
78 	25    	0.896531 	0.682031 	1       
79 	25    	0.881531 	0.686719 	1       
80 	25    	0.861187 	0.647656 	0.978125
81 	25    	0.845438 	0.571875 	1       
82 	25    	0.880656 	0.622656 	0.995313
83 	25    	0.874    	0.664844 	1       
84 	25    	0.842656 	0.65625  	1       
85 	25    	0.874125 	0.657812 	0.992188
86 	25    	0.890344 	0.678125 	1       
87 	25    	0.876438 	0.614844 	1       
88 	25    	0.864813 	0.660937 	1       
89 	25    	0.8655   	0.661719 	0.997656
90 	25    	0.857625 	0.396875 	1       
91 	25    	0.845563 	0.26875  	0.994531
92 	25    	0.888719 	0.727344 	0.984375
93 	25    	0.8975   	0.625    	1       
94 	25    	0.889656 	0.741406 	1       
95 	25    	0.88725  	0.779688 	0.996875
96 	25    	0.903531 	0.698438 	1       
97 	25    	0.861844 	0.604688 	0.998438
98 	25    	0.864813 	0.6875   	0.994531
99 	25    	0.902281 	0.758594 	1       
100	25    	0.890344 	0.730469 	0.997656
101	25    	0.884156 	0.664844 	1       
102	25    	0.865062 	0.654688 	0.976562
103	25    	0.893906 	0.669531 	1       
104	25    	0.877469 	0.699219 	1       
105	25    	0.877125 	0.744531 	0.991406
106	25    	0.89675  	0.732031 	0.994531
107	25    	0.855906 	0.51875  	0.998438
108	25    	0.862875 	0.627344 	1       
109	25    	0.859844 	0.621875 	0.996094
110	25    	0.831219 	0.48125  	0.984375
111	25    	0.859531 	0.653906 	0.974219
112	25    	0.872062 	0.586719 	0.998438
113	25    	0.86975  	0.727344 	1       
114	25    	0.858656 	0.674219 	0.975   
115	25    	0.88275  	0.73125  	1       
116	25    	0.829531 	0.617188 	1       
117	25    	0.845094 	0.429688 	1       
118	25    	0.847438 	0.658594 	0.990625
119	25    	0.860625 	0.626562 	1       
120	25    	0.885031 	0.671875 	1       
121	25    	0.861125 	0.599219 	1       
122	25    	0.851812 	0.638281 	0.9875  
123	25    	0.878188 	0.689062 	1       
124	25    	0.891406 	0.798437 	0.9875  
125	25    	0.906281 	0.670313 	1       
126	25    	0.884    	0.696094 	0.997656
127	25    	0.868344 	0.748438 	0.969531
128	25    	0.911906 	0.757031 	1       
129	25    	0.91775  	0.7625   	1       
130	25    	0.901906 	0.717188 	1       
131	25    	0.914125 	0.761719 	1       
132	25    	0.872875 	0.717188 	0.967188
133	25    	0.857937 	0.689062 	1       
134	25    	0.896812 	0.627344 	0.992969
135	25    	0.892219 	0.657812 	1       
136	25    	0.885969 	0.577344 	1       
137	25    	0.859813 	0.630469 	1       
138	25    	0.844719 	0.603125 	1       
139	25    	0.886406 	0.780469 	1       
140	25    	0.872688 	0.717188 	1       
141	25    	0.852281 	0.624219 	1       
142	25    	0.887188 	0.452344 	1       
143	25    	0.846469 	0.554688 	1       
144	25    	0.833281 	0.617969 	1       
145	25    	0.881875 	0.621094 	1       
146	25    	0.865063 	0.517969 	1       
147	25    	0.876219 	0.719531 	1       
148	25    	0.858625 	0.564844 	0.997656
149	25    	0.852906 	0.621875 	1       
150	25    	0.866687 	0.61875  	1       
151	25    	0.8815   	0.679688 	1       
152	25    	0.854    	0.497656 	1       
153	25    	0.886813 	0.550781 	1       
154	25    	0.872625 	0.746094 	1       
155	25    	0.856625 	0.676562 	1       
156	25    	0.833781 	0.624219 	0.997656
157	25    	0.876437 	0.676562 	1       
158	25    	0.898625 	0.622656 	0.995313
159	25    	0.888781 	0.711719 	1       
160	25    	0.902219 	0.721875 	1       
161	25    	0.899125 	0.578906 	0.990625
162	25    	0.873781 	0.6125   	1       
163	25    	0.867844 	0.496875 	1       
164	25    	0.895281 	0.525781 	1       
165	25    	0.865031 	0.675    	1       
166	25    	0.852687 	0.632812 	1       
167	25    	0.857781 	0.590625 	1       
168	25    	0.882531 	0.719531 	1       
169	25    	0.863031 	0.590625 	1       
170	25    	0.886687 	0.699219 	1       
171	25    	0.8335   	0.638281 	1       
172	25    	0.858031 	0.608594 	1       
173	25    	0.885375 	0.622656 	1       
174	25    	0.856375 	0.544531 	1       
175	25    	0.877812 	0.680469 	1       
176	25    	0.903406 	0.68125  	1       
177	25    	0.873781 	0.728125 	1       
178	25    	0.834344 	0.582812 	1       
179	25    	0.857969 	0.557031 	0.990625
180	25    	0.762375 	0.516406 	0.971094
181	25    	0.832125 	0.635938 	1       
182	25    	0.871687 	0.6375   	1       
183	25    	0.895219 	0.7625   	1       
184	25    	0.864438 	0.519531 	1       
185	25    	0.862875 	0.575    	1       
186	25    	0.881281 	0.574219 	1       
187	25    	0.860906 	0.657812 	1       
188	25    	0.871813 	0.602344 	1       
189	25    	0.882437 	0.759375 	1       
190	25    	0.905188 	0.785156 	1       
191	25    	0.859375 	0.664844 	1       
192	25    	0.838875 	0.45     	1       
193	25    	0.837469 	0.35625  	1       
194	25    	0.824625 	0.483594 	1       
195	25    	0.868406 	0.692969 	0.998438
196	25    	0.854094 	0.58125  	1       
197	25    	0.883219 	0.6625   	0.9875  
198	25    	0.853875 	0.635938 	1       
199	25    	0.862094 	0.559375 	0.998438
200	25    	0.881188 	0.5875   	1       
201	25    	0.89875  	0.703125 	1       
202	25    	0.896594 	0.7      	1       
203	25    	0.862469 	0.622656 	1       
204	25    	0.891062 	0.677344 	1       
205	25    	0.902719 	0.738281 	1       
206	25    	0.891875 	0.726562 	1       
207	25    	0.916625 	0.746094 	1       
208	25    	0.877719 	0.7375   	1       
209	25    	0.884781 	0.739062 	1       
210	25    	0.886437 	0.688281 	1       
211	25    	0.881    	0.684375 	1       
212	25    	0.895656 	0.663281 	1       
213	25    	0.88975  	0.614062 	1       
214	25    	0.91825  	0.635156 	1       
215	25    	0.897375 	0.777344 	1       
216	25    	0.895813 	0.626562 	1       
217	25    	0.862844 	0.667188 	0.998438
218	25    	0.883063 	0.667188 	1       
219	25    	0.878719 	0.688281 	1       
220	25    	0.91125  	0.764844 	1       
221	25    	0.930062 	0.775    	1       
222	25    	0.881344 	0.665625 	1       
223	25    	0.903594 	0.670313 	1       
224	25    	0.887906 	0.685938 	1       
225	25    	0.879781 	0.701563 	1       
226	25    	0.8615   	0.607813 	1       
227	25    	0.904594 	0.673437 	1       
228	25    	0.881688 	0.738281 	1       
229	25    	0.880031 	0.588281 	1       
230	25    	0.873656 	0.545313 	1       
231	25    	0.879219 	0.653906 	1       
232	25    	0.867    	0.745313 	0.99375 
233	25    	0.905531 	0.676562 	1       
234	25    	0.900094 	0.764063 	0.998438
235	25    	0.901188 	0.757031 	1       
236	25    	0.892375 	0.7      	1       
237	25    	0.925031 	0.815625 	1       
238	25    	0.896844 	0.771875 	1       
239	25    	0.904906 	0.683594 	1       
240	25    	0.892375 	0.6125   	1       
241	25    	0.885438 	0.754687 	1       
242	25    	0.919469 	0.758594 	1       
243	25    	0.899656 	0.613281 	1       
244	25    	0.915875 	0.703125 	1       
245	25    	0.9075   	0.733594 	1       
246	25    	0.90725  	0.74375  	1       
247	25    	0.922906 	0.721094 	1       
248	25    	0.896906 	0.710156 	1       
249	25    	0.894219 	0.736719 	1       
250	25    	0.912969 	0.69375  	1       
251	25    	0.900656 	0.691406 	1       
252	25    	0.884969 	0.598437 	1       
253	25    	0.881125 	0.646875 	1       
254	25    	0.895625 	0.726562 	1       
255	25    	0.919563 	0.730469 	1       
256	25    	0.896563 	0.694531 	1       
257	25    	0.835281 	0.646094 	1       
258	25    	0.8845   	0.603906 	1       
259	25    	0.905    	0.770312 	1       
260	25    	0.91525  	0.760938 	1       
261	25    	0.885062 	0.736719 	1       
262	25    	0.907063 	0.708594 	1       
263	25    	0.919906 	0.773438 	1       
264	25    	0.906781 	0.764844 	1       
265	25    	0.902125 	0.648438 	1       
266	25    	0.889125 	0.630469 	0.990625
267	25    	0.940719 	0.840625 	1       
268	25    	0.873594 	0.683594 	1       
269	25    	0.871938 	0.598437 	1       
270	25    	0.886063 	0.714844 	1       
271	25    	0.911844 	0.770312 	1       
272	25    	0.917406 	0.711719 	1       
273	25    	0.888562 	0.735156 	1       
274	25    	0.89175  	0.696875 	1       
275	25    	0.875594 	0.692187 	1       
276	25    	0.870875 	0.628906 	0.996094
277	25    	0.92675  	0.803906 	1       
278	25    	0.869875 	0.564062 	0.998438
279	25    	0.9015   	0.707812 	1       
280	25    	0.87825  	0.500781 	1       
281	25    	0.8965   	0.628125 	1       
282	25    	0.92975  	0.758594 	1       
283	25    	0.899781 	0.682813 	1       
284	25    	0.893594 	0.603125 	1       
285	25    	0.895469 	0.707812 	1       
286	25    	0.92125  	0.609375 	1       
287	25    	0.887188 	0.727344 	1       
288	25    	0.918063 	0.725    	1       
289	25    	0.8785   	0.671875 	1       
290	25    	0.893656 	0.734375 	1       
291	25    	0.868156 	0.514844 	1       
292	25    	0.878437 	0.688281 	1       
293	25    	0.870656 	0.632812 	1       
294	25    	0.8895   	0.724219 	1       
295	25    	0.880063 	0.596094 	1       
296	25    	0.885375 	0.578906 	1       
