gen	nevals	avg      	min       	max     
1  	25    	0.0189688	0         	0.078125
2  	25    	0.0494062	0.00234375	0.15625 
3  	25    	0.0809688	0.0078125 	0.260156
4  	25    	0.0893125	0.0109375 	0.203906
5  	25    	0.136219 	0.0328125 	0.228906
6  	25    	0.161344 	0.0570313 	0.264844
7  	25    	0.155688 	0.0414063 	0.267188
8  	25    	0.170313 	0.0757812 	0.26875 
9  	25    	0.196188 	0.00390625	0.286719
10 	25    	0.217125 	0.021875  	0.375   
11 	25    	0.227344 	0.159375  	0.345313
12 	25    	0.200594 	0.0398437 	0.394531
13 	25    	0.202562 	0.0046875 	0.298438
14 	25    	0.215094 	0.138281  	0.316406
15 	25    	0.227375 	0.135156  	0.323438
16 	25    	0.221188 	0.159375  	0.325781
17 	25    	0.244188 	0.1375    	0.319531
18 	25    	0.242781 	0.182031  	0.351562
19 	25    	0.244406 	0.167969  	0.364062
20 	25    	0.232813 	0.149219  	0.394531
21 	25    	0.209406 	0.04375   	0.314844
22 	25    	0.222125 	0.110937  	0.329688
23 	25    	0.23925  	0.178125  	0.340625
24 	25    	0.2405   	0.127344  	0.392969
25 	25    	0.2305   	0.104687  	0.332812
26 	25    	0.240281 	0.1375    	0.328906
27 	25    	0.20475  	0.0945313 	0.298438
28 	25    	0.243094 	0.132812  	0.39375 
29 	25    	0.254813 	0.180469  	0.405469
30 	25    	0.238375 	0.0679687 	0.360938
31 	25    	0.244531 	0.14375   	0.386719
32 	25    	0.250281 	0.174219  	0.383594
33 	25    	0.253469 	0.142969  	0.372656
34 	25    	0.250531 	0.136719  	0.329688
35 	25    	0.242094 	0.0578125 	0.375   
36 	25    	0.257    	0.148438  	0.350781
37 	25    	0.261469 	0.135156  	0.4     
38 	25    	0.2775   	0.154687  	0.385938
39 	25    	0.272156 	0.199219  	0.433594
40 	25    	0.260531 	0.160938  	0.376563
41 	25    	0.275781 	0.178125  	0.4     
42 	25    	0.251125 	0.147656  	0.414062
43 	25    	0.305906 	0.142969  	0.519531
44 	25    	0.293656 	0.211719  	0.438281
45 	25    	0.278562 	0.15625   	0.398438
46 	25    	0.266719 	0.153906  	0.432813
47 	25    	0.258219 	0.149219  	0.364844
48 	25    	0.280625 	0.196094  	0.420312
49 	25    	0.259531 	0.176563  	0.359375
50 	25    	0.29775  	0.139844  	0.421875
51 	25    	0.277969 	0.146094  	0.477344
52 	25    	0.262531 	0.164844  	0.405469
53 	25    	0.269375 	0.152344  	0.432813
54 	25    	0.303687 	0.166406  	0.473437
55 	25    	0.277031 	0.15      	0.411719
56 	25    	0.288062 	0.146094  	0.457812
57 	25    	0.283719 	0.19375   	0.375   
58 	25    	0.30075  	0.196875  	0.403906
59 	25    	0.284563 	0.185156  	0.442187
60 	25    	0.30175  	0.210156  	0.402344
61 	25    	0.300406 	0.160156  	0.407031
62 	25    	0.264594 	0.15      	0.36875 
63 	25    	0.287125 	0.169531  	0.414062
64 	25    	0.274594 	0.180469  	0.442187
65 	25    	0.277281 	0.11875   	0.394531
66 	25    	0.287563 	0.170312  	0.39375 
67 	25    	0.273469 	0.1375    	0.405469
68 	25    	0.284219 	0.180469  	0.449219
69 	25    	0.2775   	0.169531  	0.388281
70 	25    	0.284031 	0.185156  	0.43125 
71 	25    	0.282531 	0.195312  	0.4125  
72 	25    	0.302719 	0.164062  	0.434375
