gen	nevals	avg    	min     	max    
1  	10    	0.71642	-13.231 	18.4597
2  	10    	3.57385	-14.6982	18.0781
3  	10    	10.0373	-7.79443	40.5625
4  	10    	10.3412	6.27637 	19.8687
5  	10    	11.9051	6.04639 	31.2163
6  	10    	21.1834	9.26831 	43.0896
7  	10    	19.0658	6.20264 	50.7478
8  	10    	13.0443	6.56543 	38.0042
9  	10    	22.7544	7.86499 	59.0164
10 	10    	23.06  	11.1021 	49.5044
11 	10    	28.224 	10.7588 	103.273
12 	10    	26.3692	12.6814 	63.5718
13 	10    	26.7674	11.0327 	64.6426
14 	10    	23.1777	8.82593 	62.1033
15 	10    	28.4977	11.4758 	52.9263
16 	10    	33.1126	10.2292 	53.7837
17 	10    	23.5511	11.4976 	46.0269
18 	10    	35.2259	9.23999 	91.2341
19 	10    	33.0108	11.2847 	64.6978
20 	10    	37.2053	12.7212 	94.7205
21 	10    	33.46  	10.8958 	88.4346
22 	10    	32.8543	13.1099 	77.5952
23 	10    	38.6566	13.708  	95.6165
24 	10    	44.1025	14.9258 	102.245
25 	10    	30.5936	11.3857 	82.7795
26 	10    	31.6525	13.5681 	52.3914
27 	10    	55.6166	25.54   	90.5156
28 	10    	37.2408	17.2158 	81.5913
29 	10    	32.0313	11.7407 	60.2556
30 	10    	34.3813	15.1382 	67.9204
31 	10    	40.5912	17.8696 	86.1313
32 	10    	41.1426	24.4998 	81.4626
33 	10    	49.0614	17.6145 	112.098
34 	10    	41.2594	19.9629 	98.344 
35 	10    	49.3703	15.8691 	91.7039
36 	10    	41.546 	15.7817 	105.75 
37 	10    	48.0044	20.845  	113.579
38 	10    	49.8915	19.6221 	104.244
39 	10    	52.4117	21.3079 	120.513
40 	10    	55.2491	31.2341 	94.2896
41 	10    	35.9722	18.7847 	61.6309
42 	10    	54.995 	19.7085 	101.794
43 	10    	49.0209	14.9111 	76.856 
44 	10    	48.2235	23.1987 	93.6697
45 	10    	44.4533	13.8398 	80.8135
46 	10    	45.9569	18.0872 	119.218
47 	10    	50.513 	16.8196 	87.9065
48 	10    	48.0042	19.5386 	100.904
49 	10    	54.2213	26.4382 	108.832
50 	10    	50.0599	20.9138 	79.1833
51 	10    	46.7409	17.6775 	77.804 
52 	10    	45.4057	16.0144 	86.3284
53 	10    	43.073 	20.8813 	70.3301
54 	10    	37.5887	16.9585 	75.9873
55 	10    	51.7253	17.439  	117.903
56 	10    	30.6523	18.8975 	54.8223
57 	10    	45.8734	19.0945 	124.307
58 	10    	41.5255	24.9788 	61.3848
59 	10    	41.7032	21.6184 	63.1377
60 	10    	54.7151	14.0454 	96.1038
61 	10    	41.9848	18.5835 	114.428
62 	10    	43.8695	21.5449 	75.8423
63 	10    	54.0628	23.6838 	116.777
64 	10    	24.9496	12.4863 	45.9165
65 	10    	39.2272	18.4365 	63.3481
66 	10    	49.3991	19.3438 	107.876
67 	10    	46.0524	20.042  	102.307
68 	10    	32.7147	18.2822 	74.97  
69 	10    	36.9483	13.9543 	58.1589
70 	10    	54.2676	22.6472 	124.342
71 	10    	59.864 	21.1865 	134.167
72 	10    	42.324 	21.5205 	110.631
73 	10    	61.2454	21.0845 	122.577
74 	10    	57.2478	15.8394 	123.104
75 	10    	55.1747	24.4751 	141.252
76 	10    	47.3671	15.4116 	113.342
77 	10    	36.2972	14.9084 	75.1975
78 	10    	66.0352	22.7014 	118.235
79 	10    	52.804 	28.6367 	119.14 
80 	10    	53.4268	26.7161 	108.384
81 	10    	53.6693	33.7168 	128.143
82 	10    	34.57  	21.1382 	56.8733
83 	10    	66.6562	19.0103 	150.799
84 	10    	37.7461	18.9829 	128.154
85 	10    	79.3564	33.7144 	172.337
86 	10    	39.9136	24.7632 	70.9146
87 	10    	78.9544	25.8977 	167.4  
88 	10    	39.8709	20.7122 	105.391
89 	10    	53.2116	18.0894 	134.698
90 	10    	39.9007	21.6125 	94.0144
91 	10    	58.5216	19.7268 	146.732
92 	10    	63.962 	37.6626 	107.997
93 	10    	72.2497	15.4985 	157.91 
94 	10    	69.0797	23.0347 	152.877
95 	10    	39.1179	17.6538 	55.7019
96 	10    	53.1956	21.4868 	146.035
97 	10    	64.8441	14.4915 	144.615
98 	10    	54.2917	19.4302 	141.854
99 	10    	44.2418	20.9512 	108.169
100	10    	41.0003	21.8818 	140.593
101	10    	68.3945	21.5366 	156.679
102	10    	46.0414	23.7314 	86.8777
103	10    	57.9199	21.6572 	156.208
104	10    	72.119 	-10.9224	148.311
105	10    	56.5711	-12.2244	127.418
106	10    	41.9769	-20.2141	121.887
107	10    	74.4337	30.5359 	127.521
108	10    	81.8597	35.6401 	129.58 
109	10    	86.4419	27.7957 	131.324
110	10    	90.2023	26.8135 	164.177
111	10    	54.6256	30.0227 	134.333
112	10    	47.2211	20.3357 	117.562
113	10    	59.2443	26.6692 	134.828
114	10    	61.358 	15.4304 	129.757
115	10    	32.4367	18.4592 	69.6572
116	10    	43.4581	26.416  	103.783
117	10    	58.5122	19.0457 	154.825
118	10    	71.3664	25.0479 	166.835
119	10    	74.6336	19.8628 	162.702
120	10    	65.0851	32.0862 	141.746
121	10    	89.7794	28.2068 	143.625
122	10    	38.3531	21.4746 	70.9143
123	10    	37.4665	14.5088 	97.5071
124	10    	42.7021	17.4551 	113.333
125	10    	52.7885	23.0999 	98.4146
126	10    	64.948 	21.9211 	126.894
127	10    	75.4738	27.2844 	155.122
128	10    	81.9798	19.0586 	150.783
129	10    	52.5855	19.4326 	96.2771
130	10    	53.3112	23.865  	134.208
131	10    	72.9097	18.6179 	140.93 
132	10    	99.5485	12.1226 	212.924
133	10    	74.9847	18.6204 	215.71 
134	10    	84.3444	22.4082 	162.499
135	10    	89.7326	16.063  	183.822
136	10    	75.419 	28.5657 	153.316
137	10    	74.2596	32.4688 	181.217
138	10    	81.6032	29.5789 	171.457
139	10    	64.3241	27.2188 	123.985
140	10    	62.1119	35.8599 	151.977
141	10    	57.5235	19.322  	178.249
142	10    	53.7571	26.7627 	108.047
143	10    	72.4984	21.521  	173.481
144	10    	84.0665	33.4321 	155.96 
145	10    	62.0635	25.2678 	120.032
146	10    	83.0662	28.9963 	151.942
147	10    	77.0527	39.8342 	123.956
148	10    	82.0623	41.5259 	145.991
149	10    	82.1132	21.4216 	183.362
150	10    	65.5224	33.5593 	107.347
151	10    	40.5309	23.2993 	76.5591
152	10    	72.5653	47.343  	143.829
153	10    	59.7329	21.6821 	151.76 
154	10    	80.9404	22.9766 	172.802
155	10    	79.7716	34.6096 	181.272
156	10    	71.5962	30.8064 	180.091
157	10    	55.8443	31.7007 	90.0222
158	10    	88.4098	29.863  	172.579
159	10    	94.1587	30.4651 	201.329
160	10    	62.5375	29.3098 	156.466
161	10    	85.3467	29.8247 	196.459
162	10    	64.4268	31.8699 	140.993
163	10    	62.1441	22.217  	141.65 
164	10    	61.935 	31.5845 	145.741
165	10    	90.9011	31.3809 	162.119
166	10    	87.6108	30.3687 	142.764
167	10    	73.0277	39.6414 	127.474
168	10    	99.8766	25.6731 	160.195
169	10    	116.792	33.4683 	221.159
170	10    	94.8084	33.0396 	169.096
171	10    	76.2886	19.134  	182.283
172	10    	85.7076	34.0068 	203.682
173	10    	68.7946	20.0132 	198.177
174	10    	85.2005	27.4685 	188.19 
175	10    	114.08 	27.4036 	239.665
176	10    	81.1111	27.5642 	159.471
177	10    	94.6128	24.7764 	191.163
178	10    	148.371	29.2769 	245.319
179	10    	118.089	44.2415 	213.008
180	10    	126.727	21.8616 	214.216
181	10    	85.3168	30.7227 	198.824
182	10    	128.045	34.0271 	233.608
183	10    	99.4407	60.4448 	142.878
184	10    	74.0998	27.3103 	191.437
185	10    	111.115	43.3354 	200.017
186	10    	82.197 	46.7312 	147.068
187	10    	74.0118	22.3674 	167.043
188	10    	124.827	42.7395 	191.449
189	10    	131.128	26.6814 	230.766
190	10    	96.881 	23.2959 	208.266
191	10    	102.126	41.9226 	191.038
192	10    	100.836	41.7898 	227.456
193	10    	101.761	29.2253 	181.487
194	10    	110.682	31.3877 	195.456
195	10    	111.937	29.2676 	151.172
196	10    	99.7933	45.0789 	178.864
197	10    	85.9747	22.8662 	182.28 
198	10    	92.9957	19.6873 	238.623
199	10    	122.39 	24.7332 	178.65 
200	10    	103.332	38.1616 	177.438
201	10    	111.972	20.2109 	240.701
202	10    	92.3234	49.5916 	155.736
203	10    	121.864	40.8728 	255.36 
204	10    	109.093	42.8115 	184.256
205	10    	120.966	25.1541 	267.846
206	10    	116.313	34.8823 	191.09 
207	10    	120.865	28.3149 	235.853
208	10    	88.6104	31.4204 	157.691
209	10    	108.49 	33.7468 	189.684
210	10    	114.81 	22.7749 	252.231
211	10    	135.197	100.029 	169.145
212	10    	150.015	29.7412 	252.173
213	10    	82.1068	24.8948 	150.359
214	10    	131.624	36.1174 	192.24 
215	10    	106.522	44.6216 	193.694
216	10    	128.623	46.0217 	240.544
217	10    	86.1223	21.5889 	165.997
218	10    	85.8234	24.4858 	255.365
219	10    	113.313	18.5454 	234.404
220	10    	89.1996	26.0825 	172.021
221	10    	92.1658	22.7715 	258.178
222	10    	93.6723	27.9712 	249.554
223	10    	126.972	38.6755 	267.528
224	10    	78.5594	19.4531 	162.054
225	10    	104.223	23.9128 	206.094
226	10    	99.3932	29.8774 	196.127
227	10    	109.713	26.7417 	255.857
228	10    	117.227	25.2214 	198.995
229	10    	131.891	26.0369 	200.162
230	10    	72.4748	22.0942 	189.635
231	10    	112.1  	26.0159 	226.526
232	10    	111.392	-8.75977	180.563
233	10    	116.643	22.0718 	214.099
234	10    	87.5301	20.0713 	162.024
235	10    	98.9666	28.991  	192.165
236	10    	81.5359	22.6172 	155.683
237	10    	84.2854	20.5645 	151.655
238	10    	107.4  	20.2998 	204.505
239	10    	95.502 	21.3479 	188.563
240	10    	91.7306	20.011  	168.233
241	10    	100.328	18.1604 	198.654
242	10    	76.3253	20.1504 	177.553
243	10    	116.648	44.5793 	199.017
244	10    	102.268	25.0176 	167.545
245	10    	88.3625	24.5095 	173.441
246	10    	147.245	64.0325 	274.525
247	10    	90.2942	25.5098 	177.586
248	10    	100.167	20.8123 	163.68 
249	10    	113.511	22.2378 	169.676
250	10    	97.242 	34.1692 	192.954
251	10    	99.5877	21.6616 	198.312
252	10    	75.7379	25.7371 	180.843
253	10    	121.22 	19.0093 	258.801
254	10    	123.037	24.0181 	257.572
255	10    	107.343	24.0103 	196.965
256	10    	101.923	35.8042 	198.818
257	10    	98.345 	23.5471 	163.979
258	10    	99.825 	24.7324 	191.513
259	10    	106.781	25.9175 	251.149
260	10    	125.582	38.1277 	264.005
261	10    	99.4709	32.4861 	175.208
262	10    	92.9191	21.7642 	237.202
263	10    	115.413	24.2092 	194.811
264	10    	85.8529	20.865  	179.601
265	10    	100.703	28.7048 	175.981
266	10    	123.862	21.9045 	260.603
267	10    	121.56 	32.9001 	266.097
268	10    	124.41 	26.1357 	255.012
269	10    	111.725	20.5576 	200.571
270	10    	118.569	20.9785 	281.153
271	10    	102.95 	22.8281 	242.426
272	10    	135.023	36.7363 	242.653
273	10    	122.267	18.6414 	236.018
274	10    	144.86 	34.2725 	250.569
275	10    	81.8075	23.2234 	234.764
276	10    	72.8795	24.2288 	197.335
277	10    	109.299	26.4868 	180.399
278	10    	145.888	31.0002 	234.433
279	10    	109.122	19.1868 	231.976
280	10    	125.157	20.6609 	235.95 
281	10    	137.535	27.4485 	238.993
282	10    	165.5  	20.6692 	239.995
283	10    	157.961	32.8191 	239.332
284	10    	92.7717	18.4385 	224.827
285	10    	132.261	25.6531 	253.352
286	10    	101.444	25.2583 	180.694
287	10    	100    	21.2139 	217.734
288	10    	95.1498	20.9058 	193.071
289	10    	118.381	28.5034 	170.867
290	10    	130.684	19.4043 	242.414
291	10    	88.9733	17.6428 	231.033
292	10    	98.6348	17.8359 	199.508
293	10    	116.213	32.0278 	230.793
294	10    	110.297	21.6335 	211.064
295	10    	131.34 	20.8308 	258.359
296	10    	85.4273	17.1289 	203.671
297	10    	163.13 	21.4014 	250.086
298	10    	95.8727	19.7212 	245.659
299	10    	148.957	21.7764 	251.039
300	10    	118.112	27.4509 	208.058
301	10    	155.727	39.4934 	243.514
302	10    	114.488	32.3892 	256.053
303	10    	111.251	29.5569 	232.935
304	10    	80.7169	25.0615 	230.18 
305	10    	89.2279	19.929  	190.495
306	10    	113.824	29.8025 	223.636
307	10    	142.072	18.5205 	225.948
308	10    	73.145 	15.4143 	171.527
309	10    	103.057	31.0774 	230.296
310	10    	130.521	41.3064 	238.24 
311	10    	112.646	27.6431 	193.581
312	10    	158.986	31.7986 	227.364
313	10    	152.552	50.7361 	227.296
314	10    	146.87 	54.1702 	227.274
315	10    	93.2159	36.0313 	160.575
316	10    	136.641	31.1196 	242.03 
317	10    	105.925	20.8433 	181.99 
318	10    	144.627	52.4863 	236.941
319	10    	118.819	26.3298 	236.781
320	10    	126.933	28.9834 	236.829
321	10    	82.7616	26.1938 	193.015
322	10    	149.987	33.3921 	268.927
323	10    	139.478	45.135  	203.828
324	10    	146.328	36.7725 	220.338
325	10    	89.2161	23.7158 	237.326
326	10    	135.204	36.5098 	238.328
327	10    	147.323	29.4353 	238.68 
328	10    	164.782	63.8215 	223.134
329	10    	111.239	23.8232 	246.426
330	10    	111.897	26.7075 	237.188
331	10    	120.043	22.3323 	240.453
332	10    	109.289	26.2717 	231.206
333	10    	106.783	27.3896 	239.807
334	10    	123.342	33.0454 	227.685
335	10    	135.995	26.7844 	193.5  
336	10    	88.2798	-53.4446	228.735
337	10    	149.252	21.9473 	215.651
338	10    	132.287	-15.1016	224.082
339	10    	109.633	25.0027 	199.86 
340	10    	142.496	46.6079 	246.823
341	10    	120.691	24.4653 	211.487
342	10    	167.234	91.6089 	226.575
343	10    	160.641	28.3313 	228.491
344	10    	125.616	39.3284 	175.255
345	10    	147.726	37.688  	217.207
346	10    	157.875	34.468  	230.753
347	10    	116.938	36.0916 	228.462
348	10    	142.549	24.8386 	233.87 
349	10    	173.302	48.844  	257.764
350	10    	79.2121	-201.739	218.055
351	10    	131.76 	21.2549 	248.462
352	10    	169.664	36.1074 	224.954
353	10    	136.596	28.0454 	226.815
354	10    	170.414	62.7336 	249.174
355	10    	149.195	36.0134 	226.456
356	10    	125.073	35.2273 	205.286
