gen 	nevals	avg    	min   	max   
0   	50    	1336.36	644.8 	2586  
1   	50    	1465.76	691.2 	3123.2
2   	50    	1752.09	720.8 	3668.4
3   	50    	1993.52	746.8 	3437.6
4   	50    	2180.3 	698.8 	4722.4
5   	50    	2359.26	864.4 	3915.2
6   	50    	2449.14	750   	4671.2
7   	50    	2534.28	714   	4118.8
8   	50    	2773.51	817.2 	4583.6
9   	50    	2852.56	1362  	4871.2
10  	50    	2923.27	1180  	4280.4
11  	50    	3016.61	1792.8	4695.6
12  	50    	3081.4 	2154.4	4657.6
13  	50    	3188.99	2002  	4638.8
14  	50    	3010.28	1824  	5148.4
15  	50    	3179.06	1865.2	4464  
16  	50    	3379.43	2126  	4726  
17  	50    	3217.83	1399.2	4473.2
18  	50    	3253.94	1777.2	5056  
19  	50    	3182.25	1801.2	4610.4
20  	50    	3189.75	1938  	5170.8
21  	50    	3254.26	1486.8	4817.6
22  	50    	3315.22	2134  	5846  
23  	50    	3490.27	1892  	5014.8
24  	50    	3572.38	2518  	6050  
25  	50    	3491.62	2087.2	5258  
26  	50    	3528.79	2404  	4943.2
27  	50    	3445.15	2198  	5051.6
28  	50    	3487.32	1994.4	5143.2
29  	50    	3360.38	2144  	4290  
30  	50    	3461.2 	2224.8	5071.6
31  	50    	3508.4 	2248  	5317.6
32  	50    	3577.21	2480.8	4985.6
33  	50    	3423.68	2240  	5191.2
34  	50    	3616.38	2494  	5554  
35  	50    	3671.88	2296.8	5174  
36  	50    	3563.22	2214  	5154  
37  	50    	3480.58	2186  	4958  
38  	50    	3431.21	1982  	4912  
39  	50    	3644.61	2404.4	5320.8
40  	50    	3444.96	1852.8	5011.2
41  	50    	3556.77	2513.6	5155.6
42  	50    	3447.34	2243.2	5006  
43  	50    	3318.21	1549.2	4618.4
44  	50    	3611.86	1474  	5878.8
45  	50    	3576.3 	2154.8	4424.8
46  	50    	3795.66	2166  	5187.6
47  	50    	3551.57	2298  	5091.6
48  	50    	3600.32	2040.4	5207.6
49  	50    	3555.26	2438.8	5066.8
50  	50    	3729.26	2472  	5377.6
51  	50    	3713.37	2412.8	5444.4
52  	50    	3710.05	1385.2	5319.2
53  	50    	3744.7 	2569.6	4888  
54  	50    	3755.46	2852  	5689.6
55  	50    	3863.47	2515.6	5705.6
56  	50    	3585.27	2106.4	5226.8
57  	50    	3585.89	2341.2	5292  
58  	50    	3608.89	1915.6	6318  
59  	50    	3702.5 	1985.2	5382.8
60  	50    	3598.01	2075.2	5362.8
61  	50    	3531.46	2120.4	5257.2
62  	50    	3507.97	2519.6	5058.4
63  	50    	3421.1 	1564.4	5142.8
64  	50    	3591.92	2150  	5625.2
65  	50    	3517.06	2128.8	5068.8
66  	50    	3527.93	1500.8	4724.8
67  	50    	3583.93	2639.6	5649.2
68  	50    	3590.7 	2293.2	5798.4
69  	50    	3554.5 	2365.6	4888.4
70  	50    	3794.89	1978  	5436  
71  	50    	3601.65	2449.6	4826.8
72  	50    	3496.7 	2189.2	4925.6
73  	50    	3492.99	1995.2	4597.6
74  	50    	3580.13	2162.8	4808  
75  	50    	3607.73	1533.6	5195.2
76  	50    	3545.17	2161.2	5561.6
77  	50    	3672.58	1931.6	5614.8
78  	50    	3711.31	2319.2	5307.6
79  	50    	3591.82	2526  	5108.4
80  	50    	3524.4 	1159.6	5504  
81  	50    	3472.27	1711.6	5447.6
82  	50    	3774.18	2447.6	4962  
83  	50    	3636.44	2251.6	5117.6
84  	50    	3703.68	2104.4	5593.2
85  	50    	3647.86	1390.4	5298.4
86  	50    	3912.07	2386.8	5307.2
87  	50    	3651.28	1787.6	5440.8
88  	50    	3932.7 	2377.6	5584.4
89  	50    	3800.02	1859.6	5644.4
90  	50    	3665.08	2431.2	4920.8
91  	50    	3895.24	1870.8	5576.8
92  	50    	3678.34	2244.4	4841.2
93  	50    	3674.27	884.4 	5489.6
94  	50    	3739.27	2105.6	5412.8
95  	50    	3718.02	2800.4	5141.2
96  	50    	3792.45	2637.2	5270.8
97  	50    	3615.64	2092.4	4858.4
98  	50    	3612.4 	2029.2	5438  
99  	50    	3713.61	2608  	4674.4
100 	50    	3677.34	2220  	4851.2
101 	50    	3716.42	2318.4	4926  
102 	50    	3645.91	2161.6	5066.4
103 	50    	3787.52	2099.2	6293.2
104 	50    	3748.9 	2296.8	5104.4
105 	50    	3870.06	2267.6	5870.8
106 	50    	3870.79	1962.4	4891.2
107 	50    	3800.07	2133.2	5157.2
108 	50    	3856.17	2403.6	4954  
109 	50    	3657.12	2136  	5294.8
110 	50    	3725.32	1147.2	5281.6
111 	50    	3736.5 	2278.8	5299.2
112 	50    	3559.88	2269.6	4612.4
113 	50    	3880.9 	2056.4	5283.2
114 	50    	3662.78	2484.8	5062.8
115 	50    	3713.67	2317.6	6762.8
116 	50    	3799.88	2148  	5885.2
117 	50    	3784.03	2352.4	6088.4
118 	50    	3525.91	2380.4	5134  
119 	50    	3730.34	2324  	5298.4
120 	50    	3693.91	1585.6	5686.4
121 	50    	3746.64	2451.2	5640.4
122 	50    	3701.21	1802.8	5976.8
123 	50    	3897.06	2545.2	5361.2
124 	50    	3675.47	1230  	5109.6
125 	50    	3576.5 	2178.8	4982.8
126 	50    	3698.31	1542.4	5077.2
127 	50    	3740.09	2616  	5107.2
128 	50    	3884.26	2837.2	5384.8
129 	50    	3806.6 	1712.4	5581.2
130 	50    	3725.79	2006.8	5022  
131 	50    	3911.7 	2510.8	5336.8
132 	50    	3622.1 	2027.6	5656.4
133 	50    	3707.86	1942.4	5814.4
134 	50    	3717.37	1889.6	5341.2
135 	50    	3637.7 	2227.2	4847.2
136 	50    	3528.38	2151.2	5384.4
137 	50    	3712.69	2487.2	5297.6
138 	50    	3488.55	1217.6	5224.4
139 	50    	3638.19	2310  	5423.6
140 	50    	3615.29	1161.2	5161.6
141 	50    	3587.22	1759.2	5118  
142 	50    	3597.66	1222.4	4975.6
143 	50    	3436.18	1504.8	4707.6
144 	50    	3667.9 	1855.6	5638.4
145 	50    	3680.72	2064.4	5042  
146 	50    	3634.33	2073.6	4997.6
147 	50    	3651.89	2156.4	4845.2
148 	50    	3571.74	2157.6	4868.8
149 	50    	3439.05	1235.2	4948  
150 	50    	3471.11	1597.6	5047.2
151 	50    	3592.58	2491.2	5338.8
152 	50    	3729.52	2180.4	5062  
153 	50    	3555.36	1854.4	5235.2
154 	50    	3576.57	2020  	5067.6
155 	50    	3536.37	2130.4	5060.8
156 	50    	3870.17	2337.6	6182  
157 	50    	3880.8 	2843.6	5081.2
158 	50    	3669.03	2278.8	5168.4
159 	50    	3618.72	1816  	5440.8
160 	50    	3729.38	1127.2	5525.6
161 	50    	3607.98	1849.2	4616.8
162 	50    	3877.52	2694.8	6083.6
163 	50    	3729.63	2921.2	5124.8
164 	50    	3597.86	1705.2	5138.8
165 	50    	3594.18	2548.8	5915.6
166 	50    	3711.98	1982.4	5194  
167 	50    	3583.8 	2552.4	4785.2
168 	50    	3835.28	2388.4	5268.4
169 	50    	3851.62	2470.4	4817.2
170 	50    	3699.48	1440  	5870.4
171 	50    	3823.97	2018.4	5237.6
172 	50    	3821.61	2621.2	5169.2
173 	50    	3664.22	2485.6	5548.4
174 	50    	3831.23	2123.2	5099.6
175 	50    	3871.94	2615.6	6517.2
176 	50    	3698.2 	2588.8	5612.8
177 	50    	3753.29	2540  	5400.4
178 	50    	3790.23	2107.6	6137.2
179 	50    	3735.53	2408.8	5264.8
180 	50    	3852.39	2193.2	5523.2
181 	50    	3895.5 	2510.4	5374.4
182 	50    	3962.47	2429.6	5299.6
183 	50    	3741.74	844.4 	4971.6
184 	50    	3964.01	2504.8	6543.2
185 	50    	4023.34	2002.8	5848.4
186 	50    	3963.73	2633.6	5490.4
187 	50    	3865.82	2442.8	5794.4
