gen 	nevals	avg   	min  	max  
0   	20    	79.8  	51.8 	103  
1   	20    	84.37 	60   	101.4
2   	20    	94.4  	77   	120.2
3   	20    	96.84 	80.2 	114.8
4   	20    	98.66 	63.8 	114.4
5   	20    	101.37	78.8 	112.8
6   	20    	102.86	79.4 	123  
7   	20    	102.16	91.6 	113.2
8   	20    	106.47	81.2 	126  
9   	20    	107.02	91.2 	127.8
10  	20    	108.22	92.6 	121.6
11  	20    	109.73	95.8 	119.8
12  	20    	113.03	103.4	126.4
13  	20    	109.85	99.2 	122.4
14  	20    	110.83	95   	124.2
15  	20    	107.13	91.4 	121  
16  	20    	108.92	97.4 	117.8
17  	20    	110.89	97   	123.8
18  	20    	111.74	96.8 	127.8
19  	20    	109.64	95.2 	124.6
20  	20    	113.31	97.6 	137  
21  	20    	113.16	101  	125.8
22  	20    	112.15	92   	137.6
23  	20    	113.36	99.8 	128.8
24  	20    	116.28	105.4	127  
25  	20    	116.46	99.4 	132.4
26  	20    	114.44	93   	143.8
27  	20    	114.45	103  	130.4
28  	20    	116.69	106.2	129  
29  	20    	112.43	97   	131.8
30  	20    	115.04	101  	137  
31  	20    	111.22	95.6 	131.8
32  	20    	115.88	103  	135.2
33  	20    	115.64	96.2 	125.8
34  	20    	114.71	99.4 	135.2
35  	20    	118.77	100  	139.2
36  	20    	112.82	99.2 	128.2
37  	20    	118.22	94.2 	138.8
38  	20    	117.68	106  	141.2
39  	20    	115.18	97.8 	128.8
40  	20    	117.46	104.4	131.8
41  	20    	114.17	93.2 	133.2
42  	20    	115.07	104.8	134.4
43  	20    	115.74	91   	132.4
44  	20    	115.01	100.2	132  
45  	20    	115.6 	98.4 	127.2
46  	20    	116.74	104  	127.4
47  	20    	112.14	104.6	123.8
48  	20    	117.43	103  	136.4
49  	20    	115.21	95.6 	132  
50  	20    	111.43	91.2 	123  
51  	20    	112.04	93   	122.8
52  	20    	112.46	96.2 	123.2
53  	20    	114.98	105.4	127.4
54  	20    	114.81	103.4	123.4
55  	20    	116.97	103.2	131.2
56  	20    	115.29	98.4 	130.4
57  	20    	114.51	97.4 	132.6
58  	20    	116.89	101.2	136.8
59  	20    	118.21	105.6	135.4
