gen	nevals	avg     	min       	max     
0  	20    	0.165586	0         	0.660937
1  	20    	0.323594	0         	0.894531
2  	20    	0.507109	0         	0.970312
3  	20    	0.630195	0.0226563 	0.924219
4  	20    	0.821523	0.33125   	1       
5  	20    	0.858281	0.700781  	1       
6  	20    	0.833047	0.3125    	1       
7  	20    	0.858555	0.00234375	1       
8  	20    	0.869883	0.633594  	1       
9  	20    	0.875781	0.532031  	1       
10 	20    	0.848867	0.0101562 	1       
11 	20    	0.860508	0.0117188 	1       
12 	20    	0.834414	0.296875  	1       
13 	20    	0.791133	0.084375  	0.96875 
14 	20    	0.866992	0.721094  	1       
15 	20    	0.899258	0.710156  	1       
16 	20    	0.820586	0.128125  	1       
17 	20    	0.869766	0.617969  	1       
18 	20    	0.876758	0.709375  	1       
19 	20    	0.747422	0.0289063 	1       
20 	20    	0.840977	0.588281  	1       
21 	20    	0.8625  	0.697656  	1       
22 	20    	0.841797	0.432813  	1       
23 	20    	0.880742	0.704687  	1       
24 	20    	0.865078	0.719531  	1       
25 	20    	0.89125 	0.660937  	1       
26 	20    	0.881367	0.7625    	1       
27 	20    	0.917188	0.779688  	1       
28 	20    	0.866094	0.0015625 	1       
29 	20    	0.908086	0.775781  	1       
30 	20    	0.888047	0.638281  	0.985156
31 	20    	0.903008	0.739062  	1       
32 	20    	0.899727	0.784375  	1       
33 	20    	0.898359	0.354688  	1       
34 	20    	0.918828	0.672656  	1       
35 	20    	0.866367	0.378906  	1       
36 	20    	0.918477	0.775781  	1       
37 	20    	0.888477	0.0617188 	1       
38 	20    	0.919727	0.770312  	1       
39 	20    	0.916445	0.716406  	1       
40 	20    	0.883008	0.314844  	1       
41 	20    	0.898945	0.503125  	1       
42 	20    	0.941289	0.814062  	1       
43 	20    	0.890859	0.0609375 	1       
44 	20    	0.91207 	0.734375  	1       
45 	20    	0.894688	0.610156  	1       
46 	20    	0.908672	0.753906  	1       
47 	20    	0.924687	0.785937  	1       
48 	20    	0.881367	0.0015625 	1       
49 	20    	0.906094	0.711719  	1       
50 	20    	0.862891	0.39375   	1       
51 	20    	0.920586	0.763281  	1       
52 	20    	0.908906	0.642187  	1       
53 	20    	0.884687	0.584375  	1       
54 	20    	0.896406	0.628125  	1       
55 	20    	0.876992	0.726562  	1       
56 	20    	0.901758	0.278125  	1       
57 	20    	0.910469	0.648438  	1       
58 	20    	0.85543 	0.124219  	1       
59 	20    	0.898867	0.642969  	1       
60 	20    	0.86457 	0.402344  	1       
61 	20    	0.926406	0.754687  	1       
62 	20    	0.892266	0.203906  	1       
63 	20    	0.929766	0.810938  	1       
64 	20    	0.891602	0.536719  	1       
65 	20    	0.939609	0.519531  	1       
66 	20    	0.919648	0.784375  	1       
67 	20    	0.939805	0.819531  	1       
68 	20    	0.948359	0.849219  	1       
69 	20    	0.881523	0.357812  	1       
70 	20    	0.893633	0.742969  	1       
71 	20    	0.909414	0.164844  	1       
72 	20    	0.928594	0.782031  	1       
73 	20    	0.955703	0.8       	1       
74 	20    	0.894922	0.478906  	1       
75 	20    	0.919258	0.663281  	1       
76 	20    	0.921484	0.757031  	1       
77 	20    	0.931602	0.798437  	1       
78 	20    	0.860781	0.249219  	1       
79 	20    	0.843789	0         	1       
80 	20    	0.946523	0.764844  	1       
81 	20    	0.924102	0.715625  	1       
82 	20    	0.947617	0.820312  	1       
83 	20    	0.945586	0.725781  	1       
84 	20    	0.942383	0.841406  	1       
85 	20    	0.883398	0.700781  	1       
86 	20    	0.938359	0.7625    	1       
87 	20    	0.936797	0.617188  	1       
88 	20    	0.933984	0.713281  	1       
89 	20    	0.913594	0.567187  	1       
90 	20    	0.894648	0.502344  	1       
91 	20    	0.927578	0.810156  	1       
92 	20    	0.898672	0.732813  	1       
93 	20    	0.92293 	0.809375  	1       
94 	20    	0.877812	0.183594  	1       
95 	20    	0.946992	0.74375   	1       
96 	20    	0.887852	0.605469  	1       
97 	20    	0.949336	0.799219  	1       
98 	20    	0.925   	0.663281  	1       
99 	20    	0.891758	0.220313  	1       
100	20    	0.949141	0.786719  	1       
101	20    	0.922227	0.757031  	1       
102	20    	0.918477	0.675781  	1       
103	20    	0.944922	0.777344  	1       
104	20    	0.927109	0.778125  	1       
105	20    	0.879453	0.107813  	1       
106	20    	0.860117	0.334375  	1       
107	20    	0.904609	0.508594  	1       
108	20    	0.919766	0.758594  	1       
109	20    	0.890312	0.522656  	1       
110	20    	0.849883	0.0179687 	1       
111	20    	0.927383	0.775     	1       
112	20    	0.933242	0.754687  	1       
113	20    	0.947344	0.835938  	1       
114	20    	0.899844	0.257812  	1       
115	20    	0.914727	0.80625   	1       
116	20    	0.92332 	0.774219  	1       
117	20    	0.917695	0.667969  	1       
118	20    	0.908281	0.750781  	1       
119	20    	0.917461	0.670313  	1       
120	20    	0.912813	0.730469  	1       
121	20    	0.925898	0.795313  	1       
122	20    	0.858438	0.0125    	1       
123	20    	0.908008	0.75625   	1       
124	20    	0.898047	0.729688  	1       
125	20    	0.959648	0.807813  	1       
126	20    	0.912227	0.76875   	1       
127	20    	0.949141	0.779688  	1       
128	20    	0.918945	0.707812  	1       
129	20    	0.87793 	0.003125  	1       
130	20    	0.854023	0.179688  	1       
131	20    	0.910937	0.684375  	1       
132	20    	0.913945	0.810938  	1       
133	20    	0.924648	0.742969  	1       
134	20    	0.884414	0.532812  	1       
135	20    	0.910469	0.741406  	1       
136	20    	0.849531	0.198437  	1       
137	20    	0.89418 	0.713281  	1       
138	20    	0.907383	0.596875  	1       
139	20    	0.921367	0.678125  	1       
140	20    	0.926367	0.73125   	1       
141	20    	0.930664	0.8       	1       
142	20    	0.914961	0.73125   	1       
143	20    	0.871719	0.653125  	1       
144	20    	0.931016	0.702344  	1       
145	20    	0.935586	0.785156  	1       
146	20    	0.863281	0.467187  	1       
147	20    	0.904531	0.696875  	1       
148	20    	0.923711	0.632812  	1       
149	20    	0.918828	0.70625   	1       
150	20    	0.897227	0.634375  	1       
151	20    	0.921289	0.724219  	1       
152	20    	0.924336	0.759375  	1       
153	20    	0.945391	0.771094  	1       
154	20    	0.879023	0.040625  	1       
155	20    	0.951328	0.846875  	1       
156	20    	0.893516	0.467969  	1       
157	20    	0.921563	0.489844  	1       
158	20    	0.930312	0.7125    	1       
159	20    	0.929336	0.809375  	1       
160	20    	0.947852	0.739062  	1       
161	20    	0.918711	0.653125  	1       
162	20    	0.942578	0.863281  	1       
163	20    	0.935352	0.742188  	1       
164	20    	0.885234	0.00078125	1       
165	20    	0.891328	0.0414063 	1       
166	20    	0.937539	0.775781  	1       
167	20    	0.91375 	0.632031  	1       
168	20    	0.909844	0.539062  	1       
169	20    	0.949844	0.79375   	1       
170	20    	0.930977	0.751562  	1       
171	20    	0.920664	0.7625    	1       
172	20    	0.916094	0.697656  	1       
173	20    	0.956758	0.825781  	1       
174	20    	0.924727	0.799219  	1       
175	20    	0.902227	0.74375   	1       
176	20    	0.825547	0.0359375 	1       
177	20    	0.953125	0.795313  	1       
178	20    	0.919453	0.747656  	1       
179	20    	0.925078	0.764844  	1       
180	20    	0.897539	0.401563  	1       
181	20    	0.913633	0.397656  	1       
182	20    	0.881641	0.451562  	1       
183	20    	0.922109	0.782812  	1       
184	20    	0.94875 	0.83125   	1       
185	20    	0.888633	0.349219  	1       
186	20    	0.904414	0.242969  	1       
187	20    	0.896445	0.429688  	1       
188	20    	0.922656	0.75625   	1       
189	20    	0.911523	0.779688  	1       
190	20    	0.922266	0.80625   	1       
191	20    	0.855547	0.0226563 	1       
192	20    	0.888945	0.346875  	1       
193	20    	0.91375 	0.749219  	1       
194	20    	0.820508	0.0492188 	1       
195	20    	0.890195	0.6375    	1       
196	20    	0.899844	0.173438  	1       
197	20    	0.900234	0.728906  	1       
198	20    	0.881914	0.122656  	1       
199	20    	0.920703	0.671875  	1       
200	20    	0.835938	0.0476562 	1       
201	20    	0.880352	0.396875  	1       
202	20    	0.903477	0.778125  	1       
203	20    	0.879844	0.517969  	1       
204	20    	0.897266	0.766406  	1       
205	20    	0.861992	0.20625   	1       
206	20    	0.932656	0.7875    	1       
207	20    	0.899609	0.7375    	1       
208	20    	0.922383	0.786719  	1       
209	20    	0.932773	0.68125   	1       
210	20    	0.940938	0.774219  	1       
211	20    	0.884727	0.757812  	1       
212	20    	0.886406	0.551562  	1       
213	20    	0.922422	0.767187  	1       
214	20    	0.888516	0.534375  	1       
215	20    	0.942695	0.839844  	1       
216	20    	0.931328	0.635938  	1       
217	20    	0.90625 	0.626562  	1       
218	20    	0.946484	0.782031  	1       
219	20    	0.957266	0.833594  	1       
220	20    	0.925703	0.346875  	1       
221	20    	0.929102	0.823438  	1       
222	20    	0.916719	0.748438  	1       
223	20    	0.943633	0.761719  	1       
224	20    	0.918984	0.563281  	1       
225	20    	0.929766	0.771094  	1       
226	20    	0.925625	0.8125    	1       
227	20    	0.879023	0.710156  	1       
228	20    	0.934766	0.8125    	1       
229	20    	0.911914	0.4       	1       
230	20    	0.917539	0.767969  	1       
231	20    	0.938594	0.746875  	1       
232	20    	0.959453	0.752344  	1       
233	20    	0.914102	0.0359375 	1       
234	20    	0.91875 	0.732031  	1       
235	20    	0.898008	0.142969  	1       
236	20    	0.918398	0.830469  	1       
237	20    	0.9325  	0.585938  	1       
238	20    	0.935547	0.686719  	1       
239	20    	0.927773	0.736719  	1       
240	20    	0.897422	0.330469  	1       
241	20    	0.875859	0.28125   	1       
242	20    	0.883438	0.0390625 	1       
243	20    	0.921914	0.383594  	1       
244	20    	0.909844	0.809375  	1       
245	20    	0.909531	0.740625  	1       
246	20    	0.897148	0.125781  	1       
247	20    	0.923203	0.725     	1       
248	20    	0.924375	0.814844  	1       
249	20    	0.87918 	0.0828125 	1       
250	20    	0.927461	0.742188  	1       
251	20    	0.911914	0.182812  	1       
252	20    	0.913164	0.0164062 	1       
253	20    	0.924414	0.7875    	1       
254	20    	0.894375	0.501562  	1       
255	20    	0.929922	0.819531  	1       
256	20    	0.897852	0.630469  	1       
257	20    	0.900664	0.659375  	1       
258	20    	0.921719	0.755469  	1       
259	20    	0.877539	0.514844  	1       
260	20    	0.903008	0.535156  	1       
261	20    	0.916563	0.773438  	1       
262	20    	0.91707 	0.760156  	1       
263	20    	0.934141	0.707812  	1       
264	20    	0.932813	0.766406  	1       
265	20    	0.940469	0.791406  	1       
266	20    	0.939375	0.755469  	1       
267	20    	0.936328	0.721875  	1       
268	20    	0.946797	0.807813  	1       
269	20    	0.91418 	0.675781  	1       
270	20    	0.946445	0.85      	1       
271	20    	0.93125 	0.790625  	1       
272	20    	0.930703	0.788281  	1       
273	20    	0.937461	0.811719  	1       
274	20    	0.90082 	0.63125   	1       
275	20    	0.919688	0.664062  	1       
276	20    	0.921094	0.682813  	1       
277	20    	0.935469	0.733594  	1       
278	20    	0.924414	0.732031  	1       
279	20    	0.955   	0.851562  	1       
280	20    	0.907227	0.81875   	1       
281	20    	0.916328	0.810156  	0.992969
282	20    	0.899648	0.452344  	1       
283	20    	0.927109	0.708594  	1       
284	20    	0.908945	0.738281  	1       
285	20    	0.928203	0.753906  	1       
286	20    	0.930469	0.635938  	1       
287	20    	0.939883	0.807031  	1       
288	20    	0.912344	0.535156  	1       
289	20    	0.916914	0.728906  	1       
290	20    	0.947188	0.823438  	1       
291	20    	0.943203	0.792969  	1       
292	20    	0.932852	0.857813  	1       
293	20    	0.939766	0.833594  	1       
294	20    	0.937227	0.828125  	1       
295	20    	0.937969	0.754687  	1       
296	20    	0.910977	0.432031  	1       
297	20    	0.925781	0.798437  	1       
298	20    	0.913594	0.0296875 	1       
299	20    	0.953359	0.827344  	1       
300	20    	0.914375	0.716406  	1       
301	20    	0.932891	0.717969  	1       
302	20    	0.946953	0.8125    	1       
303	20    	0.905586	0.289062  	1       
304	20    	0.951758	0.803906  	1       
305	20    	0.913828	0.692969  	1       
306	20    	0.890273	0.205469  	1       
307	20    	0.92707 	0.746094  	1       
308	20    	0.925547	0.766406  	1       
309	20    	0.891875	0.788281  	1       
310	20    	0.959023	0.860937  	1       
311	20    	0.919648	0.710156  	1       
312	20    	0.90707 	0.596875  	1       
313	20    	0.94418 	0.758594  	1       
314	20    	0.904766	0.730469  	1       
315	20    	0.933242	0.774219  	1       
316	20    	0.898516	0.578125  	1       
317	20    	0.929258	0.667969  	1       
318	20    	0.939805	0.792188  	1       
319	20    	0.923516	0.763281  	1       
320	20    	0.921133	0.81875   	1       
321	20    	0.943242	0.804688  	1       
322	20    	0.940625	0.847656  	1       
323	20    	0.932773	0.396094  	1       
324	20    	0.923047	0.782812  	1       
325	20    	0.927695	0.769531  	1       
326	20    	0.940352	0.796875  	1       
327	20    	0.952266	0.85625   	1       
328	20    	0.904922	0.674219  	1       
329	20    	0.940273	0.720312  	1       
330	20    	0.918711	0.683594  	1       
331	20    	0.915703	0.738281  	1       
332	20    	0.919766	0.747656  	1       
333	20    	0.929805	0.813281  	1       
334	20    	0.918555	0.700781  	1       
335	20    	0.922461	0.680469  	1       
336	20    	0.914336	0.697656  	1       
337	20    	0.874297	0.675781  	1       
338	20    	0.904844	0.640625  	1       
339	20    	0.860195	0.217187  	1       
340	20    	0.930703	0.705469  	1       
341	20    	0.927852	0.822656  	1       
342	20    	0.933203	0.809375  	1       
343	20    	0.921992	0.670313  	1       
344	20    	0.906563	0.734375  	1       
345	20    	0.91793 	0.677344  	1       
346	20    	0.900859	0.695312  	1       
347	20    	0.901445	0.600781  	1       
348	20    	0.943594	0.753125  	1       
349	20    	0.820977	0         	1       
350	20    	0.919883	0.75625   	1       
351	20    	0.907227	0.739062  	1       
352	20    	0.907031	0.757812  	1       
353	20    	0.932422	0.785937  	1       
354	20    	0.909297	0.786719  	1       
355	20    	0.907461	0.790625  	1       
356	20    	0.889062	0.775     	0.960938
357	20    	0.930625	0.770312  	1       
358	20    	0.895391	0.770312  	1       
359	20    	0.897656	0.725     	1       
360	20    	0.86793 	0         	1       
361	20    	0.939453	0.742188  	1       
362	20    	0.937773	0.7875    	1       
363	20    	0.902383	0.758594  	1       
364	20    	0.927578	0.685156  	1       
365	20    	0.900625	0.74375   	1       
366	20    	0.927266	0.763281  	1       
367	20    	0.936562	0.8       	1       
368	20    	0.925508	0.814062  	1       
369	20    	0.922617	0.803125  	1       
370	20    	0.919688	0.769531  	1       
371	20    	0.883203	0.675781  	1       
372	20    	0.88625 	0.103906  	1       
373	20    	0.919844	0.65625   	1       
374	20    	0.899219	0.274219  	1       
375	20    	0.933633	0.738281  	1       
376	20    	0.914883	0.792188  	1       
377	20    	0.931523	0.751562  	1       
378	20    	0.910664	0.753125  	1       
379	20    	0.909883	0.70625   	1       
380	20    	0.89457 	0.715625  	1       
381	20    	0.904297	0.769531  	1       
382	20    	0.856836	0.0828125 	1       
383	20    	0.904961	0.751562  	1       
384	20    	0.91    	0.746875  	1       
385	20    	0.923164	0.771094  	1       
386	20    	0.927109	0.714844  	1       
387	20    	0.91918 	0.857813  	1       
388	20    	0.928711	0.809375  	1       
389	20    	0.934648	0.748438  	1       
390	20    	0.914219	0.775     	1       
391	20    	0.93125 	0.819531  	1       
392	20    	0.891094	0.139062  	1       
393	20    	0.92125 	0.782812  	1       
394	20    	0.920078	0.717969  	1       
395	20    	0.922031	0.728906  	1       
396	20    	0.895156	0.682813  	1       
397	20    	0.928164	0.673437  	1       
398	20    	0.920859	0.771875  	1       
399	20    	0.937969	0.81875   	1       
400	20    	0.891445	0.675781  	1       
401	20    	0.945977	0.853906  	1       
402	20    	0.93332 	0.761719  	1       
403	20    	0.906406	0.736719  	1       
404	20    	0.904648	0.763281  	1       
405	20    	0.903008	0.732031  	1       
406	20    	0.93    	0.8125    	1       
407	20    	0.930977	0.682031  	1       
408	20    	0.915586	0.754687  	1       
409	20    	0.932539	0.830469  	1       
410	20    	0.922656	0.760938  	1       
411	20    	0.909531	0.767969  	1       
412	20    	0.897813	0.726562  	1       
413	20    	0.912148	0.532031  	1       
414	20    	0.89875 	0.682813  	1       
415	20    	0.929219	0.721875  	1       
416	20    	0.902852	0.7875    	1       
417	20    	0.944023	0.760156  	1       
418	20    	0.897617	0.766406  	1       
419	20    	0.902734	0.648438  	1       
420	20    	0.890117	0.717188  	1       
421	20    	0.870703	0.550781  	1       
422	20    	0.923008	0.696094  	1       
423	20    	0.914687	0.641406  	1       
424	20    	0.870586	0.705469  	1       
425	20    	0.91832 	0.782812  	1       
426	20    	0.888086	0.269531  	1       
427	20    	0.903008	0.757812  	1       
428	20    	0.937148	0.794531  	1       
429	20    	0.91125 	0.689062  	1       
430	20    	0.87707 	0.247656  	1       
431	20    	0.920195	0.757031  	1       
432	20    	0.93    	0.4       	1       
433	20    	0.931523	0.740625  	1       
434	20    	0.923203	0.759375  	1       
435	20    	0.937031	0.78125   	1       
436	20    	0.93375 	0.83125   	1       
437	20    	0.961289	0.782812  	1       
438	20    	0.904023	0.772656  	1       
439	20    	0.919453	0.667969  	1       
440	20    	0.938672	0.773438  	1       
441	20    	0.908594	0.689844  	1       
442	20    	0.852344	0.0523437 	1       
443	20    	0.917383	0.703906  	1       
444	20    	0.919961	0.770312  	1       
445	20    	0.954766	0.85      	1       
446	20    	0.917148	0.811719  	1       
447	20    	0.891641	0         	1       
448	20    	0.932734	0.715625  	1       
449	20    	0.922852	0.358594  	1       
450	20    	0.92668 	0.785937  	1       
451	20    	0.935898	0.828906  	1       
452	20    	0.947148	0.841406  	1       
453	20    	0.950469	0.879687  	1       
454	20    	0.931289	0.723437  	1       
455	20    	0.914141	0.402344  	1       
456	20    	0.908086	0.744531  	1       
457	20    	0.910234	0.775781  	1       
458	20    	0.909609	0.745313  	1       
459	20    	0.898281	0.596875  	1       
460	20    	0.92293 	0.746875  	1       
461	20    	0.95418 	0.784375  	1       
462	20    	0.898789	0         	1       
463	20    	0.929453	0.792969  	1       
464	20    	0.913516	0.592188  	1       
465	20    	0.937344	0.746094  	1       
466	20    	0.907813	0.446875  	1       
467	20    	0.892539	0.7125    	1       
468	20    	0.911211	0.755469  	1       
469	20    	0.929297	0.753906  	1       
470	20    	0.923594	0.710156  	1       
471	20    	0.949687	0.836719  	1       
472	20    	0.913633	0.707031  	1       
