gen	nevals	avg      	min      	max     
0  	25    	0.0785312	0        	0.292969
1  	25    	0.138563 	0        	0.44375 
2  	25    	0.190781 	0        	0.450781
3  	25    	0.26775  	0        	0.48125 
4  	25    	0.349187 	0.132812 	0.557031
5  	25    	0.348656 	0.110156 	0.500781
6  	25    	0.393844 	0.203125 	0.564062
7  	25    	0.392031 	0.239844 	0.641406
8  	25    	0.385313 	0.257031 	0.56875 
9  	25    	0.368937 	0.0726563	0.523438
10 	25    	0.3605   	0.171094 	0.492188
11 	25    	0.405719 	0.278906 	0.549219
12 	25    	0.384969 	0.0859375	0.614062
13 	25    	0.408781 	0.279687 	0.5625  
14 	25    	0.418938 	0.284375 	0.640625
15 	25    	0.446469 	0.240625 	0.575   
16 	25    	0.416813 	0.277344 	0.635156
17 	25    	0.439281 	0.303125 	0.614844
18 	25    	0.413719 	0.248437 	0.625   
19 	25    	0.424313 	0.250781 	0.550781
20 	25    	0.445594 	0.320312 	0.624219
21 	25    	0.441094 	0.133594 	0.679688
22 	25    	0.442531 	0.298438 	0.713281
23 	25    	0.404844 	0.09375  	0.6125  
24 	25    	0.433469 	0.264844 	0.582812
25 	25    	0.42125  	0.172656 	0.619531
26 	25    	0.438156 	0.267969 	0.652344
27 	25    	0.438031 	0.284375 	0.684375
28 	25    	0.431625 	0.280469 	0.539062
29 	25    	0.461812 	0.301562 	0.729688
30 	25    	0.428781 	0.250781 	0.648438
31 	25    	0.433188 	0.302344 	0.672656
32 	25    	0.459281 	0.280469 	0.620313
33 	25    	0.43625  	0.265625 	0.577344
34 	25    	0.437437 	0.280469 	0.610937
35 	25    	0.435906 	0.289844 	0.610937
36 	25    	0.461438 	0.330469 	0.627344
37 	25    	0.452625 	0.266406 	0.689062
38 	25    	0.430812 	0.1875   	0.602344
39 	25    	0.413719 	0.229687 	0.545313
40 	25    	0.459125 	0.264062 	0.671875
41 	25    	0.426719 	0        	0.605469
42 	25    	0.440313 	0.280469 	0.635938
43 	25    	0.471438 	0.339844 	0.664844
44 	25    	0.454344 	0.282031 	0.692187
45 	25    	0.432344 	0.235938 	0.673437
46 	25    	0.428375 	0.283594 	0.575781
47 	25    	0.487656 	0.329688 	0.68125 
48 	25    	0.462719 	0.232031 	0.56875 
49 	25    	0.437875 	0.25625  	0.709375
50 	25    	0.453719 	0.289844 	0.583594
51 	25    	0.440187 	0.289062 	0.683594
52 	25    	0.443719 	0.270312 	0.620313
53 	25    	0.464781 	0.29375  	0.746094
54 	25    	0.427875 	0.244531 	0.580469
55 	25    	0.445594 	0.320312 	0.582812
56 	25    	0.425094 	0.291406 	0.592969
57 	25    	0.438344 	0.303906 	0.6875  
58 	25    	0.436281 	0.285156 	0.586719
59 	25    	0.404063 	0.217187 	0.492188
60 	25    	0.448531 	0.325781 	0.633594
61 	25    	0.464406 	0.267969 	0.617969
62 	25    	0.444938 	0.295312 	0.689844
63 	25    	0.436906 	0.305469 	0.616406
64 	25    	0.460156 	0.322656 	0.689062
65 	25    	0.454656 	0.29375  	0.651563
66 	25    	0.40975  	0.225781 	0.632812
67 	25    	0.42425  	0.292188 	0.575781
68 	25    	0.422094 	0.264062 	0.610937
69 	25    	0.441281 	0.282031 	0.596094
70 	25    	0.406188 	0.227344 	0.623438
71 	25    	0.439125 	0.286719 	0.759375
72 	25    	0.459781 	0.314063 	0.658594
73 	25    	0.43225  	0.267969 	0.585156
74 	25    	0.415625 	0.28125  	0.583594
75 	25    	0.42975  	0.289062 	0.603906
76 	25    	0.446031 	0.288281 	0.560156
77 	25    	0.455406 	0.31875  	0.65    
78 	25    	0.426031 	0.325781 	0.635156
79 	25    	0.450625 	0.30625  	0.670313
80 	25    	0.474844 	0.170312 	0.627344
81 	25    	0.467156 	0.304688 	0.60625 
82 	25    	0.453219 	0.311719 	0.598437
83 	25    	0.439375 	0.228125 	0.647656
84 	25    	0.462313 	0.25625  	0.636719
85 	25    	0.440406 	0.260938 	0.616406
86 	25    	0.433844 	0.252344 	0.538281
87 	25    	0.404531 	0.289062 	0.564062
88 	25    	0.425094 	0.275    	0.675   
89 	25    	0.459406 	0.29375  	0.642969
90 	25    	0.423469 	0.271875 	0.607031
91 	25    	0.446531 	0.324219 	0.564062
92 	25    	0.445187 	0.29375  	0.616406
93 	25    	0.45625  	0.260156 	0.655469
94 	25    	0.458625 	0.344531 	0.667969
95 	25    	0.442281 	0.275781 	0.711719
96 	25    	0.472656 	0.244531 	0.607031
97 	25    	0.439063 	0.303906 	0.660937
98 	25    	0.46675  	0.260938 	0.654688
99 	25    	0.428562 	0.260938 	0.620313
100	25    	0.436594 	0.290625 	0.628125
101	25    	0.455063 	0.183594 	0.600781
102	25    	0.429906 	0.242188 	0.68125 
103	25    	0.464969 	0.346875 	0.655469
104	25    	0.472312 	0.284375 	0.660156
105	25    	0.442187 	0.0304688	0.614062
106	25    	0.438188 	0.260156 	0.710938
107	25    	0.447656 	0.307813 	0.621094
108	25    	0.455312 	0.322656 	0.64375 
109	25    	0.444219 	0.289062 	0.794531
110	25    	0.47875  	0.273438 	0.64375 
111	25    	0.4785   	0.358594 	0.729688
112	25    	0.440375 	0.345313 	0.564062
113	25    	0.41925  	0.29375  	0.607813
114	25    	0.435094 	0.3125   	0.677344
115	25    	0.486812 	0.303906 	0.761719
116	25    	0.439625 	0.316406 	0.685938
117	25    	0.430594 	0.185937 	0.692187
118	25    	0.405719 	0.260156 	0.603906
119	25    	0.450906 	0.255469 	0.664844
120	25    	0.451281 	0.291406 	0.684375
121	25    	0.459563 	0.196875 	0.650781
122	25    	0.429094 	0.266406 	0.683594
123	25    	0.461    	0.333594 	0.64375 
124	25    	0.397594 	0.221875 	0.651563
125	25    	0.460906 	0.28125  	0.714063
126	25    	0.464063 	0.3      	0.670313
127	25    	0.428094 	0.260938 	0.55625 
128	25    	0.480344 	0.322656 	0.673437
129	25    	0.459188 	0.251563 	0.670313
130	25    	0.479062 	0.360938 	0.584375
131	25    	0.408406 	0.170312 	0.567969
132	25    	0.466656 	0.342187 	0.65    
133	25    	0.423094 	0.2875   	0.600781
134	25    	0.433063 	0.294531 	0.628906
135	25    	0.4615   	0.245312 	0.741406
136	25    	0.425094 	0.270312 	0.65625 
137	25    	0.453375 	0.264062 	0.628906
138	25    	0.434938 	0.207813 	0.684375
139	25    	0.435344 	0.0296875	0.626562
140	25    	0.411313 	0.253125 	0.720312
141	25    	0.463031 	0.30625  	0.60625 
142	25    	0.423063 	0.313281 	0.546875
143	25    	0.434938 	0.251563 	0.617188
144	25    	0.447687 	0.325781 	0.611719
145	25    	0.425375 	0.247656 	0.647656
146	25    	0.459937 	0.345313 	0.678125
147	25    	0.438656 	0.304688 	0.685156
148	25    	0.457562 	0.310937 	0.626562
149	25    	0.474594 	0.153125 	0.720312
150	25    	0.448719 	0.225    	0.584375
151	25    	0.468687 	0.357031 	0.639063
152	25    	0.451188 	0.189844 	0.726562
153	25    	0.444812 	0.194531 	0.634375
154	25    	0.432625 	0.117188 	0.696875
155	25    	0.421094 	0.213281 	0.551562
156	25    	0.398906 	0.189844 	0.585156
157	25    	0.425312 	0.249219 	0.541406
158	25    	0.450062 	0.245312 	0.621875
159	25    	0.479875 	0.239844 	0.6875  
160	25    	0.471344 	0.229687 	0.657031
161	25    	0.456063 	0.208594 	0.683594
