gen	nevals	avg     	min      	max    
0  	15    	-69.1286	-1540.19 	251.67 
1  	15    	106.426 	-9.3667  	251.79 
2  	15    	144.968 	54.5276  	251.805
3  	15    	187.546 	-12.4706 	288.628
4  	15    	233.955 	76.1147  	288.765
5  	15    	244.8   	17.2585  	299.795
6  	15    	229.746 	61.5712  	342.089
7  	15    	208.808 	-12.8804 	342.254
8  	15    	281.011 	123.373  	342.343
9  	15    	327.892 	219.193  	402.785
10 	15    	339.305 	95.0578  	403.374
11 	15    	336.543 	53.719   	404.178
12 	15    	383.116 	225.128  	404.176
13 	15    	402.034 	373.691  	404.179
14 	15    	404.15  	404.09   	404.184
15 	15    	381.115 	59.782   	404.181
16 	15    	357.273 	55.7495  	404.181
17 	15    	404.786 	403.792  	414.239
18 	15    	349.216 	60.8402  	414.299
19 	15    	370.215 	121.229  	414.352
20 	15    	413.352 	403.663  	414.37 
21 	15    	414.308 	414.213  	414.365
22 	15    	413.237 	401.761  	414.362
23 	15    	398.116 	171.652  	414.376
24 	15    	414.325 	414.259  	414.356
25 	15    	378.733 	91.2725  	414.357
26 	15    	372.194 	98.4381  	414.36 
27 	15    	362.587 	99.1095  	414.363
28 	15    	361.935 	99.4534  	414.363
29 	15    	414.343 	414.298  	414.369
30 	15    	409.713 	345.858  	414.366
31 	15    	374.45  	-15.3756 	414.354
32 	15    	349.998 	53.1942  	414.381
33 	15    	410.496 	350.795  	429.13 
34 	15    	384.912 	170.934  	429.149
35 	15    	372.506 	44.5563  	429.209
36 	15    	422.632 	342.744  	429.211
37 	15    	404.734 	60.585   	431.103
38 	15    	422.196 	355.616  	432.017
39 	15    	394.926 	56.5834  	432.253
40 	15    	431.086 	376.878  	473.017
41 	15    	439.294 	430.655  	486.541
42 	15    	438.118 	380.109  	497.991
43 	15    	452.389 	327.691  	497.942
44 	15    	465.05  	422.957  	485.315
45 	15    	412.076 	138.061  	495.855
46 	15    	449.748 	182.503  	496.05 
47 	15    	436.175 	59.5204  	491.445
48 	15    	464.439 	420.796  	496.015
49 	15    	470.131 	415.423  	497.801
50 	15    	416.601 	59.0637  	496.642
51 	15    	441.261 	46.3373  	496.031
52 	15    	472.131 	360.666  	497.319
53 	15    	399.516 	58.092   	487.451
54 	15    	461.346 	396.774  	497.014
55 	15    	451.415 	54.1248  	498.158
56 	15    	449.596 	63.6649  	497.593
57 	15    	466.145 	331.545  	497.013
58 	15    	431.26  	82.2321  	486.506
59 	15    	468.086 	248.92   	495.329
60 	15    	453.924 	141.75   	491.509
61 	15    	480.489 	453.757  	494.968
62 	15    	485.33  	463.749  	496.979
63 	15    	467.772 	324.031  	488.671
64 	15    	481.674 	435.078  	489.151
65 	15    	488.2   	487.055  	488.939
66 	15    	488.492 	487.934  	488.815
67 	15    	420.203 	60.2549  	489.037
68 	15    	475.117 	377.054  	489    
69 	15    	488.476 	487.278  	488.88 
70 	15    	488.586 	488.179  	489.05 
71 	15    	482.279 	420.468  	488.951
72 	15    	427.779 	51.7465  	488.831
73 	15    	441.443 	204.565  	489.13 
74 	15    	484.666 	430.845  	488.923
75 	15    	478.951 	371.713  	490.356
76 	15    	456.87  	53.085   	488.964
77 	15    	468.937 	405.423  	488.93 
78 	15    	470.273 	323.973  	489.02 
79 	15    	447.61  	135.276  	489.117
80 	15    	473.07  	374.226  	488.984
81 	15    	488.252 	487.367  	488.838
82 	15    	488.271 	486.856  	488.879
83 	15    	459.355 	133.505  	488.757
84 	15    	488.616 	488.215  	488.962
85 	15    	428.222 	57.9877  	488.561
86 	15    	488.632 	488.261  	489.002
87 	15    	488.343 	486.963  	488.916
88 	15    	473.815 	295.129  	488.882
89 	15    	485.155 	439.901  	489.122
90 	15    	455.839 	258.137  	488.896
91 	15    	458.497 	247.605  	488.736
92 	15    	488.489 	488.118  	488.856
93 	15    	484.415 	431.143  	494.117
94 	15    	464.173 	286.21   	488.778
95 	15    	475.689 	387.118  	489.028
96 	15    	479.084 	369.354  	488.936
97 	15    	488.666 	488.254  	489.079
98 	15    	429.647 	80.3319  	488.68 
99 	15    	462.137 	169.293  	489.024
100	15    	463.44  	293.829  	490.904
101	15    	463.634 	314.124  	488.713
102	15    	476.298 	373.315  	489.062
103	15    	477.292 	333.858  	488.863
104	15    	484.644 	454.598  	488.709
105	15    	476.396 	385.99   	488.863
106	15    	485.738 	446.207  	489.127
107	15    	474.584 	311.604  	488.777
108	15    	471.122 	342.309  	488.961
109	15    	478.158 	356.415  	488.921
110	15    	473.029 	334.353  	488.857
111	15    	457.961 	60.2915  	488.864
112	15    	475.79  	403.653  	488.609
113	15    	442.211 	58.2335  	488.709
114	15    	464.17  	313.802  	489.001
115	15    	486.696 	467.477  	488.766
116	15    	488.52  	487.503  	488.972
117	15    	463.899 	319.366  	488.962
118	15    	476.923 	343.004  	488.779
119	15    	488.18  	486.55   	488.686
120	15    	418.353 	54.863   	488.756
121	15    	486.795 	478.665  	488.804
122	15    	473.128 	284.84   	488.841
123	15    	488.253 	485.451  	488.875
124	15    	444.878 	62.5017  	488.731
125	15    	488.68  	488.342  	489.205
126	15    	452.826 	119.609  	488.995
127	15    	480.456 	372.385  	490.855
128	15    	405.159 	-141.268 	491.13 
129	15    	471.754 	341.184  	491.257
130	15    	414.313 	-19.8129 	491.432
131	15    	474.46  	374.828  	491.391
132	15    	484.891 	419.619  	491.512
133	15    	482.022 	377.815  	491.537
134	15    	491.141 	490.849  	491.458
135	15    	427.021 	54.2858  	491.195
136	15    	411.037 	-21.174  	491.796
137	15    	467.555 	328.41   	491.258
138	15    	484.283 	428.668  	491.574
139	15    	478.94  	327.416  	491.444
140	15    	491.99  	490.84   	502.41 
141	15    	431.648 	-51.2075 	502.707
142	15    	499.807 	491.156  	502.956
143	15    	492.922 	379.605  	502.746
144	15    	502.563 	502.247  	502.858
145	15    	468.166 	61.4904  	504.957
146	15    	502.531 	502.238  	502.884
147	15    	488.261 	344.204  	502.749
148	15    	463.833 	94.9888  	502.597
149	15    	478.341 	343.251  	502.676
150	15    	502.515 	502.329  	502.707
151	15    	492.122 	357.774  	502.945
152	15    	502.646 	502.042  	505.332
153	15    	502.62  	502.255  	503.36 
154	15    	490.651 	338.899  	502.845
155	15    	449.712 	118.596  	502.683
156	15    	459.838 	-15.0933 	507.547
157	15    	502.523 	501.854  	503.575
158	15    	495.267 	405.602  	502.896
159	15    	502.603 	502.407  	502.779
