gen	nevals	avg    	min      	max    
0  	15    	159.562	-17.9266 	2245.82
1  	15    	848.873	-32.288  	5403.24
2  	15    	1540.28	-104.34  	5846.86
3  	15    	2434.47	-0.964844	5843.68
4  	15    	4743.9 	1516.19  	5845.16
5  	15    	4791.37	-14.4163 	5848.06
6  	15    	3888.92	1.85791  	5847.4 
7  	15    	5752.07	5381.82  	5845.25
8  	15    	5027.88	2249.58  	5846.5 
9  	15    	4239.23	-2437.73 	5844.84
10 	15    	4820.58	-5.34375 	5845.6 
11 	15    	4672.32	-12.8379 	5848.21
12 	15    	4840.16	-24.1577 	5846.61
13 	15    	4645.77	11.7175  	5846.7 
14 	15    	4302.6 	-0.997437	5844.12
15 	15    	4666.76	35.649   	5846.48
16 	15    	5164.85	-1376.43 	5848.43
17 	15    	5623.84	2633.42  	5846.71
18 	15    	5396.27	-7.57568 	5845.92
19 	15    	5201.04	103.265  	5845.48
20 	15    	5179.46	22.2098  	5846.97
21 	15    	5195.54	-2.23132 	5848.76
22 	15    	5212.69	2.52307  	5848.44
23 	15    	5811.07	5435.7   	5844.78
24 	15    	5254.77	120.726  	5846.17
25 	15    	5426.75	65.1089  	5846.28
26 	15    	5421.06	-1.91528 	5845.03
27 	15    	4814.93	-14.4358 	5843.77
28 	15    	5209.93	-5.02441 	5845.48
29 	15    	5284.43	1550.94  	5846.78
30 	15    	5425   	48.1903  	5846.8 
31 	15    	5576.69	2534.29  	5844.16
32 	15    	5574.95	2244.76  	5847.69
33 	15    	5061.92	2242.92  	5843.13
34 	15    	5813.1 	5430.57  	5848.33
35 	15    	5209.89	-11.1986 	5847.5 
36 	15    	5112.17	36.1776  	5845.77
37 	15    	5123.55	-9.58252 	5848.3 
38 	15    	4822.85	-10.1165 	5847.59
39 	15    	4521.31	76.7645  	5849.38
40 	15    	5838.24	5826.19  	5846.66
41 	15    	5182.99	16.1455  	5847.33
42 	15    	5214.85	46.9589  	5847.27
43 	15    	5154.52	-7.29712 	5846.52
44 	15    	5457.87	2622.03  	5847.37
45 	15    	5568.6 	2246.57  	5845.87
46 	15    	5256.28	-3.97046 	5844.42
47 	15    	5767.29	4832.03  	5846.6 
48 	15    	4450.89	35.9574  	5846.71
49 	15    	5055.28	199.368  	5846.42
50 	15    	5421.27	8.06128  	5843.63
51 	15    	5569.04	2649.4   	5845.91
52 	15    	5142.41	2244.51  	5844.85
53 	15    	5180.25	-13.9236 	5845.71
54 	15    	5598.07	2246.49  	5846.87
55 	15    	5779.66	5400.45  	5846.14
56 	15    	4217.26	-3.33838 	5847.47
57 	15    	5329.01	2177.22  	5847.48
58 	15    	4778.75	-8.01245 	5846.59
59 	15    	5057.06	-131.099 	5845.46
60 	15    	5754.01	5412.45  	5848.64
61 	15    	4777.71	57.4303  	5847.61
62 	15    	5423.54	2.74573  	5850.4 
63 	15    	5037.69	40.9901  	5857.56
64 	15    	4734   	33.5178  	5863.49
65 	15    	3712.02	39.3721  	5860.61
66 	15    	4795.83	-10.0804 	5862.63
67 	15    	5076.76	75.7106  	5864.08
68 	15    	5845.08	5824.92  	5862.27
69 	15    	5453.24	63.2428  	5844.28
70 	15    	5843.48	5827.79  	5856.32
71 	15    	5845.66	5825.93  	5862.15
72 	15    	4679.02	-2.94336 	5857.47
73 	15    	5848.14	5836.7   	5862.12
74 	15    	5459.72	49.0665  	5854   
75 	15    	5078.76	64.4133  	5860.28
76 	15    	5843.96	5826.26  	5863.11
77 	15    	5841.7 	5824.86  	5857.55
78 	15    	5847.95	5825.43  	5863.68
79 	15    	5841.47	5827.86  	5857.95
80 	15    	5470.53	231.721  	5864.34
81 	15    	5070.6 	11.111   	5862.55
82 	15    	3995.67	48.9948  	5847.07
83 	15    	5844.31	5825.7   	5858.99
84 	15    	5462.85	57.4514  	5862.52
85 	15    	5066.82	34.6504  	5863.43
86 	15    	4679.84	11.9352  	5861.26
87 	15    	5093.59	19.601   	5858.24
88 	15    	4729.8 	20.6108  	5860.93
89 	15    	5370.24	2215.1   	5861.62
90 	15    	4300.95	28.6509  	5857.4 
91 	15    	4306.69	-4.89075 	5862.85
92 	15    	5203.37	-83.5667 	5862.92
93 	15    	5460.71	60.6622  	5861.96
94 	15    	5079.27	60.8748  	5861.19
95 	15    	5845.31	5826.72  	5861.84
96 	15    	5843.16	5826.08  	5863.12
97 	15    	5067.86	-2.32153 	5855.28
98 	15    	5843.94	5829.4   	5860.92
99 	15    	4984.81	61.0439  	5862.21
100	15    	5457.1 	20.5737  	5862.05
101	15    	5842.14	5824.85  	5861.88
102	15    	5125.61	50.9019  	5861.67
103	15    	4685.82	3.43457  	5862.27
104	15    	4976.6 	-1340.2  	5861.34
105	15    	5455.7 	21.1339  	5858.7 
106	15    	4681.21	-5.49414 	5859.71
107	15    	5844.39	5826.76  	5856.55
108	15    	5848.17	5825.1   	5862.39
109	15    	5462.21	86.0188  	5857.79
110	15    	5071.42	64.9205  	5857.68
111	15    	5458.68	34.5901  	5859.14
112	15    	5458.28	-2.21021 	5864.86
113	15    	5455.48	-4.60486 	5861.43
114	15    	5453.85	-9.44238 	5862.88
115	15    	5073.02	17.1338  	5863.66
116	15    	5077.1 	62.7317  	5864.67
117	15    	5450.87	-3.32776 	5861.74
118	15    	5456.03	80.0261  	5858.26
119	15    	5222.37	-3507.68 	5859.39
120	15    	5069.24	18.5558  	5860.71
121	15    	5458.04	52.8815  	5857.13
122	15    	5461.9 	34.9492  	5860.51
123	15    	5455.78	31.4567  	5862.17
124	15    	5458.32	36.2681  	5860.85
125	15    	5456.08	-8.28113 	5862.45
126	15    	5076.07	29.1954  	5861.74
127	15    	4687.65	-9.27026 	5857.06
128	15    	4685.81	3.70801  	5861.72
129	15    	5843.31	5826.34  	5862.21
130	15    	5072.66	60.6639  	5862.61
131	15    	5841.7 	5828.64  	5856.3 
132	15    	5454.57	54.0035  	5860.96
133	15    	5072.54	27.1602  	5856.41
134	15    	4192.29	30.7424  	5856.68
135	15    	4687.84	53.4434  	5862.28
136	15    	4682.55	-21.2109 	5860.42
137	15    	5065.12	-21.9827 	5853.08
138	15    	5072.44	6.86304  	5860.46
139	15    	5451.54	9.3739   	5860.67
140	15    	4682.01	13.4683  	5860.66
141	15    	5846.95	5828.21  	5863.6 
142	15    	5754.78	4511.34  	5860.84
143	15    	5843.09	5826.98  	5862.05
144	15    	5069.24	40.0999  	5861.34
145	15    	4665.82	-126.255 	5858.15
146	15    	4691.91	49.3328  	5860.99
147	15    	5446.74	-137.845 	5863.17
148	15    	5071.49	63.074   	5857.56
149	15    	5452.86	8.9436   	5861.86
150	15    	4298.15	34.3269  	5855.13
151	15    	5627.71	2658.78  	5857.06
152	15    	5651.06	2953.32  	5856.4 
153	15    	4687.03	-7.75061 	5864.81
154	15    	4696.4 	37.959   	5862.38
155	15    	5839.58	5829.94  	5859.63
156	15    	5447.32	27.1724  	5855   
157	15    	5453.72	33.9344  	5851.8 
158	15    	5078.08	72.0785  	5862.53
159	15    	5455.82	1.54492  	5863.06
160	15    	5463.21	84.8191  	5860.59
161	15    	5846.29	5829.57  	5858.36
162	15    	4689.21	42.5094  	5862.21
163	15    	5071.82	67.9904  	5855.96
164	15    	5460.68	53.6907  	5862.02
165	15    	5847.75	5830.9   	5861.2 
166	15    	5457.18	65.5004  	5861.39
167	15    	5847.87	5825.25  	5858.62
168	15    	5459.15	19.4945  	5857.44
169	15    	5459.09	29.0848  	5860.51
170	15    	5065.16	-16.3875 	5857.41
171	15    	5460.16	47.6687  	5861.93
172	15    	5846.52	5826.6   	5860.88
173	15    	5456.36	-8.87732 	5860.87
174	15    	5461.18	91.6809  	5862.22
175	15    	5848.37	5830.84  	5859.54
176	15    	5454.54	-3.91187 	5854.08
177	15    	5455.92	60.1151  	5861.82
178	15    	5463.96	91.0492  	5861.09
179	15    	4686.47	19.5336  	5861.63
180	15    	5454.75	-0.428101	5860.13
181	15    	5069.7 	-20.3235 	5862.09
182	15    	5457.45	59.7667  	5855.36
183	15    	5843.72	5826.83  	5860.17
184	15    	5843.86	5824.8   	5855.12
185	15    	5427.88	-441.014 	5858.23
186	15    	5847.27	5827.92  	5860.7 
187	15    	5844.86	5828.32  	5864.83
188	15    	5459.61	2.08972  	5863.01
189	15    	5846.8 	5827.73  	5859.08
190	15    	5063.68	-36.9595 	5861.1 
191	15    	4682.5 	21.3013  	5859.96
192	15    	4679.43	0.362549 	5857.85
193	15    	5458.76	81.5056  	5862.5 
194	15    	5441.9 	-249.475 	5858.5 
195	15    	5458.16	76.4742  	5861.44
196	15    	5850.27	5826.23  	5863.98
197	15    	5458.56	-5.94629 	5858.5 
198	15    	5844.1 	5826.95  	5865.08
199	15    	5843.12	5825.61  	5858.27
200	15    	4798.74	56.2736  	5861.55
201	15    	5454.98	-17.8458 	5861.38
202	15    	5844.15	5828.08  	5862.33
203	15    	5075.1 	44.9139  	5859.07
204	15    	5454.19	2.28125  	5861   
205	15    	5458.93	26.2317  	5860.61
206	15    	5455.04	-4.82861 	5858.19
