gen	nevals	avg      	min        	max     
0  	10    	0.0253465	-0.170487  	0.503038
1  	10    	0.455586 	-1.15353   	5.42947 
2  	10    	2.13639  	-0.00551304	7.74241 
3  	10    	3.75419  	0.0386388  	10.5717 
4  	10    	5.66342  	0.850358   	11.2198 
5  	10    	8.15618  	3.54952    	10.6339 
6  	10    	9.58192  	8.21467    	11.6098 
7  	10    	8.30952  	0.765191   	11.1111 
8  	10    	8.95527  	0.199481   	11.2311 
9  	10    	7.73762  	0.046472   	11.7335 
10 	10    	8.60342  	0.229863   	11.1322 
11 	10    	9.06692  	-0.00254848	11.5778 
12 	10    	9.91775  	8.41215    	11.1722 
13 	10    	8.97017  	7.26521    	11.0841 
14 	10    	8.11248  	1.47348    	11.257  
15 	10    	9.99856  	8.31126    	11.1555 
16 	10    	8.60421  	0.472354   	10.9799 
17 	10    	8.89506  	7.86842    	9.3115  
18 	10    	9.47088  	8.16237    	11.3836 
19 	10    	7.73817  	0.180081   	10.9713 
20 	10    	8.74634  	1.71242    	11.2828 
21 	10    	8.05086  	2.36893    	11.2774 
22 	10    	10.1059  	8.47949    	11.4718 
23 	10    	9.2794   	-0.00627908	11.1696 
24 	10    	9.32797  	2.79441    	11.1331 
25 	10    	9.04818  	0.391113   	11.0734 
26 	10    	9.15516  	1.13751    	12.8162 
27 	10    	11.1793  	8.27945    	12.9945 
28 	10    	11.1632  	1.92119    	14.5535 
29 	10    	12.0826  	7.38735    	14.4397 
30 	10    	10.8057  	1.91918    	14.4371 
31 	10    	8.95505  	2.36504    	14.5708 
32 	10    	9.50551  	5.31641    	14.5799 
33 	10    	9.35823  	2.19542    	14.4397 
34 	10    	10.9992  	3.22459    	14.44   
35 	10    	12.5852  	6.82957    	14.597  
36 	10    	14.4644  	14.3698    	14.7529 
37 	10    	14.4327  	14.3096    	14.5419 
38 	10    	14.475   	14.4054    	14.5848 
39 	10    	13.1652  	2.2161     	14.4823 
40 	10    	13.1292  	1.74878    	14.4917 
41 	10    	11.4986  	2.21164    	14.5708 
42 	10    	13.3174  	3.23183    	14.5926 
43 	10    	14.3753  	14.1415    	14.5035 
44 	10    	14.4395  	14.3153    	14.5778 
45 	10    	13.433   	4.5425     	14.543  
46 	10    	13.9422  	9.20452    	14.6027 
47 	10    	12.977   	0.450777   	14.5987 
48 	10    	12.1766  	3.15589    	14.6082 
49 	10    	13.8123  	7.91836    	14.6708 
50 	10    	13.4055  	3.64646    	14.6575 
51 	10    	13.54    	5.49926    	14.6192 
52 	10    	14.4036  	14.2719    	14.4664 
53 	10    	14.4581  	14.3704    	14.5511 
54 	10    	13.5652  	5.92774    	14.6023 
55 	10    	14.4101  	14.0615    	14.5781 
56 	10    	14.4473  	14.3734    	14.529  
57 	10    	12.7614  	3.37558    	14.5214 
58 	10    	13.4428  	4.79804    	14.4656 
59 	10    	13.988   	9.732      	14.6246 
60 	10    	13.4759  	4.90968    	14.4797 
61 	10    	14.4075  	14.2627    	14.4702 
62 	10    	14.4117  	14.3127    	14.4975 
63 	10    	13.1748  	1.95693    	14.4888 
64 	10    	13.564   	5.82328    	14.4816 
65 	10    	14.453   	14.3693    	14.5427 
66 	10    	14.4325  	14.3738    	14.4728 
67 	10    	13.4773  	4.96241    	14.4982 
68 	10    	14.4277  	14.2454    	14.5729 
69 	10    	14.4112  	14.169     	14.5381 
70 	10    	13.5571  	5.65624    	14.6082 
71 	10    	14.0342  	10.0737    	14.6289 
72 	10    	14.4459  	14.3272    	14.5216 
