gen 	nevals	avg    	min   	max   
1   	50    	1142.44	573.6 	3075.6
2   	50    	1222.8 	592.4 	3553.6
3   	50    	1445.24	627.6 	3223.6
4   	50    	2047.01	761.6 	4022.8
5   	50    	2328.55	949.6 	3519.2
6   	50    	2473.54	1315.6	3839.6
7   	50    	2626.74	1279.2	3685.6
8   	50    	2637.66	1632.4	3902.8
9   	50    	2763.34	1840.8	3750.4
10  	50    	2759.88	1244.8	4292.4
11  	50    	2822.9 	1385.6	3968.4
12  	50    	2867.89	1819.6	4772.4
13  	50    	2885.1 	1838.4	4778.8
14  	50    	2809.46	1236  	4418.4
15  	50    	2822.98	1430  	4358  
16  	50    	2904.68	1933.2	4475.2
17  	50    	3079.16	1617.6	4626  
18  	50    	2944.1 	2032.4	4007.2
19  	50    	3050.49	1960.4	5457.2
20  	50    	2985.29	1572.8	4523.6
21  	50    	3062.4 	1877.6	4881.2
22  	50    	3106.31	2099.2	4280  
23  	50    	3150.22	1863.6	4522.8
24  	50    	3073.42	1825.6	5045.6
25  	50    	3097.94	1952  	4380.8
26  	50    	3075.67	1966.8	4427.6
27  	50    	3101.5 	1967.6	4224.8
28  	50    	2981.01	2046.8	4084.8
29  	50    	3023.56	1961.2	4336  
30  	50    	2969.98	1848  	5066.8
31  	50    	3218.77	2002  	4894.8
32  	50    	3338.39	2042.8	4970.8
33  	50    	3108.42	2004.8	4839.2
34  	50    	2985.28	2020.4	4558  
35  	50    	3163.38	1995.6	4319.2
36  	50    	3143.14	2123.2	4310.8
37  	50    	3071.66	1744.8	4883.6
38  	50    	3184.22	2003.2	4661.6
39  	50    	3317.74	2214.4	5412.8
40  	50    	3174.94	2003.2	4715.6
41  	50    	3253.78	1760.8	5368.8
42  	50    	3287.59	2353.2	5560.4
43  	50    	3242.9 	2128.8	5206.8
44  	50    	3382.78	2182.4	4906.4
45  	50    	3225.66	1908.4	4555.2
46  	50    	3353.24	2347.2	4820.8
47  	50    	3198.88	1963.2	4273.6
48  	50    	3092.96	1675.6	4400.4
49  	50    	3358.39	2074  	4959.2
50  	50    	3304.46	2369.2	4838.4
51  	50    	3316.99	2247.2	5078.8
52  	50    	3259.31	2275.6	4717.2
53  	50    	3298.95	2076.8	5638.4
54  	50    	3148.8 	2088  	4205.2
55  	50    	3182.19	2225.2	5093.2
56  	50    	3433.77	1774.8	4851.2
57  	50    	3236.57	1806.8	4818.8
58  	50    	3233.82	1991.6	4398.8
59  	50    	3265.74	2288.4	4740  
60  	50    	3319.45	2039.6	4845.2
61  	50    	3462.43	1842.8	4592.8
62  	50    	3324.1 	2064  	5324.4
63  	50    	3417.74	2101.2	4575.6
64  	50    	3246.47	1923.2	4318.4
65  	50    	3329.63	2459.6	4646  
66  	50    	3431.51	2132.4	5156.8
67  	50    	3358.18	1941.2	4637.6
68  	50    	3377.82	2121.6	4673.6
69  	50    	3284.27	2129.6	4724.8
70  	50    	3160.02	2175.2	4337.2
71  	50    	3264.27	2036.8	4604  
72  	50    	3340.12	1906  	5082  
73  	50    	3334.51	2232.4	4411.2
74  	50    	3315.58	2250  	4766  
75  	50    	3421.47	2446.8	4829.2
76  	50    	3412.67	1572  	4841.6
77  	50    	3410.87	2305.2	4528.4
78  	50    	3373.1 	1863.6	5226  
79  	50    	3344.43	2065.2	4595.2
80  	50    	3307.41	2018.8	4664.8
81  	50    	3382.45	2296  	4347.2
82  	50    	3583.16	2317.2	5071.2
83  	50    	3457.23	2471.6	5223.2
84  	50    	3608.72	2134.4	5485.2
85  	50    	3431.06	2325.6	4725.2
86  	50    	3520.04	2303.6	5407.2
87  	50    	3434.65	2107.6	5288.4
88  	50    	3379.37	2010.4	4675.2
89  	50    	3414.92	2012.8	5074.4
90  	50    	3453.41	2397.6	5008.8
91  	50    	3430.27	2271.6	5182  
92  	50    	3332.42	2224.4	5299.6
93  	50    	3547.15	2462.8	4482  
94  	50    	3360.22	1981.2	5383.6
95  	50    	3398.78	2389.6	4994.8
96  	50    	3380.58	2202.4	4743.2
97  	50    	3407.53	2465.6	5432.8
98  	50    	3549.83	2573.2	4776  
99  	50    	3457.86	2346.8	4878.8
100 	50    	3450.34	2079.6	5786.4
101 	50    	3499.94	2270.8	4939.6
102 	50    	3561.54	2432.8	5201.2
103 	50    	3729.24	2144  	5688.4
104 	50    	3590.9 	2682  	5940  
105 	50    	3549.55	2537.6	4540  
106 	50    	3483.28	2370  	5425.6
107 	50    	3413.34	2264  	4954.4
108 	50    	3320.96	2000.4	4274.4
109 	50    	3481.3 	2202.4	5376.4
110 	50    	3389.73	2246.8	4864.4
111 	50    	3561.48	1877.2	4907.6
112 	50    	3712.56	2558.8	5966.4
113 	50    	3521.54	1942.4	5024.4
114 	50    	3320.89	2145.2	4894  
115 	50    	3568.07	2316  	4839.2
116 	50    	3444.25	1838.4	5009.2
117 	50    	3468.18	2112.4	5058.8
118 	50    	3496.19	2346.8	4635.2
119 	50    	3465.26	2260.4	5190  
120 	50    	3429.8 	2228.4	4555.2
121 	50    	3607.47	2520.4	5234.4
122 	50    	3388.11	2212  	5331.2
123 	50    	3536.93	2259.6	5829.2
124 	50    	3395.34	2104.4	4774.4
125 	50    	3423.49	2331.6	5748  
126 	50    	3489.49	2100.4	4506.8
127 	50    	3491.55	1915.6	4465.6
128 	50    	3489.5 	2371.2	4768  
129 	50    	3577.23	2316.8	5302.4
130 	50    	3618.38	2319.6	6120  
131 	50    	3490.55	2292.4	5203.6
132 	50    	3563.64	2330  	5276.4
133 	50    	3495.19	2314  	5595.6
134 	50    	3410.92	2328  	4460.4
135 	50    	3437.44	2290.8	4833.2
136 	50    	3429.1 	2328.8	4791.2
137 	50    	3700.37	2518.4	5673.2
138 	50    	3524.02	2678.4	5508.8
139 	50    	3469.93	1987.2	4706  
140 	50    	3459.75	2256.4	5226.8
141 	50    	3653.03	2378  	5547.2
142 	50    	3570.54	1938.4	5356.8
143 	50    	3565.7 	2372.4	4948.4
144 	50    	3482.93	2182.8	4622  
145 	50    	3415.47	1960.8	4922  
146 	50    	3441.1 	2157.2	4820.4
147 	50    	3609.15	2355.2	5012.4
148 	50    	3506.82	2134.4	4677.6
149 	50    	3428.57	2270.8	4614  
150 	50    	3540.14	2652  	4729.6
151 	50    	3466.26	2490  	4570  
152 	50    	3524.8 	1998.4	5094  
153 	50    	3475.74	2557.6	4701.6
154 	50    	3308.86	2156.4	5060  
155 	50    	3250.14	2405.2	5712  
156 	50    	3547.15	2052.8	5202.8
157 	50    	3517.37	2396  	5174.8
158 	50    	3616.5 	2188.4	5274.4
159 	50    	3606.22	2015.2	5157.2
160 	50    	3568.24	2314  	4688.4
161 	50    	3310.18	2151.2	4560.8
162 	50    	3502.77	2282.4	4915.6
163 	50    	3562.42	2231.6	4979.2
164 	50    	3559.36	2118.8	4947.6
165 	50    	3484.66	2505.2	4676.4
166 	50    	3567.95	2193.2	5182  
167 	50    	3389.62	2186  	5111.6
168 	50    	3569.58	2706  	4839.6
169 	50    	3433.22	2464.4	4890.4
170 	50    	3550.97	2517.6	5374  
171 	50    	3518.66	2540.8	4385.2
172 	50    	3567.03	2482.8	5339.2
173 	50    	3468.64	2245.6	5104  
174 	50    	3535.58	2285.6	4852.4
175 	50    	3548.69	2253.6	5212  
176 	50    	3653.88	2020  	5702.8
177 	50    	3635.77	2468.4	4906.4
178 	50    	3520.73	2127.2	5017.2
179 	50    	3579.42	2564  	5178  
180 	50    	3402.94	2166  	5171.2
181 	50    	3538.32	2469.2	6172.4
182 	50    	3703.8 	2600.8	5121.6
183 	50    	3626.02	2234.8	4855.6
184 	50    	3595.19	2448  	5140.4
185 	50    	3672.98	2682.4	5131.2
186 	50    	3512.35	2269.2	4587.2
187 	50    	3622.21	2276.8	5708.4
188 	50    	3529.51	2627.6	4745.2
189 	50    	3498.52	2300  	4837.2
190 	50    	3589.04	1801.6	6029.2
191 	50    	3398.35	2262.4	4881.2
192 	50    	3543.47	2520.4	4910  
193 	50    	3561.44	2114.8	5498.4
194 	50    	3604.68	2242.4	4959.6
195 	50    	3475.25	2410.4	4763.2
196 	50    	3554.74	2143.2	5424.4
197 	50    	3627.94	2699.6	6177.2
198 	50    	3483.87	2414  	4842.8
199 	50    	3587.11	2460  	5213.2
200 	50    	3584.87	2382.8	4983.2
201 	50    	3564.92	2398.8	4663.6
202 	50    	3594.91	2592  	5336  
203 	50    	3357.66	2248.4	4807.6
204 	50    	3489.13	2432  	4838.8
205 	50    	3526.92	2131.2	4927.6
206 	50    	3572.21	2234.4	4975.2
207 	50    	3703.91	2342  	5443.2
208 	50    	3583.32	2114.4	5296.8
209 	50    	3486.53	2593.2	4813.2
210 	50    	3623.96	2305.6	5155.6
211 	50    	3540.08	2145.2	4792.8
212 	50    	3485.69	2180.4	5506.4
213 	50    	3434.22	2267.6	4662.4
214 	50    	3421.41	2022.8	4701.6
215 	50    	3510.44	2380.4	4791.6
216 	50    	3476.37	2332  	5009.2
217 	50    	3598.26	1941.2	5391.6
218 	50    	3679.05	2520.8	5796.8
219 	50    	3564.73	2568.4	4426.8
220 	50    	3459.33	2402.4	5082  
221 	50    	3621.83	2244  	5181.2
222 	50    	3484.48	2327.2	5080  
223 	50    	3702.3 	2578.8	4866.8
224 	50    	3491.01	2342.4	5499.6
225 	50    	3566.72	2257.6	5279.6
226 	50    	3487.66	2113.2	4660.4
227 	50    	3646.15	2767.2	5182.8
228 	50    	3576.83	2328.4	5064  
229 	50    	3607.26	2248  	5168  
230 	50    	3482.43	2370  	4488.4
231 	50    	3478.62	2232.8	4750.4
232 	50    	3331.64	1789.2	4522  
233 	50    	3466.44	2542.4	5137.6
234 	50    	3358.28	2148.8	4994  
235 	50    	3563.18	2094  	5191.6
236 	50    	3303.18	2182  	5391.2
237 	50    	3464.05	2231.2	4853.6
238 	50    	3645.95	2555.6	5100  
239 	50    	3501.41	2318.8	4926  
240 	50    	3512.07	2411.6	5030.8
241 	50    	3759.24	2610.4	4802  
242 	50    	3497.17	2474.4	4616  
243 	50    	3329.96	1942.8	4238  
244 	50    	3599.95	2560  	4821.2
245 	50    	3599   	2467.2	4940.4
246 	50    	3620.19	2056  	5509.6
247 	50    	3624.38	2237.6	4957.2
248 	50    	3645.21	2609.6	4930.8
249 	50    	3518.52	2218.8	4849.2
250 	50    	3535.03	2222  	4897.6
251 	50    	3504.22	2470.4	5181.6
252 	50    	3590.23	2278.8	4976.4
253 	50    	3532.25	2189.6	5091.6
254 	50    	3554.1 	2601.2	5660.8
255 	50    	3582.5 	2138  	5254.8
256 	50    	3579.9 	2317.2	5039.2
257 	50    	3456.23	2393.2	4695.6
258 	50    	3360.93	2342  	4354  
259 	50    	3503.92	2522.8	5137.2
260 	50    	3427.35	1956.8	4966.4
261 	50    	3469.06	2359.2	4961.2
262 	50    	3468.53	2108.4	5070  
263 	50    	3580.14	2216.4	4822.8
264 	50    	3618.62	2427.2	4908.4
265 	50    	3507.74	2242  	5437.2
266 	50    	3603.1 	2514.8	5358.8
267 	50    	3659.05	2093.2	4824.4
268 	50    	3537.83	2089.2	5331.6
269 	50    	3714.96	2306  	5470.8
270 	50    	3624.22	2447.6	5336  
271 	50    	3645.79	2544  	5001.6
272 	50    	3633.91	2130.4	5869.6
273 	50    	3485.86	2392.4	4624.8
274 	50    	3500.53	2216.8	5185.6
275 	50    	3441.06	1938  	5400  
276 	50    	3478.61	2535.6	4974  
277 	50    	3606.14	2087.2	5188.4
278 	50    	3620.91	2493.6	5684  
279 	50    	3442.92	1872.4	4589.2
280 	50    	3833.74	2284  	6169.2
281 	50    	3415.78	1938.4	4687.6
282 	50    	3709.41	2440  	5159.6
283 	50    	3659.83	2536.4	5060  
284 	50    	3430.67	2503.2	4996.8
285 	50    	3497.32	2219.2	4850.8
286 	50    	3444.29	2314.4	5409.6
287 	50    	3468.58	2422  	4732.8
288 	50    	3577.07	2133.6	4888.4
289 	50    	3735.98	2663.2	4930.8
290 	50    	3649.76	2396.4	4948  
291 	50    	3336.9 	2165.6	4728  
292 	50    	3683.86	2676.4	4867.2
293 	50    	3685.11	2316.8	5156.4
294 	50    	3664.26	2184.4	5134  
295 	50    	3575.57	2306.8	4554  
296 	50    	3552.98	2358.4	4821.2
297 	50    	3603.08	2610.4	5716.8
298 	50    	3504.14	2344.4	5394  
299 	50    	3617.02	2254.8	4962.8
300 	50    	3724.97	2160  	4963.2
301 	50    	3513.42	2189.2	4722.8
302 	50    	3660.34	2702.4	4696.8
303 	50    	3644.77	2575.6	4947.2
304 	50    	3477.8 	2636.8	4707.6
305 	50    	3459.71	2176.8	4905.6
306 	50    	3617.1 	2491.2	5306.4
307 	50    	3565.37	2500.8	5027.2
308 	50    	3610.4 	2178.8	5604  
309 	50    	3651.15	1900.8	5727.2
310 	50    	3641.57	2337.2	4735.6
311 	50    	3672.83	1850  	5219.2
312 	50    	3672.7 	2565.2	4584.8
313 	50    	3630.86	2256.8	5310.8
314 	50    	3591.31	2287.6	6222.4
315 	50    	3554.42	2186.8	5476.8
316 	50    	3597.1 	2306  	5695.2
317 	50    	3631.42	2642.8	5090.8
318 	50    	3610.54	2156.8	5081.2
319 	50    	3569.86	2252.8	4667.6
320 	50    	3502.42	2134.8	4762.4
321 	50    	3448.29	2113.6	5136  
322 	50    	3562.16	2324.8	5049.6
323 	50    	3528.9 	1853.2	4980  
324 	50    	3665.31	2549.6	5005.2
325 	50    	3478.77	2135.2	5419.6
326 	50    	3664.25	2472.8	5693.2
327 	50    	3720.82	2147.6	4804.8
328 	50    	3615.68	2661.6	5227.2
329 	50    	3460.11	2222.4	5194.8
330 	50    	3486.78	2453.6	5244  
331 	50    	3661.61	2586.4	5078  
332 	50    	3565.87	1882.8	5524.4
333 	50    	3625.46	2382.4	5482.8
334 	50    	3452.65	2295.2	4471.6
335 	50    	3636.17	2352  	6112.8
336 	50    	3586.54	2326.4	4832  
337 	50    	3653.29	2430.4	4819.2
338 	50    	3575.44	2328.8	5175.6
339 	50    	3570.02	2113.6	4994.4
340 	50    	3730.64	2596  	5343.6
341 	50    	3628.59	2432  	5258.8
342 	50    	3540.43	2052  	4583.6
343 	50    	3588.2 	1909.6	5321.2
344 	50    	3708.85	2279.2	4955.2
345 	50    	3641.39	2386.8	5181.2
346 	50    	3695.19	2461.6	5679.2
347 	50    	3579.15	2108  	5508.4
348 	50    	3507.28	2449.6	4840.4
349 	50    	3597.86	2325.6	4889.6
350 	50    	3560.54	2527.6	5156.4
351 	50    	3710.94	2226.4	5929.6
352 	50    	3479.76	2559.6	5290.4
353 	50    	3552.46	2411.6	5242.4
354 	50    	3696.07	2382  	5037.6
355 	50    	3644.2 	2454.4	5257.6
356 	50    	3703.63	2135.2	5474  
357 	50    	3696.71	2106.8	4737.2
358 	50    	3643.92	2335.6	4646.4
359 	50    	3652.3 	2076  	5353.2
360 	50    	3701.66	2637.6	5220.8
361 	50    	3775.33	2262.8	5842.8
362 	50    	3525.42	2563.2	5149.2
363 	50    	3617.94	2563.6	5233.2
364 	50    	3655.9 	1804.8	5223.2
365 	50    	3562.56	2276  	5190.8
366 	50    	3522.36	1823.2	5432.4
367 	50    	3617.73	2375.6	5419.2
368 	50    	3618.15	2235.6	4850.8
369 	50    	3678.29	2565.2	4797.6
370 	50    	3689.22	2513.6	5142.4
371 	50    	3677.4 	2163.6	5280  
372 	50    	3750.89	2750  	5425.2
373 	50    	3659.18	2543.6	4847.6
374 	50    	3730.45	2394  	5043.2
375 	50    	3669.13	2361.2	5011.6
376 	50    	3718.45	2601.2	5808.4
377 	50    	3628.64	2262.4	5170.8
378 	50    	3542.02	2351.6	4820.4
379 	50    	3607.22	2276  	5222.8
380 	50    	3519.33	1842.4	5247.6
381 	50    	3718.59	2751.2	5192.4
382 	50    	3691.48	2409.2	4773.2
383 	50    	3639.1 	2039.2	4995.6
384 	50    	3662.09	2216.4	4995.6
385 	50    	3628.55	2568.8	5529.6
386 	50    	3727.21	2823.2	5631.6
387 	50    	3630.74	2660  	5264  
388 	50    	3436.21	1974  	5276.8
389 	50    	3699.88	2201.6	5222  
390 	50    	3721.79	2720  	5500.4
391 	50    	3549.26	2206.4	5542.4
392 	50    	3649.61	2234.4	5665.2
393 	50    	3488.91	2410  	4538.8
394 	50    	3651.76	2768.4	5358.8
395 	50    	3574.94	2653.6	4896.8
396 	50    	3538.58	2525.6	5141.6
397 	50    	3618.62	2111.6	4768  
398 	50    	3607.22	2293.6	4831.6
399 	50    	3645.83	1989.6	4762.8
400 	50    	3638.75	2385.6	4958.4
401 	50    	3535.61	1795.6	4698.4
402 	50    	3595.22	2535.6	5168  
403 	50    	3729.18	2154.4	5403.6
404 	50    	3496.5 	2007.6	5007.6
405 	50    	3464.26	2244.4	4722.8
406 	50    	3513.74	2248.8	5332.4
407 	50    	3670.54	2747.2	4849.2
408 	50    	3594.4 	2159.2	5702.8
409 	50    	3669.23	2513.2	5310.4
410 	50    	3513.86	2268.8	5430.4
411 	50    	3689.1 	1816.8	5301.6
412 	50    	3689.68	2480.4	5013.2
413 	50    	3491.95	2352.4	5035.6
414 	50    	3546.69	2346  	4757.2
415 	50    	3492.03	2448.8	4961.2
416 	50    	3645.1 	2375.2	5322  
417 	50    	3628.44	2444.4	4909.2
418 	50    	3604.45	2372.4	5680.4
419 	50    	3571.62	2629.2	4994  
420 	50    	3614.67	2338  	5119.2
421 	50    	3752.75	1885.2	5818.8
422 	50    	3758.99	2465.2	5435.6
423 	50    	3744.87	1938.8	5287.2
424 	50    	3706.39	2656  	4970.8
425 	50    	3602.94	2541.6	4922.4
426 	50    	3661.02	2758.8	4861.6
427 	50    	3620.07	2435.2	5301.6
428 	50    	3619.66	2036.4	5338.8
429 	50    	3678.26	2544.8	5967.6
430 	50    	3657.57	2177.2	5509.2
431 	50    	3496.69	1966.4	4766  
432 	50    	3660.9 	2628.8	4986.4
433 	50    	3642.71	2302  	5092.4
434 	50    	3606.81	2578.8	5327.2
435 	50    	3682.1 	2624.8	4986.8
436 	50    	3591.55	2537.2	4611.6
437 	50    	3614.17	2622.4	5659.2
438 	50    	3551.54	2743.6	5399.6
439 	50    	3633.7 	2285.6	5743.6
440 	50    	3560.74	2505.6	5206  
441 	50    	3519.26	2096.8	5643.2
442 	50    	3585.57	2712.4	4544  
443 	50    	3741.66	2394.4	5281.2
444 	50    	3592.46	2171.6	5206.8
445 	50    	3587.26	2413.2	5122  
446 	50    	3611.26	2567.6	4776.8
447 	50    	3681.52	2528  	5122.4
448 	50    	3695.79	2650.4	5395.6
449 	50    	3542.87	2398  	4535.6
450 	50    	3733.14	2131.2	5550.8
451 	50    	3606.19	2374.4	5036.8
452 	50    	3569.5 	2436.4	5500.8
453 	50    	3465.42	2325.6	4726.8
454 	50    	3753.72	2444.8	6157.6
455 	50    	3580.6 	2269.6	4573.2
456 	50    	3611.57	2554  	5382  
457 	50    	3621.98	2424.4	5325.2
458 	50    	3585.69	2477.6	4976.8
459 	50    	3550.85	2243.6	4414.8
460 	50    	3676.62	2477.6	5726.4
461 	50    	3591.2 	2162.8	4911.2
462 	50    	3631.7 	2590.4	5030.4
463 	50    	3443.29	2102  	4856.4
464 	50    	3759.51	2279.6	5470.4
465 	50    	3686.42	2449.2	5294.4
466 	50    	3622.04	2125.2	4717.2
467 	50    	3693.41	2294.4	5410  
468 	50    	3605.77	1974  	5226.8
469 	50    	3649.44	2570.4	4726  
470 	50    	3613.26	2297.6	4994  
471 	50    	3730.96	2472.4	4951.2
472 	50    	3658.34	2560.8	5153.6
473 	50    	3681.77	2109.2	5236  
474 	50    	3623.1 	2376.8	4642.8
475 	50    	3595.45	2680.8	4846.8
476 	50    	3782.06	2654.4	5366.8
477 	50    	3480.34	2453.2	5027.6
478 	50    	3787.86	2318  	4827.2
479 	50    	3671.91	2454.8	5317.2
480 	50    	3712.93	2770.8	5189.6
481 	50    	3817.74	2590.8	5698.8
482 	50    	3745.11	2675.2	5369.6
483 	50    	3744.04	2448  	4949.6
484 	50    	3721.19	2581.6	5134  
485 	50    	3633.14	2378.4	5363.2
486 	50    	3697.66	2280  	5819.2
487 	50    	3640.53	2583.2	5151.2
488 	50    	3894.85	2472.8	6097.2
489 	50    	3566.57	2465.6	4924.8
490 	50    	3672.94	2368.4	5768  
491 	50    	3621.99	2355.6	5175.6
492 	50    	3775.7 	2689.6	4930.4
493 	50    	3584.65	2419.2	4781.6
494 	50    	3504.09	2466  	5008.8
495 	50    	3782.18	2305.2	5248  
496 	50    	3656.17	2476.4	5139.6
497 	50    	3662.21	2354.4	5393.6
498 	50    	3743.94	2556  	5528.4
499 	50    	3806.3 	2593.2	5212.4
500 	50    	3620.38	2335.2	5047.2
501 	50    	3599.58	2591.6	4900.8
502 	50    	3705.42	2703.6	5916.4
503 	50    	3510.14	2085.2	4654  
504 	50    	3504.62	1968  	4924  
505 	50    	3637.11	2467.2	5801.6
506 	50    	3500.12	2452.8	5030  
507 	50    	3492.46	2210.4	5471.6
508 	50    	3610.81	2230.8	5420.4
509 	50    	3574.16	2101.2	5155.2
510 	50    	3633.43	2322.8	5291.2
511 	50    	3494.1 	1945.2	4906.4
512 	50    	3620.02	2102.4	5120.8
513 	50    	3535.18	2376.4	4643.6
514 	50    	3604.58	2326.8	4900.8
515 	50    	3487.7 	1879.2	4692.4
516 	50    	3649.94	2492.4	4847.2
517 	50    	3669.21	2432.4	5287.2
518 	50    	3666.98	2456.8	5625.2
519 	50    	3694.01	2504.8	5181.2
520 	50    	3637.39	2402.4	4979.6
521 	50    	3487.85	2324.8	5684  
522 	50    	3491.3 	2219.2	4740  
523 	50    	3714.83	2683.6	5060.8
524 	50    	3582.28	2610.4	5342  
525 	50    	3638.54	2102.8	5833.6
526 	50    	3542.57	2136.8	5067.6
527 	50    	3595.54	2489.6	4856.4
528 	50    	3366   	2158  	5384.8
529 	50    	3524.36	2475.6	4843.6
530 	50    	3503.14	2084.4	4776.8
531 	50    	3671.59	2315.6	5403.2
532 	50    	3717.3 	2156  	5811.6
533 	50    	3433.43	2055.2	4744.8
534 	50    	3428.34	2394.8	4612.4
535 	50    	3680.19	2507.6	4968.8
536 	50    	3613.44	2698.4	4716.8
537 	50    	3599.43	2567.2	4814.4
538 	50    	3478.21	2097.2	4891.2
539 	50    	3561.1 	2362  	5164.4
540 	50    	3681.09	1989.2	4701.2
541 	50    	3555.82	2188.8	5451.2
542 	50    	3796.67	2708  	5131.2
543 	50    	3659.44	2371.2	5100.4
544 	50    	3763.9 	2139.6	5400.4
545 	50    	3475.42	2177.6	4710.8
546 	50    	3493.42	2317.2	4806  
547 	50    	3495.07	2452.8	5076.8
548 	50    	3441.06	2464.8	4591.6
