gen	nevals	avg   	min  	max  
1  	20    	77.59 	49   	100.4
2  	20    	75.17 	43   	101.6
3  	20    	91.56 	66.4 	113.2
4  	20    	103.35	84.2 	118.4
5  	20    	99.73 	72.6 	121.2
6  	20    	101.33	82.2 	119.8
7  	20    	103.81	88.4 	116.6
8  	20    	107.69	97.4 	120.2
9  	20    	111.75	97.4 	125.6
10 	20    	112.34	101.2	128.6
11 	20    	111.6 	96   	129.8
12 	20    	111.73	100.8	130.8
13 	20    	113.09	101.2	132  
14 	20    	113   	101.8	125.4
15 	20    	112.63	99.6 	126.4
16 	20    	109.36	86.8 	127.8
17 	20    	110.67	101.6	119.2
18 	20    	109.88	95.4 	126.6
19 	20    	116.16	95.8 	126.4
20 	20    	111.22	94.6 	120  
21 	20    	114.25	103.2	132.8
22 	20    	112.76	97.6 	134.4
23 	20    	114.36	96   	128.6
24 	20    	111.24	95.4 	135  
25 	20    	116.45	95   	136.6
26 	20    	116.22	94.8 	134.2
27 	20    	118.31	106.8	134.6
28 	20    	118.01	102.4	142.8
29 	20    	113.43	103.4	124.6
30 	20    	114.7 	103.6	125.4
31 	20    	116.84	108  	135  
32 	20    	119.07	97.4 	130.2
33 	20    	118.1 	100  	126.8
34 	20    	113.23	99.6 	126  
35 	20    	116.31	103  	135.2
36 	20    	116.45	97   	130.8
37 	20    	117.9 	104.8	139.6
38 	20    	118.61	106.8	134.4
39 	20    	116.16	101.8	136.4
40 	20    	114.36	99   	131.2
41 	20    	116.27	91.8 	133  
42 	20    	118.46	108.6	136.6
43 	20    	117.8 	106.4	133.6
44 	20    	119.69	97.4 	128.2
45 	20    	123.04	112  	133.6
46 	20    	117.67	106.2	131.6
47 	20    	118.62	104.6	135.2
48 	20    	117.04	103.8	129.2
49 	20    	122.4 	110.6	136.6
50 	20    	123.06	111  	134.4
51 	20    	122.19	100.4	133.6
52 	20    	120.12	105.6	130  
53 	20    	116.55	100  	133  
54 	20    	120.28	110  	139.6
55 	20    	120.11	104.6	135.2
56 	20    	120.44	105.8	132.6
57 	20    	116.85	103.4	128  
58 	20    	119.24	106.2	129.2
59 	20    	120.2 	106  	131.6
60 	20    	119.28	106.8	136.6
61 	20    	121.97	103  	135.6
62 	20    	119.47	108  	139  
63 	20    	123.92	113  	140.6
64 	20    	120.51	110.4	135.8
65 	20    	121.38	106.6	136  
66 	20    	123.31	104.4	140.2
67 	20    	122.94	110.8	136  
68 	20    	120.6 	108.4	131.2
69 	20    	117.77	104  	129.8
70 	20    	120.65	104  	128.8
71 	20    	121.34	106.8	131.6
72 	20    	118.68	106  	129.4
73 	20    	118.98	111.2	132.4
74 	20    	121.67	108.6	132.2
75 	20    	119.39	105.8	131.4
76 	20    	118.68	106.8	130.8
77 	20    	122.91	108.8	139.2
