gen	nevals	avg    	min    	max    
0  	25    	2162.5 	810.96 	2826.16
1  	25    	2409.7 	810.96 	2826.16
2  	25    	2543.69	2159.44	2846.48
3  	25    	2557.36	2159.44	2846.48
4  	25    	2593.56	2254.56	2846.48
5  	25    	2604.4 	2268.48	2846.48
6  	25    	2643.88	2268.48	3213.04
7  	25    	2656.01	2473.92	3213.04
8  	25    	2667.88	2473.92	3213.04
9  	25    	2667.88	2473.92	3213.04
10 	25    	2668.01	2473.92	3213.04
11 	25    	2674.3 	2473.92	3213.04
12 	25    	2683.39	2473.92	3213.04
13 	25    	2699.21	2473.92	3213.04
14 	25    	2714.2 	2473.92	3213.04
15 	25    	2730.17	2487.92	3213.04
16 	25    	2747.15	2506.48	3213.04
17 	25    	2747.15	2506.48	3213.04
18 	25    	2789.87	2506.48	3249.04
19 	25    	2797.26	2506.48	3249.04
20 	25    	2797.26	2506.48	3249.04
21 	25    	2797.26	2506.48	3249.04
22 	25    	2797.26	2506.48	3249.04
23 	25    	2809.98	2506.48	3249.04
24 	25    	2830.22	2506.48	3249.04
25 	25    	2832.06	2506.48	3249.04
26 	25    	2832.06	2506.48	3249.04
27 	25    	2832.54	2506.48	3249.04
28 	25    	2835.66	2506.48	3249.04
29 	25    	2880.18	2506.48	3362.96
30 	25    	2880.18	2506.48	3362.96
31 	25    	2880.18	2506.48	3362.96
32 	25    	2880.18	2506.48	3362.96
33 	25    	2880.18	2506.48	3362.96
34 	25    	2880.18	2506.48	3362.96
35 	25    	2880.18	2506.48	3362.96
36 	25    	2886.68	2506.48	3362.96
37 	25    	2886.68	2506.48	3362.96
38 	25    	2889.03	2506.48	3362.96
39 	25    	2891.19	2506.48	3362.96
40 	25    	2891.19	2506.48	3362.96
41 	25    	2891.19	2506.48	3362.96
42 	25    	2905.33	2506.48	3362.96
43 	25    	2905.33	2506.48	3362.96
44 	25    	2905.33	2506.48	3362.96
45 	25    	2905.33	2506.48	3362.96
46 	25    	2905.33	2506.48	3362.96
47 	25    	2905.33	2506.48	3362.96
48 	25    	2905.33	2506.48	3362.96
49 	25    	2905.33	2506.48	3362.96
50 	25    	2908.28	2506.48	3362.96
51 	25    	2908.28	2506.48	3362.96
52 	25    	2909.24	2530.48	3362.96
53 	25    	2909.24	2530.48	3362.96
54 	25    	2909.24	2530.48	3362.96
55 	25    	2909.24	2530.48	3362.96
56 	25    	2909.24	2530.48	3362.96
57 	25    	2909.24	2530.48	3362.96
58 	25    	2909.24	2530.48	3362.96
59 	25    	2911.46	2530.48	3362.96
60 	25    	2911.46	2530.48	3362.96
61 	25    	2911.46	2530.48	3362.96
