gen	nevals	avg    	min    	max    
0  	25    	81.2827	46.0667	108.333
1  	25    	89.568 	56.0667	108.333
2  	25    	94.4747	63.4667	108.333
3  	25    	96.384 	75.2667	108.333
4  	25    	98.7093	82.9333	113.4  
5  	25    	101.285	88.4   	118.133
6  	25    	101.499	88.4   	118.133
7  	25    	103.141	89.2667	118.133
8  	25    	104.501	89.2667	120.467
9  	25    	105.437	89.2667	120.467
10 	25    	106.917	91.2   	120.467
11 	25    	109.157	91.2   	120.467
12 	25    	109.787	94.6667	120.467
13 	25    	111.728	94.6667	121.4  
14 	25    	112.363	96.7333	121.933
15 	25    	113.144	97.6667	125.133
16 	25    	113.752	100.733	125.133
17 	25    	114.179	100.733	125.133
18 	25    	114.525	100.733	125.133
19 	25    	115.032	100.733	125.133
20 	25    	115.032	100.733	125.133
21 	25    	115.325	100.733	127    
22 	25    	115.984	100.733	127.467
23 	25    	116.669	102.867	127.467
24 	25    	117.016	102.867	127.467
25 	25    	117.643	106.8  	127.467
26 	25    	117.643	106.8  	127.467
27 	25    	117.955	106.8  	127.467
28 	25    	118.515	106.8  	128.6  
29 	25    	118.528	106.8  	128.6  
30 	25    	118.789	106.8  	128.6  
31 	25    	118.869	106.8  	128.6  
32 	25    	118.869	106.8  	128.6  
33 	25    	119.096	106.8  	128.6  
34 	25    	119.165	106.8  	128.6  
35 	25    	119.165	106.8  	128.6  
36 	25    	119.165	106.8  	128.6  
37 	25    	119.165	106.8  	128.6  
38 	25    	119.603	106.8  	128.6  
39 	25    	119.616	106.8  	128.6  
40 	25    	119.616	106.8  	128.6  
41 	25    	120.032	106.8  	128.6  
42 	25    	120.299	108.533	128.6  
43 	25    	120.533	110    	128.6  
44 	25    	120.859	110    	128.6  
45 	25    	121.696	110    	128.6  
46 	25    	121.696	110    	128.6  
47 	25    	121.731	110.867	128.6  
48 	25    	121.765	110.867	128.6  
49 	25    	121.856	111.733	128.6  
50 	25    	121.992	111.733	128.6  
51 	25    	122.184	111.733	128.6  
52 	25    	122.227	111.733	128.6  
53 	25    	122.227	111.733	128.6  
54 	25    	122.227	111.733	128.6  
55 	25    	122.227	111.733	128.6  
56 	25    	122.227	111.733	128.6  
57 	25    	122.6  	111.733	128.6  
58 	25    	122.605	111.733	128.6  
59 	25    	122.667	111.733	128.6  
60 	25    	122.667	111.733	128.6  
61 	25    	122.707	111.733	128.6  
62 	25    	122.744	111.733	129.133
63 	25    	122.744	111.733	129.133
64 	25    	122.744	111.733	129.133
65 	25    	122.819	111.733	129.133
66 	25    	122.936	111.733	129.133
67 	25    	123    	111.733	129.133
68 	25    	123.24 	111.733	129.133
69 	25    	123.307	113.4  	129.133
70 	25    	123.464	113.4  	129.133
71 	25    	123.811	113.4  	129.133
72 	25    	123.92 	113.4  	129.133
73 	25    	124.496	119    	129.133
74 	25    	124.656	120.8  	129.133
75 	25    	124.701	120.8  	129.133
76 	25    	124.709	120.8  	129.133
77 	25    	124.709	120.8  	129.133
78 	25    	124.709	120.8  	129.133
79 	25    	124.709	120.8  	129.133
80 	25    	124.709	120.8  	129.133
81 	25    	124.931	120.8  	129.133
82 	25    	124.931	120.8  	129.133
83 	25    	125.032	120.8  	129.133
84 	25    	125.032	120.8  	129.133
85 	25    	125.141	120.8  	129.133
86 	25    	125.307	120.8  	129.133
87 	25    	125.323	120.8  	129.133
88 	25    	125.323	120.8  	129.133
89 	25    	125.472	121    	129.133
90 	25    	125.472	121    	129.133
91 	25    	125.472	121    	129.133
92 	25    	125.653	121    	129.133
93 	25    	125.829	121    	131.467
94 	25    	125.829	121    	131.467
95 	25    	125.829	121    	131.467
96 	25    	125.829	121    	131.467
97 	25    	125.829	121    	131.467
98 	25    	126.189	121    	131.467
99 	25    	126.189	121    	131.467
100	25    	126.189	121    	131.467
101	25    	126.189	121    	131.467
102	25    	126.328	121    	132.467
103	25    	126.328	121    	132.467
104	25    	126.581	121    	132.467
105	25    	126.581	121    	132.467
106	25    	126.677	121    	132.467
107	25    	126.677	121    	132.467
108	25    	126.731	121    	132.467
109	25    	126.755	121    	132.467
110	25    	126.8  	121    	132.467
111	25    	126.808	121    	132.467
112	25    	126.808	121    	132.467
113	25    	126.808	121    	132.467
114	25    	126.808	121    	132.467
115	25    	126.808	121    	132.467
116	25    	126.843	121    	132.467
117	25    	126.843	121    	132.467
118	25    	126.843	121    	132.467
119	25    	126.843	121    	132.467
120	25    	127.016	121    	132.467
121	25    	127.016	121    	132.467
122	25    	127.016	121    	132.467
123	25    	127.211	121    	132.467
124	25    	127.211	121    	132.467
125	25    	127.211	121    	132.467
126	25    	127.211	121    	132.467
127	25    	127.219	121    	132.467
128	25    	127.219	121    	132.467
129	25    	127.219	121    	132.467
130	25    	127.219	121    	132.467
131	25    	127.219	121    	132.467
132	25    	127.219	121    	132.467
133	25    	127.379	121    	132.467
134	25    	127.379	121    	132.467
135	25    	127.379	121    	132.467
136	25    	127.379	121    	132.467
137	25    	127.603	121    	134.067
138	25    	127.603	121    	134.067
139	25    	127.603	121    	134.067
140	25    	127.603	121    	134.067
141	25    	127.603	121    	134.067
142	25    	127.603	121    	134.067
143	25    	127.661	121    	134.067
144	25    	127.661	121    	134.067
145	25    	127.661	121    	134.067
146	25    	127.669	121    	134.067
147	25    	127.669	121    	134.067
148	25    	127.669	121    	134.067
149	25    	127.789	121    	134.067
150	25    	127.789	121    	134.067
151	25    	127.789	121    	134.067
152	25    	127.789	121    	134.067
153	25    	127.84 	121    	134.067
154	25    	127.84 	121    	134.067
155	25    	127.845	121    	134.067
156	25    	127.845	121    	134.067
157	25    	127.971	121    	134.067
158	25    	127.971	121    	134.067
159	25    	128.011	121    	134.067
160	25    	128.011	121    	134.067
161	25    	128.011	121    	134.067
162	25    	128.011	121    	134.067
163	25    	128.011	121    	134.067
164	25    	128.112	121    	134.067
165	25    	128.112	121    	134.067
166	25    	128.112	121    	134.067
167	25    	128.133	121    	134.067
168	25    	128.168	121    	134.067
169	25    	128.168	121    	134.067
170	25    	128.213	121    	134.067
