gen	nevals	avg      	min       	max      
0  	25    	0.0168542	0         	0.0765625
1  	25    	0.0366667	0         	0.0979167
2  	25    	0.0540417	0         	0.0979167
3  	25    	0.0612917	0         	0.0979167
4  	25    	0.0626354	0.0078125 	0.0994792
5  	25    	0.0709271	0.0078125 	0.0994792
6  	25    	0.0714271	0.0078125 	0.0994792
7  	25    	0.0766979	0.0078125 	0.0994792
8  	25    	0.07725  	0.0078125 	0.0994792
9  	25    	0.07875  	0.0078125 	0.0994792
10 	25    	0.0831979	0.0078125 	0.0994792
11 	25    	0.0835833	0.0078125 	0.0994792
12 	25    	0.0840625	0.0078125 	0.0994792
13 	25    	0.0854583	0.0078125 	0.0994792
14 	25    	0.0856771	0.0078125 	0.0994792
15 	25    	0.0864896	0.0078125 	0.0994792
16 	25    	0.0876771	0.0078125 	0.102604 
17 	25    	0.0886146	0.00859375	0.102604 
18 	25    	0.0913333	0.00859375	0.165625 
19 	25    	0.0916563	0.00859375	0.165625 
20 	25    	0.0922188	0.00859375	0.165625 
21 	25    	0.0926875	0.00859375	0.165625 
22 	25    	0.0956146	0.0638021 	0.165625 
23 	25    	0.095625 	0.0640625 	0.165625 
24 	25    	0.0958646	0.0640625 	0.165625 
25 	25    	0.0964062	0.0776042 	0.165625 
26 	25    	0.0964583	0.0776042 	0.165625 
27 	25    	0.0966042	0.0776042 	0.165625 
28 	25    	0.0966042	0.0776042 	0.165625 
29 	25    	0.0966875	0.0776042 	0.165625 
30 	25    	0.0973229	0.0776042 	0.165625 
31 	25    	0.0977188	0.0776042 	0.165625 
32 	25    	0.0978333	0.0776042 	0.165625 
33 	25    	0.0980521	0.0776042 	0.165625 
34 	25    	0.0980521	0.0776042 	0.165625 
35 	25    	0.0980521	0.0776042 	0.165625 
36 	25    	0.0981979	0.0776042 	0.165625 
37 	25    	0.0984583	0.0776042 	0.165625 
38 	25    	0.0984583	0.0776042 	0.165625 
39 	25    	0.0984583	0.0776042 	0.165625 
40 	25    	0.0984583	0.0776042 	0.165625 
41 	25    	0.0984583	0.0776042 	0.165625 
42 	25    	0.0984583	0.0776042 	0.165625 
43 	25    	0.133417 	0.0776042 	0.61849  
44 	25    	0.133417 	0.0776042 	0.61849  
45 	25    	0.133438 	0.0776042 	0.61849  
46 	25    	0.133438 	0.0776042 	0.61849  
47 	25    	0.133635 	0.0776042 	0.61849  
48 	25    	0.13401  	0.0869792 	0.61849  
49 	25    	0.13401  	0.0869792 	0.61849  
50 	25    	0.13401  	0.0869792 	0.61849  
51 	25    	0.134094 	0.0869792 	0.61849  
52 	25    	0.134094 	0.0869792 	0.61849  
53 	25    	0.134094 	0.0869792 	0.61849  
54 	25    	0.134271 	0.0869792 	0.61849  
55 	25    	0.134521 	0.0869792 	0.61849  
56 	25    	0.135281 	0.0869792 	0.61849  
57 	25    	0.135281 	0.0869792 	0.61849  
58 	25    	0.135281 	0.0869792 	0.61849  
59 	25    	0.135281 	0.0869792 	0.61849  
60 	25    	0.135375 	0.0869792 	0.61849  
61 	25    	0.135375 	0.0869792 	0.61849  
62 	25    	0.135719 	0.0869792 	0.627083 
63 	25    	0.135719 	0.0869792 	0.627083 
64 	25    	0.165667 	0.0880208 	0.835677 
65 	25    	0.165667 	0.0880208 	0.835677 
66 	25    	0.165667 	0.0880208 	0.835677 
67 	25    	0.165667 	0.0880208 	0.835677 
68 	25    	0.167177 	0.0880208 	0.873438 
69 	25    	0.167177 	0.0880208 	0.873438 
70 	25    	0.167375 	0.0885417 	0.873438 
71 	25    	0.167823 	0.0885417 	0.873438 
72 	25    	0.167823 	0.0885417 	0.873438 
73 	25    	0.17076  	0.0885417 	0.873438 
74 	25    	0.17076  	0.0885417 	0.873438 
75 	25    	0.17076  	0.0885417 	0.873438 
76 	25    	0.17076  	0.0885417 	0.873438 
77 	25    	0.17076  	0.0885417 	0.873438 
78 	25    	0.170948 	0.0885417 	0.873438 
79 	25    	0.170948 	0.0885417 	0.873438 
80 	25    	0.170948 	0.0885417 	0.873438 
81 	25    	0.170948 	0.0885417 	0.873438 
82 	25    	0.171427 	0.0885417 	0.873438 
83 	25    	0.171427 	0.0885417 	0.873438 
84 	25    	0.171427 	0.0885417 	0.873438 
85 	25    	0.171542 	0.0885417 	0.873438 
86 	25    	0.171542 	0.0885417 	0.873438 
87 	25    	0.171542 	0.0885417 	0.873438 
88 	25    	0.171542 	0.0885417 	0.873438 
89 	25    	0.171542 	0.0885417 	0.873438 
90 	25    	0.171542 	0.0885417 	0.873438 
91 	25    	0.171542 	0.0885417 	0.873438 
92 	25    	0.171542 	0.0885417 	0.873438 
93 	25    	0.171542 	0.0885417 	0.873438 
94 	25    	0.171542 	0.0885417 	0.873438 
95 	25    	0.171542 	0.0885417 	0.873438 
96 	25    	0.171542 	0.0885417 	0.873438 
97 	25    	0.172615 	0.0919271 	0.873438 
98 	25    	0.172615 	0.0919271 	0.873438 
99 	25    	0.172615 	0.0919271 	0.873438 
100	25    	0.172708 	0.0927083 	0.873438 
101	25    	0.172708 	0.0927083 	0.873438 
102	25    	0.172708 	0.0927083 	0.873438 
103	25    	0.172708 	0.0927083 	0.873438 
104	25    	0.172708 	0.0927083 	0.873438 
105	25    	0.172708 	0.0927083 	0.873438 
106	25    	0.172708 	0.0927083 	0.873438 
107	25    	0.172708 	0.0927083 	0.873438 
108	25    	0.172708 	0.0927083 	0.873438 
109	25    	0.172708 	0.0927083 	0.873438 
110	25    	0.172708 	0.0927083 	0.873438 
111	25    	0.172708 	0.0927083 	0.873438 
112	25    	0.172708 	0.0927083 	0.873438 
113	25    	0.172708 	0.0927083 	0.873438 
114	25    	0.172708 	0.0927083 	0.873438 
115	25    	0.172979 	0.0927083 	0.873438 
116	25    	0.179167 	0.0929687 	0.873438 
117	25    	0.179167 	0.0929687 	0.873438 
118	25    	0.179167 	0.0929687 	0.873438 
119	25    	0.179167 	0.0929687 	0.873438 
120	25    	0.179167 	0.0929687 	0.873438 
121	25    	0.179167 	0.0929687 	0.873438 
122	25    	0.179177 	0.0929687 	0.873438 
123	25    	0.179177 	0.0929687 	0.873438 
124	25    	0.179177 	0.0929687 	0.873438 
125	25    	0.179354 	0.0942708 	0.873438 
126	25    	0.179354 	0.0942708 	0.873438 
127	25    	0.179521 	0.0942708 	0.873438 
128	25    	0.179521 	0.0942708 	0.873438 
129	25    	0.179917 	0.0945313 	0.873438 
130	25    	0.179917 	0.0945313 	0.873438 
131	25    	0.179917 	0.0945313 	0.873438 
132	25    	0.179917 	0.0945313 	0.873438 
133	25    	0.179917 	0.0945313 	0.873438 
134	25    	0.179917 	0.0945313 	0.873438 
135	25    	0.179917 	0.0945313 	0.873438 
136	25    	0.179917 	0.0945313 	0.873438 
137	25    	0.180542 	0.0945313 	0.873438 
138	25    	0.180542 	0.0945313 	0.873438 
139	25    	0.180542 	0.0945313 	0.873438 
140	25    	0.180542 	0.0945313 	0.873438 
141	25    	0.180542 	0.0945313 	0.873438 
142	25    	0.188208 	0.096875  	0.873438 
143	25    	0.189375 	0.096875  	0.873438 
144	25    	0.189375 	0.096875  	0.873438 
145	25    	0.189375 	0.096875  	0.873438 
146	25    	0.189375 	0.096875  	0.873438 
147	25    	0.189375 	0.096875  	0.873438 
148	25    	0.189375 	0.096875  	0.873438 
149	25    	0.189375 	0.096875  	0.873438 
150	25    	0.189375 	0.096875  	0.873438 
151	25    	0.189375 	0.096875  	0.873438 
152	25    	0.189375 	0.096875  	0.873438 
153	25    	0.189375 	0.096875  	0.873438 
154	25    	0.192458 	0.096875  	0.873438 
155	25    	0.192458 	0.096875  	0.873438 
156	25    	0.192948 	0.096875  	0.873438 
157	25    	0.192948 	0.096875  	0.873438 
158	25    	0.192948 	0.096875  	0.873438 
159	25    	0.192948 	0.096875  	0.873438 
160	25    	0.192948 	0.096875  	0.873438 
161	25    	0.192948 	0.096875  	0.873438 
162	25    	0.192948 	0.096875  	0.873438 
163	25    	0.192948 	0.096875  	0.873438 
164	25    	0.192948 	0.096875  	0.873438 
165	25    	0.192948 	0.096875  	0.873438 
166	25    	0.192948 	0.096875  	0.873438 
167	25    	0.192948 	0.096875  	0.873438 
168	25    	0.192948 	0.096875  	0.873438 
169	25    	0.192948 	0.096875  	0.873438 
170	25    	0.204    	0.096875  	0.873438 
171	25    	0.204    	0.096875  	0.873438 
172	25    	0.204    	0.096875  	0.873438 
173	25    	0.204    	0.096875  	0.873438 
174	25    	0.204    	0.096875  	0.873438 
175	25    	0.204    	0.096875  	0.873438 
176	25    	0.204    	0.096875  	0.873438 
177	25    	0.204    	0.096875  	0.873438 
178	25    	0.204135 	0.096875  	0.873438 
179	25    	0.204135 	0.096875  	0.873438 
180	25    	0.205844 	0.096875  	0.873438 
181	25    	0.20624  	0.096875  	0.873438 
182	25    	0.20624  	0.096875  	0.873438 
183	25    	0.20624  	0.096875  	0.873438 
184	25    	0.21324  	0.096875  	0.873438 
185	25    	0.21324  	0.096875  	0.873438 
186	25    	0.21324  	0.096875  	0.873438 
