gen	nevals	avg      	min      	max      
0  	25    	0.0205521	0        	0.0713542
1  	25    	0.0213646	0        	0.0731771
2  	25    	0.0288542	0        	0.0739583
3  	25    	0.039125 	0        	0.0765625
4  	25    	0.0459479	0.0078125	0.0854167
5  	25    	0.0490833	0.0078125	0.0854167
6  	25    	0.0519375	0.0078125	0.0854167
7  	25    	0.0551771	0.0078125	0.0854167
8  	25    	0.0559583	0.0078125	0.0854167
9  	25    	0.0612708	0.0078125	0.0854167
10 	25    	0.0651042	0.0078125	0.0854167
11 	25    	0.0675938	0.0078125	0.0854167
12 	25    	0.0675938	0.0078125	0.0854167
13 	25    	0.0678854	0.0078125	0.0854167
14 	25    	0.0678854	0.0078125	0.0854167
15 	25    	0.0678854	0.0078125	0.0854167
16 	25    	0.0686979	0.0078125	0.0854167
17 	25    	0.0720104	0.0078125	0.0854167
18 	25    	0.0721979	0.0078125	0.0854167
19 	25    	0.074    	0.0078125	0.0989583
20 	25    	0.0743646	0.0078125	0.0989583
21 	25    	0.074375 	0.0078125	0.0989583
22 	25    	0.074375 	0.0078125	0.0989583
23 	25    	0.0747188	0.0078125	0.0989583
24 	25    	0.0748125	0.0078125	0.0989583
25 	25    	0.0748229	0.0078125	0.0989583
26 	25    	0.0748229	0.0078125	0.0989583
27 	25    	0.0778333	0.0078125	0.0989583
28 	25    	0.0779896	0.0078125	0.0989583
29 	25    	0.0817708	0.0635417	0.116927 
30 	25    	0.0818437	0.0635417	0.116927 
31 	25    	0.0819062	0.0635417	0.116927 
32 	25    	0.0819062	0.0635417	0.116927 
33 	25    	0.0819479	0.0635417	0.116927 
34 	25    	0.0825937	0.0635417	0.116927 
35 	25    	0.0837604	0.0734375	0.116927 
36 	25    	0.083875 	0.0734375	0.116927 
37 	25    	0.0841562	0.0734375	0.116927 
38 	25    	0.0852604	0.0734375	0.116927 
39 	25    	0.0861146	0.0763021	0.116927 
40 	25    	0.086875 	0.0763021	0.116927 
41 	25    	0.0869479	0.0763021	0.116927 
42 	25    	0.0869479	0.0763021	0.116927 
43 	25    	0.0869479	0.0763021	0.116927 
44 	25    	0.0873229	0.0763021	0.116927 
45 	25    	0.0920729	0.0763021	0.144792 
46 	25    	0.0920729	0.0763021	0.144792 
47 	25    	0.0920729	0.0763021	0.144792 
48 	25    	0.0921771	0.0763021	0.144792 
49 	25    	0.0921771	0.0763021	0.144792 
50 	25    	0.093125 	0.0763021	0.144792 
51 	25    	0.093125 	0.0763021	0.144792 
52 	25    	0.093125 	0.0763021	0.144792 
53 	25    	0.0932708	0.0763021	0.144792 
54 	25    	0.0932917	0.0768229	0.144792 
55 	25    	0.0951875	0.0768229	0.146354 
56 	25    	0.0987917	0.0768229	0.153125 
57 	25    	0.0987917	0.0768229	0.153125 
58 	25    	0.0987917	0.0768229	0.153125 
59 	25    	0.0989479	0.0768229	0.153125 
60 	25    	0.0989479	0.0768229	0.153125 
61 	25    	0.0989479	0.0768229	0.153125 
62 	25    	0.0989479	0.0768229	0.153125 
63 	25    	0.0989479	0.0768229	0.153125 
64 	25    	0.0989479	0.0768229	0.153125 
65 	25    	0.0993646	0.0768229	0.156771 
66 	25    	0.0995625	0.0768229	0.156771 
67 	25    	0.0996979	0.0768229	0.156771 
68 	25    	0.0998125	0.0768229	0.156771 
69 	25    	0.10199  	0.0768229	0.156771 
70 	25    	0.102427 	0.0768229	0.156771 
71 	25    	0.105281 	0.0768229	0.199219 
72 	25    	0.105333 	0.0768229	0.199219 
73 	25    	0.105333 	0.0768229	0.199219 
74 	25    	0.105333 	0.0768229	0.199219 
75 	25    	0.107969 	0.0768229	0.210677 
76 	25    	0.107969 	0.0768229	0.210677 
77 	25    	0.10874  	0.0768229	0.210677 
78 	25    	0.10874  	0.0768229	0.210677 
79 	25    	0.10951  	0.0768229	0.210677 
80 	25    	0.10951  	0.0768229	0.210677 
81 	25    	0.113906 	0.0768229	0.210677 
82 	25    	0.11501  	0.0791667	0.210677 
83 	25    	0.11501  	0.0791667	0.210677 
84 	25    	0.11501  	0.0791667	0.210677 
85 	25    	0.115458 	0.0791667	0.210677 
86 	25    	0.115458 	0.0791667	0.210677 
87 	25    	0.115563 	0.0791667	0.210677 
88 	25    	0.119781 	0.0791667	0.210677 
89 	25    	0.119917 	0.0791667	0.210677 
90 	25    	0.119917 	0.0791667	0.210677 
91 	25    	0.121583 	0.0791667	0.210677 
92 	25    	0.121583 	0.0791667	0.210677 
93 	25    	0.121583 	0.0791667	0.210677 
94 	25    	0.121958 	0.0809896	0.210677 
95 	25    	0.126458 	0.0809896	0.210677 
96 	25    	0.126458 	0.0809896	0.210677 
97 	25    	0.126458 	0.0809896	0.210677 
98 	25    	0.126458 	0.0809896	0.210677 
99 	25    	0.127219 	0.0809896	0.210677 
100	25    	0.127219 	0.0809896	0.210677 
101	25    	0.127219 	0.0809896	0.210677 
102	25    	0.127323 	0.0809896	0.210677 
103	25    	0.128719 	0.0809896	0.210677 
104	25    	0.128719 	0.0809896	0.210677 
105	25    	0.128719 	0.0809896	0.210677 
106	25    	0.128719 	0.0809896	0.210677 
107	25    	0.128719 	0.0809896	0.210677 
108	25    	0.128719 	0.0809896	0.210677 
109	25    	0.132229 	0.0809896	0.210677 
110	25    	0.132229 	0.0809896	0.210677 
111	25    	0.133344 	0.0809896	0.210677 
112	25    	0.133344 	0.0809896	0.210677 
113	25    	0.133344 	0.0809896	0.210677 
114	25    	0.133344 	0.0809896	0.210677 
115	25    	0.133563 	0.0820312	0.210677 
116	25    	0.136375 	0.0820312	0.210677 
117	25    	0.136375 	0.0820312	0.210677 
118	25    	0.136375 	0.0820312	0.210677 
119	25    	0.136375 	0.0820312	0.210677 
120	25    	0.136375 	0.0820312	0.210677 
121	25    	0.136375 	0.0820312	0.210677 
122	25    	0.136375 	0.0820312	0.210677 
123	25    	0.137604 	0.0820312	0.210677 
124	25    	0.137917 	0.0820312	0.210677 
125	25    	0.139063 	0.0820312	0.210677 
126	25    	0.139063 	0.0820312	0.210677 
127	25    	0.140573 	0.0820312	0.210677 
128	25    	0.140573 	0.0820312	0.210677 
129	25    	0.140573 	0.0820312	0.210677 
130	25    	0.141313 	0.0820312	0.210677 
131	25    	0.141313 	0.0820312	0.210677 
132	25    	0.141313 	0.0820312	0.210677 
133	25    	0.141313 	0.0820312	0.210677 
134	25    	0.141313 	0.0820312	0.210677 
135	25    	0.141719 	0.0820312	0.210677 
136	25    	0.144208 	0.0820312	0.210677 
137	25    	0.144208 	0.0820312	0.210677 
138	25    	0.144208 	0.0820312	0.210677 
139	25    	0.149656 	0.0820312	0.249479 
140	25    	0.149656 	0.0820312	0.249479 
141	25    	0.149656 	0.0820312	0.249479 
142	25    	0.149927 	0.0820312	0.249479 
143	25    	0.150135 	0.0820312	0.249479 
144	25    	0.150135 	0.0820312	0.249479 
145	25    	0.150135 	0.0820312	0.249479 
146	25    	0.150135 	0.0820312	0.249479 
147	25    	0.150135 	0.0820312	0.249479 
148	25    	0.150135 	0.0820312	0.249479 
149	25    	0.150135 	0.0820312	0.249479 
150	25    	0.151656 	0.0820312	0.249479 
151	25    	0.151656 	0.0820312	0.249479 
152	25    	0.152917 	0.0820312	0.249479 
153	25    	0.152917 	0.0820312	0.249479 
154	25    	0.15301  	0.0820312	0.249479 
155	25    	0.156625 	0.0820312	0.249479 
156	25    	0.156625 	0.0820312	0.249479 
