gen	nevals	avg      	min     	max    
0  	10    	-1.65246 	-23.2644	6.16138
1  	10    	-0.012939	-8.67505	6.16138
2  	10    	1.06162  	-2.84985	6.60986
3  	10    	6.23923  	-2.84985	28.7686
4  	10    	7.25652  	-2.84985	28.7686
5  	10    	7.33254  	-2.69189	28.7686
6  	10    	9.99097  	-2.69189	28.7686
7  	10    	11.6923  	-2.69189	28.7686
8  	10    	12.6525  	-2.69189	28.7686
9  	10    	16.8177  	-2.69189	58.0208
10 	10    	18.0568  	6.30249 	58.0208
11 	10    	19.0408  	6.30249 	58.0208
12 	10    	19.6606  	6.30249 	58.0208
13 	10    	20.5482  	6.30249 	58.0208
14 	10    	20.6686  	6.42432 	58.0208
15 	10    	20.7262  	7.00049 	58.0208
16 	10    	26.5888  	7.50684 	65.626 
17 	10    	28.7279  	7.53638 	65.626 
18 	10    	39.1517  	12.5269 	95.7534
19 	10    	58.2844  	12.5269 	249.348
20 	10    	58.2844  	12.5269 	249.348
21 	10    	58.2844  	12.5269 	249.348
22 	10    	64.8029  	12.5269 	249.348
23 	10    	64.8029  	12.5269 	249.348
24 	10    	70.5939  	12.5269 	249.348
25 	10    	70.5939  	12.5269 	249.348
26 	10    	72.2694  	18.0391 	249.348
27 	10    	72.2694  	18.0391 	249.348
28 	10    	72.2694  	18.0391 	249.348
29 	10    	72.2694  	18.0391 	249.348
30 	10    	73.3023  	18.0391 	249.348
31 	10    	74.2768  	18.0391 	249.348
32 	10    	76.5738  	18.0391 	249.348
33 	10    	76.5738  	18.0391 	249.348
34 	10    	76.5738  	18.0391 	249.348
35 	10    	76.5738  	18.0391 	249.348
36 	10    	80.5813  	18.0391 	249.348
37 	10    	80.5813  	18.0391 	249.348
38 	10    	80.5813  	18.0391 	249.348
39 	10    	80.5813  	18.0391 	249.348
40 	10    	80.5813  	18.0391 	249.348
41 	10    	80.5813  	18.0391 	249.348
42 	10    	80.5813  	18.0391 	249.348
43 	10    	80.6533  	18.0391 	249.348
44 	10    	80.6533  	18.0391 	249.348
45 	10    	80.847   	18.0391 	249.348
46 	10    	81.8588  	18.0391 	249.348
47 	10    	81.8588  	18.0391 	249.348
48 	10    	81.8588  	18.0391 	249.348
49 	10    	81.8588  	18.0391 	249.348
50 	10    	81.8588  	18.0391 	249.348
51 	10    	81.8588  	18.0391 	249.348
52 	10    	106.766  	18.0391 	291.595
53 	10    	108.031  	18.0391 	291.595
54 	10    	108.031  	18.0391 	291.595
55 	10    	108.031  	18.0391 	291.595
56 	10    	108.031  	18.0391 	291.595
57 	10    	109.287  	30.604  	291.595
58 	10    	109.287  	30.604  	291.595
59 	10    	112.851  	30.604  	291.595
60 	10    	112.851  	30.604  	291.595
61 	10    	112.851  	30.604  	291.595
62 	10    	115.857  	34.7659 	291.595
63 	10    	115.857  	34.7659 	291.595
64 	10    	115.857  	34.7659 	291.595
65 	10    	115.857  	34.7659 	291.595
66 	10    	115.857  	34.7659 	291.595
67 	10    	115.857  	34.7659 	291.595
68 	10    	115.857  	34.7659 	291.595
69 	10    	115.857  	34.7659 	291.595
70 	10    	115.857  	34.7659 	291.595
71 	10    	117.256  	34.7659 	291.595
72 	10    	117.88   	34.7659 	291.595
73 	10    	117.88   	34.7659 	291.595
74 	10    	117.88   	34.7659 	291.595
75 	10    	117.88   	34.7659 	291.595
76 	10    	117.88   	34.7659 	291.595
77 	10    	117.88   	34.7659 	291.595
78 	10    	117.88   	34.7659 	291.595
79 	10    	117.88   	34.7659 	291.595
80 	10    	117.88   	34.7659 	291.595
81 	10    	117.88   	34.7659 	291.595
82 	10    	117.88   	34.7659 	291.595
83 	10    	117.88   	34.7659 	291.595
84 	10    	125.04   	60.6624 	291.595
85 	10    	125.04   	60.6624 	291.595
86 	10    	125.04   	60.6624 	291.595
87 	10    	125.625  	60.6624 	291.595
88 	10    	125.625  	60.6624 	291.595
89 	10    	125.625  	60.6624 	291.595
90 	10    	125.625  	60.6624 	291.595
91 	10    	125.625  	60.6624 	291.595
92 	10    	128.807  	60.6624 	291.595
93 	10    	128.807  	60.6624 	291.595
94 	10    	128.807  	60.6624 	291.595
95 	10    	129.386  	66.4551 	291.595
96 	10    	129.386  	66.4551 	291.595
97 	10    	129.386  	66.4551 	291.595
98 	10    	129.386  	66.4551 	291.595
99 	10    	129.386  	66.4551 	291.595
100	10    	129.386  	66.4551 	291.595
101	10    	129.386  	66.4551 	291.595
102	10    	129.386  	66.4551 	291.595
103	10    	129.386  	66.4551 	291.595
104	10    	129.386  	66.4551 	291.595
105	10    	129.386  	66.4551 	291.595
106	10    	129.386  	66.4551 	291.595
107	10    	129.386  	66.4551 	291.595
108	10    	129.386  	66.4551 	291.595
109	10    	136.467  	66.4551 	291.595
110	10    	136.467  	66.4551 	291.595
111	10    	137.878  	80.5591 	291.595
112	10    	138.683  	81.6748 	291.595
113	10    	138.683  	81.6748 	291.595
114	10    	138.683  	81.6748 	291.595
115	10    	138.683  	81.6748 	291.595
116	10    	138.683  	81.6748 	291.595
117	10    	138.683  	81.6748 	291.595
118	10    	138.683  	81.6748 	291.595
119	10    	138.683  	81.6748 	291.595
120	10    	138.683  	81.6748 	291.595
121	10    	146.004  	81.6748 	291.595
122	10    	146.004  	81.6748 	291.595
123	10    	146.004  	81.6748 	291.595
124	10    	146.004  	81.6748 	291.595
125	10    	146.004  	81.6748 	291.595
126	10    	146.004  	81.6748 	291.595
127	10    	146.004  	81.6748 	291.595
128	10    	147.767  	81.6748 	291.595
129	10    	152.337  	81.6748 	291.595
130	10    	152.337  	81.6748 	291.595
131	10    	152.337  	81.6748 	291.595
132	10    	152.337  	81.6748 	291.595
133	10    	152.337  	81.6748 	291.595
134	10    	152.337  	81.6748 	291.595
135	10    	152.337  	81.6748 	291.595
136	10    	152.337  	81.6748 	291.595
137	10    	152.337  	81.6748 	291.595
138	10    	154.941  	81.6748 	291.595
139	10    	154.941  	81.6748 	291.595
140	10    	154.941  	81.6748 	291.595
141	10    	154.941  	81.6748 	291.595
142	10    	162.408  	81.6748 	291.595
143	10    	170.276  	81.6748 	291.595
144	10    	170.276  	81.6748 	291.595
145	10    	170.276  	81.6748 	291.595
146	10    	170.276  	81.6748 	291.595
147	10    	170.276  	81.6748 	291.595
148	10    	170.276  	81.6748 	291.595
149	10    	170.276  	81.6748 	291.595
150	10    	170.276  	81.6748 	291.595
151	10    	170.276  	81.6748 	291.595
152	10    	170.276  	81.6748 	291.595
153	10    	170.276  	81.6748 	291.595
154	10    	182.371  	92.9817 	291.595
155	10    	182.371  	92.9817 	291.595
156	10    	182.371  	92.9817 	291.595
157	10    	182.371  	92.9817 	291.595
158	10    	182.371  	92.9817 	291.595
159	10    	182.371  	92.9817 	291.595
160	10    	182.371  	92.9817 	291.595
161	10    	182.371  	92.9817 	291.595
162	10    	182.371  	92.9817 	291.595
163	10    	182.371  	92.9817 	291.595
164	10    	182.371  	92.9817 	291.595
165	10    	182.371  	92.9817 	291.595
166	10    	182.371  	92.9817 	291.595
167	10    	182.371  	92.9817 	291.595
168	10    	182.371  	92.9817 	291.595
169	10    	182.371  	92.9817 	291.595
170	10    	182.371  	92.9817 	291.595
171	10    	182.371  	92.9817 	291.595
172	10    	182.371  	92.9817 	291.595
173	10    	182.371  	92.9817 	291.595
174	10    	182.371  	92.9817 	291.595
175	10    	182.371  	92.9817 	291.595
176	10    	182.371  	92.9817 	291.595
177	10    	182.371  	92.9817 	291.595
178	10    	182.371  	92.9817 	291.595
179	10    	182.371  	92.9817 	291.595
180	10    	182.371  	92.9817 	291.595
181	10    	182.371  	92.9817 	291.595
182	10    	182.371  	92.9817 	291.595
183	10    	182.371  	92.9817 	291.595
184	10    	182.371  	92.9817 	291.595
185	10    	182.371  	92.9817 	291.595
186	10    	182.371  	92.9817 	291.595
187	10    	182.371  	92.9817 	291.595
188	10    	182.371  	92.9817 	291.595
189	10    	182.371  	92.9817 	291.595
190	10    	182.371  	92.9817 	291.595
191	10    	182.371  	92.9817 	291.595
192	10    	182.371  	92.9817 	291.595
193	10    	182.371  	92.9817 	291.595
194	10    	182.371  	92.9817 	291.595
195	10    	182.371  	92.9817 	291.595
196	10    	182.371  	92.9817 	291.595
197	10    	182.935  	98.623  	291.595
198	10    	182.935  	98.623  	291.595
199	10    	182.935  	98.623  	291.595
200	10    	182.935  	98.623  	291.595
201	10    	182.935  	98.623  	291.595
202	10    	182.935  	98.623  	291.595
203	10    	195.743  	98.623  	291.595
204	10    	195.743  	98.623  	291.595
205	10    	195.743  	98.623  	291.595
206	10    	195.743  	98.623  	291.595
207	10    	195.743  	98.623  	291.595
208	10    	195.743  	98.623  	291.595
209	10    	195.743  	98.623  	291.595
210	10    	195.743  	98.623  	291.595
211	10    	195.743  	98.623  	291.595
212	10    	195.743  	98.623  	291.595
213	10    	195.743  	98.623  	291.595
214	10    	195.743  	98.623  	291.595
215	10    	195.743  	98.623  	291.595
216	10    	195.743  	98.623  	291.595
217	10    	195.743  	98.623  	291.595
218	10    	195.743  	98.623  	291.595
219	10    	195.743  	98.623  	291.595
220	10    	195.743  	98.623  	291.595
221	10    	195.743  	98.623  	291.595
222	10    	195.743  	98.623  	291.595
223	10    	195.743  	98.623  	291.595
224	10    	195.743  	98.623  	291.595
225	10    	195.743  	98.623  	291.595
226	10    	195.743  	98.623  	291.595
227	10    	195.743  	98.623  	291.595
228	10    	195.743  	98.623  	291.595
229	10    	195.743  	98.623  	291.595
230	10    	195.743  	98.623  	291.595
231	10    	197.007  	98.623  	291.595
232	10    	197.007  	98.623  	291.595
233	10    	197.007  	98.623  	291.595
234	10    	197.007  	98.623  	291.595
235	10    	197.007  	98.623  	291.595
236	10    	197.007  	98.623  	291.595
237	10    	197.007  	98.623  	291.595
238	10    	197.007  	98.623  	291.595
239	10    	197.007  	98.623  	291.595
240	10    	197.007  	98.623  	291.595
241	10    	197.007  	98.623  	291.595
242	10    	197.007  	98.623  	291.595
243	10    	197.007  	98.623  	291.595
244	10    	197.007  	98.623  	291.595
245	10    	197.007  	98.623  	291.595
246	10    	197.007  	98.623  	291.595
247	10    	197.007  	98.623  	291.595
248	10    	197.007  	98.623  	291.595
249	10    	197.007  	98.623  	291.595
250	10    	197.007  	98.623  	291.595
251	10    	197.007  	98.623  	291.595
252	10    	197.007  	98.623  	291.595
253	10    	197.007  	98.623  	291.595
254	10    	197.007  	98.623  	291.595
255	10    	197.007  	98.623  	291.595
256	10    	197.007  	98.623  	291.595
257	10    	197.007  	98.623  	291.595
258	10    	197.007  	98.623  	291.595
259	10    	197.007  	98.623  	291.595
260	10    	197.007  	98.623  	291.595
261	10    	197.007  	98.623  	291.595
262	10    	197.007  	98.623  	291.595
263	10    	197.007  	98.623  	291.595
264	10    	197.007  	98.623  	291.595
265	10    	197.007  	98.623  	291.595
266	10    	197.007  	98.623  	291.595
267	10    	197.007  	98.623  	291.595
268	10    	197.007  	98.623  	291.595
269	10    	197.007  	98.623  	291.595
270	10    	197.007  	98.623  	291.595
271	10    	197.007  	98.623  	291.595
272	10    	197.007  	98.623  	291.595
273	10    	197.007  	98.623  	291.595
274	10    	197.007  	98.623  	291.595
275	10    	197.007  	98.623  	291.595
276	10    	197.007  	98.623  	291.595
277	10    	197.007  	98.623  	291.595
278	10    	197.007  	98.623  	291.595
279	10    	197.007  	98.623  	291.595
280	10    	197.007  	98.623  	291.595
281	10    	200.328  	114.85  	291.595
282	10    	200.328  	114.85  	291.595
283	10    	200.328  	114.85  	291.595
284	10    	200.328  	114.85  	291.595
285	10    	200.328  	114.85  	291.595
286	10    	200.328  	114.85  	291.595
287	10    	200.328  	114.85  	291.595
