gen	nevals	avg    	min   	max   
0  	50    	1623.79	529.2 	3918.4
1  	50    	2149.82	545.2 	3073.2
2  	50    	2299.9 	709.2 	3581.2
3  	50    	2401.89	720.4 	3298.4
4  	50    	2369.12	547.2 	3464  
5  	50    	2277.23	527.2 	3386  
6  	50    	2349.19	570   	3480  
7  	50    	2523.62	673.6 	4124  
8  	50    	2492.55	1782  	3752  
9  	50    	2373.57	578.4 	3247.2
10 	50    	2515.46	2016.8	3357.6
11 	50    	2565.1 	927.6 	3652.8
12 	50    	2384.01	1582.4	3009.2
13 	50    	2386.89	1508  	3262.4
14 	50    	2457.74	1630.8	3262.8
15 	50    	2570.3 	1749.2	3494  
16 	50    	2522.56	1695.2	3664.8
17 	50    	2515.26	689.6 	3894  
18 	50    	2438.83	744.8 	3300  
19 	50    	2481.24	708.8 	3375.6
20 	50    	2421.17	726.8 	3600.8
21 	50    	2545.62	1637.6	3527.2
22 	50    	2586.17	1604  	3768.4
23 	50    	2543.1 	1912.8	3467.6
24 	50    	2586.15	1841.6	3349.2
25 	50    	2494.85	1745.2	3110  
26 	50    	2600.97	1721.6	3982.8
27 	50    	2523.78	1771.2	3407.2
28 	50    	2596.9 	1793.6	3463.6
29 	50    	2373.93	628.8 	3120.8
30 	50    	2564.58	1690.4	3650.8
31 	50    	2540.62	1942.8	3436.8
32 	50    	2610.04	1658.4	3822  
33 	50    	2469.19	1863.2	3333.6
34 	50    	2612.82	1624.8	3430  
35 	50    	2501.82	1431.6	3190  
36 	50    	2535.76	1482.4	3492.8
37 	50    	2480.74	902   	3396  
38 	50    	2543.27	1966  	3462.4
39 	50    	2534.16	842.8 	3114.8
40 	50    	2563.77	1129.2	3606  
41 	50    	2401.78	1110  	3326.4
42 	50    	2551.46	1915.6	3799.2
43 	50    	2447.59	730   	3504  
44 	50    	2536.36	1764  	3464.4
45 	50    	2527.66	1779.6	3840.8
46 	50    	2509.65	1860.4	3232.8
47 	50    	2560.57	679.6 	3826  
48 	50    	2479.53	756   	3521.6
49 	50    	2559.5 	726.8 	3512.4
50 	50    	2517.87	1497.6	3333.2
51 	50    	2474.1 	1734.4	3262.4
52 	50    	2585.26	1891.2	3518  
53 	50    	2580.45	1785.6	3490.4
54 	50    	2478.44	684.8 	3332  
55 	50    	2556.93	1870.8	3477.6
56 	50    	2561.6 	1833.2	3362  
57 	50    	2571.17	1710  	3296.4
58 	50    	2632.47	1816.4	3932  
59 	50    	2510.25	1920.4	3426  
60 	50    	2456.1 	1789.6	3313.6
61 	50    	2575.1 	1806.4	3372.8
62 	50    	2555.85	2074.4	3481.2
63 	50    	2571.76	1712.8	3587.2
64 	50    	2475.5 	1615.6	3232.8
65 	50    	2495.38	1609.6	3298.4
66 	50    	2523.34	1574.8	3479.2
67 	50    	2624.02	1834  	3589.6
68 	50    	2497.67	1860.8	3428  
69 	50    	2601.5 	1874  	3473.6
70 	50    	2470.71	1783.2	3576  
71 	50    	2439.91	603.2 	3228.8
72 	50    	2565.7 	1683.2	3309.6
73 	50    	2604.53	1291.2	4117.2
74 	50    	2513.38	1706  	3578.4
75 	50    	2599.17	1834.4	3236.8
76 	50    	2560.36	1780  	3229.2
77 	50    	2500.55	1040  	3361.2
78 	50    	2530.16	1966  	3408  
79 	50    	2571.4 	1808  	3368.8
80 	50    	2544.75	1809.6	3840.8
81 	50    	2554.24	1497.6	3524.4
82 	50    	2535.58	1718  	3666  
83 	50    	2586.03	1893.2	3390  
84 	50    	2570.59	1613.6	3662  
85 	50    	2408.14	631.2 	3332  
86 	50    	2595.89	1971.6	3626.8
87 	50    	2508.68	1723.6	3518  
88 	50    	2466.18	1879.2	3386  
