gen	nevals	avg    	min  	max  
0  	25    	83.992 	60   	113.6
1  	25    	94.312 	60.2 	114.6
2  	25    	102.32 	81.8 	124.8
3  	25    	102.856	84.4 	118.8
4  	25    	104.88 	78   	124.8
5  	25    	102.496	75   	121.8
6  	25    	109.344	83.6 	126.8
7  	25    	109.992	88.6 	127.2
8  	25    	111.096	80.4 	130.4
9  	25    	110.176	98.4 	124  
10 	25    	114.184	81   	139.6
11 	25    	112.304	88.2 	126.8
12 	25    	115.856	94.8 	134.6
13 	25    	117.048	82   	142.6
14 	25    	118.912	102.8	129.6
15 	25    	115.616	86   	133.4
16 	25    	122.224	97.8 	149.8
17 	25    	122.952	104.6	142.2
18 	25    	122    	104.8	136.8
19 	25    	120.944	106.8	132.4
20 	25    	124.576	114.4	134.8
21 	25    	121.784	99.8 	135  
22 	25    	122.496	98.4 	132.4
23 	25    	122.408	102.2	139.8
24 	25    	123.064	110.8	138  
25 	25    	124.344	109.6	144  
26 	25    	121.696	105.4	136.2
27 	25    	120.16 	86.4 	138.6
28 	25    	120.592	100.6	135.6
29 	25    	123.232	108.8	135.2
30 	25    	121.432	101.4	137.6
31 	25    	123.464	106.6	133.4
32 	25    	121.168	107.2	136.4
33 	25    	123.536	111.2	139.2
34 	25    	126.488	99.6 	141.8
35 	25    	123.288	108.8	133.8
36 	25    	126.64 	110.4	139.6
37 	25    	123.768	112.6	135  
38 	25    	122.448	87.2 	134.2
39 	25    	122.944	109.6	139.2
40 	25    	124.072	108.6	144.6
41 	25    	122.672	108.6	136.8
42 	25    	126.952	120.2	139.6
43 	25    	122.28 	103.6	134.6
44 	25    	122.936	105.4	137.6
45 	25    	123.576	104.4	144.2
46 	25    	125.432	110.8	142.8
47 	25    	126.648	112.6	136.4
48 	25    	123.672	105.8	142  
49 	25    	126.896	112.8	142.4
50 	25    	125.368	113.4	142.8
51 	25    	121.136	94.4 	135.2
52 	25    	124.728	107.8	141.8
53 	25    	124.24 	103.6	139  
54 	25    	124.008	99.8 	144.4
55 	25    	120.208	93.4 	133.4
56 	25    	123.6  	103.6	138.2
57 	25    	124.912	91.4 	135.2
58 	25    	122.696	105.4	138.8
59 	25    	128.576	107  	143.8
60 	25    	123.52 	104.6	138.6
61 	25    	124.928	103  	141.6
62 	25    	125.192	113  	133.8
63 	25    	125.032	114.2	133.6
64 	25    	121.728	100.2	135.2
65 	25    	125.056	100.6	144.2
66 	25    	123.736	111.4	137.2
67 	25    	122.696	94.6 	134.8
68 	25    	126.16 	110.2	136  
69 	25    	121.152	109.2	139.8
70 	25    	124.032	110.8	137.2
71 	25    	123.64 	109.2	142.4
72 	25    	120.672	107.6	139.6
73 	25    	124.448	100.2	139.4
74 	25    	126.048	109.4	144.8
75 	25    	125.328	111.8	138.8
76 	25    	125.256	103.6	142.6
77 	25    	123.832	93.4 	142.4
78 	25    	127.008	112.6	140.6
79 	25    	125.2  	106.6	138.8
80 	25    	125.12 	111.6	136  
