gen	nevals	avg       	min      	max      
0  	25    	0.00903125	0        	0.0851562
1  	25    	0.0214375 	0        	0.0757812
2  	25    	0.0480312 	0        	0.107031 
3  	25    	0.0522188 	0        	0.104687 
4  	25    	0.0692812 	0.0078125	0.10625  
5  	25    	0.065625  	0.0078125	0.0984375
6  	25    	0.0719687 	0.0078125	0.116406 
7  	25    	0.0791875 	0.0492188	0.116406 
8  	25    	0.0725938 	0.0078125	0.110937 
9  	25    	0.0712813 	0.0078125	0.110937 
10 	25    	0.069875  	0.0078125	0.124219 
11 	25    	0.0692187 	0.0484375	0.103125 
12 	25    	0.0731563 	0.0078125	0.119531 
13 	25    	0.0646563 	0.0078125	0.119531 
14 	25    	0.0722188 	0.0078125	0.111719 
15 	25    	0.07425   	0.0078125	0.103125 
16 	25    	0.0709375 	0        	0.116406 
17 	25    	0.0621563 	0.0078125	0.1125   
18 	25    	0.0715    	0.0453125	0.0945313
19 	25    	0.0665    	0.0078125	0.0867188
20 	25    	0.0755625 	0.0421875	0.114844 
21 	25    	0.0685313 	0.0078125	0.11875  
22 	25    	0.072875  	0.0078125	0.102344 
23 	25    	0.0805938 	0.0078125	0.123438 
24 	25    	0.0716875 	0.0078125	0.117188 
25 	25    	0.07425   	0.0476562	0.111719 
26 	25    	0.077     	0.046875 	0.122656 
27 	25    	0.0739375 	0.0078125	0.103125 
28 	25    	0.0648125 	0        	0.1125   
29 	25    	0.0677187 	0        	0.107031 
30 	25    	0.061     	0        	0.10625  
31 	25    	0.0648437 	0        	0.0976562
32 	25    	0.0831875 	0.0570313	0.140625 
33 	25    	0.0741562 	0.0476562	0.121875 
34 	25    	0.0745    	0.0078125	0.115625 
35 	25    	0.0705313 	0        	0.107031 
36 	25    	0.0703125 	0        	0.0960938
37 	25    	0.070125  	0.046875 	0.0921875
38 	25    	0.0714687 	0        	0.135937 
39 	25    	0.0699688 	0        	0.105469 
40 	25    	0.0746562 	0        	0.125781 
41 	25    	0.0763125 	0.04375  	0.11875  
42 	25    	0.0704375 	0        	0.110156 
43 	25    	0.0673438 	0        	0.0929687
44 	25    	0.0733125 	0.0453125	0.0976562
45 	25    	0.0753125 	0.0492188	0.103906 
46 	25    	0.0730312 	0.0507812	0.100781 
47 	25    	0.0779375 	0.0515625	0.103906 
48 	25    	0.0756875 	0.0507812	0.102344 
49 	25    	0.0726875 	0.0476562	0.100781 
50 	25    	0.0674687 	0.0429688	0.114844 
51 	25    	0.0687188 	0        	0.104687 
52 	25    	0.0673125 	0        	0.124219 
53 	25    	0.0745625 	0.0507812	0.120312 
54 	25    	0.0751562 	0.0445312	0.111719 
55 	25    	0.0762812 	0.0460938	0.102344 
56 	25    	0.071375  	0.0492188	0.111719 
57 	25    	0.0743125 	0.0476562	0.114844 
58 	25    	0.0706875 	0.046875 	0.103906 
59 	25    	0.0750625 	0.0460938	0.115625 
60 	25    	0.0785937 	0.053125 	0.120312 
61 	25    	0.0773438 	0.0546875	0.104687 
62 	25    	0.0728125 	0.0453125	0.1125   
63 	25    	0.0748438 	0.0546875	0.114063 
64 	25    	0.0791875 	0.0570313	0.107813 
65 	25    	0.075     	0.0484375	0.100781 
66 	25    	0.0708437 	0.0382813	0.107031 
67 	25    	0.0845    	0.0625   	0.139062 
68 	25    	0.0757187 	0.0476562	0.117188 
69 	25    	0.0772813 	0.0492188	0.107813 
70 	25    	0.0780625 	0.0460938	0.11875  
71 	25    	0.0705    	0.0484375	0.114844 
72 	25    	0.0716562 	0.046875 	0.102344 
73 	25    	0.0763437 	0.040625 	0.166406 
74 	25    	0.0734375 	0.0414063	0.105469 
75 	25    	0.0731875 	0        	0.100781 
76 	25    	0.0696875 	0.0453125	0.10625  
77 	25    	0.074125  	0.0507812	0.105469 
78 	25    	0.07      	0.04375  	0.102344 
79 	25    	0.0755625 	0.05     	0.121094 
80 	25    	0.0843125 	0.0515625	0.128906 
81 	25    	0.0745938 	0.0476562	0.104687 
82 	25    	0.072125  	0.0523437	0.0976562
83 	25    	0.0705    	0.0492188	0.125    
84 	25    	0.0760625 	0.0507812	0.110156 
85 	25    	0.073125  	0.04375  	0.127344 
86 	25    	0.0763125 	0.0484375	0.123438 
87 	25    	0.0744375 	0.0484375	0.103125 
88 	25    	0.075375  	0.040625 	0.108594 
89 	25    	0.0730938 	0.0570313	0.1      
90 	25    	0.0694375 	0.0421875	0.111719 
91 	25    	0.0780625 	0.0484375	0.125    
92 	25    	0.0732813 	0.0492188	0.10625  
93 	25    	0.0718438 	0.0476562	0.0992187
94 	25    	0.0705625 	0.046875 	0.108594 
95 	25    	0.071375  	0.0453125	0.110937 
96 	25    	0.07375   	0.0414063	0.114844 
97 	25    	0.0763438 	0.0484375	0.107813 
98 	25    	0.0692813 	0        	0.121094 
99 	25    	0.0755312 	0.0484375	0.111719 
100	25    	0.077125  	0.0546875	0.105469 
101	25    	0.0686875 	0.0398437	0.1      
102	25    	0.0828125 	0.053125 	0.123438 
103	25    	0.0691562 	0.0453125	0.0945313
104	25    	0.0765312 	0.0492188	0.127344 
105	25    	0.0689688 	0        	0.1      
106	25    	0.0735625 	0.0515625	0.123438 
107	25    	0.0735625 	0.0429688	0.123438 
108	25    	0.0695625 	0.0429688	0.135937 
109	25    	0.0730313 	0.0515625	0.102344 
110	25    	0.0810313 	0.0476562	0.130469 
111	25    	0.0755625 	0.0515625	0.105469 
112	25    	0.0786563 	0.0523437	0.139844 
113	25    	0.0805625 	0.0460938	0.153125 
114	25    	0.0753438 	0.0460938	0.121875 
115	25    	0.068125  	0.04375  	0.0914062
116	25    	0.0762812 	0.04375  	0.113281 
117	25    	0.075     	0.053125 	0.110156 
118	25    	0.0738125 	0.0539063	0.096875 
119	25    	0.0724063 	0.05     	0.119531 
120	25    	0.0719375 	0.0554687	0.096875 
121	25    	0.0721562 	0.0484375	0.100781 
122	25    	0.0756562 	0.053125 	0.100781 
123	25    	0.084375  	0.0554687	0.146875 
124	25    	0.0716563 	0.0445312	0.105469 
125	25    	0.0825938 	0.053125 	0.130469 
126	25    	0.0760313 	0.0390625	0.124219 
127	25    	0.0704375 	0.05     	0.0984375
128	25    	0.0720625 	0.0460938	0.108594 
129	25    	0.0748125 	0.0507812	0.117188 
130	25    	0.0714063 	0.0507812	0.105469 
131	25    	0.075625  	0.0507812	0.103125 
132	25    	0.074     	0.05     	0.108594 
133	25    	0.0751875 	0.0484375	0.104687 
134	25    	0.0741562 	0.0460938	0.101562 
135	25    	0.0764688 	0.05     	0.104687 
136	25    	0.076125  	0.0484375	0.1125   
137	25    	0.0759688 	0.0484375	0.107031 
138	25    	0.075125  	0.0460938	0.107813 
139	25    	0.0719062 	0.0484375	0.107031 
140	25    	0.0755938 	0.0523437	0.1375   
141	25    	0.075625  	0.0492188	0.119531 
142	25    	0.079875  	0.0578125	0.111719 
143	25    	0.0760625 	0.046875 	0.123438 
144	25    	0.0735937 	0.0445312	0.132812 
145	25    	0.0729688 	0.0484375	0.103906 
146	25    	0.0686562 	0.0460938	0.13125  
147	25    	0.0797188 	0.0421875	0.141406 
148	25    	0.0729688 	0.0414063	0.10625  
149	25    	0.0713438 	0.0476562	0.0984375
150	25    	0.0719688 	0.04375  	0.116406 
151	25    	0.0772813 	0.0546875	0.110937 
152	25    	0.0725    	0.0476562	0.110937 
153	25    	0.0721563 	0.0476562	0.101562 
154	25    	0.0778437 	0.0476562	0.1      
155	25    	0.0755937 	0.0585938	0.107031 
156	25    	0.07275   	0.0453125	0.125    
157	25    	0.0732187 	0.0414063	0.111719 
158	25    	0.07575   	0.0445312	0.146875 
159	25    	0.0712812 	0.0460938	0.104687 
160	25    	0.0732187 	0.0390625	0.114844 
161	25    	0.07375   	0.0570313	0.11875  
162	25    	0.0685625 	0.046875 	0.0960938
163	25    	0.0691562 	0.0515625	0.0929687
164	25    	0.0834063 	0.0625   	0.114844 
165	25    	0.07225   	0        	0.133594 
166	25    	0.0700625 	0.0507812	0.0976562
167	25    	0.075875  	0.0476562	0.117188 
168	25    	0.0770313 	0.0476562	0.107031 
