gen	nevals	avg      	min       	max      
0  	25    	0.0235312	0         	0.09375  
1  	25    	0.0665313	0.0078125 	0.100781 
2  	25    	0.0677656	0.0078125 	0.107031 
3  	25    	0.0606406	0         	0.0976562
4  	25    	0.0710625	0.0078125 	0.102734 
5  	25    	0.0697031	0.0078125 	0.103125 
6  	25    	0.0728437	0.0078125 	0.0945313
7  	25    	0.0728594	0.0523437 	0.103125 
8  	25    	0.0705156	0.0078125 	0.0976562
9  	25    	0.0735313	0.0585938 	0.0925781
10 	25    	0.07325  	0.0558594 	0.0945313
11 	25    	0.0697969	0.0078125 	0.0863281
12 	25    	0.0745156	0.0078125 	0.0988281
13 	25    	0.0786719	0.0589844 	0.110937 
14 	25    	0.0759062	0.0078125 	0.102734 
15 	25    	0.0731562	0.0621094 	0.0863281
16 	25    	0.0706875	0.0078125 	0.108984 
17 	25    	0.0699219	0.0078125 	0.100781 
18 	25    	0.0730156	0.0078125 	0.103125 
19 	25    	0.0701094	0.0078125 	0.0914062
20 	25    	0.0737969	0.05625   	0.0976562
21 	25    	0.0655937	0.0078125 	0.0894531
22 	25    	0.0708594	0.0550781 	0.0945313
23 	25    	0.071875 	0.0546875 	0.0898438
24 	25    	0.0752344	0.0488281 	0.0996094
25 	25    	0.0711562	0.0078125 	0.100391 
26 	25    	0.0726094	0.053125  	0.0894531
27 	25    	0.0749219	0.0621094 	0.0910156
28 	25    	0.0716562	0.05625   	0.104687 
29 	25    	0.0792187	0.0558594 	0.108594 
30 	25    	0.0769844	0.0585938 	0.104687 
31 	25    	0.072625 	0.0511719 	0.119141 
32 	25    	0.0718125	0.0582031 	0.0886719
33 	25    	0.0798125	0.059375  	0.192578 
34 	25    	0.078125 	0.0078125 	0.194531 
35 	25    	0.0972188	0.0078125 	0.648828 
36 	25    	0.0931875	0.0078125 	0.4625   
37 	25    	0.139484 	0.0078125 	0.494922 
38 	25    	0.177828 	0.0078125 	0.558203 
39 	25    	0.228781 	0.0078125 	0.616406 
40 	25    	0.259281 	0.0078125 	0.597266 
41 	25    	0.366375 	0.0078125 	0.626953 
42 	25    	0.406766 	0.0078125 	0.648047 
43 	25    	0.382438 	0.0078125 	0.635938 
44 	25    	0.333906 	0.0078125 	0.664844 
45 	25    	0.372828 	0.0078125 	0.679688 
46 	25    	0.54925  	0.0078125 	0.695312 
47 	25    	0.566531 	0.0078125 	0.671094 
48 	25    	0.531375 	0.0078125 	0.689453 
49 	25    	0.580734 	0.507812  	0.668359 
50 	25    	0.515391 	0.0078125 	0.674219 
51 	25    	0.567109 	0.0078125 	0.655078 
52 	25    	0.557406 	0.0078125 	0.686328 
53 	25    	0.554828 	0.0773437 	0.667969 
54 	25    	0.504578 	0.0078125 	0.664453 
55 	25    	0.472516 	0.0078125 	0.6375   
56 	25    	0.549734 	0.0816406 	0.685938 
57 	25    	0.534875 	0.0078125 	0.662109 
58 	25    	0.567984 	0.0078125 	0.666406 
59 	25    	0.568281 	0.487891  	0.653516 
60 	25    	0.578672 	0.0632813 	0.676562 
61 	25    	0.513313 	0.0578125 	0.660547 
62 	25    	0.530172 	0.0078125 	0.660156 
63 	25    	0.564344 	0.444531  	0.642578 
64 	25    	0.560063 	0.0078125 	0.661328 
65 	25    	0.506781 	0.0078125 	0.685156 
66 	25    	0.562953 	0.0878906 	0.659375 
67 	25    	0.515172 	0.0078125 	0.651172 
68 	25    	0.559016 	0.0078125 	0.697266 
69 	25    	0.497484 	0.0078125 	0.642969 
70 	25    	0.541312 	0.06875   	0.677734 
71 	25    	0.537937 	0.0078125 	0.626953 
72 	25    	0.557609 	0.0078125 	0.663672 
73 	25    	0.546766 	0.0617188 	0.686719 
74 	25    	0.575047 	0.481641  	0.659375 
75 	25    	0.530109 	0.0078125 	0.671094 
76 	25    	0.590703 	0.497266  	0.649219 
77 	25    	0.541734 	0.0078125 	0.638281 
78 	25    	0.523172 	0.0078125 	0.65     
79 	25    	0.535953 	0.0078125 	0.636328 
80 	25    	0.518594 	0.0078125 	0.657422 
81 	25    	0.571047 	0.0078125 	0.664062 
82 	25    	0.553813 	0.0078125 	0.675781 
83 	25    	0.526125 	0.0695312 	0.659766 
84 	25    	0.48975  	0.0078125 	0.650391 
85 	25    	0.576859 	0.422656  	0.644531 
86 	25    	0.512734 	0.0078125 	0.65     
87 	25    	0.566422 	0.0882813 	0.694141 
88 	25    	0.503953 	0.0078125 	0.657812 
89 	25    	0.501703 	0.0078125 	0.671484 
90 	25    	0.584469 	0.51875   	0.639063 
91 	25    	0.549406 	0.0710938 	0.681641 
92 	25    	0.553719 	0.0582031 	0.658984 
93 	25    	0.487016 	0.0078125 	0.641797 
94 	25    	0.572281 	0.485156  	0.709375 
95 	25    	0.560125 	0.0621094 	0.652344 
96 	25    	0.560406 	0.0625    	0.687891 
97 	25    	0.495422 	0.0078125 	0.689062 
98 	25    	0.556094 	0.06875   	0.65625  
99 	25    	0.561359 	0.0078125 	0.717188 
100	25    	0.533031 	0.0078125 	0.688672 
101	25    	0.549859 	0.0941406 	0.682422 
102	25    	0.543609 	0.0078125 	0.6625   
103	25    	0.562078 	0.0078125 	0.669531 
104	25    	0.483453 	0.0078125 	0.686328 
105	25    	0.517859 	0.0078125 	0.692187 
106	25    	0.561828 	0.0078125 	0.677734 
107	25    	0.542422 	0.0078125 	0.714063 
108	25    	0.526203 	0.0078125 	0.658203 
109	25    	0.541922 	0.0078125 	0.704687 
110	25    	0.497109 	0.0078125 	0.680859 
111	25    	0.487219 	0.0078125 	0.668359 
112	25    	0.539719 	0.0078125 	0.681641 
113	25    	0.504406 	0.0078125 	0.696875 
114	25    	0.548812 	0.0078125 	0.674219 
115	25    	0.483    	0.0078125 	0.642187 
116	25    	0.568141 	0.0078125 	0.678125 
117	25    	0.519594 	0.0078125 	0.649609 
118	25    	0.479422 	0.0078125 	0.685156 
119	25    	0.528672 	0.0078125 	0.666797 
120	25    	0.557891 	0.06875   	0.651953 
121	25    	0.550391 	0.0078125 	0.703516 
122	25    	0.534031 	0.0078125 	0.668359 
123	25    	0.492547 	0.0078125 	0.658984 
124	25    	0.583719 	0.481641  	0.635938 
125	25    	0.573984 	0.444141  	0.673047 
126	25    	0.588422 	0.519141  	0.686719 
127	25    	0.582469 	0.468359  	0.661719 
128	25    	0.539078 	0.0078125 	0.685938 
129	25    	0.586937 	0.5       	0.685547 
130	25    	0.584141 	0.481641  	0.686719 
131	25    	0.546609 	0.0078125 	0.6625   
132	25    	0.596906 	0.420312  	0.670703 
133	25    	0.583609 	0.515234  	0.65625  
134	25    	0.586625 	0.495703  	0.696484 
135	25    	0.455875 	0.0078125 	0.635547 
136	25    	0.471328 	0.0078125 	0.670703 
137	25    	0.572672 	0.483984  	0.629687 
138	25    	0.525281 	0.0078125 	0.675    
139	25    	0.534875 	0.0742188 	0.689062 
140	25    	0.562828 	0.0511719 	0.655078 
141	25    	0.509531 	0.0078125 	0.659766 
142	25    	0.470797 	0.0078125 	0.656641 
143	25    	0.586    	0.514844  	0.651172 
144	25    	0.504    	0.0078125 	0.697266 
145	25    	0.4915   	0.0078125 	0.653125 
146	25    	0.549922 	0.0078125 	0.660937 
147	25    	0.535578 	0.0078125 	0.64375  
148	25    	0.551625 	0.0078125 	0.665625 
149	25    	0.576656 	0.0695312 	0.680469 
150	25    	0.534484 	0.0078125 	0.661719 
151	25    	0.520906 	0.0078125 	0.708594 
152	25    	0.508969 	0.0078125 	0.667188 
153	25    	0.523891 	0.0078125 	0.663672 
154	25    	0.565734 	0.0707031 	0.683203 
155	25    	0.540391 	0.0078125 	0.665234 
156	25    	0.4665   	0.0078125 	0.675391 
157	25    	0.544328 	0.0078125 	0.632812 
158	25    	0.591313 	0.523828  	0.655078 
159	25    	0.529078 	0.0078125 	0.648047 
160	25    	0.547172 	0.0554687 	0.660156 
161	25    	0.583938 	0.496875  	0.633203 
162	25    	0.543328 	0.0078125 	0.683984 
163	25    	0.495375 	0.0078125 	0.679297 
164	25    	0.545234 	0.0542969 	0.701953 
165	25    	0.548688 	0.0078125 	0.688672 
166	25    	0.489594 	0.0078125 	0.690234 
167	25    	0.529453 	0.0078125 	0.712109 
168	25    	0.565344 	0.0828125 	0.689062 
169	25    	0.558453 	0.0078125 	0.691797 
170	25    	0.485844 	0.0078125 	0.641406 
171	25    	0.564953 	0.0683594 	0.657422 
172	25    	0.523734 	0.0078125 	0.694531 
173	25    	0.515031 	0.0078125 	0.657031 
174	25    	0.563531 	0.0078125 	0.666797 
175	25    	0.548375 	0.0078125 	0.68125  
176	25    	0.50825  	0.0078125 	0.660156 
177	25    	0.540187 	0.0078125 	0.654688 
178	25    	0.543375 	0.0667969 	0.632812 
179	25    	0.501344 	0.0078125 	0.637891 
180	25    	0.500375 	0.0078125 	0.704687 
181	25    	0.548469 	0.0554687 	0.659766 
182	25    	0.514047 	0.0078125 	0.632422 
183	25    	0.535641 	0.0621094 	0.680469 
184	25    	0.506969 	0.0078125 	0.682813 
185	25    	0.547313 	0.0078125 	0.667188 
186	25    	0.544312 	0.078125  	0.725391 
