gen	nevals	avg      	min      	max      
0  	25    	0.0192187	0        	0.09375  
1  	25    	0.0387813	0        	0.103125 
2  	25    	0.048    	0        	0.0820312
3  	25    	0.0614063	0        	0.1125   
4  	25    	0.0716563	0.0078125	0.121094 
5  	25    	0.064125 	0        	0.107813 
6  	25    	0.0700625	0        	0.157813 
7  	25    	0.06525  	0        	0.121875 
8  	25    	0.0609687	0        	0.0875   
9  	25    	0.0605   	0        	0.103906 
10 	25    	0.0731562	0.05     	0.107031 
11 	25    	0.0700938	0.0078125	0.103125 
12 	25    	0.07625  	0.05     	0.11875  
13 	25    	0.076625 	0.0398437	0.121094 
14 	25    	0.0745625	0.0492188	0.0960938
15 	25    	0.0670312	0.0078125	0.109375 
16 	25    	0.0739688	0        	0.10625  
17 	25    	0.0727812	0.0492188	0.0953125
18 	25    	0.069625 	0        	0.117969 
19 	25    	0.072875 	0.0453125	0.1125   
20 	25    	0.0720313	0.0078125	0.104687 
21 	25    	0.0737812	0.0484375	0.110156 
22 	25    	0.0800937	0.0492188	0.108594 
23 	25    	0.075625 	0.0078125	0.119531 
24 	25    	0.0733438	0.0476562	0.115625 
25 	25    	0.0718437	0.0484375	0.104687 
26 	25    	0.0752813	0.0078125	0.105469 
27 	25    	0.0763125	0.0484375	0.114063 
28 	25    	0.0731562	0.0492188	0.107813 
29 	25    	0.073125 	0.0476562	0.103125 
30 	25    	0.066875 	0.0078125	0.101562 
31 	25    	0.0707813	0.0078125	0.113281 
32 	25    	0.0635625	0.0078125	0.109375 
33 	25    	0.0733437	0.0445312	0.103906 
34 	25    	0.071375 	0        	0.129688 
35 	25    	0.0711562	0.0484375	0.115625 
36 	25    	0.074625 	0.040625 	0.107813 
37 	25    	0.074    	0        	0.126563 
38 	25    	0.0745312	0.0484375	0.11875  
39 	25    	0.0656875	0        	0.0945313
40 	25    	0.072625 	0.0078125	0.114063 
41 	25    	0.0744063	0.0421875	0.110156 
42 	25    	0.0744062	0.0453125	0.129688 
43 	25    	0.0691563	0.0421875	0.116406 
44 	25    	0.0755625	0.0429688	0.127344 
45 	25    	0.0724062	0.0398437	0.108594 
46 	25    	0.073875 	0.0078125	0.1125   
47 	25    	0.0711563	0.0460938	0.0992187
48 	25    	0.0715625	0.0476562	0.103906 
49 	25    	0.0691875	0        	0.0953125
50 	25    	0.065875 	0        	0.0960938
51 	25    	0.0615625	0        	0.0976562
52 	25    	0.074625 	0.0445312	0.103125 
53 	25    	0.0730312	0.0078125	0.122656 
54 	25    	0.0748125	0.0078125	0.145313 
55 	25    	0.0862813	0.0078125	0.311719 
56 	25    	0.0805312	0.0078125	0.205469 
57 	25    	0.103312 	0.0492188	0.394531 
58 	25    	0.0960625	0.0078125	0.233594 
59 	25    	0.129656 	0.0078125	0.295312 
60 	25    	0.178563 	0.0078125	0.338281 
61 	25    	0.188094 	0.0078125	0.341406 
62 	25    	0.188062 	0.0078125	0.345313 
63 	25    	0.18225  	0.0078125	0.339063 
64 	25    	0.206781 	0.0679687	0.378906 
65 	25    	0.171719 	0.0617188	0.282813 
66 	25    	0.2185   	0.0796875	0.411719 
67 	25    	0.2015   	0.0078125	0.442187 
68 	25    	0.1755   	0.0078125	0.347656 
69 	25    	0.187375 	0.0078125	0.389062 
70 	25    	0.167062 	0.0078125	0.3375   
71 	25    	0.202938 	0.0609375	0.364844 
72 	25    	0.200625 	0.0984375	0.354688 
73 	25    	0.188188 	0.0078125	0.405469 
74 	25    	0.21075  	0.0078125	0.3375   
75 	25    	0.217281 	0.0773437	0.367969 
76 	25    	0.17125  	0.0078125	0.301562 
77 	25    	0.184813 	0.0078125	0.3      
78 	25    	0.198844 	0.125781 	0.303906 
79 	25    	0.192594 	0.0648438	0.272656 
80 	25    	0.204094 	0.0648438	0.38125  
81 	25    	0.187187 	0.0078125	0.314063 
82 	25    	0.190656 	0.0898438	0.367188 
83 	25    	0.189562 	0.0078125	0.369531 
84 	25    	0.169313 	0.0078125	0.385938 
85 	25    	0.195937 	0.0601562	0.34375  
86 	25    	0.191094 	0.0828125	0.328906 
87 	25    	0.183969 	0        	0.335156 
88 	25    	0.197219 	0.0078125	0.464063 
89 	25    	0.197969 	0.0078125	0.366406 
90 	25    	0.19725  	0.0078125	0.321094 
91 	25    	0.1415   	0.0078125	0.335156 
92 	25    	0.162219 	0.0078125	0.325781 
93 	25    	0.200906 	0.0078125	0.341406 
94 	25    	0.191844 	0.0078125	0.317187 
95 	25    	0.207094 	0.0078125	0.382812 
96 	25    	0.186188 	0.0078125	0.35625  
97 	25    	0.176844 	0.0078125	0.3875   
98 	25    	0.196813 	0.0820312	0.263281 
99 	25    	0.214813 	0.090625 	0.405469 
100	25    	0.215719 	0.0835937	0.33125  
101	25    	0.182625 	0.0078125	0.328906 
102	25    	0.179469 	0        	0.30625  
103	25    	0.197906 	0.110156 	0.294531 
104	25    	0.189906 	0.0578125	0.410937 
105	25    	0.165094 	0.0078125	0.29375  
106	25    	0.170719 	0.0078125	0.353906 
107	25    	0.219281 	0.0617188	0.458594 
108	25    	0.196969 	0.0078125	0.379687 
109	25    	0.182    	0.0078125	0.316406 
110	25    	0.187719 	0.0078125	0.439844 
111	25    	0.177281 	0.0078125	0.349219 
112	25    	0.194312 	0.0078125	0.372656 
113	25    	0.205312 	0.0726563	0.4      
