gen 	nevals	avg     	min       	max    
0   	10    	-1.65246	-23.2644  	6.16138
1   	10    	2.79482 	-14.9058  	6.29565
2   	10    	5.72723 	-2.22095  	10.3245
3   	10    	8.35386 	-3.21777  	26.7407
4   	10    	12.3232 	6.20898   	29.6189
5   	10    	15.0301 	-2.93994  	32.916 
6   	10    	20.2152 	7.45605   	32.916 
7   	10    	28.457  	17.1626   	32.916 
8   	10    	31.0209 	29.6189   	32.916 
9   	10    	32.6695 	30.4507   	32.916 
10  	10    	31.2987 	24.0034   	32.916 
11  	10    	32.8627 	32.3831   	32.916 
12  	10    	32.9613 	32.916    	33.3687
13  	10    	36.4627 	22.2534   	77.6877
14  	10    	39.3484 	18.9417   	77.6877
15  	10    	52.3672 	14.615    	102.375
16  	10    	68.0745 	8.07861   	102.375
17  	10    	90.2665 	75.1687   	107.916
18  	10    	105.131 	102.375   	107.916
19  	10    	107.136 	105.065   	107.916
20  	10    	100.914 	37.8979   	107.916
21  	10    	107.916 	107.916   	107.916
22  	10    	97.8404 	7.15967   	107.916
23  	10    	107.916 	107.916   	107.916
24  	10    	107.916 	107.916   	107.916
25  	10    	98.0616 	9.37158   	107.916
26  	10    	97.2698 	1.45386   	107.916
27  	10    	107.916 	107.916   	107.916
28  	10    	99.0788 	19.5439   	107.916
29  	10    	107.916 	107.916   	107.916
30  	10    	90.492  	10.1958   	107.916
31  	10    	95.4117 	26.5464   	107.916
32  	10    	107.916 	107.916   	107.916
33  	10    	107.916 	107.916   	107.916
34  	10    	98.5825 	14.5806   	107.916
35  	10    	107.916 	107.916   	107.916
36  	10    	97.9985 	8.74097   	107.916
37  	10    	107.916 	107.916   	107.916
38  	10    	92.6778 	13.1255   	107.916
39  	10    	107.916 	107.916   	107.916
40  	10    	107.916 	107.916   	107.916
41  	10    	99.0155 	18.9114   	107.916
42  	10    	107.916 	107.916   	107.916
43  	10    	107.916 	107.916   	107.916
44  	10    	107.916 	107.916   	107.916
45  	10    	97.8913 	7.66919   	107.916
46  	10    	107.916 	107.916   	107.916
47  	10    	98.2241 	10.9973   	107.916
48  	10    	107.916 	107.916   	107.916
49  	10    	107.916 	107.916   	107.916
50  	10    	107.916 	107.916   	107.916
51  	10    	97.9867 	8.6228    	107.916
52  	10    	107.916 	107.916   	107.916
53  	10    	107.916 	107.916   	107.916
54  	10    	107.916 	107.916   	107.916
55  	10    	98.7828 	16.5845   	107.916
56  	10    	101.254 	41.2959   	107.916
57  	10    	98.493  	13.6865   	107.916
58  	10    	99.9618 	28.3738   	107.916
59  	10    	107.916 	107.916   	107.916
60  	10    	107.916 	107.916   	107.916
61  	10    	107.916 	107.916   	107.916
62  	10    	98.2548 	11.3044   	107.916
63  	10    	107.916 	107.916   	107.916
64  	10    	107.916 	107.916   	107.916
65  	10    	107.916 	107.916   	107.916
66  	10    	107.916 	107.916   	107.916
67  	10    	107.916 	107.916   	107.916
68  	10    	107.916 	107.916   	107.916
69  	10    	107.916 	107.916   	107.916
70  	10    	107.916 	107.916   	107.916
71  	10    	107.916 	107.916   	107.916
72  	10    	107.916 	107.916   	107.916
73  	10    	107.916 	107.916   	107.916
74  	10    	107.916 	107.916   	107.916
75  	10    	100.465 	33.406    	107.916
76  	10    	107.916 	107.916   	107.916
77  	10    	107.916 	107.916   	107.916
78  	10    	107.916 	107.916   	107.916
79  	10    	89.4273 	9.62402   	107.916
80  	10    	107.916 	107.916   	107.916
81  	10    	97.7083 	5.83887   	107.916
82  	10    	107.916 	107.916   	107.916
83  	10    	100.766 	36.4116   	107.916
84  	10    	107.916 	107.916   	107.916
85  	10    	88.5102 	9.70605   	107.916
86  	10    	98.268  	11.4358   	107.916
87  	10    	107.916 	107.916   	107.916
88  	10    	100.527 	34.0242   	107.916
89  	10    	98.8892 	17.6484   	107.916
90  	10    	107.916 	107.916   	107.916
91  	10    	107.916 	107.916   	107.916
92  	10    	107.916 	107.916   	107.916
93  	10    	98.1841 	10.5972   	107.916
94  	10    	98.0052 	8.80762   	107.916
95  	10    	107.916 	107.916   	107.916
96  	10    	107.916 	107.916   	107.916
97  	10    	107.085 	99.6096   	107.916
98  	10    	107.916 	107.916   	107.916
99  	10    	107.916 	107.916   	107.916
100 	10    	107.916 	107.916   	107.916
101 	10    	107.916 	107.916   	107.916
102 	10    	98.9168 	17.9238   	107.916
103 	10    	101.36  	42.353    	107.916
104 	10    	107.916 	107.916   	107.916
105 	10    	98.1144 	9.90039   	107.916
106 	10    	107.916 	107.916   	107.916
107 	10    	107.916 	107.916   	107.916
108 	10    	107.916 	107.916   	107.916
109 	10    	107.916 	107.916   	107.916
110 	10    	107.916 	107.916   	107.916
111 	10    	107.916 	107.916   	107.916
112 	10    	107.916 	107.916   	107.916
113 	10    	99.1761 	20.5168   	107.916
114 	10    	107.916 	107.916   	107.916
115 	10    	98.526  	14.0156   	107.916
116 	10    	107.916 	107.916   	107.916
117 	10    	98.5252 	14.0081   	107.916
118 	10    	107.916 	107.916   	107.916
119 	10    	107.916 	107.916   	107.916
120 	10    	86.9453 	-6.56909  	107.916
121 	10    	107.916 	107.916   	107.916
122 	10    	110.623 	107.916   	134.991
123 	10    	97.6073 	42.762    	134.991
124 	10    	91.6556 	6.93872   	134.991
125 	10    	110.623 	107.916   	134.991
126 	10    	110.623 	107.916   	134.991
127 	10    	110.623 	107.916   	134.991
128 	10    	113.331 	107.916   	134.991
129 	10    	106.736 	24.7837   	134.991
130 	10    	116.706 	6.29443   	134.991
131 	10    	134.991 	134.991   	134.991
132 	10    	134.991 	134.991   	134.991
133 	10    	110.333 	6.18774   	134.991
134 	10    	109.897 	6.27173   	134.991
135 	10    	122.445 	9.53149   	134.991
136 	10    	134.991 	134.991   	134.991
137 	10    	134.991 	134.991   	134.991
138 	10    	134.991 	134.991   	134.991
139 	10    	123.28  	17.8831   	134.991
140 	10    	122.12  	6.27686   	134.991
141 	10    	134.991 	134.991   	134.991
142 	10    	124.004 	25.1238   	134.991
143 	10    	134.991 	134.991   	134.991
144 	10    	134.991 	134.991   	134.991
145 	10    	134.991 	134.991   	134.991
146 	10    	134.991 	134.991   	134.991
147 	10    	124.145 	26.5278   	134.991
148 	10    	134.991 	134.991   	134.991
149 	10    	124.993 	35.0083   	134.991
150 	10    	134.991 	134.991   	134.991
151 	10    	134.991 	134.991   	134.991
152 	10    	134.991 	134.991   	134.991
153 	10    	124.288 	27.9614   	134.991
154 	10    	134.991 	134.991   	134.991
155 	10    	134.991 	134.991   	134.991
156 	10    	134.991 	134.991   	134.991
157 	10    	134.991 	134.991   	134.991
158 	10    	134.991 	134.991   	134.991
159 	10    	134.991 	134.991   	134.991
160 	10    	134.991 	134.991   	134.991
161 	10    	134.991 	134.991   	134.991
162 	10    	134.991 	134.991   	134.991
163 	10    	127.025 	55.3347   	134.991
164 	10    	97.3602 	1.82983   	134.991
165 	10    	134.991 	134.991   	134.991
166 	10    	134.991 	134.991   	134.991
167 	10    	134.991 	134.991   	134.991
168 	10    	134.991 	134.991   	134.991
169 	10    	121.733 	2.41479   	134.991
170 	10    	134.991 	134.991   	134.991
171 	10    	134.991 	134.991   	134.991
172 	10    	134.991 	134.991   	134.991
173 	10    	122.765 	12.7349   	134.991
174 	10    	134.991 	134.991   	134.991
175 	10    	134.991 	134.991   	134.991
176 	10    	109.582 	6.26807   	134.991
177 	10    	134.991 	134.991   	134.991
178 	10    	109.659 	7.04395   	134.991
179 	10    	134.991 	134.991   	134.991
180 	10    	134.991 	134.991   	134.991
181 	10    	134.991 	134.991   	134.991
182 	10    	122.189 	6.96924   	134.991
183 	10    	122.669 	11.7744   	134.991
184 	10    	122.941 	14.4958   	134.991
185 	10    	134.991 	134.991   	134.991
186 	10    	122.466 	9.73706   	134.991
187 	10    	134.991 	134.991   	134.991
188 	10    	122.168 	6.75806   	134.991
189 	10    	122.121 	6.2959    	134.991
190 	10    	122.794 	13.02     	134.991
191 	10    	134.991 	134.991   	134.991
192 	10    	122.588 	10.9587   	134.991
193 	10    	134.991 	134.991   	134.991
194 	10    	122.3   	8.08521   	134.991
195 	10    	127.738 	62.4563   	134.991
196 	10    	123.526 	20.3394   	134.991
197 	10    	122.795 	13.0339   	134.991
198 	10    	122.555 	10.6292   	134.991
199 	10    	134.991 	134.991   	134.991
200 	10    	122.103 	6.11475   	134.991
201 	10    	134.991 	134.991   	134.991
202 	10    	134.991 	134.991   	134.991
203 	10    	134.991 	134.991   	134.991
204 	10    	122.924 	14.3198   	134.991
205 	10    	134.991 	134.991   	134.991
206 	10    	134.991 	134.991   	134.991
207 	10    	129.008 	75.1602   	134.991
208 	10    	125.375 	38.8333   	134.991
209 	10    	134.991 	134.991   	134.991
