gen 	nevals	avg    	min     	max    
0   	10    	2.59434	-4.76416	9.96216
1   	10    	9.0615 	6.17993 	18.4626
2   	10    	11.6145	7.33496 	18.4626
3   	10    	24.7036	-9.63916	133.423
4   	10    	46.3284	12.5652 	133.423
5   	10    	85.4613	21.4185 	133.423
6   	10    	96.9317	13.0112 	133.423
7   	10    	121.138	10.5723 	133.423
8   	10    	125.161	50.8071 	133.423
9   	10    	133.423	133.423 	133.423
10  	10    	121.868	17.8726 	133.423
11  	10    	133.423	133.423 	133.423
12  	10    	123.925	38.4419 	133.423
13  	10    	121.077	9.96655 	133.423
14  	10    	124.418	43.3752 	133.423
15  	10    	120.731	6.50293 	133.423
16  	10    	124.535	44.5432 	133.423
17  	10    	121.802	17.2095 	133.423
18  	10    	121.74 	16.5898 	133.423
19  	10    	133.423	133.423 	133.423
20  	10    	133.423	133.423 	133.423
21  	10    	121.892	18.1096 	133.423
22  	10    	126.024	59.4375 	133.423
23  	10    	133.423	133.423 	133.423
24  	10    	133.423	133.423 	133.423
25  	10    	133.423	133.423 	133.423
26  	10    	133.423	133.423 	133.423
27  	10    	128.465	6.18945 	211.073
28  	10    	141.188	133.423 	211.073
29  	10    	131.733	38.8779 	211.073
30  	10    	147.453	33.1272 	211.073
31  	10    	183.977	17.7654 	211.073
32  	10    	211.073	211.073 	211.073
33  	10    	211.073	211.073 	211.073
34  	10    	211.073	211.073 	211.073
35  	10    	190.595	6.28931 	211.073
36  	10    	211.073	211.073 	211.073
37  	10    	211.073	211.073 	211.073
38  	10    	211.073	211.073 	211.073
39  	10    	192.917	29.5103 	211.073
40  	10    	211.073	211.073 	211.073
41  	10    	190.592	6.26099 	211.073
42  	10    	171.904	2.49805 	211.073
43  	10    	211.073	211.073 	211.073
44  	10    	171.343	8.65088 	211.073
45  	10    	211.073	211.073 	211.073
46  	10    	194.79 	48.2463 	211.073
47  	10    	192.178	22.1243 	211.073
48  	10    	211.073	211.073 	211.073
49  	10    	211.073	211.073 	211.073
50  	10    	211.073	211.073 	211.073
51  	10    	192.291	23.2529 	211.073
52  	10    	147.736	-20.6484	211.073
53  	10    	211.073	211.073 	211.073
54  	10    	211.073	211.073 	211.073
55  	10    	171.178	9.92969 	211.073
56  	10    	211.073	211.073 	211.073
57  	10    	211.073	211.073 	211.073
58  	10    	177.787	36.9019 	211.073
59  	10    	211.073	211.073 	211.073
60  	10    	174.681	6.34912 	211.073
61  	10    	191.299	13.3359 	211.073
62  	10    	211.073	211.073 	211.073
63  	10    	211.073	211.073 	211.073
64  	10    	211.073	211.073 	211.073
65  	10    	190.596	6.30371 	211.073
66  	10    	171.043	9.72876 	211.073
67  	10    	211.073	211.073 	211.073
68  	10    	211.073	211.073 	211.073
69  	10    	191.297	13.3101 	211.073
70  	10    	188.495	-14.7102	211.073
71  	10    	211.073	211.073 	211.073
72  	10    	211.073	211.073 	211.073
73  	10    	211.073	211.073 	211.073
74  	10    	211.073	211.073 	211.073
75  	10    	191.463	14.9688 	211.073
76  	10    	211.073	211.073 	211.073
77  	10    	211.073	211.073 	211.073
78  	10    	211.073	211.073 	211.073
79  	10    	193.017	30.5154 	211.073
80  	10    	211.073	211.073 	211.073
81  	10    	150.552	6.07446 	211.073
82  	10    	190.812	8.45947 	211.073
83  	10    	211.073	211.073 	211.073
84  	10    	211.073	211.073 	211.073
85  	10    	196.93 	69.6443 	211.073
86  	10    	211.073	211.073 	211.073
87  	10    	191.299	13.3318 	211.073
88  	10    	211.073	211.073 	211.073
89  	10    	211.073	211.073 	211.073
90  	10    	211.073	211.073 	211.073
91  	10    	211.073	211.073 	211.073
92  	10    	211.073	211.073 	211.073
93  	10    	211.073	211.073 	211.073
94  	10    	191.061	10.9541 	211.073
95  	10    	191.026	10.6018 	211.073
96  	10    	191.821	18.5562 	211.073
97  	10    	211.073	211.073 	211.073
98  	10    	211.073	211.073 	211.073
99  	10    	191.969	20.0369 	211.073
100 	10    	211.073	211.073 	211.073
101 	10    	211.073	211.073 	211.073
102 	10    	172.743	16.8989 	211.073
103 	10    	156.013	16.5515 	211.073
104 	10    	192.195	22.2905 	211.073
105 	10    	211.073	211.073 	211.073
106 	10    	211.073	211.073 	211.073
107 	10    	211.073	211.073 	211.073
108 	10    	211.073	211.073 	211.073
109 	10    	211.073	211.073 	211.073
110 	10    	172.788	18.2388 	211.073
111 	10    	195.261	52.9524 	211.073
112 	10    	190.593	6.27539 	211.073
113 	10    	211.073	211.073 	211.073
114 	10    	190.885	9.19043 	211.073
115 	10    	192.803	28.3701 	211.073
116 	10    	211.073	211.073 	211.073
117 	10    	211.073	211.073 	211.073
118 	10    	211.073	211.073 	211.073
119 	10    	190.419	4.53369 	211.073
120 	10    	174.751	12.6946 	211.073
121 	10    	190.802	8.36206 	211.073
122 	10    	195.049	50.8308 	211.073
123 	10    	211.073	211.073 	211.073
124 	10    	211.073	211.073 	211.073
125 	10    	172.832	19.6421 	211.073
126 	10    	211.073	211.073 	211.073
127 	10    	211.073	211.073 	211.073
128 	10    	211.073	211.073 	211.073
129 	10    	191.516	15.502  	211.073
130 	10    	211.073	211.073 	211.073
131 	10    	211.073	211.073 	211.073
