gen 	nevals	avg    	min   	max   
1   	25    	1530.14	706.8 	2801.2
2   	25    	1396.96	729.6 	2889.2
3   	25    	1637.71	726   	3563.6
4   	25    	1852.21	648   	3278.4
5   	25    	1724.08	684   	3178.8
6   	25    	2083.2 	794.4 	2973.6
7   	25    	2117.46	684.4 	3453.6
8   	25    	2167.01	955.6 	3151.2
9   	25    	2252.77	1012  	3155.6
10  	25    	2463.81	740.4 	3254.8
11  	25    	2360.22	1196.4	3462  
12  	25    	2250.05	875.6 	3272.8
13  	25    	2323.81	843.6 	3753.6
14  	25    	2288.98	788   	3997.6
15  	25    	2432.66	627.6 	3612  
16  	25    	2637.97	1765.2	3462  
17  	25    	2471.42	1760.8	3303.6
18  	25    	2401.31	1734.8	2896  
19  	25    	2699.6 	1764.4	3858.8
20  	25    	2553.15	1685.6	3282  
21  	25    	2360.21	1362.4	3178.8
22  	25    	2534.74	1648  	3698.8
23  	25    	2553.76	1714  	3312  
24  	25    	2442   	2005.6	3624  
25  	25    	2572.19	1569.6	4164.4
26  	25    	2478.67	1864.4	3200.4
27  	25    	2598.88	1424.4	3661.2
28  	25    	2652.4 	1604.4	4237.2
29  	25    	2641.95	1032.8	3634  
30  	25    	2865.25	1887.2	4226.4
31  	25    	2611.38	1827.2	3607.2
32  	25    	2662.42	1732.8	3931.6
33  	25    	2318.61	1292.4	3125.2
34  	25    	2421.2 	994.8 	3282.4
35  	25    	2400.99	1636  	3168  
36  	25    	2411.58	1142.4	3534.8
37  	25    	2649.5 	1436.4	4296.8
38  	25    	2681.28	1057.2	4071.6
39  	25    	2953.42	1834  	4958.4
40  	25    	2696.96	1776.4	3527.6
41  	25    	2453.39	2002.8	3320.4
42  	25    	2543.79	1874.4	3686.4
43  	25    	2759.87	1607.6	4300  
44  	25    	2556.46	1808.4	3375.6
45  	25    	2796.06	1286.8	4727.2
46  	25    	2716.51	1690.4	3952.4
47  	25    	3050.18	2029.6	4050.8
48  	25    	2943.7 	1412.8	6299.2
49  	25    	2801.34	1904.4	4084  
50  	25    	2702.9 	1638.8	3686  
51  	25    	2765.07	1973.6	3558.4
52  	25    	2729.63	1566.8	5328  
53  	25    	2781.94	1876.4	3531.6
54  	25    	2699.1 	1712.8	3878.8
55  	25    	2903.87	1988  	4761.2
56  	25    	2672.3 	1504  	4504  
57  	25    	2841.95	1756.8	4237.2
58  	25    	2763.82	1967.2	4241.2
59  	25    	3001.66	1898  	3892  
60  	25    	3047.22	1617.2	4692.8
61  	25    	2943.62	2060.4	5666.4
62  	25    	2777.06	2072  	4108  
63  	25    	2719.06	1637.6	3435.2
64  	25    	2876.34	2082.4	4094  
65  	25    	2997.81	2295.2	3891.6
66  	25    	3044.66	2245.6	4265.6
67  	25    	2784.24	1681.2	3797.6
68  	25    	2919.57	1188.8	4000  
69  	25    	2775.84	1806.4	4273.2
70  	25    	3049.6 	2165.2	4276  
71  	25    	2810.74	1745.2	3846  
72  	25    	3078.83	1567.6	5081.6
73  	25    	2803.68	1491.2	4154.8
74  	25    	2991.49	1865.2	4164.4
75  	25    	3012.62	1910.4	4345.2
76  	25    	3106.46	2182  	4837.2
77  	25    	2822.13	1879.2	4934.4
78  	25    	3026.59	1771.2	5002  
79  	25    	3310.99	2176.8	4760  
80  	25    	2823.46	1864  	4573.6
81  	25    	2946.34	2211.2	3802  
82  	25    	2919.58	1996  	4087.6
83  	25    	3129.62	2124  	4368  
84  	25    	3153.22	2106  	4292.8
85  	25    	3230.11	2139.6	4034  
86  	25    	3190.83	1952.4	4364  
87  	25    	3175.15	2247.2	5008.4
88  	25    	3097.18	2265.2	3871.6
89  	25    	3186.1 	2152.8	5063.2
90  	25    	3054.32	1841.2	4627.2
91  	25    	3230.37	2137.2	4596.8
92  	25    	3048.78	2358.8	4052  
93  	25    	3166.93	1783.2	4496  
94  	25    	3198.8 	2241.2	4685.2
95  	25    	3404.69	2193.2	5469.2
96  	25    	3128.83	2418  	4877.2
97  	25    	3083.9 	2132.4	4594  
98  	25    	3313.02	2277.6	5398.8
99  	25    	3666.05	2409.2	4986.8
100 	25    	3190.35	2265.2	4004.8
101 	25    	3105.71	1910  	4504.8
102 	25    	3255.28	2352  	4743.2
103 	25    	3232   	2021.6	4365.2
104 	25    	3141.98	1884  	4268  
105 	25    	3133.66	2533.2	4522  
106 	25    	3201.31	1900.8	4156.8
107 	25    	3111.98	1918  	3964.4
108 	25    	3042.93	2311.6	3963.6
109 	25    	3216.06	2438  	4060.8
110 	25    	3541.44	2277.2	5061.2
111 	25    	3343.31	2271.2	4345.6
112 	25    	3412.03	2313.2	4979.6
113 	25    	3253.46	2310  	5981.2
114 	25    	3466.75	2366.8	4826.4
115 	25    	3271.23	2354.8	4206.8
116 	25    	3646.91	2813.6	4563.6
117 	25    	3413.9 	2131.6	4620.8
118 	25    	3258.64	2120.4	4701.2
119 	25    	3437.02	2382.4	4761.6
120 	25    	3489.18	2190.8	4887.6
121 	25    	3100.83	2191.6	4636.8
122 	25    	3218.59	2008.4	4056.4
123 	25    	3404.72	2017.6	4989.6
124 	25    	3139.14	2346  	4472  
125 	25    	3174.14	2441.2	4555.6
126 	25    	2981.92	1892.4	4842.8
127 	25    	3200.32	2486.4	3970  
128 	25    	3506.43	2227.6	4576.4
129 	25    	3347.09	1991.2	4699.6
130 	25    	3158.22	2288.8	4358  
131 	25    	3132.59	1987.2	4351.6
132 	25    	3132.19	2189.2	4874.4
133 	25    	3184.32	2359.2	4469.6
134 	25    	3396.4 	1892  	4980  
135 	25    	3555.65	2375.2	4798.8
136 	25    	3327.01	1961.6	5228.4
137 	25    	3154.91	2307.2	4192.4
138 	25    	3184.37	1658.4	4799.6
139 	25    	3327.84	1957.6	4477.6
140 	25    	3192.94	2226  	4098.4
141 	25    	3146.13	2129.2	3993.6
142 	25    	3366.53	2434  	4619.6
143 	25    	3261.78	2286.8	5245.6
144 	25    	3255.86	2213.6	4511.6
145 	25    	3031.78	2087.2	3845.6
146 	25    	3294.4 	2299.6	4184.4
147 	25    	3416.35	2457.6	4970.8
148 	25    	3154.11	1832  	4744  
149 	25    	3357.54	2282  	4682  
150 	25    	3253.17	2361.6	4716.4
151 	25    	3349.58	2195.2	4497.6
152 	25    	3192.11	2363.6	4300.4
153 	25    	3155.33	2100.4	3998.4
154 	25    	3415.58	2178.4	4807.6
155 	25    	3563.47	1970.4	4538.8
156 	25    	3601.04	2590.4	4889.2
157 	25    	3657.04	2663.2	5169.2
158 	25    	3257.86	1986.4	4369.2
159 	25    	3368.53	2555.2	5072  
160 	25    	3255.18	2256.8	4706.8
161 	25    	3275.38	2181.6	4718.4
162 	25    	3307.04	2626  	4621.6
163 	25    	3220.93	2243.2	4383.2
164 	25    	3239.01	2460.4	4708.4
165 	25    	3352.62	2483.2	5164  
166 	25    	3208.93	1912.4	4983.6
167 	25    	3350.14	2132.4	4608.4
168 	25    	3488.75	2225.6	5157.2
169 	25    	3296.99	2535.2	4427.6
170 	25    	3423.46	2472.4	4505.6
171 	25    	3249.54	2194  	5003.2
172 	25    	3407.5 	2151.6	4292  
173 	25    	3336.34	2421.2	4707.2
174 	25    	3473.14	2614.8	4570.8
175 	25    	3343.54	1906  	5496.8
176 	25    	3286.26	2094  	4900.4
177 	25    	3183.92	2320.8	4687.2
178 	25    	3193.04	2078.8	4580.4
179 	25    	3408.08	2048.4	4577.6
180 	25    	3074.14	1673.2	4220.4
181 	25    	3478.77	1876  	5025.2
182 	25    	3328.11	1862.8	4679.2
183 	25    	3421.65	2221.6	4713.6
184 	25    	3431.87	2265.2	5259.6
185 	25    	3226.8 	2370.4	4524  
186 	25    	2967.86	1874.4	4471.6
187 	25    	3238.56	1703.6	4534.4
188 	25    	3261.87	1938.8	4378  
189 	25    	3214.45	1517.2	4236.8
190 	25    	3260.99	2229.6	5355.6
191 	25    	3383.76	2055.2	4706.8
192 	25    	3410.56	2353.2	4274.4
193 	25    	3337.57	2258.4	4354.8
