gen	nevals	avg    	min   	max   
1  	25    	1504.24	514   	2729.2
2  	25    	1791.17	666.8 	3177.2
3  	25    	1669.84	451.2 	3307.2
4  	25    	1615.33	699.6 	3041.2
5  	25    	1625.17	759.6 	2888.4
6  	25    	1875.2 	636   	2796  
7  	25    	2120.34	1029.2	3341.6
8  	25    	2044.3 	788.8 	3465.2
9  	25    	2188.98	1104.4	3163.6
10 	25    	2303.95	1019.6	3047.2
11 	25    	2454.54	899.6 	3571.6
12 	25    	2259.66	1569.2	3509.2
13 	25    	2422.4 	1791.2	3563.6
14 	25    	2539.17	1758.8	3200.4
15 	25    	2447.86	1581.6	3513.2
16 	25    	2463.2 	1612  	3583.6
17 	25    	2364.03	1188.8	3122.4
18 	25    	2508.56	691.2 	3368.4
19 	25    	2343.41	1067.2	3622.8
20 	25    	2647.2 	1827.6	4469.2
21 	25    	2493.15	1780.4	3723.2
22 	25    	2597.66	1725.6	3494  
23 	25    	2584.66	1750.8	3541.2
24 	25    	2864.85	2058.8	4189.6
25 	25    	2607.28	1780.4	3762.8
26 	25    	2773.41	1922.4	4092.8
27 	25    	2538.56	1450  	3550  
28 	25    	2915.3 	1818.8	4080.8
29 	25    	2605.55	1628  	3474  
30 	25    	2705.01	1815.2	4050.4
31 	25    	2480.8 	1836.4	3567.6
32 	25    	2362.06	1736  	3184  
33 	25    	2465.76	1567.2	3375.2
34 	25    	2649.23	2016  	4046.4
35 	25    	2627.52	2044.8	3292.4
36 	25    	2655.23	2039.6	3735.6
37 	25    	2726.1 	1797.6	4111.6
38 	25    	2822.82	2000.8	4252  
39 	25    	2581.65	1994.4	3589.6
40 	25    	2751.92	2023.2	3967.6
41 	25    	2747.04	1668.8	3659.6
42 	25    	2828.94	1846  	4035.2
43 	25    	2674.4 	1818  	3719.2
44 	25    	2873.01	2272  	4146.8
45 	25    	2703.06	2048  	4363.6
46 	25    	2741.71	2009.2	3675.2
47 	25    	2930.05	2178.4	3509.6
48 	25    	2771.81	1648  	3814.8
49 	25    	2690.05	1817.6	3708  
50 	25    	2854.9 	1531.6	3791.2
51 	25    	2971.73	2118  	4885.2
52 	25    	2895.06	1860.4	3999.6
53 	25    	2828.56	2033.2	4925.6
54 	25    	3002.3 	2116.4	4480  
55 	25    	2801.89	1866.8	4582  
56 	25    	2784.88	2185.6	4102.4
57 	25    	2628.3 	1839.6	3572  
58 	25    	2967.92	2123.6	4796.8
59 	25    	2882.43	1959.2	5342  
60 	25    	2915.46	1842.4	4292.4
61 	25    	3092.96	1978  	4146.8
62 	25    	2641.86	1617.2	4400.4
63 	25    	2767.65	1330  	4604  
64 	25    	2826.05	1765.2	4180.4
65 	25    	3134.83	1927.2	4385.6
