gen	nevals	avg      	min       	max      
1  	25    	0.041125 	0         	0.269531 
2  	25    	0.0344219	0         	0.364453 
3  	25    	0.0376563	0         	0.0921875
4  	25    	0.025875 	0         	0.0695312
5  	25    	0.0650469	0.00078125	0.218359 
6  	25    	0.0480781	0         	0.0960938
7  	25    	0.0780937	0.00507812	0.321094 
8  	25    	0.0972969	0.00585938	0.774609 
9  	25    	0.07375  	0.00546875	0.305859 
10 	25    	0.0830312	0.00585938	0.494141 
11 	25    	0.096375 	0.00820312	0.627344 
12 	25    	0.164813 	0.0078125 	0.852734 
13 	25    	0.191891 	0.00351562	0.764063 
14 	25    	0.164625 	0.0171875 	0.59375  
15 	25    	0.181938 	0.0316406 	0.914062 
16 	25    	0.323625 	0.0394531 	0.938672 
17 	25    	0.320891 	0.0425781 	0.710938 
18 	25    	0.306297 	0.00820312	0.821875 
19 	25    	0.333625 	0.0078125 	0.778516 
20 	25    	0.367844 	0.00820312	0.780078 
21 	25    	0.449563 	0.0125    	0.901172 
22 	25    	0.525313 	0.00859375	0.935547 
23 	25    	0.532594 	0.0078125 	0.907031 
24 	25    	0.535281 	0.00976562	0.963281 
25 	25    	0.570484 	0.0839844 	0.931641 
26 	25    	0.572656 	0.0300781 	0.967188 
27 	25    	0.493953 	0.0714844 	0.880469 
28 	25    	0.583531 	0.114063  	0.8875   
29 	25    	0.493891 	0         	0.965625 
30 	25    	0.441875 	0.0078125 	0.940234 
31 	25    	0.600078 	0.00820312	0.959766 
32 	25    	0.579906 	0.125781  	0.857031 
33 	25    	0.684656 	0.197266  	0.943359 
34 	25    	0.588344 	0.009375  	0.863672 
35 	25    	0.549859 	0.0960938 	0.921484 
36 	25    	0.601328 	0.00820312	0.922266 
37 	25    	0.656125 	0.119141  	0.974609 
38 	25    	0.608266 	0.0113281 	0.917969 
39 	25    	0.584078 	0.0734375 	0.915625 
40 	25    	0.701328 	0.169922  	0.940234 
41 	25    	0.604766 	0.090625  	0.905859 
42 	25    	0.669703 	0.00820312	0.878516 
43 	25    	0.600031 	0.0078125 	0.933594 
44 	25    	0.742531 	0.104297  	0.983203 
45 	25    	0.744078 	0.315234  	0.921484 
46 	25    	0.742031 	0.254687  	0.916797 
47 	25    	0.700891 	0.0078125 	0.953906 
48 	25    	0.755422 	0.470313  	0.910547 
49 	25    	0.694531 	0.101562  	0.971875 
50 	25    	0.664578 	0.0121094 	0.891016 
51 	25    	0.761984 	0.322266  	0.992188 
52 	25    	0.737469 	0.151953  	0.991797 
53 	25    	0.721781 	0.0535156 	0.967188 
54 	25    	0.644516 	0.0871094 	0.979297 
55 	25    	0.730703 	0.125781  	0.916016 
56 	25    	0.849875 	0.56875   	0.955469 
57 	25    	0.762125 	0.075     	0.994922 
58 	25    	0.757047 	0.140625  	0.945703 
59 	25    	0.821906 	0.400391  	0.95625  
60 	25    	0.867609 	0.692187  	0.967969 
61 	25    	0.786516 	0.384375  	0.986719 
62 	25    	0.754687 	0.134766  	0.982031 
63 	25    	0.822094 	0.415625  	1        
64 	25    	0.793406 	0.429297  	0.997266 
65 	25    	0.756234 	0.121875  	0.958594 
66 	25    	0.787391 	0.204688  	0.969141 
67 	25    	0.792969 	0.554297  	0.962109 
68 	25    	0.820797 	0.246484  	0.985156 
69 	25    	0.853187 	0.364062  	0.975781 
70 	25    	0.860578 	0.623047  	1        
71 	25    	0.816141 	0.399219  	0.992578 
72 	25    	0.834188 	0.282422  	1        
73 	25    	0.817281 	0.325391  	1        
74 	25    	0.843313 	0.510938  	0.997656 
75 	25    	0.840094 	0.35625   	0.979688 
76 	25    	0.829594 	0.0128906 	0.990234 
77 	25    	0.873859 	0.743359  	1        
78 	25    	0.882344 	0.710156  	1        
79 	25    	0.810672 	0.45625   	1        
80 	25    	0.873125 	0.733984  	0.992188 
81 	25    	0.792734 	0.114453  	1        
82 	25    	0.805906 	0.398828  	0.989453 
83 	25    	0.799625 	0.323438  	0.977344 
84 	25    	0.884047 	0.586328  	0.980078 
85 	25    	0.881391 	0.502344  	1        
86 	25    	0.863891 	0.570312  	0.997266 
87 	25    	0.843453 	0.377344  	0.973828 
