gen	nevals	avg      	min       	max     
1  	25    	0.0396875	0         	0.316406
2  	25    	0.0254375	0         	0.134375
3  	25    	0.0415313	0         	0.104687
4  	25    	0.047    	0         	0.128125
5  	25    	0.07325  	0.0078125 	0.211719
6  	25    	0.0729687	0         	0.155469
7  	25    	0.0783438	0.0078125 	0.196875
8  	25    	0.0949063	0         	0.471094
9  	25    	0.107187 	0.00390625	0.285937
10 	25    	0.15375  	0.0078125 	0.520312
11 	25    	0.175125 	0.00859375	0.591406
12 	25    	0.126219 	0.0015625 	0.536719
13 	25    	0.239219 	0.0320312 	0.634375
14 	25    	0.171812 	0.0101562 	0.699219
15 	25    	0.142469 	0         	0.453125
16 	25    	0.204531 	0         	0.553906
17 	25    	0.244375 	0.0195312 	0.66875 
18 	25    	0.267625 	0.0078125 	0.717969
19 	25    	0.2465   	0.0328125 	0.95    
20 	25    	0.350219 	0.0078125 	0.911719
21 	25    	0.371281 	0.0203125 	0.934375
22 	25    	0.377875 	0.0117188 	0.896094
23 	25    	0.280313 	0.0171875 	0.721094
24 	25    	0.394063 	0.0476562 	0.8625  
25 	25    	0.306781 	0.00703125	0.763281
26 	25    	0.372125 	0         	0.902344
27 	25    	0.519906 	0.24375   	0.803125
28 	25    	0.428875 	0.0328125 	0.817969
29 	25    	0.442188 	0.028125  	0.76875 
30 	25    	0.424656 	0.0101562 	0.925   
31 	25    	0.419781 	0.0078125 	0.873438
32 	25    	0.462438 	0.0140625 	1       
33 	25    	0.593969 	0.0109375 	0.971094
34 	25    	0.583344 	0.0078125 	0.9625  
35 	25    	0.540844 	0.0148437 	0.883594
36 	25    	0.559188 	0.0296875 	0.917188
37 	25    	0.509406 	0.0078125 	0.960156
38 	25    	0.555125 	0.0101562 	0.904688
39 	25    	0.644438 	0.0328125 	0.904688
40 	25    	0.714094 	0.127344  	0.960938
41 	25    	0.619563 	0.0015625 	1       
42 	25    	0.665031 	0.0820312 	0.915625
43 	25    	0.588875 	0.126563  	0.95    
44 	25    	0.595625 	0.0703125 	0.907031
45 	25    	0.6375   	0.0078125 	0.98125 
46 	25    	0.583156 	0.0265625 	1       
47 	25    	0.575531 	0.150781  	0.889063
48 	25    	0.601094 	0.1125    	0.946094
49 	25    	0.634875 	0.0140625 	0.883594
50 	25    	0.565938 	0.0921875 	0.884375
51 	25    	0.629469 	0.0101562 	0.945312
52 	25    	0.511125 	0.0078125 	0.977344
53 	25    	0.705469 	0.234375  	0.957812
54 	25    	0.628125 	0.133594  	0.964844
55 	25    	0.620031 	0.209375  	0.903906
56 	25    	0.663156 	0.167969  	0.911719
57 	25    	0.58375  	0.0140625 	0.957812
58 	25    	0.703031 	0.171875  	0.919531
59 	25    	0.599906 	0.0125    	0.928906
60 	25    	0.73125  	0.202344  	0.917969
61 	25    	0.779094 	0.299219  	0.976562
62 	25    	0.746375 	0.375781  	0.983594
63 	25    	0.662063 	0.0820312 	0.953906
64 	25    	0.676969 	0.16875   	0.935156
65 	25    	0.669062 	0.09375   	0.8875  
66 	25    	0.585344 	0.05625   	0.883594
67 	25    	0.593313 	0.071875  	0.911719
68 	25    	0.737844 	0.1125    	1       
69 	25    	0.702531 	0.003125  	0.9     
70 	25    	0.644406 	0.110937  	0.892969
71 	25    	0.728    	0.228125  	0.971875
72 	25    	0.710969 	0.125     	0.994531
73 	25    	0.5935   	0.191406  	0.928125
74 	25    	0.668344 	0.150781  	0.928125
75 	25    	0.660937 	0.234375  	0.907031
76 	25    	0.617625 	0.179688  	0.964063
77 	25    	0.590219 	0.0539063 	0.921875
78 	25    	0.681438 	0.121094  	0.982031
79 	25    	0.780219 	0.507031  	1       
80 	25    	0.683    	0.0796875 	0.957031
81 	25    	0.701812 	0.203906  	0.949219
82 	25    	0.721187 	0.224219  	0.955469
83 	25    	0.799062 	0.576563  	0.969531
84 	25    	0.80825  	0.601562  	1       
85 	25    	0.783188 	0.389062  	0.94375 
86 	25    	0.771719 	0.247656  	0.983594
87 	25    	0.795375 	0.361719  	1       
88 	25    	0.768687 	0.0992187 	0.957812
89 	25    	0.752969 	0.249219  	0.991406
90 	25    	0.704094 	0.160156  	0.986719
91 	25    	0.681063 	0.0242187 	0.990625
92 	25    	0.751781 	0.117969  	0.953906
93 	25    	0.796531 	0.466406  	0.972656
94 	25    	0.735406 	0.164844  	1       
95 	25    	0.802813 	0.246875  	1       
96 	25    	0.7595   	0.466406  	0.991406
97 	25    	0.769875 	0.310937  	0.946094
98 	25    	0.790313 	0.396094  	0.979688
99 	25    	0.717219 	0.233594  	1       
100	25    	0.759688 	0.213281  	0.973437
101	25    	0.782563 	0.583594  	0.979688
102	25    	0.782781 	0.644531  	0.983594
103	25    	0.750594 	0.0914062 	0.957031
104	25    	0.718563 	0.244531  	0.957031
105	25    	0.777625 	0.452344  	0.967188
106	25    	0.734125 	0.421875  	0.989062
107	25    	0.763187 	0.266406  	0.9375  
108	25    	0.717469 	0.427344  	0.973437
109	25    	0.692031 	0.0265625 	1       
110	25    	0.718906 	0.155469  	0.926562
111	25    	0.694906 	0.288281  	0.991406
112	25    	0.735594 	0.429688  	1       
113	25    	0.718531 	0.388281  	0.927344
114	25    	0.694094 	0.144531  	0.985937
115	25    	0.721094 	0.15625   	0.95625 
116	25    	0.783406 	0.392188  	0.965625
117	25    	0.719156 	0.286719  	0.974219
118	25    	0.769531 	0.564844  	0.971094
119	25    	0.670656 	0.278125  	0.990625
120	25    	0.780844 	0.36875   	0.997656
121	25    	0.739937 	0.0484375 	0.942187
122	25    	0.778344 	0.450781  	0.970312
123	25    	0.8025   	0.180469  	1       
124	25    	0.792938 	0.396875  	1       
125	25    	0.820781 	0.4       	1       
126	25    	0.809781 	0.632031  	0.995313
127	25    	0.831875 	0.546094  	1       
128	25    	0.801719 	0.414844  	1       
129	25    	0.829031 	0.544531  	1       
130	25    	0.780875 	0.435937  	0.986719
131	25    	0.787781 	0.480469  	0.992969
132	25    	0.756406 	0.340625  	0.970312
133	25    	0.796594 	0.582812  	0.982031
134	25    	0.820375 	0.450781  	1       
135	25    	0.790719 	0.507031  	0.982031
136	25    	0.758875 	0.5       	0.958594
137	25    	0.7905   	0.561719  	1       
138	25    	0.812781 	0.552344  	0.992188
139	25    	0.816281 	0.588281  	1       
140	25    	0.787375 	0.542188  	0.983594
141	25    	0.77575  	0.313281  	0.994531
142	25    	0.781625 	0.178125  	1       
143	25    	0.7565   	0.179688  	0.997656
144	25    	0.75925  	0.35      	0.953906
145	25    	0.76175  	0.383594  	0.969531
146	25    	0.742969 	0.323438  	0.925781
147	25    	0.777188 	0.317969  	0.946875
148	25    	0.802406 	0.299219  	0.984375
149	25    	0.825625 	0.496094  	0.986719
150	25    	0.752969 	0.246094  	0.995313
151	25    	0.802719 	0.339844  	0.98125 
152	25    	0.78375  	0.4       	1       
153	25    	0.829531 	0.513281  	1       
154	25    	0.809969 	0.577344  	0.978906
155	25    	0.855781 	0.596875  	0.977344
156	25    	0.832719 	0.559375  	0.991406
157	25    	0.793875 	0.536719  	0.95625 
158	25    	0.810781 	0.584375  	1       
159	25    	0.861594 	0.639063  	1       
160	25    	0.851    	0.474219  	1       
161	25    	0.83625  	0.511719  	1       
162	25    	0.822812 	0.596875  	0.991406
163	25    	0.858531 	0.548437  	1       
164	25    	0.837531 	0.644531  	1       
165	25    	0.840937 	0.49375   	1       
166	25    	0.841625 	0.651563  	1       
167	25    	0.830125 	0.452344  	1       
168	25    	0.805094 	0.1875    	1       
169	25    	0.858938 	0.475     	1       
170	25    	0.818156 	0.542188  	1       
171	25    	0.845687 	0.428125  	1       
172	25    	0.806625 	0.5375    	0.965625
173	25    	0.805969 	0.396875  	1       
174	25    	0.750812 	0.409375  	0.994531
175	25    	0.771031 	0.44375   	1       
176	25    	0.827    	0.43125   	1       
177	25    	0.722406 	0.14375   	1       
178	25    	0.784063 	0.221875  	0.989062
179	25    	0.837625 	0.402344  	1       
180	25    	0.809375 	0.339063  	1       
181	25    	0.83625  	0.367188  	1       
182	25    	0.804937 	0.422656  	1       
183	25    	0.754031 	0.241406  	0.989062
184	25    	0.824969 	0.609375  	1       
185	25    	0.76525  	0.246875  	0.990625
186	25    	0.757    	0.3       	0.957031
187	25    	0.751219 	0.335938  	0.998438
188	25    	0.798156 	0.374219  	0.998438
189	25    	0.790594 	0.0898438 	0.982031
190	25    	0.875125 	0.617969  	1       
191	25    	0.900531 	0.750781  	1       
192	25    	0.813438 	0.577344  	0.99375 
193	25    	0.836187 	0.394531  	1       
194	25    	0.790656 	0.372656  	1       
195	25    	0.848906 	0.573438  	1       
196	25    	0.841563 	0.4625    	0.992188
197	25    	0.840906 	0.3375    	1       
198	25    	0.841844 	0.702344  	0.984375
199	25    	0.829156 	0.339844  	1       
200	25    	0.839219 	0.625781  	1       
201	25    	0.884344 	0.740625  	1       
202	25    	0.843156 	0.558594  	1       
203	25    	0.792313 	0.519531  	0.970312
204	25    	0.868312 	0.578125  	1       
205	25    	0.813656 	0.494531  	1       
206	25    	0.856812 	0.659375  	1       
207	25    	0.818813 	0.634375  	0.989062
208	25    	0.804562 	0.467969  	0.965625
