gen	nevals	avg    	min     	max    
1  	10    	2.25166	-3.99805	10.218 
2  	10    	0.43452	-27.4895	24.304 
3  	10    	3.48716	-6.16724	9.43091
4  	10    	3.31043	-7.6062 	20.2698
5  	10    	5.52974	-8.7832 	14.7141
6  	10    	17.8848	6.27393 	111.941
7  	10    	6.82649	4.47925 	10.9622
8  	10    	6.85901	-9.32495	17.4333
9  	10    	14.1752	-10.3462	65.948 
10 	10    	15.7056	5.96631 	43.2117
11 	10    	13.6123	6.18213 	39.061 
12 	10    	16.3515	7.74756 	41.5427
13 	10    	13.4442	6.49707 	33.7388
14 	10    	36.822 	6.64575 	180.267
15 	10    	9.07817	6.06274 	20.53  
16 	10    	8.09899	6.17627 	12.4431
17 	10    	19.9798	6.20874 	65.4558
18 	10    	20.324 	6.21167 	60.5811
19 	10    	20.6439	6.64575 	74.3186
20 	10    	14.0824	6.67871 	39.9717
21 	10    	12.6321	6.64575 	20.0042
22 	10    	14.9498	6.19727 	34.416 
23 	10    	14.8677	6.43311 	40.3857
24 	10    	38.5706	6.09277 	153.008
25 	10    	13.5128	6.97876 	24.4492
26 	10    	11.8681	1.77881 	30.0874
27 	10    	14.1801	6.35205 	32.8745
28 	10    	26.1519	6.64478 	78.0725
29 	10    	14.0311	6.52295 	49.4351
30 	10    	32.392 	6.44824 	125.054
31 	10    	15.4156	6.44678 	42.7781
32 	10    	37.0732	7.73462 	86.9192
33 	10    	21.1568	8.51709 	34.2419
34 	10    	23.6396	13.2446 	42.0544
35 	10    	23.4665	8.45288 	83.0059
36 	10    	17.109 	6.53809 	30.3291
37 	10    	27.2624	10.1438 	116.493
38 	10    	21.3616	7.10181 	54.8418
39 	10    	35.5211	13.3987 	72.9253
40 	10    	23.0619	6.59644 	50.3496
41 	10    	31.3018	8.56592 	132.731
42 	10    	23.0979	8.04419 	41.5042
43 	10    	21.3978	9.38257 	40.8342
44 	10    	30.2031	10.0452 	116.086
45 	10    	34.0472	11.894  	68.4846
46 	10    	25.5027	7.79468 	52.3489
47 	10    	23.9355	6.53979 	51.7417
48 	10    	11.995 	6.64575 	21.3508
49 	10    	32.7552	6.81445 	108.845
50 	10    	21.2274	6.80176 	49.71  
51 	10    	23.1649	6.82666 	49.3904
52 	10    	23.1946	7.33276 	39.7197
53 	10    	20.1017	10.5879 	45.8682
54 	10    	27.9179	8.92676 	102.032
55 	10    	29.7267	6.88306 	83.5044
56 	10    	23.158 	7.73755 	62.7542
57 	10    	37.3208	6.30957 	112.078
58 	10    	22.5548	6.17456 	63.3052
59 	10    	36.8194	8.5647  	134.532
60 	10    	21.3187	6.50439 	77.9905
61 	10    	20.8571	6.39185 	34.332 
62 	10    	15.7732	6.91943 	61.9651
63 	10    	10.8372	6.17822 	22.0698
64 	10    	14.3002	6.6123  	23.2969
65 	10    	12.9011	6.34399 	23.3013
66 	10    	10.7751	6.14282 	15.5007
67 	10    	19.1028	6.67236 	75.532 
68 	10    	21.0876	6.78394 	57.8757
69 	10    	25.8097	7.8811  	69.6904
70 	10    	24.5814	8.59424 	62.667 
71 	10    	14.6798	7.07251 	37.0979
72 	10    	28.1632	-8.69214	97.3777
73 	10    	33.0676	-8.67163	175.16 
74 	10    	23.4503	-8.67065	68.7   
75 	10    	19.3257	6.71606 	45.8223
76 	10    	29.2124	6.24048 	60.5103
77 	10    	25.587 	7.80762 	68.77  
78 	10    	20.1673	6.70313 	75.9419
79 	10    	21.8152	7.03101 	78.1116
80 	10    	22.1191	11.5933 	32.2441
81 	10    	16.229 	-8.66821	48.0176
82 	10    	28.2978	-8.66284	85.3584
83 	10    	12.1024	-8.66333	34.4177
84 	10    	24.0509	10.0254 	55.4072
85 	10    	27.0286	11.2092 	45.0361
86 	10    	30.3622	11.9604 	48.1907
87 	10    	28.8787	11.9622 	62.4355
88 	10    	31.5086	7.71509 	58.9299
89 	10    	23.162 	9.86987 	74.1987
90 	10    	28.5672	7.15381 	51.6736
91 	10    	35.6746	13.123  	72.1321
92 	10    	35.6484	11.9036 	84.3101
93 	10    	16.1636	7.20459 	28.8132
94 	10    	25.5568	10.6899 	55.5737
95 	10    	17.358 	6.25928 	47.575 
96 	10    	28.1072	7.39795 	75.1526
97 	10    	31.1788	7.53052 	62.7095
98 	10    	24.8856	9.19727 	69.6614
99 	10    	38.5931	11.5864 	131.042
100	10    	21.5442	6.49268 	96.2571
101	10    	14.8579	7.44995 	22.3381
102	10    	26.39  	6.32031 	59.52  
103	10    	22.4113	9.43262 	49.3694
104	10    	32.5547	7.35083 	131.72 
105	10    	23.9014	7.84863 	62.7991
106	10    	23.3332	8.05225 	44.2117
107	10    	44.091 	17.0461 	184.142
108	10    	41.6908	10.2744 	140.129
109	10    	25.0125	11.0295 	61.9919
110	10    	27.8843	6.27515 	84.2654
111	10    	26.3421	7.49048 	109.772
112	10    	39.867 	14.677  	82.7881
113	10    	39.1676	11.4905 	85.2419
114	10    	23.6501	12.8833 	51.5293
115	10    	31.5651	6.2207  	88.2715
116	10    	31.4904	11.1663 	53.7471
117	10    	45.3503	14.7246 	122.362
118	10    	32.0106	13.032  	105.783
119	10    	23.2219	10.0217 	33.9346
120	10    	25.9208	14.9858 	40.4189
121	10    	35.7465	21.0547 	70.0999
122	10    	31.5764	20.2576 	56.1377
123	10    	35.1555	14.9836 	76.0413
124	10    	34.0485	9.85034 	65.0896
125	10    	27.5889	12.2834 	49.8823
126	10    	31.0641	16.8289 	62.8459
127	10    	33.1333	14.8711 	82.593 
128	10    	35.275 	8.83057 	75.3345
129	10    	31.4443	11.8572 	93.6814
130	10    	27.5808	10.062  	71.5696
