gen 	nevals	avg    	min   	max   
0   	50    	1828.85	442.4 	3542  
1   	50    	2236.94	738   	3542  
2   	50    	2379.14	738   	3542  
3   	50    	2542.26	781.6 	3542  
4   	50    	2755.5 	2129.6	3542  
5   	50    	2811.14	2129.6	3542  
6   	50    	2862.7 	2221.6	3542  
7   	50    	2879.55	2221.6	3542  
8   	50    	2896.58	2221.6	3542  
9   	50    	2910.98	2221.6	3542  
10  	50    	2939.39	2425.6	3542  
11  	50    	2944.58	2433.2	3542  
12  	50    	2946.28	2433.2	3542  
13  	50    	2998.46	2433.2	3546  
14  	50    	3024.34	2535.2	3546  
15  	50    	3033.62	2535.2	3546  
16  	50    	3059.94	2535.2	3553.6
17  	50    	3073.57	2535.2	3553.6
18  	50    	3090.14	2535.2	3553.6
19  	50    	3096.7 	2535.2	3553.6
20  	50    	3097.73	2535.2	3553.6
21  	50    	3110.9 	2535.2	3553.6
22  	50    	3110.9 	2535.2	3553.6
23  	50    	3125.42	2696.8	3553.6
24  	50    	3131.95	2696.8	3553.6
25  	50    	3144.94	2696.8	3553.6
26  	50    	3162.65	2696.8	3553.6
27  	50    	3165.87	2696.8	3553.6
28  	50    	3166.98	2696.8	3553.6
29  	50    	3197.76	2696.8	3800  
30  	50    	3200.89	2696.8	3800  
31  	50    	3200.92	2696.8	3800  
32  	50    	3208.57	2696.8	3924.4
33  	50    	3211.64	2696.8	3924.4
34  	50    	3218.2 	2696.8	3924.4
35  	50    	3220.19	2696.8	3924.4
36  	50    	3228.49	2696.8	3924.4
37  	50    	3258.75	2890.4	3924.4
38  	50    	3260.07	2890.4	3924.4
39  	50    	3266.59	2890.4	3924.4
40  	50    	3266.59	2890.4	3924.4
41  	50    	3272.72	2906  	3924.4
42  	50    	3281.22	2978  	3924.4
43  	50    	3285.49	2978  	3924.4
44  	50    	3295.12	2978  	3924.4
45  	50    	3295.12	2978  	3924.4
46  	50    	3295.34	2978  	3924.4
47  	50    	3300.74	2978  	3924.4
48  	50    	3305.23	2978  	3924.4
49  	50    	3327.35	2978  	4100  
50  	50    	3351.11	3011.2	4100  
51  	50    	3351.11	3011.2	4100  
52  	50    	3361.02	3011.2	4100  
53  	50    	3361.02	3011.2	4100  
54  	50    	3368.67	3011.2	4100  
55  	50    	3373.38	3011.2	4100  
56  	50    	3373.38	3011.2	4100  
57  	50    	3373.38	3011.2	4100  
58  	50    	3373.38	3011.2	4100  
59  	50    	3382.3 	3011.2	4100  
60  	50    	3382.3 	3011.2	4100  
61  	50    	3383   	3011.2	4100  
62  	50    	3417.21	3011.2	4100  
63  	50    	3420.9 	3011.2	4100  
64  	50    	3421.06	3011.2	4100  
65  	50    	3421.32	3011.2	4100  
66  	50    	3422.78	3060.4	4100  
67  	50    	3422.78	3060.4	4100  
68  	50    	3422.78	3060.4	4100  
69  	50    	3422.78	3060.4	4100  
70  	50    	3422.78	3060.4	4100  
71  	50    	3430.55	3060.4	4100  
72  	50    	3430.55	3060.4	4100  
73  	50    	3430.55	3060.4	4100  
74  	50    	3431.93	3060.4	4100  
75  	50    	3432.42	3060.4	4100  
76  	50    	3444.23	3060.4	4100  
77  	50    	3444.23	3060.4	4100  
78  	50    	3444.23	3060.4	4100  
79  	50    	3444.23	3060.4	4100  
80  	50    	3451.36	3084.4	4100  
81  	50    	3451.36	3084.4	4100  
