gen	nevals	avg    	min    	max    
0  	25    	2135.84	677.76 	2772.8 
1  	25    	2366.28	751.28 	2801.92
2  	25    	2474.75	977.68 	2801.92
3  	25    	2565.27	2164.56	2801.92
4  	25    	2591.73	2190.88	2801.92
5  	25    	2631.23	2368.48	2801.92
6  	25    	2639.84	2368.48	2801.92
7  	25    	2650.56	2368.48	2801.92
8  	25    	2669.85	2473.84	2850.08
9  	25    	2692.72	2515.04	2869.52
10 	25    	2695.75	2515.04	2870.56
11 	25    	2696.52	2515.04	2870.56
12 	25    	2707.94	2515.04	2870.56
13 	25    	2722.17	2515.04	2965.44
14 	25    	2722.17	2515.04	2965.44
15 	25    	2724.09	2516.48	2965.44
16 	25    	2726.15	2516.48	2965.44
17 	25    	2732.12	2516.48	2965.44
18 	25    	2746.22	2594.72	2965.44
19 	25    	2768.65	2595.36	3054.48
20 	25    	2787.38	2595.36	3130.08
21 	25    	2791.76	2595.36	3130.08
22 	25    	2798.15	2595.36	3130.08
23 	25    	2798.15	2595.36	3130.08
24 	25    	2809.91	2595.36	3130.08
25 	25    	2809.91	2595.36	3130.08
26 	25    	2819.49	2608.48	3130.08
27 	25    	2821.82	2608.48	3130.08
28 	25    	2836.09	2608.48	3130.08
29 	25    	2838.4 	2608.48	3130.08
30 	25    	2841.74	2608.48	3130.08
31 	25    	2850.63	2633.44	3130.08
32 	25    	2852.06	2633.44	3130.08
33 	25    	2852.06	2633.44	3130.08
34 	25    	2855.58	2633.44	3130.08
35 	25    	2855.58	2633.44	3130.08
36 	25    	2855.58	2633.44	3130.08
37 	25    	2855.58	2633.44	3130.08
38 	25    	2864.59	2722.72	3130.08
39 	25    	2864.59	2722.72	3130.08
40 	25    	2864.59	2722.72	3130.08
41 	25    	2866.21	2722.72	3130.08
42 	25    	2866.21	2722.72	3130.08
43 	25    	2870.83	2722.72	3130.08
44 	25    	2877.94	2728.24	3130.08
45 	25    	2877.94	2728.24	3130.08
46 	25    	2881.49	2728.24	3130.08
47 	25    	2890.65	2744.56	3130.08
48 	25    	2891.31	2744.56	3130.08
49 	25    	2895.05	2744.56	3130.08
50 	25    	2898.37	2744.56	3130.08
51 	25    	2901.05	2744.56	3130.08
52 	25    	2902.22	2744.56	3130.08
53 	25    	2902.22	2744.56	3130.08
54 	25    	2902.22	2744.56	3130.08
55 	25    	2909.4 	2796.88	3130.08
56 	25    	2909.4 	2796.88	3130.08
57 	25    	2909.4 	2796.88	3130.08
58 	25    	2909.4 	2796.88	3130.08
59 	25    	2909.4 	2796.88	3130.08
60 	25    	2909.4 	2796.88	3130.08
61 	25    	2909.58	2796.88	3130.08
62 	25    	2913.48	2796.88	3227.6 
63 	25    	2918.9 	2796.88	3227.6 
64 	25    	2921.59	2796.88	3227.6 
65 	25    	2921.59	2796.88	3227.6 
66 	25    	2921.59	2796.88	3227.6 
67 	25    	2921.59	2796.88	3227.6 
68 	25    	2921.59	2796.88	3227.6 
69 	25    	2921.59	2796.88	3227.6 
70 	25    	2927.91	2796.88	3227.6 
71 	25    	2931.92	2796.88	3227.6 
72 	25    	2931.92	2796.88	3227.6 
73 	25    	2937.59	2796.88	3227.6 
74 	25    	2940.35	2796.88	3227.6 
75 	25    	2940.35	2796.88	3227.6 
76 	25    	2956.2 	2796.88	3227.6 
77 	25    	2956.2 	2796.88	3227.6 
78 	25    	2956.2 	2796.88	3227.6 
79 	25    	2961.42	2796.88	3227.6 
80 	25    	2961.42	2796.88	3227.6 
81 	25    	2961.42	2796.88	3227.6 
82 	25    	2961.42	2796.88	3227.6 
83 	25    	2969.47	2796.88	3227.6 
84 	25    	2969.47	2796.88	3227.6 
85 	25    	2969.47	2796.88	3227.6 
86 	25    	2969.47	2796.88	3227.6 
87 	25    	2969.47	2796.88	3227.6 
88 	25    	2970.37	2796.88	3227.6 
89 	25    	2970.37	2796.88	3227.6 
90 	25    	2970.37	2796.88	3227.6 
91 	25    	2970.37	2796.88	3227.6 
92 	25    	2971.98	2796.88	3227.6 
