gen	nevals	avg   	min  	max  
0  	20    	79.15 	61.2 	112.4
1  	20    	91.66 	65.6 	124.6
2  	20    	94.33 	65.6 	124.6
3  	20    	99.03 	75.2 	124.6
4  	20    	100.32	77   	124.6
5  	20    	104.81	78.6 	124.6
6  	20    	106.07	88   	124.6
7  	20    	107.28	94   	124.6
8  	20    	109.4 	95.4 	134.6
9  	20    	111.26	95.4 	134.6
10 	20    	114.05	98.4 	134.6
11 	20    	114.05	98.4 	134.6
12 	20    	114.35	98.4 	134.6
13 	20    	114.46	98.4 	134.6
14 	20    	115.26	98.4 	134.6
15 	20    	115.87	98.4 	134.6
16 	20    	116.56	98.4 	134.6
17 	20    	117.02	98.4 	134.6
18 	20    	117.98	106.2	134.6
19 	20    	117.98	106.2	134.6
20 	20    	119.15	106.2	134.6
21 	20    	119.81	106.2	134.6
22 	20    	120.74	106.4	134.6
23 	20    	120.82	106.4	134.6
24 	20    	120.82	106.4	134.6
25 	20    	121.86	106.4	134.6
26 	20    	121.86	106.4	134.6
27 	20    	122.34	106.4	134.6
28 	20    	122.6 	106.4	134.6
29 	20    	122.6 	106.4	134.6
30 	20    	122.84	106.4	134.6
31 	20    	123.12	106.4	134.6
32 	20    	123.12	106.4	134.6
33 	20    	123.77	106.4	134.6
34 	20    	123.95	106.4	134.6
35 	20    	123.99	106.4	134.6
36 	20    	124.1 	108.6	134.6
37 	20    	124.33	113.2	134.6
38 	20    	124.33	113.2	134.6
39 	20    	124.65	113.2	134.6
40 	20    	124.75	113.2	134.6
41 	20    	124.75	113.2	134.6
42 	20    	125.01	113.2	134.6
43 	20    	125.13	113.2	134.6
44 	20    	125.2 	113.6	134.6
45 	20    	125.4 	113.6	134.6
46 	20    	125.54	113.6	134.6
47 	20    	125.9 	113.6	134.6
48 	20    	125.9 	113.6	134.6
49 	20    	125.9 	113.6	134.6
50 	20    	125.9 	113.6	134.6
51 	20    	126.23	113.6	134.6
52 	20    	126.44	113.6	134.6
53 	20    	126.46	113.6	134.6
54 	20    	126.69	113.6	134.8
55 	20    	126.69	113.6	134.8
56 	20    	126.8 	113.6	134.8
57 	20    	126.8 	113.6	134.8
58 	20    	127.2 	114.6	134.8
59 	20    	128.07	114.6	134.8
60 	20    	128.07	114.6	134.8
61 	20    	128.07	114.6	134.8
62 	20    	128.07	114.6	134.8
63 	20    	128.07	114.6	134.8
64 	20    	128.1 	114.6	134.8
65 	20    	128.29	114.6	134.8
66 	20    	128.49	114.6	134.8
67 	20    	128.54	114.6	134.8
68 	20    	128.54	114.6	134.8
69 	20    	128.81	114.6	134.8
70 	20    	128.81	114.6	134.8
71 	20    	129.05	114.6	138.6
72 	20    	129.24	114.6	138.6
73 	20    	129.59	114.6	138.6
74 	20    	129.59	114.6	138.6
75 	20    	129.69	114.6	138.6
76 	20    	129.69	114.6	138.6
77 	20    	129.69	114.6	138.6
78 	20    	130.21	114.6	139.6
79 	20    	130.21	114.6	139.6
80 	20    	130.21	114.6	139.6
81 	20    	130.21	114.6	139.6
82 	20    	130.21	114.6	139.6
83 	20    	130.33	114.6	139.6
84 	20    	130.5 	114.6	139.6
85 	20    	130.5 	114.6	139.6
86 	20    	130.55	114.6	139.6
87 	20    	130.55	114.6	139.6
88 	20    	130.55	114.6	139.6
89 	20    	130.67	114.6	139.6
90 	20    	130.67	114.6	139.6
91 	20    	131.2 	114.6	139.6
92 	20    	131.2 	114.6	139.6
93 	20    	131.46	114.6	139.6
94 	20    	131.64	114.6	139.6
95 	20    	131.64	114.6	139.6
96 	20    	131.64	114.6	139.6
