gen	nevals	avg      	min       	max     
0  	20    	0.01     	0         	0.06875 
1  	20    	0.0945313	0         	0.553906
2  	20    	0.166289 	0         	0.792188
3  	20    	0.175313 	0         	0.792188
4  	20    	0.221563 	0.00703125	0.792188
5  	20    	0.291211 	0.00703125	0.836719
6  	20    	0.292891 	0.00703125	0.836719
7  	20    	0.321016 	0.00703125	0.836719
8  	20    	0.368945 	0.06875   	0.836719
9  	20    	0.368945 	0.06875   	0.836719
10 	20    	0.382852 	0.0828125 	0.836719
11 	20    	0.389375 	0.0828125 	0.836719
12 	20    	0.413086 	0.0828125 	0.836719
13 	20    	0.413086 	0.0828125 	0.836719
14 	20    	0.43582  	0.084375  	0.836719
15 	20    	0.46707  	0.084375  	0.836719
16 	20    	0.474531 	0.084375  	0.836719
17 	20    	0.498047 	0.084375  	0.836719
18 	20    	0.526953 	0.084375  	0.836719
19 	20    	0.555586 	0.0921875 	0.836719
20 	20    	0.559297 	0.0921875 	0.836719
21 	20    	0.568633 	0.0921875 	0.836719
22 	20    	0.59832  	0.0921875 	0.836719
23 	20    	0.599922 	0.0921875 	0.836719
24 	20    	0.606641 	0.0921875 	0.836719
25 	20    	0.648281 	0.452344  	0.836719
26 	20    	0.651523 	0.452344  	0.836719
27 	20    	0.654922 	0.452344  	0.836719
28 	20    	0.66543  	0.485938  	0.836719
29 	20    	0.670859 	0.485938  	0.836719
30 	20    	0.672383 	0.485938  	0.836719
31 	20    	0.677422 	0.485938  	0.836719
32 	20    	0.687969 	0.544531  	0.836719
33 	20    	0.703477 	0.544531  	0.836719
34 	20    	0.703477 	0.544531  	0.836719
35 	20    	0.703477 	0.544531  	0.836719
36 	20    	0.707109 	0.560156  	0.836719
37 	20    	0.707109 	0.560156  	0.836719
38 	20    	0.71707  	0.560156  	0.836719
39 	20    	0.726836 	0.560156  	0.836719
40 	20    	0.727266 	0.56875   	0.836719
41 	20    	0.729648 	0.56875   	0.836719
42 	20    	0.731094 	0.56875   	0.836719
43 	20    	0.731211 	0.56875   	0.836719
44 	20    	0.731211 	0.56875   	0.836719
45 	20    	0.732344 	0.56875   	0.836719
46 	20    	0.732344 	0.56875   	0.836719
47 	20    	0.732344 	0.56875   	0.836719
48 	20    	0.736367 	0.575781  	0.836719
49 	20    	0.739844 	0.575781  	0.836719
50 	20    	0.74375  	0.575781  	0.836719
51 	20    	0.74375  	0.575781  	0.836719
52 	20    	0.748555 	0.575781  	0.836719
53 	20    	0.755039 	0.575781  	0.836719
54 	20    	0.755039 	0.575781  	0.836719
55 	20    	0.755039 	0.575781  	0.836719
56 	20    	0.759531 	0.575781  	0.885938
57 	20    	0.766133 	0.575781  	0.885938
58 	20    	0.766133 	0.575781  	0.885938
59 	20    	0.769844 	0.575781  	0.885938
60 	20    	0.775977 	0.575781  	0.885938
61 	20    	0.775977 	0.575781  	0.885938
62 	20    	0.775977 	0.575781  	0.885938
63 	20    	0.775977 	0.575781  	0.885938
64 	20    	0.775977 	0.575781  	0.885938
65 	20    	0.775977 	0.575781  	0.885938
66 	20    	0.781953 	0.575781  	0.885938
67 	20    	0.781953 	0.575781  	0.885938
68 	20    	0.781953 	0.575781  	0.885938
69 	20    	0.783828 	0.575781  	0.885938
70 	20    	0.783828 	0.575781  	0.885938
71 	20    	0.783828 	0.575781  	0.885938
72 	20    	0.783828 	0.575781  	0.885938
73 	20    	0.793516 	0.699219  	0.885938
74 	20    	0.800781 	0.699219  	0.885938
75 	20    	0.800781 	0.699219  	0.885938
76 	20    	0.800781 	0.699219  	0.885938
77 	20    	0.800781 	0.699219  	0.885938
78 	20    	0.800781 	0.699219  	0.885938
79 	20    	0.800781 	0.699219  	0.885938
80 	20    	0.800781 	0.699219  	0.885938
81 	20    	0.804453 	0.699219  	0.885938
82 	20    	0.804453 	0.699219  	0.885938
83 	20    	0.804453 	0.699219  	0.885938
84 	20    	0.804453 	0.699219  	0.885938
85 	20    	0.804453 	0.699219  	0.885938
86 	20    	0.804453 	0.699219  	0.885938
87 	20    	0.804453 	0.699219  	0.885938
88 	20    	0.807617 	0.699219  	0.885938
89 	20    	0.807617 	0.699219  	0.885938
90 	20    	0.807617 	0.699219  	0.885938
91 	20    	0.809141 	0.699219  	0.885938
92 	20    	0.812695 	0.699219  	0.885938
93 	20    	0.812695 	0.699219  	0.885938
94 	20    	0.812695 	0.699219  	0.885938
95 	20    	0.812695 	0.699219  	0.885938
96 	20    	0.812695 	0.699219  	0.885938
97 	20    	0.812695 	0.699219  	0.885938
98 	20    	0.812695 	0.699219  	0.885938
99 	20    	0.812695 	0.699219  	0.885938
100	20    	0.812695 	0.699219  	0.885938
101	20    	0.812695 	0.699219  	0.885938
102	20    	0.815586 	0.699219  	0.885938
103	20    	0.815938 	0.699219  	0.885938
104	20    	0.815938 	0.699219  	0.885938
105	20    	0.815938 	0.699219  	0.885938
106	20    	0.816523 	0.699219  	0.885938
107	20    	0.816523 	0.699219  	0.885938
108	20    	0.816523 	0.699219  	0.885938
109	20    	0.816523 	0.699219  	0.885938
110	20    	0.816523 	0.699219  	0.885938
111	20    	0.816523 	0.699219  	0.885938
112	20    	0.816523 	0.699219  	0.885938
113	20    	0.816523 	0.699219  	0.885938
114	20    	0.816523 	0.699219  	0.885938
115	20    	0.816523 	0.699219  	0.885938
116	20    	0.822773 	0.699219  	0.916406
117	20    	0.822773 	0.699219  	0.916406
118	20    	0.822773 	0.699219  	0.916406
119	20    	0.823789 	0.699219  	0.916406
120	20    	0.825703 	0.699219  	0.916406
121	20    	0.825703 	0.699219  	0.916406
122	20    	0.825703 	0.699219  	0.916406
123	20    	0.825703 	0.699219  	0.916406
124	20    	0.825703 	0.699219  	0.916406
125	20    	0.826797 	0.699219  	0.916406
126	20    	0.829141 	0.699219  	0.916406
127	20    	0.829141 	0.699219  	0.916406
128	20    	0.829141 	0.699219  	0.916406
129	20    	0.829141 	0.699219  	0.916406
130	20    	0.829141 	0.699219  	0.916406
131	20    	0.829141 	0.699219  	0.916406
132	20    	0.829141 	0.699219  	0.916406
133	20    	0.829141 	0.699219  	0.916406
134	20    	0.829141 	0.699219  	0.916406
135	20    	0.829141 	0.699219  	0.916406
136	20    	0.829141 	0.699219  	0.916406
137	20    	0.829141 	0.699219  	0.916406
138	20    	0.829141 	0.699219  	0.916406
139	20    	0.829141 	0.699219  	0.916406
140	20    	0.829141 	0.699219  	0.916406
141	20    	0.829141 	0.699219  	0.916406
142	20    	0.829141 	0.699219  	0.916406
143	20    	0.829141 	0.699219  	0.916406
144	20    	0.829141 	0.699219  	0.916406
145	20    	0.829141 	0.699219  	0.916406
146	20    	0.829141 	0.699219  	0.916406
147	20    	0.829141 	0.699219  	0.916406
148	20    	0.829141 	0.699219  	0.916406
149	20    	0.829141 	0.699219  	0.916406
150	20    	0.829141 	0.699219  	0.916406
151	20    	0.829141 	0.699219  	0.916406
152	20    	0.829141 	0.699219  	0.916406
153	20    	0.838125 	0.699219  	0.91875 
154	20    	0.838125 	0.699219  	0.91875 
155	20    	0.838125 	0.699219  	0.91875 
156	20    	0.838125 	0.699219  	0.91875 
157	20    	0.841992 	0.699219  	0.91875 
158	20    	0.841992 	0.699219  	0.91875 
159	20    	0.841992 	0.699219  	0.91875 
160	20    	0.841992 	0.699219  	0.91875 
161	20    	0.841992 	0.699219  	0.91875 
162	20    	0.844492 	0.699219  	0.91875 
163	20    	0.844492 	0.699219  	0.91875 
164	20    	0.844492 	0.699219  	0.91875 
165	20    	0.844492 	0.699219  	0.91875 
166	20    	0.844492 	0.699219  	0.91875 
167	20    	0.844492 	0.699219  	0.91875 
168	20    	0.844492 	0.699219  	0.91875 
169	20    	0.844492 	0.699219  	0.91875 
170	20    	0.844492 	0.699219  	0.91875 
171	20    	0.844492 	0.699219  	0.91875 
172	20    	0.844492 	0.699219  	0.91875 
173	20    	0.844492 	0.699219  	0.91875 
174	20    	0.844492 	0.699219  	0.91875 
175	20    	0.844492 	0.699219  	0.91875 
176	20    	0.844492 	0.699219  	0.91875 
177	20    	0.844492 	0.699219  	0.91875 
178	20    	0.844492 	0.699219  	0.91875 
179	20    	0.844492 	0.699219  	0.91875 
180	20    	0.844492 	0.699219  	0.91875 
181	20    	0.844492 	0.699219  	0.91875 
182	20    	0.844492 	0.699219  	0.91875 
183	20    	0.844492 	0.699219  	0.91875 
184	20    	0.844492 	0.699219  	0.91875 
185	20    	0.844492 	0.699219  	0.91875 
186	20    	0.844492 	0.699219  	0.91875 
187	20    	0.844492 	0.699219  	0.91875 
188	20    	0.844492 	0.699219  	0.91875 
189	20    	0.844492 	0.699219  	0.91875 
190	20    	0.844492 	0.699219  	0.91875 
191	20    	0.844492 	0.699219  	0.91875 
192	20    	0.844492 	0.699219  	0.91875 
193	20    	0.844492 	0.699219  	0.91875 
194	20    	0.844492 	0.699219  	0.91875 
195	20    	0.844492 	0.699219  	0.91875 
196	20    	0.844492 	0.699219  	0.91875 
197	20    	0.844492 	0.699219  	0.91875 
198	20    	0.844492 	0.699219  	0.91875 
199	20    	0.844492 	0.699219  	0.91875 
200	20    	0.844492 	0.699219  	0.91875 
201	20    	0.844492 	0.699219  	0.91875 
202	20    	0.844492 	0.699219  	0.91875 
203	20    	0.844492 	0.699219  	0.91875 
204	20    	0.844492 	0.699219  	0.91875 
205	20    	0.844492 	0.699219  	0.91875 
206	20    	0.844492 	0.699219  	0.91875 
207	20    	0.844492 	0.699219  	0.91875 
208	20    	0.844492 	0.699219  	0.91875 
209	20    	0.844492 	0.699219  	0.91875 
210	20    	0.844492 	0.699219  	0.91875 
211	20    	0.844492 	0.699219  	0.91875 
212	20    	0.844492 	0.699219  	0.91875 
213	20    	0.844492 	0.699219  	0.91875 
214	20    	0.844492 	0.699219  	0.91875 
215	20    	0.844492 	0.699219  	0.91875 
216	20    	0.844492 	0.699219  	0.91875 
217	20    	0.844492 	0.699219  	0.91875 
218	20    	0.848711 	0.769531  	0.91875 
219	20    	0.848711 	0.769531  	0.91875 
220	20    	0.848711 	0.769531  	0.91875 
221	20    	0.848711 	0.769531  	0.91875 
222	20    	0.849922 	0.769531  	0.91875 
223	20    	0.849922 	0.769531  	0.91875 
224	20    	0.850156 	0.769531  	0.91875 
225	20    	0.850156 	0.769531  	0.91875 
226	20    	0.850156 	0.769531  	0.91875 
227	20    	0.850156 	0.769531  	0.91875 
228	20    	0.850156 	0.769531  	0.91875 
229	20    	0.850156 	0.769531  	0.91875 
230	20    	0.850156 	0.769531  	0.91875 
231	20    	0.850156 	0.769531  	0.91875 
232	20    	0.850156 	0.769531  	0.91875 
233	20    	0.850156 	0.769531  	0.91875 
234	20    	0.850156 	0.769531  	0.91875 
235	20    	0.850156 	0.769531  	0.91875 
236	20    	0.850156 	0.769531  	0.91875 
237	20    	0.850156 	0.769531  	0.91875 
238	20    	0.850156 	0.769531  	0.91875 
239	20    	0.850156 	0.769531  	0.91875 
240	20    	0.850156 	0.769531  	0.91875 
241	20    	0.850156 	0.769531  	0.91875 
242	20    	0.850156 	0.769531  	0.91875 
243	20    	0.850156 	0.769531  	0.91875 
244	20    	0.850156 	0.769531  	0.91875 
245	20    	0.850156 	0.769531  	0.91875 
246	20    	0.850156 	0.769531  	0.91875 
247	20    	0.850156 	0.769531  	0.91875 
248	20    	0.850156 	0.769531  	0.91875 
249	20    	0.850156 	0.769531  	0.91875 
250	20    	0.850234 	0.769531  	0.91875 
251	20    	0.851406 	0.769531  	0.91875 
252	20    	0.851406 	0.769531  	0.91875 
253	20    	0.852813 	0.769531  	0.91875 
254	20    	0.852813 	0.769531  	0.91875 
255	20    	0.852813 	0.769531  	0.91875 
256	20    	0.852813 	0.769531  	0.91875 
257	20    	0.852813 	0.769531  	0.91875 
258	20    	0.852813 	0.769531  	0.91875 
259	20    	0.852813 	0.769531  	0.91875 
260	20    	0.852813 	0.769531  	0.91875 
261	20    	0.852813 	0.769531  	0.91875 
262	20    	0.852813 	0.769531  	0.91875 
263	20    	0.852813 	0.769531  	0.91875 
264	20    	0.852813 	0.769531  	0.91875 
265	20    	0.852813 	0.769531  	0.91875 
266	20    	0.852813 	0.769531  	0.91875 
267	20    	0.853047 	0.769531  	0.91875 
268	20    	0.853047 	0.769531  	0.91875 
269	20    	0.853047 	0.769531  	0.91875 
270	20    	0.853047 	0.769531  	0.91875 
271	20    	0.853047 	0.769531  	0.91875 
272	20    	0.853047 	0.769531  	0.91875 
273	20    	0.853047 	0.769531  	0.91875 
274	20    	0.853047 	0.769531  	0.91875 
275	20    	0.854766 	0.769531  	0.91875 
276	20    	0.854766 	0.769531  	0.91875 
277	20    	0.854766 	0.769531  	0.91875 
278	20    	0.854766 	0.769531  	0.91875 
279	20    	0.854766 	0.769531  	0.91875 
280	20    	0.854766 	0.769531  	0.91875 
281	20    	0.854766 	0.769531  	0.91875 
282	20    	0.854766 	0.769531  	0.91875 
283	20    	0.854766 	0.769531  	0.91875 
284	20    	0.854922 	0.769531  	0.91875 
285	20    	0.857773 	0.769531  	0.91875 
286	20    	0.857773 	0.769531  	0.91875 
287	20    	0.857773 	0.769531  	0.91875 
288	20    	0.858086 	0.769531  	0.91875 
289	20    	0.861992 	0.769531  	0.91875 
290	20    	0.861992 	0.769531  	0.91875 
291	20    	0.861992 	0.769531  	0.91875 
292	20    	0.861992 	0.769531  	0.91875 
293	20    	0.8625   	0.769531  	0.91875 
294	20    	0.8625   	0.769531  	0.91875 
295	20    	0.8625   	0.769531  	0.91875 
296	20    	0.8625   	0.769531  	0.91875 
297	20    	0.8625   	0.769531  	0.91875 
298	20    	0.8625   	0.769531  	0.91875 
299	20    	0.8625   	0.769531  	0.91875 
300	20    	0.8625   	0.769531  	0.91875 
301	20    	0.8625   	0.769531  	0.91875 
302	20    	0.8625   	0.769531  	0.91875 
303	20    	0.8625   	0.769531  	0.91875 
304	20    	0.8625   	0.769531  	0.91875 
305	20    	0.8625   	0.769531  	0.91875 
306	20    	0.8625   	0.769531  	0.91875 
307	20    	0.8625   	0.769531  	0.91875 
308	20    	0.8625   	0.769531  	0.91875 
309	20    	0.8625   	0.769531  	0.91875 
310	20    	0.8625   	0.769531  	0.91875 
311	20    	0.8625   	0.769531  	0.91875 
312	20    	0.8625   	0.769531  	0.91875 
313	20    	0.8625   	0.769531  	0.91875 
314	20    	0.8625   	0.769531  	0.91875 
315	20    	0.8625   	0.769531  	0.91875 
316	20    	0.8625   	0.769531  	0.91875 
317	20    	0.8625   	0.769531  	0.91875 
318	20    	0.8625   	0.769531  	0.91875 
319	20    	0.8625   	0.769531  	0.91875 
320	20    	0.8625   	0.769531  	0.91875 
321	20    	0.8625   	0.769531  	0.91875 
322	20    	0.8625   	0.769531  	0.91875 
323	20    	0.8625   	0.769531  	0.91875 
324	20    	0.8625   	0.769531  	0.91875 
325	20    	0.8625   	0.769531  	0.91875 
326	20    	0.8625   	0.769531  	0.91875 
327	20    	0.8625   	0.769531  	0.91875 
328	20    	0.8625   	0.769531  	0.91875 
329	20    	0.8625   	0.769531  	0.91875 
330	20    	0.8625   	0.769531  	0.91875 
331	20    	0.8625   	0.769531  	0.91875 
332	20    	0.8625   	0.769531  	0.91875 
333	20    	0.8625   	0.769531  	0.91875 
334	20    	0.8625   	0.769531  	0.91875 
335	20    	0.8625   	0.769531  	0.91875 
336	20    	0.8625   	0.769531  	0.91875 
337	20    	0.8625   	0.769531  	0.91875 
338	20    	0.8625   	0.769531  	0.91875 
339	20    	0.8625   	0.769531  	0.91875 
340	20    	0.8625   	0.769531  	0.91875 
341	20    	0.862852 	0.769531  	0.91875 
342	20    	0.862852 	0.769531  	0.91875 
343	20    	0.862852 	0.769531  	0.91875 
344	20    	0.862852 	0.769531  	0.91875 
345	20    	0.862852 	0.769531  	0.91875 
346	20    	0.862852 	0.769531  	0.91875 
347	20    	0.862852 	0.769531  	0.91875 
348	20    	0.866133 	0.769531  	0.91875 
349	20    	0.866133 	0.769531  	0.91875 
350	20    	0.866133 	0.769531  	0.91875 
351	20    	0.866133 	0.769531  	0.91875 
352	20    	0.866133 	0.769531  	0.91875 
353	20    	0.866133 	0.769531  	0.91875 
354	20    	0.866133 	0.769531  	0.91875 
355	20    	0.866133 	0.769531  	0.91875 
356	20    	0.866133 	0.769531  	0.91875 
357	20    	0.866133 	0.769531  	0.91875 
358	20    	0.866133 	0.769531  	0.91875 
359	20    	0.867344 	0.79375   	0.91875 
360	20    	0.867344 	0.79375   	0.91875 
361	20    	0.867344 	0.79375   	0.91875 
362	20    	0.867344 	0.79375   	0.91875 
363	20    	0.867344 	0.79375   	0.91875 
364	20    	0.867344 	0.79375   	0.91875 
365	20    	0.867344 	0.79375   	0.91875 
366	20    	0.867344 	0.79375   	0.91875 
367	20    	0.867344 	0.79375   	0.91875 
368	20    	0.867344 	0.79375   	0.91875 
369	20    	0.867344 	0.79375   	0.91875 
370	20    	0.867344 	0.79375   	0.91875 
371	20    	0.867344 	0.79375   	0.91875 
372	20    	0.867344 	0.79375   	0.91875 
373	20    	0.867344 	0.79375   	0.91875 
374	20    	0.867344 	0.79375   	0.91875 
375	20    	0.867344 	0.79375   	0.91875 
376	20    	0.867344 	0.79375   	0.91875 
377	20    	0.867344 	0.79375   	0.91875 
378	20    	0.867344 	0.79375   	0.91875 
379	20    	0.867344 	0.79375   	0.91875 
380	20    	0.867344 	0.79375   	0.91875 
381	20    	0.867656 	0.79375   	0.91875 
382	20    	0.867656 	0.79375   	0.91875 
383	20    	0.867656 	0.79375   	0.91875 
384	20    	0.874531 	0.79375   	0.954687
385	20    	0.874531 	0.79375   	0.954687
386	20    	0.876289 	0.808594  	0.954687
387	20    	0.877852 	0.808594  	0.954687
388	20    	0.877852 	0.808594  	0.954687
389	20    	0.877852 	0.808594  	0.954687
390	20    	0.877852 	0.808594  	0.954687
391	20    	0.877852 	0.808594  	0.954687
392	20    	0.877852 	0.808594  	0.954687
393	20    	0.877852 	0.808594  	0.954687
394	20    	0.877852 	0.808594  	0.954687
395	20    	0.877852 	0.808594  	0.954687
396	20    	0.877852 	0.808594  	0.954687
397	20    	0.877852 	0.808594  	0.954687
398	20    	0.877852 	0.808594  	0.954687
399	20    	0.877852 	0.808594  	0.954687
400	20    	0.877852 	0.808594  	0.954687
401	20    	0.879336 	0.819531  	0.954687
402	20    	0.879336 	0.819531  	0.954687
403	20    	0.879336 	0.819531  	0.954687
404	20    	0.879336 	0.819531  	0.954687
405	20    	0.879336 	0.819531  	0.954687
406	20    	0.879336 	0.819531  	0.954687
407	20    	0.879336 	0.819531  	0.954687
408	20    	0.879336 	0.819531  	0.954687
409	20    	0.879336 	0.819531  	0.954687
410	20    	0.879336 	0.819531  	0.954687
411	20    	0.879336 	0.819531  	0.954687
412	20    	0.879336 	0.819531  	0.954687
413	20    	0.879336 	0.819531  	0.954687
414	20    	0.879336 	0.819531  	0.954687
415	20    	0.879336 	0.819531  	0.954687
416	20    	0.879336 	0.819531  	0.954687
417	20    	0.879336 	0.819531  	0.954687
418	20    	0.879336 	0.819531  	0.954687
419	20    	0.879336 	0.819531  	0.954687
420	20    	0.879336 	0.819531  	0.954687
421	20    	0.879336 	0.819531  	0.954687
422	20    	0.879336 	0.819531  	0.954687
423	20    	0.880586 	0.819531  	0.954687
424	20    	0.880586 	0.819531  	0.954687
425	20    	0.880586 	0.819531  	0.954687
426	20    	0.880586 	0.819531  	0.954687
427	20    	0.880586 	0.819531  	0.954687
428	20    	0.880586 	0.819531  	0.954687
429	20    	0.880586 	0.819531  	0.954687
430	20    	0.880586 	0.819531  	0.954687
431	20    	0.880586 	0.819531  	0.954687
432	20    	0.880586 	0.819531  	0.954687
433	20    	0.880586 	0.819531  	0.954687
434	20    	0.880586 	0.819531  	0.954687
435	20    	0.880586 	0.819531  	0.954687
436	20    	0.880586 	0.819531  	0.954687
437	20    	0.880586 	0.819531  	0.954687
438	20    	0.880586 	0.819531  	0.954687
439	20    	0.880586 	0.819531  	0.954687
440	20    	0.880586 	0.819531  	0.954687
441	20    	0.880586 	0.819531  	0.954687
442	20    	0.880586 	0.819531  	0.954687
443	20    	0.880586 	0.819531  	0.954687
444	20    	0.880586 	0.819531  	0.954687
445	20    	0.880586 	0.819531  	0.954687
446	20    	0.880586 	0.819531  	0.954687
447	20    	0.880586 	0.819531  	0.954687
448	20    	0.880586 	0.819531  	0.954687
449	20    	0.880586 	0.819531  	0.954687
450	20    	0.880586 	0.819531  	0.954687
