gen	nevals	avg     	min      	max     
0  	20    	0.120313	0        	0.615625
1  	20    	0.176563	0        	0.642187
2  	20    	0.230078	0        	0.732813
3  	20    	0.302578	0        	0.732813
4  	20    	0.316211	0        	0.732813
5  	20    	0.388008	0.0109375	0.732813
6  	20    	0.445313	0.0648438	0.732813
7  	20    	0.455195	0.0648438	0.74375 
8  	20    	0.499883	0.0648438	0.74375 
9  	20    	0.532813	0.0859375	0.74375 
10 	20    	0.547578	0.0859375	0.74375 
11 	20    	0.552422	0.0859375	0.74375 
12 	20    	0.584961	0.104687 	0.74375 
13 	20    	0.588242	0.104687 	0.74375 
14 	20    	0.609805	0.104687 	0.775   
15 	20    	0.629922	0.104687 	0.775   
16 	20    	0.649492	0.378906 	0.775   
17 	20    	0.6625  	0.461719 	0.775   
18 	20    	0.668359	0.469531 	0.784375
19 	20    	0.668711	0.469531 	0.784375
20 	20    	0.673711	0.469531 	0.807031
21 	20    	0.679609	0.469531 	0.807031
22 	20    	0.686992	0.469531 	0.807031
23 	20    	0.688398	0.469531 	0.807031
24 	20    	0.688398	0.469531 	0.807031
25 	20    	0.688398	0.469531 	0.807031
26 	20    	0.689727	0.469531 	0.807031
27 	20    	0.691563	0.469531 	0.807031
28 	20    	0.700273	0.535156 	0.807031
29 	20    	0.700273	0.535156 	0.807031
30 	20    	0.710352	0.535156 	0.869531
31 	20    	0.710781	0.535156 	0.869531
32 	20    	0.719375	0.535156 	0.869531
33 	20    	0.723242	0.535156 	0.869531
34 	20    	0.726133	0.535156 	0.869531
35 	20    	0.729531	0.535156 	0.869531
36 	20    	0.730703	0.535156 	0.869531
37 	20    	0.730703	0.535156 	0.869531
38 	20    	0.731484	0.535156 	0.869531
39 	20    	0.736484	0.535156 	0.869531
40 	20    	0.736484	0.535156 	0.869531
41 	20    	0.739023	0.535156 	0.869531
42 	20    	0.741172	0.578125 	0.869531
43 	20    	0.742344	0.578125 	0.869531
44 	20    	0.750117	0.578125 	0.869531
45 	20    	0.753789	0.578125 	0.869531
46 	20    	0.753789	0.578125 	0.869531
47 	20    	0.754414	0.590625 	0.869531
48 	20    	0.754414	0.590625 	0.869531
49 	20    	0.754414	0.590625 	0.869531
50 	20    	0.756016	0.590625 	0.869531
51 	20    	0.758242	0.590625 	0.869531
52 	20    	0.758242	0.590625 	0.869531
53 	20    	0.758242	0.590625 	0.869531
54 	20    	0.761172	0.590625 	0.869531
55 	20    	0.761172	0.590625 	0.869531
56 	20    	0.764492	0.590625 	0.869531
57 	20    	0.764492	0.590625 	0.869531
58 	20    	0.768984	0.590625 	0.869531
59 	20    	0.770625	0.590625 	0.869531
60 	20    	0.77543 	0.590625 	0.869531
61 	20    	0.781055	0.590625 	0.869531
62 	20    	0.781133	0.590625 	0.869531
63 	20    	0.781719	0.590625 	0.869531
64 	20    	0.783281	0.590625 	0.869531
65 	20    	0.783437	0.590625 	0.869531
66 	20    	0.784805	0.590625 	0.869531
67 	20    	0.787148	0.590625 	0.869531
68 	20    	0.789648	0.590625 	0.869531
69 	20    	0.789648	0.590625 	0.869531
70 	20    	0.789648	0.590625 	0.869531
71 	20    	0.79207 	0.639063 	0.869531
72 	20    	0.79207 	0.639063 	0.869531
73 	20    	0.800352	0.735937 	0.869531
74 	20    	0.803555	0.735937 	0.913281
75 	20    	0.803555	0.735937 	0.913281
76 	20    	0.805781	0.735937 	0.913281
77 	20    	0.805781	0.735937 	0.913281
78 	20    	0.806172	0.735937 	0.913281
79 	20    	0.80875 	0.735937 	0.913281
80 	20    	0.80875 	0.735937 	0.913281
81 	20    	0.80875 	0.735937 	0.913281
82 	20    	0.80875 	0.735937 	0.913281
