gen	nevals	avg    	min   	max   
0  	50    	2099.32	586.4 	3519.6
1  	50    	2557.08	1648  	3927.6
2  	50    	2493.95	1714  	3275.2
3  	50    	2543.11	1687.6	3567.2
4  	50    	2469.9 	1712.8	3255.2
5  	50    	2447.86	1606.4	3894  
6  	50    	2584.08	1647.6	3514.4
7  	50    	2568.02	1860.4	3498.8
8  	50    	2495.67	801.6 	3519.2
9  	50    	2511.78	1686.8	4244.4
10 	50    	2633.58	1768.8	3604.4
11 	50    	2517.96	1734.4	3342.8
12 	50    	2508.59	1055.2	3344.4
13 	50    	2462.24	818.4 	3682.8
14 	50    	2439.14	839.2 	4196.8
15 	50    	2528.77	1899.2	3785.6
16 	50    	2537.32	1152.8	3595.2
17 	50    	2565.33	865.6 	3484.4
18 	50    	2591.06	1947.6	3910.8
19 	50    	2695.84	1739.2	3733.2
20 	50    	2600.23	1772.8	3958  
21 	50    	2718.46	1808.4	3783.2
22 	50    	2647.3 	1586.8	4030  
23 	50    	2608.82	1899.2	3871.6
24 	50    	2706.06	1814.8	3472.8
25 	50    	2688.68	1964.4	3830.8
26 	50    	2558.49	632   	3608  
27 	50    	2590.67	1538.8	3490  
28 	50    	2645.15	1737.6	3528.4
29 	50    	2768.1 	1824.4	3962.8
30 	50    	2680.06	891.2 	3758.8
31 	50    	2732.06	1584  	4340.4
32 	50    	2565.94	1572  	4126.4
33 	50    	2615.67	1858  	3840.4
34 	50    	2759.36	1850.4	4193.6
35 	50    	2824.99	1904.4	3934.4
36 	50    	2965.89	2098.8	3934.8
37 	50    	2661.91	872.4 	3312  
38 	50    	2695.37	1792  	3662.4
39 	50    	2730.83	1754.8	3463.2
40 	50    	2737.5 	1840  	4114.8
41 	50    	2817.54	1062  	3988.8
42 	50    	2914.57	2080  	3980  
43 	50    	2856.37	1721.2	3677.6
44 	50    	2841.09	1863.6	4161.2
45 	50    	2857.52	1907.2	4026.4
46 	50    	2810.08	2009.2	3972.8
47 	50    	2925.82	2018.8	4629.6
48 	50    	2841.15	825.2 	4055.6
49 	50    	2961.03	1913.2	4387.6
50 	50    	2813.1 	1716.4	3576.4
51 	50    	2727.07	1565.6	3572  
52 	50    	2699.37	1978.8	3393.2
53 	50    	2716.98	986.8 	3864.4
54 	50    	2837.53	1671.2	3894.8
55 	50    	2990.11	2072.8	3784.4
56 	50    	2872.29	1751.2	3895.2
57 	50    	2903.35	989.6 	3656  
58 	50    	2822.57	1840.8	4246.8
59 	50    	2718.62	1842.4	3945.6
60 	50    	2818.18	1974.4	4445.6
61 	50    	2807.23	2041.2	4377.6
62 	50    	2698.91	2065.2	3932  
63 	50    	2813.32	2006.4	3987.2
64 	50    	2763.94	1726.8	4519.2
65 	50    	2809.21	2020.8	4318.4
66 	50    	2735.24	1457.2	3566  
67 	50    	2807.76	1872.4	3817.2
68 	50    	2704.64	1973.6	3679.2
69 	50    	2832.96	2095.2	3774  
70 	50    	2757.62	2013.6	3617.6
71 	50    	2766.55	2041.6	3552  
72 	50    	2932.04	1879.6	4075.6
73 	50    	2749.04	1730.4	3739.2
74 	50    	2865.83	1732  	4010.8
75 	50    	2861.84	2036  	4070  
76 	50    	2846.78	1724  	3818  
77 	50    	2833.78	1940.8	4086  
78 	50    	2868.17	2018.8	3827.2
79 	50    	2784.52	724.8 	3778  
80 	50    	2816.22	2100.8	3784.8
81 	50    	2764.34	636.4 	4383.6
82 	50    	2773.41	1936.8	4059.6
83 	50    	2750.01	1734  	4284.8
84 	50    	2826.95	2014.4	4249.2
85 	50    	2736.74	887.2 	3750.4
86 	50    	2803.65	2036.4	4153.6
87 	50    	2871.14	1758  	3845.2
88 	50    	2842.83	1853.6	3689.2
89 	50    	2845.92	918.8 	3918.8
90 	50    	2866.57	1954  	4046  
91 	50    	2840.48	1744.4	4040  
92 	50    	2799.1 	1688  	3956.8
93 	50    	2837.18	1128.4	4092.4
94 	50    	2909.32	2081.2	3921.2
95 	50    	2894.45	1545.2	4139.6
96 	50    	2808.87	1762  	3629.2
97 	50    	2819.12	1926  	3789.6
98 	50    	2831.87	2055.6	3960.8
99 	50    	2760.53	2186  	3662.8
100	50    	2880.24	2104  	4206  
101	50    	2947.41	2318.8	4056.8
102	50    	2914.12	473.6 	4141.2
103	50    	2786.86	1740  	3972.8
104	50    	2921.83	794.4 	4611.2
105	50    	2738.66	1944.8	3932  
106	50    	2850.22	1780.4	3896  
107	50    	2732.09	1861.2	3580.8
108	50    	2795.41	1749.6	3793.6
109	50    	2840.23	1614.4	3961.6
110	50    	2830.82	1826.4	3916  
111	50    	2886.33	2109.2	3743.2
112	50    	2747.54	921.6 	3782.4
113	50    	2887.67	1897.2	4438.4
114	50    	2832.41	868.4 	3947.2
115	50    	2872.71	1968.4	3931.2
116	50    	2893.46	2034  	3882  
117	50    	2833.94	2007.2	3974  
118	50    	2898.32	857.6 	4090  
119	50    	2813.36	1876.4	4141.2
120	50    	2925.85	1991.2	3683.2
121	50    	2751.38	719.2 	4000  
122	50    	2975.7 	1955.6	4676.8
123	50    	2894.39	2132  	4150.8
124	50    	2758.68	2008  	3940  
125	50    	2755.9 	1744.4	4629.6
126	50    	2888.34	864.8 	4142.4
127	50    	2872.86	573.6 	4324.4
128	50    	2844.43	1923.2	4081.2
129	50    	2916.78	2146.4	4086.8
130	50    	2895.31	1936  	4103.6
131	50    	2734.82	1725.2	3649.6
132	50    	2794.59	1830.8	3791.2
133	50    	2755.76	1720.4	3812.4
134	50    	2909.42	1790.4	4218.4
135	50    	2824.71	1065.2	3736.4
136	50    	2879.65	1740  	4063.2
137	50    	2921.48	1994  	3964.4
138	50    	2793.94	1582  	3846  
139	50    	2765.28	590.8 	3453.6
140	50    	2770.7 	2176.4	3860  
141	50    	3018.47	1942  	4081.2
142	50    	2873.74	1991.6	4097.6
143	50    	2740.8 	1886.4	3950.4
144	50    	2959.22	2159.2	4062  
145	50    	2793.51	1764.8	3980.4
146	50    	2858.06	1683.2	3879.6
147	50    	2810.66	1638.8	4088  
148	50    	2842.3 	1078.4	3747.2
149	50    	2860.77	2050.8	3780  
150	50    	2756.82	2047.6	3466  
151	50    	2870.2 	1758.4	4281.2
152	50    	2827.94	2066  	3934.8
153	50    	2856.74	1632.4	4181.2
154	50    	2718.55	825.2 	4007.2
155	50    	2871.6 	1908  	4220.4
156	50    	2930.47	1846.4	4268.8
157	50    	2777.78	702   	4057.2
158	50    	2919.32	2165.2	3954.8
159	50    	2723.78	1630.8	3880  
160	50    	2790.41	1976  	4081.2
161	50    	2816.05	1966.4	4061.6
162	50    	2812.75	825.6 	4096  
163	50    	2748.56	2185.6	3802  
164	50    	2893.05	1908.4	4024.8
