gen 	nevals	avg    	min   	max   
0   	50    	1876.14	552   	3201.2
1   	50    	2120.02	473.2 	3744  
2   	50    	2424.63	739.6 	5124.4
3   	50    	2259.5 	472.4 	3670.8
4   	50    	2594.37	609.6 	4191.6
5   	50    	2625.43	643.2 	3935.2
6   	50    	2655.84	587.2 	4230  
7   	50    	2691.14	596.4 	4394.8
8   	50    	2672.47	498   	4065.6
9   	50    	2851.61	712.4 	4305.2
10  	50    	2793.43	1864.8	4701.6
11  	50    	2914.31	1705.2	5186.8
12  	50    	2914.16	831.2 	4361.6
13  	50    	2992.11	1877.2	4216.4
14  	50    	2786.58	1094  	4064.4
15  	50    	2775.3 	873.2 	3959.6
16  	50    	2939.9 	1864.8	4271.2
17  	50    	3043.07	1824.8	5305.2
18  	50    	2909.86	1744.4	4506  
19  	50    	3166.26	1805.2	4608.8
20  	50    	3046.55	1588.8	4276.4
21  	50    	2949.38	1530.4	4070.4
22  	50    	3112.3 	1543.2	4830.8
23  	50    	2880.72	1784.8	4364.8
24  	50    	3208.82	2088  	4547.6
25  	50    	3028.49	1883.6	4834  
26  	50    	3059.49	1911.6	4556.4
27  	50    	3075.5 	1960  	4445.2
28  	50    	3035.46	930   	4250  
29  	50    	3072.49	815.2 	4891.6
30  	50    	3065.49	1930.8	5438.4
31  	50    	3014.45	794.8 	4357.2
32  	50    	2797.54	1847.2	3950  
33  	50    	2849.3 	910   	4003.6
34  	50    	2929.13	730   	4385.6
35  	50    	3064.66	1910.4	4232.8
36  	50    	3201.54	2023.6	4496.4
37  	50    	2965.34	1817.2	4785.6
38  	50    	2854.56	1032.4	4103.2
39  	50    	3075.5 	1889.2	4872.8
40  	50    	2964.81	952.4 	4394.4
41  	50    	2975.8 	1838  	4378.4
42  	50    	3004.01	629.2 	4716.4
43  	50    	2847.48	884.8 	4315.6
44  	50    	2968.15	1567.2	4063.6
45  	50    	2961.21	616.4 	4410  
46  	50    	3000.06	1051.6	4253.6
47  	50    	2963.74	815.6 	4096  
48  	50    	3222.4 	2157.6	4757.6
49  	50    	3056.95	1981.6	3972  
50  	50    	2872.09	652   	4371.2
51  	50    	3068.71	1987.2	4582  
52  	50    	2859.99	1720  	4854.8
53  	50    	2947.18	1745.2	3911.2
54  	50    	3254.33	1506.4	4400.8
55  	50    	3040.98	768.8 	4548  
56  	50    	3002.8 	1808  	4444.4
57  	50    	3070.85	1907.6	4572.8
58  	50    	2966.98	1754.4	4275.6
59  	50    	2937.74	1570.8	3849.6
60  	50    	2961.3 	748   	4353.2
61  	50    	3105.81	1835.6	5030.8
62  	50    	2944.94	1794.8	4278.8
63  	50    	2843.72	1895.6	4359.6
64  	50    	2963.85	1640.4	4118  
65  	50    	3083.28	2008  	4107.6
66  	50    	3082.95	1843.2	4466.4
67  	50    	2945.58	1824.4	4309.6
68  	50    	3191.53	1907.6	5086.4
69  	50    	3040.25	1956.8	3885.6
70  	50    	3033.66	2072.4	4509.2
71  	50    	3212.78	1976.8	4566.8
72  	50    	3229.36	2200  	5352.4
73  	50    	3177.4 	1869.2	4150.8
74  	50    	3041.86	2091.6	4229.2
75  	50    	3054.26	1920.8	4676  
76  	50    	2952.42	554   	4192.8
77  	50    	3155.58	2120.8	4351.6
78  	50    	2997.25	1841.6	4495.2
79  	50    	3059.22	2028.4	4491.6
80  	50    	3135.72	2028.4	4274  
81  	50    	3100.27	2241.6	4223.2
82  	50    	3177.69	1835.6	4676.4
83  	50    	3018.44	2201.6	4434.4
84  	50    	3062.28	2093.6	4271.2
85  	50    	3121.95	2088  	4122  
86  	50    	3234.31	1892  	4572.8
87  	50    	3182.86	2172.8	4275.2
88  	50    	2943.5 	1840.8	3864.4
89  	50    	2993.23	1954  	3782  
90  	50    	3237.48	2211.2	4993.6
91  	50    	3119.97	2039.2	4423.2
92  	50    	3209.39	2152.8	4378.8
93  	50    	3121.03	1972.4	4894.4
94  	50    	3129.43	2024.4	4347.2
95  	50    	3079.05	1786.4	4137.6
96  	50    	2841.78	583.2 	3944  
97  	50    	2931.5 	2073.2	4304  
98  	50    	2979.33	2094  	3807.6
99  	50    	2844.94	588.8 	4756.8
100 	50    	3049.9 	1944.8	4568.4
101 	50    	3005.56	1539.6	4007.2
102 	50    	3148.1 	1688.8	5292  
103 	50    	3044.08	1005.2	4866.8
104 	50    	3083.29	1717.2	4236  
105 	50    	3104.8 	714   	4764.4
106 	50    	3143.66	2118.8	5435.6
107 	50    	3128.98	1700.8	4482.8
108 	50    	2996.22	565.6 	4427.6
109 	50    	2966.06	1562.4	4444  
