gen	nevals	avg    	min 	max  
0  	50    	2010   	160 	5448 
1  	50    	1890.48	48  	5004 
2  	50    	2292.4 	180 	6644 
3  	50    	2288.64	240 	5700 
4  	50    	2319.52	656 	4432 
5  	50    	2421.44	136 	6236 
6  	50    	2429.76	236 	4276 
7  	50    	2247.92	312 	4512 
8  	50    	2490   	256 	5888 
9  	50    	2685.36	564 	6236 
10 	50    	2302.96	548 	5060 
11 	50    	2698.4 	488 	8204 
12 	50    	2235.2 	312 	5904 
13 	50    	2299.12	772 	6500 
14 	50    	2503.92	304 	6908 
15 	50    	2691.28	672 	6488 
16 	50    	2429.2 	180 	6812 
17 	50    	2569.52	404 	6104 
18 	50    	2319.92	780 	5544 
19 	50    	2428.72	296 	6296 
20 	50    	2467.68	344 	6572 
21 	50    	2296.08	820 	4340 
22 	50    	2430.8 	1032	6464 
23 	50    	2412.8 	368 	6080 
24 	50    	2325.52	476 	4040 
25 	50    	2598.16	352 	6476 
26 	50    	2904.96	688 	6544 
27 	50    	2471.76	724 	7456 
28 	50    	2518.56	512 	6056 
29 	50    	2224.4 	276 	6264 
30 	50    	2396.72	564 	5756 
31 	50    	2588.32	692 	7356 
32 	50    	2275.6 	456 	6820 
33 	50    	2418.8 	488 	5700 
34 	50    	2667.44	364 	7080 
35 	50    	2744.72	388 	7600 
36 	50    	2281.52	736 	4552 
37 	50    	2577.44	740 	4464 
38 	50    	2377.92	556 	4488 
39 	50    	2212.4 	376 	5964 
40 	50    	2197.76	264 	5088 
41 	50    	2686.8 	584 	6900 
42 	50    	2652.8 	652 	6420 
43 	50    	2666   	540 	6508 
44 	50    	2297.92	380 	5792 
45 	50    	2555.36	360 	6436 
46 	50    	2583.76	856 	6480 
47 	50    	2434.96	216 	5116 
48 	50    	2268.56	560 	4632 
49 	50    	2174.96	660 	4244 
50 	50    	2665.28	732 	5464 
51 	50    	2118.48	628 	4576 
52 	50    	2799.2 	696 	6536 
53 	50    	2299.84	576 	4260 
54 	50    	2564.48	704 	5680 
55 	50    	2289.92	708 	5440 
56 	50    	2338.24	612 	4088 
57 	50    	2428   	328 	4648 
58 	50    	2642.4 	652 	6576 
59 	50    	2219.2 	796 	4392 
60 	50    	2521.68	596 	6180 
61 	50    	2465.68	788 	4280 
62 	50    	2305.68	432 	7188 
63 	50    	2347.36	584 	5760 
64 	50    	2612.8 	484 	7616 
65 	50    	2445.84	624 	6208 
66 	50    	2389.6 	256 	6484 
67 	50    	2667.2 	412 	6800 
68 	50    	2641.84	388 	6468 
69 	50    	2546.24	416 	7912 
70 	50    	2498.08	480 	7324 
71 	50    	2415.76	920 	6176 
72 	50    	2654.88	688 	4444 
73 	50    	2399.6 	732 	6384 
74 	50    	2784.8 	976 	5704 
75 	50    	2420.56	260 	4788 
76 	50    	2452.56	216 	5716 
