gen	nevals	avg   	min  	max  
0  	20    	88.65 	71.2 	114.8
1  	20    	95.92 	75.8 	119.8
2  	20    	101.77	80   	120.6
3  	20    	103.73	89.6 	113  
4  	20    	104.97	93.8 	113.8
5  	20    	108.58	93.6 	117.4
6  	20    	108.8 	96.6 	124.2
7  	20    	107.07	90.8 	119.2
8  	20    	107.15	88.6 	120.4
9  	20    	106.18	93.2 	115.8
10 	20    	107.62	96.8 	122.2
11 	20    	104.57	82.4 	115.6
12 	20    	109.83	94.8 	118.6
13 	20    	111.51	95.4 	122.4
14 	20    	109.74	93.6 	128.6
15 	20    	108.84	90.6 	127.8
16 	20    	110.44	100.2	124.4
17 	20    	113.02	102.4	120.8
18 	20    	107.62	96.8 	128.4
19 	20    	106.77	88.8 	118.2
20 	20    	109.11	97.6 	121  
21 	20    	108.26	97.2 	122  
22 	20    	110.41	99.2 	125.4
23 	20    	112.8 	95.8 	124.2
24 	20    	108.45	90   	125.2
25 	20    	114.38	106.6	123  
26 	20    	109.92	94   	121.8
27 	20    	111.4 	97.6 	126.4
28 	20    	108.92	87.8 	122.6
29 	20    	112.02	96.4 	126.4
30 	20    	109.93	96.6 	123  
31 	20    	109.02	89.4 	123.8
32 	20    	109.9 	93.6 	119.4
33 	20    	108.38	98.4 	115  
34 	20    	109.09	95.2 	123.2
35 	20    	110.41	96.2 	123.6
36 	20    	110.01	88.8 	123.2
37 	20    	108.78	88.8 	122.4
38 	20    	112.73	100.4	128.2
39 	20    	110.46	97.4 	127.2
40 	20    	112.93	97.8 	127.6
41 	20    	109.46	88.8 	129.2
42 	20    	112.96	102.4	127.6
43 	20    	109.11	93.4 	123.2
44 	20    	111.45	97   	126.6
45 	20    	110.94	93.4 	135.4
46 	20    	114.1 	103.2	131  
47 	20    	113.56	94   	128.4
48 	20    	116.25	101.8	133.2
49 	20    	114.51	98.2 	137.8
50 	20    	112.16	87.4 	127.8
51 	20    	113.72	102.8	126.6
52 	20    	111.39	98.2 	126.4
53 	20    	116.22	108.4	130.6
54 	20    	115.69	93.6 	128.4
55 	20    	114.53	103.6	123.8
56 	20    	111.69	98.6 	130.2
57 	20    	110.79	92.8 	120.6
58 	20    	115.13	104  	127.8
59 	20    	113.13	96.2 	124.4
60 	20    	116.23	94   	127.6
61 	20    	111.78	99.4 	128.2
62 	20    	113.98	95.6 	135.8
63 	20    	111.28	93.4 	128.6
64 	20    	115.15	99.6 	128.4
65 	20    	117.06	104.8	129.4
66 	20    	113.1 	95.2 	126  
67 	20    	112.95	98.2 	126.4
68 	20    	112.35	96.6 	131.8
69 	20    	116.61	86.8 	138  
70 	20    	116.99	106.8	124.6
71 	20    	115.16	99.4 	131.6
72 	20    	111.83	103.4	122  
73 	20    	115.28	106.8	133.2
74 	20    	115.28	93   	132.8
75 	20    	115.16	102.2	130.6
76 	20    	114.73	99.2 	130.2
77 	20    	114.65	101.4	133.6
78 	20    	115.58	105.8	125.6
79 	20    	112.87	96   	133.8
80 	20    	112.72	98.6 	128.2
81 	20    	114.37	102.6	129.6
82 	20    	111.65	101.2	127.2
83 	20    	116.59	107.8	128.8
84 	20    	110.48	92.2 	123.4
85 	20    	112.28	92.6 	132.8
86 	20    	113.39	99.2 	127.2
87 	20    	116.84	102.2	132.8
88 	20    	115.87	99.6 	129.6
89 	20    	109.29	90.4 	121  
90 	20    	115.97	102.2	129.2
91 	20    	113.08	94.2 	127  
92 	20    	115.5 	103  	126.2
