gen 	nevals	avg   	min  	max  
0   	20    	88.41 	53.8 	121.2
1   	20    	100.91	85.8 	121  
2   	20    	108.78	83.2 	124.4
3   	20    	107.8 	83.2 	120.4
4   	20    	104.47	81.8 	122.2
5   	20    	104.33	91.4 	124  
6   	20    	109.65	96.2 	124.8
7   	20    	110.76	96.2 	127.6
8   	20    	107.14	86.8 	121.8
9   	20    	111.22	91   	126.2
10  	20    	107.92	76.4 	130.4
11  	20    	108.67	92.8 	125  
12  	20    	109.21	89.4 	124.6
13  	20    	108.99	84.8 	123.4
14  	20    	106.04	80   	118.6
15  	20    	111.67	103.6	121.8
16  	20    	115.09	94.4 	127.4
17  	20    	113.22	93.6 	122.2
18  	20    	111.45	94.6 	121.4
19  	20    	110.74	92   	125.8
20  	20    	114.15	103.6	127.2
21  	20    	111.92	92.6 	125  
22  	20    	111.92	99.6 	133.8
23  	20    	112.42	87.6 	131.2
24  	20    	114.48	87.6 	134.6
25  	20    	112.38	93.8 	124  
26  	20    	116.15	103.2	127  
27  	20    	112.07	94.4 	122.2
28  	20    	116.42	96.2 	128.8
29  	20    	111.51	95   	121.6
30  	20    	115.57	103  	128.2
31  	20    	111.94	96.8 	123.2
32  	20    	110.08	68.8 	128  
33  	20    	112.43	93.8 	129.8
34  	20    	112.85	98.4 	137.8
35  	20    	112.6 	86.4 	123.8
36  	20    	112   	93.8 	129  
37  	20    	117.17	101  	142.8
38  	20    	113.78	97.6 	134.4
39  	20    	117   	93   	135.6
40  	20    	119.45	90.8 	140.4
41  	20    	118.71	91.8 	141.6
42  	20    	119.39	103  	130.6
43  	20    	120.37	106.4	134.8
44  	20    	121.55	105.2	134.8
45  	20    	120.01	100.6	130.8
46  	20    	119.84	101.4	134.4
47  	20    	121.94	106.2	152.2
48  	20    	121.11	102.4	141.4
49  	20    	123.44	111.2	136.2
50  	20    	121.27	108.2	137.4
51  	20    	124.13	114.4	140.8
52  	20    	125.29	114  	132.6
53  	20    	114.99	89   	133.8
54  	20    	120.82	109.4	132.6
55  	20    	119.42	106.8	143.4
56  	20    	118.52	106.2	130.6
57  	20    	121.13	108.4	132.4
58  	20    	120   	101.2	133.4
59  	20    	120.17	98   	133.8
