gen	nevals	avg     	min      	max     
0  	25    	0.245875	0        	1       
1  	25    	0.57675 	0        	1       
2  	25    	0.793469	0        	1       
3  	25    	0.854   	0.0078125	1       
4  	25    	0.866844	0.0078125	1       
5  	25    	0.899062	0.669531 	1       
6  	25    	0.830313	0        	1       
7  	25    	0.879688	0.7375   	1       
8  	25    	0.841188	0.0078125	0.971875
9  	25    	0.7935  	0        	1       
10 	25    	0.816813	0        	1       
11 	25    	0.823406	0        	1       
12 	25    	0.812875	0        	1       
13 	25    	0.854187	0.0078125	1       
14 	25    	0.832187	0.0078125	1       
15 	25    	0.832062	0        	1       
16 	25    	0.816687	0        	1       
17 	25    	0.867719	0        	1       
18 	25    	0.899188	0.752344 	1       
19 	25    	0.863625	0.639844 	1       
20 	25    	0.849   	0        	1       
21 	25    	0.878125	0.703906 	1       
22 	25    	0.861719	0.65     	0.972656
23 	25    	0.897562	0.738281 	1       
24 	25    	0.845438	0        	1       
25 	25    	0.904719	0.690625 	1       
26 	25    	0.836969	0        	1       
27 	25    	0.903594	0.753906 	1       
28 	25    	0.924313	0.651563 	1       
29 	25    	0.897531	0.736719 	1       
30 	25    	0.81775 	0        	1       
31 	25    	0.859781	0.654687 	1       
32 	25    	0.905656	0.74375  	1       
33 	25    	0.905   	0.717187 	1       
34 	25    	0.860188	0        	1       
35 	25    	0.914875	0.789844 	1       
36 	25    	0.862844	0        	1       
37 	25    	0.906813	0.784375 	1       
38 	25    	0.88325 	0.75625  	1       
39 	25    	0.917156	0.7125   	1       
40 	25    	0.91    	0.734375 	1       
41 	25    	0.853281	0        	1       
42 	25    	0.865125	0        	1       
43 	25    	0.893437	0.729688 	1       
44 	25    	0.901344	0.770312 	1       
45 	25    	0.871156	0.748437 	0.971094
46 	25    	0.848313	0        	1       
47 	25    	0.909312	0.710156 	1       
48 	25    	0.906125	0.670312 	1       
49 	25    	0.868781	0.682813 	1       
50 	25    	0.892312	0.716406 	1       
