gen	nevals	avg     	min       	max
0  	25    	0.230219	0         	1  
1  	25    	0.680656	0         	1  
2  	25    	0.905375	0.758594  	1  
3  	25    	0.889688	0.698438  	1  
4  	25    	0.840062	0.0203125 	1  
5  	25    	0.797031	0.0171875 	1  
6  	25    	0.872531	0         	1  
7  	25    	0.822125	0         	1  
8  	25    	0.806094	0         	1  
9  	25    	0.872812	0.658594  	1  
10 	25    	0.8495  	0.0078125 	1  
11 	25    	0.899125	0.601562  	1  
12 	25    	0.924   	0.721094  	1  
13 	25    	0.749938	0.0078125 	1  
14 	25    	0.870531	0.0992187 	1  
15 	25    	0.914031	0.0875    	1  
16 	25    	0.894312	0.0203125 	1  
17 	25    	0.858844	0.00625   	1  
18 	25    	0.812406	0         	1  
19 	25    	0.722469	0         	1  
20 	25    	0.735313	0.0078125 	1  
21 	25    	0.894219	0.0359375 	1  
22 	25    	0.926125	0         	1  
23 	25    	0.854594	0.00546875	1  
24 	25    	0.851969	0         	1  
25 	25    	0.797219	0.0078125 	1  
26 	25    	0.958969	0.839063  	1  
27 	25    	0.886125	0.0078125 	1  
28 	25    	0.910438	0.0078125 	1  
29 	25    	0.8675  	0.0078125 	1  
30 	25    	0.900813	0.03125   	1  
31 	25    	0.889281	0.0078125 	1  
32 	25    	0.886438	0.00234375	1  
33 	25    	0.955563	0.76875   	1  
34 	25    	0.840375	0.009375  	1  
35 	25    	0.930875	0.703906  	1  
36 	25    	0.938031	0.711719  	1  
37 	25    	0.961625	0.797656  	1  
38 	25    	0.952406	0.760938  	1  
39 	25    	0.920156	0         	1  
40 	25    	0.927312	0         	1  
41 	25    	0.925563	0.0078125 	1  
42 	25    	0.92575 	0.0078125 	1  
43 	25    	0.906875	0         	1  
44 	25    	0.88825 	0.0132812 	1  
45 	25    	0.900531	0         	1  
46 	25    	0.948187	0.713281  	1  
47 	25    	0.956344	0.825781  	1  
48 	25    	0.936125	0.01875   	1  
49 	25    	0.928844	0.772656  	1  
50 	25    	0.908875	0         	1  
