gen	nevals	avg      	min      	max     
0  	25    	0.0294688	0        	0.3125  
1  	25    	0.101094 	0        	0.432031
2  	25    	0.220812 	0        	0.517188
3  	25    	0.307969 	0        	0.733594
4  	25    	0.361656 	0        	0.73125 
5  	25    	0.501219 	0.213281 	0.799219
6  	25    	0.458594 	0        	0.709375
7  	25    	0.493094 	0        	0.760156
8  	25    	0.549687 	0        	0.75625 
9  	25    	0.457875 	0        	0.75625 
10 	25    	0.560625 	0        	0.815625
11 	25    	0.575562 	0.0375   	0.845313
12 	25    	0.551031 	0        	0.820312
13 	25    	0.565594 	0.0234375	0.7625  
14 	25    	0.49625  	0        	0.825781
15 	25    	0.583188 	0.0460938	0.763281
16 	25    	0.555469 	0        	0.885938
17 	25    	0.531781 	0        	0.764062
18 	25    	0.506906 	0        	0.786719
19 	25    	0.594781 	0.278125 	0.797656
20 	25    	0.540437 	0.0273438	0.802344
21 	25    	0.518312 	0        	0.810156
22 	25    	0.52375  	0        	0.795312
23 	25    	0.515531 	0        	0.76875 
24 	25    	0.567969 	0.0421875	0.86875 
25 	25    	0.519156 	0        	0.688281
26 	25    	0.602875 	0.00625  	0.916406
27 	25    	0.622312 	0.338281 	0.814844
28 	25    	0.602094 	0        	0.807813
29 	25    	0.561406 	0        	0.821875
30 	25    	0.558906 	0.0015625	0.902344
31 	25    	0.546906 	0        	0.867969
32 	25    	0.664969 	0.490625 	0.866406
33 	25    	0.546937 	0.06875  	0.842187
34 	25    	0.583094 	0.0210938	0.78125 
35 	25    	0.585875 	0.0046875	0.796875
36 	25    	0.64175  	0.467187 	0.88125 
37 	25    	0.614125 	0.21875  	0.869531
38 	25    	0.620188 	0.449219 	0.782813
39 	25    	0.6125   	0.389062 	0.886719
40 	25    	0.623344 	0.0304687	0.910156
41 	25    	0.593969 	0.45     	0.694531
42 	25    	0.64475  	0.0234375	0.892969
43 	25    	0.614469 	0.492188 	0.825781
44 	25    	0.605438 	0        	0.917969
45 	25    	0.65775  	0.482031 	0.865625
46 	25    	0.626219 	0.421875 	0.830469
47 	25    	0.616219 	0.482031 	0.824219
48 	25    	0.544625 	0        	0.783594
49 	25    	0.60775  	0.0351562	0.826562
50 	25    	0.619719 	0.003125 	0.866406
51 	25    	0.574625 	0.0140625	0.797656
52 	25    	0.64025  	0.471094 	0.959375
53 	25    	0.611437 	0.06875  	0.889062
54 	25    	0.604844 	0.342969 	0.883594
55 	25    	0.606938 	0.440625 	0.789062
56 	25    	0.595875 	0.01875  	0.910937
57 	25    	0.69575  	0.517188 	0.928125
58 	25    	0.636781 	0.45     	0.813281
59 	25    	0.626344 	0.494531 	0.788281
60 	25    	0.626875 	0.439063 	0.832812
61 	25    	0.6785   	0.50625  	0.989844
62 	25    	0.657844 	0.448437 	1       
63 	25    	0.61325  	0.45     	0.815625
64 	25    	0.615594 	0.416406 	0.870313
65 	25    	0.579875 	0.0609375	0.7625  
66 	25    	0.655687 	0.409375 	0.827344
67 	25    	0.579094 	0.0195312	0.800781
68 	25    	0.656594 	0.424219 	0.896094
69 	25    	0.670031 	0.46875  	0.863281
70 	25    	0.631719 	0.402344 	0.820312
71 	25    	0.597156 	0.0226562	0.835938
72 	25    	0.599031 	0.0179687	0.871875
73 	25    	0.609313 	0.467969 	0.832812
74 	25    	0.593656 	0.1125   	0.784375
75 	25    	0.602594 	0.034375 	0.874219
76 	25    	0.640656 	0.467969 	0.8125  
77 	25    	0.605844 	0.426563 	0.775   
78 	25    	0.627531 	0        	0.870313
79 	25    	0.598969 	0.0140625	0.814844
80 	25    	0.509281 	0        	0.80625 
81 	25    	0.612906 	0.446875 	0.864844
82 	25    	0.628812 	0.394531 	0.86875 
83 	25    	0.670656 	0.384375 	0.890625
84 	25    	0.636406 	0.4375   	0.852344
85 	25    	0.590531 	0.0203125	0.845313
86 	25    	0.648344 	0.421094 	0.904687
87 	25    	0.585688 	0.370312 	0.809375
88 	25    	0.571187 	0.015625 	0.810156
89 	25    	0.627781 	0.015625 	0.847656
90 	25    	0.6305   	0.0859375	0.860156
91 	25    	0.570125 	0.0078125	0.875781
92 	25    	0.573125 	0        	0.771875
93 	25    	0.635219 	0.436719 	0.825781
94 	25    	0.613344 	0.439063 	0.817969
95 	25    	0.615688 	0.0140625	0.838281
96 	25    	0.607875 	0.0335937	0.83125 
97 	25    	0.604594 	0.0210938	0.861719
98 	25    	0.583375 	0.0078125	0.840625
99 	25    	0.607344 	0.0265625	0.885156
100	25    	0.557875 	0        	0.791406
101	25    	0.607656 	0.403125 	0.753906
102	25    	0.605094 	0.208594 	0.842969
103	25    	0.57925  	0.0125   	0.771094
104	25    	0.595156 	0.39375  	0.814844
105	25    	0.608625 	0        	0.839063
106	25    	0.583906 	0.0195312	0.735938
107	25    	0.620375 	0.432812 	0.882031
108	25    	0.604406 	0.0078125	0.909375
109	25    	0.640344 	0.432031 	0.886719
110	25    	0.583    	0.426563 	0.736719
