gen	nevals	avg      	min       	max     
0  	25    	0.0336875	0         	0.175781
1  	25    	0.0597188	0         	0.198437
2  	25    	0.092625 	0         	0.397656
3  	25    	0.15525  	0.003125  	0.505469
4  	25    	0.207687 	0         	0.45    
5  	25    	0.290469 	0         	0.549219
6  	25    	0.311938 	0.0976562 	0.505469
7  	25    	0.30125  	0         	0.580469
8  	25    	0.363688 	0.009375  	0.607812
9  	25    	0.418938 	0.00625   	0.651563
10 	25    	0.444469 	0         	0.6625  
11 	25    	0.45075  	0.303125  	0.653906
12 	25    	0.404719 	0.0289063 	0.677344
13 	25    	0.429219 	0.009375  	0.592969
14 	25    	0.418187 	0.0078125 	0.624219
15 	25    	0.450094 	0.034375  	0.763281
16 	25    	0.3945   	0.00546875	0.817969
17 	25    	0.491938 	0.367188  	0.675   
18 	25    	0.520344 	0.354687  	0.704688
19 	25    	0.531094 	0.342969  	0.739844
20 	25    	0.5315   	0.349219  	0.722656
21 	25    	0.523875 	0.135937  	0.746094
22 	25    	0.578375 	0.258594  	0.765625
23 	25    	0.535125 	0.13125   	0.694531
24 	25    	0.488094 	0.115625  	0.721094
25 	25    	0.513    	0.0140625 	0.734375
26 	25    	0.546469 	0.4       	0.760156
27 	25    	0.525906 	0.208594  	0.805469
28 	25    	0.540344 	0.196094  	0.710156
29 	25    	0.553531 	0.366406  	0.788281
30 	25    	0.56875  	0         	0.807813
31 	25    	0.540281 	0.134375  	0.763281
32 	25    	0.574313 	0.388281  	0.771875
33 	25    	0.571156 	0.344531  	0.750781
34 	25    	0.594094 	0.367188  	0.814844
35 	25    	0.55775  	0.360938  	0.752344
36 	25    	0.573281 	0.0148437 	0.780469
37 	25    	0.549812 	0.0960938 	0.757812
38 	25    	0.596844 	0.2875    	0.767188
39 	25    	0.593688 	0.3375    	0.846094
40 	25    	0.583187 	0.380469  	0.759375
41 	25    	0.595844 	0.360156  	0.871094
42 	25    	0.573906 	0.247656  	0.739844
43 	25    	0.585594 	0.44375   	0.8     
44 	25    	0.579656 	0.432031  	0.732031
45 	25    	0.600875 	0.39375   	0.84375 
46 	25    	0.567312 	0.0703125 	0.771875
47 	25    	0.617219 	0.324219  	0.828906
48 	25    	0.620844 	0.451562  	0.835938
49 	25    	0.589031 	0.389062  	0.817969
50 	25    	0.607719 	0.371094  	0.819531
51 	25    	0.614375 	0.392188  	0.851562
52 	25    	0.563281 	0.0664062 	0.810156
53 	25    	0.588969 	0.172656  	0.815625
54 	25    	0.562656 	0.0148437 	0.828125
55 	25    	0.533531 	0.0984375 	0.748437
56 	25    	0.59925  	0.353125  	0.83125 
57 	25    	0.550469 	0.24375   	0.744531
58 	25    	0.590313 	0.349219  	0.927344
59 	25    	0.543844 	0.185938  	0.749219
60 	25    	0.563594 	0.075     	0.748437
61 	25    	0.578969 	0.365625  	0.815625
62 	25    	0.596    	0.128125  	0.885938
63 	25    	0.56975  	0.1       	0.822656
64 	25    	0.598719 	0.0890625 	0.846094
65 	25    	0.608625 	0.29375   	0.840625
66 	25    	0.626906 	0.353125  	0.821094
67 	25    	0.595938 	0.348438  	0.825781
68 	25    	0.588406 	0.34375   	0.817187
69 	25    	0.567531 	0.228125  	0.767188
70 	25    	0.622031 	0.413281  	0.871875
71 	25    	0.597125 	0.164844  	0.771094
72 	25    	0.568531 	0.0617188 	0.709375
73 	25    	0.598062 	0.199219  	0.774219
74 	25    	0.564656 	0.0429688 	0.775781
75 	25    	0.592625 	0.35      	0.774219
76 	25    	0.617625 	0.161719  	0.808594
77 	25    	0.595188 	0.221094  	0.825   
78 	25    	0.655062 	0.480469  	0.880469
79 	25    	0.617    	0.0859375 	0.930469
80 	25    	0.5815   	0         	0.81875 
81 	25    	0.519594 	0.0890625 	0.788281
82 	25    	0.563562 	0.177344  	0.830469
83 	25    	0.566438 	0.0640625 	0.753125
84 	25    	0.610844 	0.0226562 	0.840625
85 	25    	0.612187 	0.374219  	0.8875  
86 	25    	0.573    	0.0929688 	0.789844
87 	25    	0.60125  	0.204687  	0.814844
88 	25    	0.600719 	0.416406  	0.915625
89 	25    	0.643531 	0.435937  	0.875   
90 	25    	0.582125 	0.282813  	0.766406
91 	25    	0.594031 	0.248438  	0.88125 
92 	25    	0.567469 	0.332813  	0.807031
93 	25    	0.615969 	0.430469  	0.830469
94 	25    	0.601719 	0.379688  	0.853906
95 	25    	0.567625 	0         	0.758594
96 	25    	0.568344 	0.269531  	0.70625 
97 	25    	0.639188 	0.419531  	0.775781
98 	25    	0.556063 	0.0976562 	0.766406
99 	25    	0.583469 	0.342187  	0.7375  
100	25    	0.595875 	0.397656  	0.735938
101	25    	0.605938 	0.110937  	0.822656
102	25    	0.603281 	0.417187  	0.921094
103	25    	0.60425  	0.447656  	0.917188
104	25    	0.550719 	0.0703125 	0.71875 
105	25    	0.564781 	0.0609375 	0.804688
106	25    	0.602969 	0.430469  	0.838281
107	25    	0.659313 	0.423438  	0.842969
108	25    	0.629563 	0.374219  	0.864844
109	25    	0.621031 	0.0273438 	0.789062
110	25    	0.603031 	0.427344  	0.790625
111	25    	0.633781 	0.0515625 	0.859375
112	25    	0.595281 	0.059375  	0.771094
113	25    	0.589187 	0.182031  	0.771875
114	25    	0.587125 	0.358594  	0.725781
115	25    	0.620625 	0.4375    	0.79375 
116	25    	0.584063 	0.435156  	0.899219
117	25    	0.543187 	0.184375  	0.747656
118	25    	0.579531 	0         	0.892188
119	25    	0.608875 	0.336719  	0.791406
120	25    	0.617625 	0.191406  	0.867969
121	25    	0.570281 	0.277344  	0.8     
122	25    	0.606812 	0.367969  	0.933594
123	25    	0.610687 	0.347656  	0.777344
124	25    	0.566531 	0.344531  	0.749219
125	25    	0.622687 	0.414062  	0.833594
126	25    	0.590062 	0.35625   	0.810937
127	25    	0.630938 	0         	0.874219
128	25    	0.636062 	0.479687  	0.764844
129	25    	0.612937 	0.0867187 	0.825781
130	25    	0.569875 	0.282813  	0.783594
131	25    	0.589313 	0.4       	0.852344
132	25    	0.547625 	0         	0.751563
133	25    	0.591531 	0.384375  	0.785156
134	25    	0.549781 	0.321875  	0.700781
135	25    	0.587031 	0.385156  	0.747656
136	25    	0.597562 	0.358594  	0.792188
137	25    	0.591875 	0.408594  	0.939844
138	25    	0.610219 	0.4       	0.836719
139	25    	0.612469 	0.402344  	0.786719
140	25    	0.568375 	0.400781  	0.788281
141	25    	0.569    	0.0367188 	0.842187
142	25    	0.598531 	0.449219  	0.757812
143	25    	0.573562 	0.197656  	0.7625  
144	25    	0.640781 	0.472656  	0.892969
145	25    	0.602438 	0.3625    	0.834375
146	25    	0.579375 	0.416406  	0.800781
147	25    	0.593688 	0.407031  	0.788281
148	25    	0.542188 	0.0601563 	0.96875 
149	25    	0.623844 	0.41875   	0.814844
