gen	nevals	avg     	min      	max
0  	20    	0.260625	0        	1  
1  	20    	0.559766	0        	1  
2  	20    	0.804023	0        	1  
3  	20    	0.803125	0        	1  
4  	20    	0.806523	0        	1  
5  	20    	0.903281	0.0078125	1  
6  	20    	0.95    	0        	1  
7  	20    	0.850391	0        	1  
8  	20    	0.95    	0        	1  
9  	20    	1       	1        	1  
10 	20    	0.95    	0        	1  
11 	20    	1       	1        	1  
12 	20    	1       	1        	1  
13 	20    	1       	1        	1  
14 	20    	1       	1        	1  
15 	20    	1       	1        	1  
16 	20    	1       	1        	1  
17 	20    	1       	1        	1  
18 	20    	1       	1        	1  
19 	20    	1       	1        	1  
20 	20    	1       	1        	1  
21 	20    	1       	1        	1  
22 	20    	1       	1        	1  
23 	20    	1       	1        	1  
24 	20    	1       	1        	1  
25 	20    	1       	1        	1  
26 	20    	1       	1        	1  
27 	20    	1       	1        	1  
28 	20    	1       	1        	1  
29 	20    	1       	1        	1  
30 	20    	1       	1        	1  
31 	20    	1       	1        	1  
32 	20    	1       	1        	1  
33 	20    	1       	1        	1  
34 	20    	1       	1        	1  
35 	20    	1       	1        	1  
36 	20    	1       	1        	1  
37 	20    	1       	1        	1  
38 	20    	1       	1        	1  
39 	20    	1       	1        	1  
40 	20    	1       	1        	1  
41 	20    	1       	1        	1  
42 	20    	1       	1        	1  
43 	20    	1       	1        	1  
44 	20    	1       	1        	1  
45 	20    	1       	1        	1  
46 	20    	1       	1        	1  
47 	20    	1       	1        	1  
48 	20    	1       	1        	1  
49 	20    	1       	1        	1  
50 	20    	1       	1        	1  
51 	20    	1       	1        	1  
52 	20    	1       	1        	1  
53 	20    	1       	1        	1  
54 	20    	1       	1        	1  
55 	20    	1       	1        	1  
56 	20    	1       	1        	1  
57 	20    	1       	1        	1  
58 	20    	1       	1        	1  
59 	20    	1       	1        	1  
60 	20    	1       	1        	1  
61 	20    	1       	1        	1  
62 	20    	1       	1        	1  
63 	20    	1       	1        	1  
64 	20    	1       	1        	1  
65 	20    	1       	1        	1  
66 	20    	1       	1        	1  
67 	20    	1       	1        	1  
68 	20    	1       	1        	1  
69 	20    	1       	1        	1  
70 	20    	1       	1        	1  
71 	20    	1       	1        	1  
72 	20    	1       	1        	1  
73 	20    	1       	1        	1  
74 	20    	1       	1        	1  
75 	20    	1       	1        	1  
76 	20    	1       	1        	1  
77 	20    	1       	1        	1  
78 	20    	1       	1        	1  
79 	20    	1       	1        	1  
80 	20    	1       	1        	1  
81 	20    	1       	1        	1  
82 	20    	1       	1        	1  
83 	20    	1       	1        	1  
84 	20    	1       	1        	1  
85 	20    	1       	1        	1  
86 	20    	1       	1        	1  
87 	20    	1       	1        	1  
88 	20    	1       	1        	1  
89 	20    	1       	1        	1  
90 	20    	1       	1        	1  
91 	20    	1       	1        	1  
92 	20    	1       	1        	1  
93 	20    	1       	1        	1  
94 	20    	1       	1        	1  
95 	20    	1       	1        	1  
96 	20    	1       	1        	1  
97 	20    	1       	1        	1  
98 	20    	1       	1        	1  
99 	20    	1       	1        	1  
100	20    	1       	1        	1  
101	20    	1       	1        	1  
102	20    	1       	1        	1  
103	20    	1       	1        	1  
104	20    	1       	1        	1  
105	20    	1       	1        	1  
106	20    	1       	1        	1  
107	20    	0.950391	0.0078125	1  
108	20    	1       	1        	1  
109	20    	1       	1        	1  
110	20    	1       	1        	1  
111	20    	1       	1        	1  
112	20    	1       	1        	1  
113	20    	1       	1        	1  
114	20    	1       	1        	1  
115	20    	1       	1        	1  
116	20    	1       	1        	1  
117	20    	1       	1        	1  
118	20    	0.95    	0        	1  
119	20    	1       	1        	1  
120	20    	1       	1        	1  
121	20    	1       	1        	1  
122	20    	1       	1        	1  
123	20    	1       	1        	1  
124	20    	1       	1        	1  
125	20    	1       	1        	1  
126	20    	0.950391	0.0078125	1  
127	20    	1       	1        	1  
128	20    	1       	1        	1  
129	20    	1       	1        	1  
130	20    	1       	1        	1  
131	20    	1       	1        	1  
132	20    	1       	1        	1  
133	20    	1       	1        	1  
134	20    	1       	1        	1  
135	20    	1       	1        	1  
136	20    	1       	1        	1  
137	20    	1       	1        	1  
138	20    	1       	1        	1  
139	20    	1       	1        	1  
140	20    	1       	1        	1  
141	20    	1       	1        	1  
142	20    	1       	1        	1  
143	20    	1       	1        	1  
144	20    	1       	1        	1  
145	20    	1       	1        	1  
146	20    	1       	1        	1  
147	20    	1       	1        	1  
148	20    	1       	1        	1  
149	20    	1       	1        	1  
150	20    	1       	1        	1  
151	20    	1       	1        	1  
152	20    	1       	1        	1  
153	20    	1       	1        	1  
154	20    	1       	1        	1  
155	20    	1       	1        	1  
156	20    	1       	1        	1  
157	20    	1       	1        	1  
