gen	nevals	avg    	min     	max    
0  	10    	31.4752	-1.6958 	224.263
1  	10    	43.1664	-47.469 	224.263
2  	10    	55.8709	-14.7247	224.263
3  	10    	88.1107	-50.2461	224.263
4  	10    	506.213	-45.9027	3712.8 
5  	10    	559.199	-1.98938	3712.8 
6  	10    	1058.92	-2.42395	3712.8 
7  	10    	1100.2 	6.36816 	3712.8 
8  	10    	1640.46	-6.74243	3712.8 
9  	10    	3032.84	-6.70691	3712.8 
10 	10    	2230.43	-99.3424	3712.8 
11 	10    	2968.57	-17.894 	3712.8 
12 	10    	2584.68	-270.274	3712.8 
13 	10    	3007.67	156.25  	3712.8 
14 	10    	2978.9 	29.4846 	3712.8 
15 	10    	3336.57	1561.94 	3712.8 
16 	10    	3339.54	-19.8499	3712.8 
17 	10    	3712.8 	3712.8  	3712.8 
18 	10    	3386.97	-82.3212	5835.56
19 	10    	2606.95	9.88977 	5835.56
20 	10    	2833.24	-13.2649	5835.56
21 	10    	4160.89	-46.3546	5835.56
22 	10    	4672.23	-31.2611	5835.56
23 	10    	4671.76	-7.02185	5835.56
24 	10    	4100.29	15.4382 	5835.56
25 	10    	4120.69	-11.1229	5837.66
26 	10    	2478.56	-99.275 	5837.66
27 	10    	4111.92	32.5138 	5837.66
28 	10    	3670.04	-16.084 	5837.66
29 	10    	5837.66	5837.66 	5837.66
30 	10    	4365.68	28.4956 	5837.66
31 	10    	4110.36	13.58   	5837.66
32 	10    	4242.58	13.3008 	5837.66
33 	10    	5288.31	344.182 	5837.66
34 	10    	4701.07	97.5955 	5837.66
35 	10    	4998.2 	125.378 	5837.66
36 	10    	4713.92	154.584 	5848.18
37 	10    	3752.02	-8.24976	5848.18
38 	10    	4175.74	47.4324 	5848.18
39 	10    	4702.38	129.229 	5848.18
40 	10    	4199.86	4.81604 	5848.18
41 	10    	4146.09	-9.19409	5848.18
42 	10    	4673.03	-67.8105	5848.18
43 	10    	4082.41	-155.159	5848.18
44 	10    	5848.18	5848.18 	5848.18
45 	10    	5847.02	5836.56 	5848.18
46 	10    	3590.74	-242.655	5848.18
47 	10    	4521.27	1001.05 	5848.18
48 	10    	5281.78	184.175 	5848.18
49 	10    	5848.18	5848.18 	5848.18
50 	10    	5294.42	310.612 	5848.18
51 	10    	4160.68	-31.2841	5848.18
52 	10    	3394.82	13.3446 	5848.18
53 	10    	5283.98	206.176 	5848.18
54 	10    	4699.78	12.8707 	5851.63
55 	10    	3736.87	-65.7533	5851.63
56 	10    	4841.3 	-21.2708	5851.63
57 	10    	4730.72	62.0149 	5851.63
58 	10    	4100.45	-17.6216	5851.63
59 	10    	5252.78	-136.883	5851.63
60 	10    	5271.31	48.447  	5851.63
61 	10    	5851.63	5851.63 	5851.63
62 	10    	3567.57	-24.0985	5851.63
63 	10    	4824.15	527.813 	5851.63
64 	10    	3551.59	-20.2446	5851.63
65 	10    	4724.41	131.034 	5851.63
66 	10    	5851.63	5851.63 	5851.63
67 	10    	4219.82	0.963745	5851.63
68 	10    	4206.77	-17.8654	5851.63
69 	10    	3072.34	-29.8302	5851.63
70 	10    	3746.43	-28.2837	5851.63
71 	10    	4689.88	-11.2235	5851.63
72 	10    	4849.66	445.053 	5851.63
73 	10    	5265.94	-5.29382	5851.63
74 	10    	3621.37	-3.89856	5851.63
75 	10    	5287.06	210.26  	5851.63
76 	10    	4707.43	130.582 	5851.63
77 	10    	5296.4 	299.321 	5851.63
78 	10    	5277.75	112.789 	5851.63
79 	10    	4677.85	-23.6796	5851.63
80 	10    	4677.99	-64.2209	5851.63
81 	10    	4694.16	2.68201 	5851.63
82 	10    	4983.29	1252.89 	5851.63
83 	10    	5270.2 	37.3154 	5851.63
84 	10    	4705.8 	103.51  	5851.63
85 	10    	4679.72	-27.4824	5851.63
86 	10    	3894.22	-12.2167	5851.63
87 	10    	5258.95	-51.7921	5851.63
88 	10    	2971.64	-27.9237	5851.63
89 	10    	2514.6 	-80.4583	5851.63
90 	10    	3782.46	-3.43176	5851.63
91 	10    	4878.04	962.127 	5851.63
92 	10    	4184.64	-203.202	5851.63
93 	10    	4703.39	1.48584 	5851.63
94 	10    	5266.79	3.18347 	5851.63
95 	10    	4673.89	-104.475	5851.63
96 	10    	5851.63	5851.63 	5851.63
97 	10    	4692.34	2.17773 	5851.63
98 	10    	5851.63	5851.63 	5851.63
99 	10    	5264.77	-16.9214	5851.63
100	10    	3049.03	-50.8734	5851.63
