gen	nevals	avg    	min      	max    
0  	20    	12.3074	-17.2552 	76.6356
1  	20    	43.4201	-25.2631 	117.776
2  	20    	139.262	-29.8964 	1436.74
3  	20    	250.134	-70.1519 	1436.74
4  	20    	471.503	-70.7145 	1436.74
5  	20    	871.241	-12.2557 	5583.84
6  	20    	1409.38	32.9069  	5583.84
7  	20    	2088.32	-9.21155 	5583.84
8  	20    	3606.01	-62.1169 	5583.84
9  	20    	4254.67	-33.8451 	5583.84
10 	20    	5313.02	167.369  	5583.84
11 	20    	5041.15	45.5681  	5583.84
12 	20    	4745.62	-73.7618 	5583.84
13 	20    	4752.01	12.1729  	5583.84
14 	20    	4838.43	18.8912  	5583.84
15 	20    	5583.84	5583.84  	5583.84
16 	20    	5304.12	-10.4928 	5583.84
17 	20    	5038.87	113.555  	5583.84
18 	20    	5306.19	30.7692  	5583.84
19 	20    	5036.18	100.795  	5583.84
20 	20    	5583.84	5583.84  	5583.84
21 	20    	5309.99	106.829  	5583.84
22 	20    	4820.55	-13.663  	5583.84
23 	20    	4468.89	-21.3981 	5583.84
24 	20    	5308.4 	75.0112  	5583.84
25 	20    	5025.79	-14.6332 	5583.84
26 	20    	5032.17	17.9551  	5583.84
27 	20    	5359.74	1101.76  	5583.84
28 	20    	5079.19	30.1066  	5583.84
29 	20    	5031.03	52.5945  	5583.84
30 	20    	5034.18	57.9604  	5583.84
31 	20    	5028.39	10.7888  	5583.84
32 	20    	5583.84	5583.84  	5583.84
33 	20    	5583.84	5583.84  	5583.84
34 	20    	5583.84	5583.84  	5583.84
35 	20    	4752.11	5.04919  	5583.84
36 	20    	5583.84	5583.84  	5583.84
37 	20    	5025.81	-1.48022 	5583.84
38 	20    	5031.98	-10.0154 	5583.84
39 	20    	4472.62	1.4231   	5583.84
40 	20    	5310.27	112.465  	5583.84
41 	20    	5086.34	120.057  	5583.84
42 	20    	5305.55	18.063   	5583.84
43 	20    	5040.36	-16.2367 	5583.84
44 	20    	5583.84	5583.84  	5583.84
45 	20    	5583.84	5583.84  	5583.84
46 	20    	5305.86	24.24    	5583.84
47 	20    	5314.14	189.832  	5583.84
48 	20    	5583.84	5583.84  	5583.84
49 	20    	5305.82	23.4471  	5583.84
50 	20    	5033.41	26.1206  	5583.84
51 	20    	4757.32	11.1371  	5583.84
52 	20    	4528.01	24.5845  	5583.84
53 	20    	5226.78	206.347  	5583.84
54 	20    	5583.84	5583.84  	5583.84
55 	20    	5583.84	5583.84  	5583.84
56 	20    	5583.84	5583.84  	5583.84
57 	20    	5423.64	2379.84  	5583.84
58 	20    	5305.71	21.2107  	5583.84
59 	20    	5303.62	-20.5988 	5583.84
60 	20    	5306.36	34.2729  	5583.84
61 	20    	5304.98	6.64575  	5583.84
62 	20    	5041.3 	48.3535  	5583.84
63 	20    	5035.67	64.1115  	5583.84
64 	20    	5583.84	5583.84  	5583.84
65 	20    	5583.84	5583.84  	5583.84
66 	20    	5583.84	5583.84  	5583.84
67 	20    	5026.15	-19.0684 	5583.84
68 	20    	5035.43	71.016   	5583.84
69 	20    	5583.84	5583.84  	5583.84
70 	20    	5305.01	7.31824  	5583.84
71 	20    	5029.86	-4.52515 	5583.84
72 	20    	4816.24	-1.0531  	5583.84
73 	20    	5583.84	5583.84  	5583.84
74 	20    	4750.83	-1.53906 	5583.84
75 	20    	4764.89	18.1003  	5583.84
76 	20    	5583.84	5583.84  	5583.84
77 	20    	3940.63	-3.96289 	5583.84
78 	20    	5041.73	103.031  	5583.84
79 	20    	5310.2 	111.113  	5583.84
80 	20    	5031.35	-2.77649 	5583.84
81 	20    	5030.44	47.4996  	5583.84
82 	20    	5308.93	85.7296  	5583.84
83 	20    	5306.12	29.3685  	5583.84
84 	20    	5303.55	-21.9573 	5583.84
85 	20    	5079.28	117.441  	5583.84
86 	20    	4762.24	86.8475  	5583.84
87 	20    	5304.89	4.85254  	5583.84
88 	20    	4765.03	-20.9609 	5583.84
89 	20    	5038.28	105.611  	5583.84
90 	20    	5308.31	73.2223  	5583.84
91 	20    	4758.75	-4.19861 	5583.84
92 	20    	5315.87	224.386  	5583.84
93 	20    	5035.61	56.5286  	5583.84
94 	20    	5583.84	5583.84  	5583.84
95 	20    	5305.71	21.181   	5583.84
96 	20    	5304.39	-5.21838 	5583.84
97 	20    	5583.84	5583.84  	5583.84
98 	20    	5309.82	103.531  	5583.84
99 	20    	5306.16	30.2003  	5583.84
100	20    	4755.06	-16.3473 	5583.84
101	20    	5304.82	3.43591  	5583.84
102	20    	5024.62	-39.7834 	5583.84
103	20    	4753.48	36.0651  	5583.84
104	20    	5034.98	71.3654  	5583.84
105	20    	5326.86	444.177  	5583.84
106	20    	5322.31	109.73   	5827.42
107	20    	4757.35	-35.9932 	5827.42
108	20    	4520.75	-0.321899	5827.42
109	20    	3682.06	45.4579  	5845.06
110	20    	3763.63	78.4939  	5845.06
111	20    	3707.54	205.006  	5845.06
112	20    	3121.81	-13.5709 	5845.06
113	20    	4590   	107.905  	5845.06
114	20    	4973.36	-39.2518 	5845.06
115	20    	5010.24	26.7216  	5845.06
116	20    	5554.81	40.1187  	5845.06
117	20    	4972.99	12.2012  	5845.06
118	20    	5556.11	65.9879  	5845.06
119	20    	5552.93	2.4165   	5845.06
120	20    	5553.33	10.5513  	5845.06
121	20    	5553.61	16.1067  	5845.06
122	20    	5276.63	17.0547  	5845.06
123	20    	5553.85	20.8267  	5845.06
124	20    	5322.74	14.547   	5845.06
125	20    	5552.42	-7.66541 	5845.06
126	20    	5554.36	31.0831  	5845.06
127	20    	5774.74	4438.57  	5845.06
128	20    	5558.85	120.859  	5845.06
129	20    	5845.06	5845.06  	5845.06
130	20    	5559.81	140.115  	5845.06
131	20    	5270.84	93.3376  	5845.06
132	20    	5551.92	-17.7738 	5845.06
133	20    	5265.84	-0.931152	5845.06
134	20    	5845.06	5845.06  	5845.06
135	20    	5273   	21.9717  	5845.06
136	20    	5271.21	80.3641  	5845.06
137	20    	5567.33	290.521  	5845.06
138	20    	5551.88	-18.6158 	5845.06
139	20    	5260.55	-25.3188 	5845.06
140	20    	5845.06	5845.06  	5845.06
141	20    	5553.06	5.09033  	5845.06
142	20    	5553.77	19.2197  	5845.06
143	20    	5553.23	8.54224  	5845.06
144	20    	5556.79	79.6512  	5845.06
145	20    	5027.93	-26.2941 	5845.06
146	20    	4503.19	13.7578  	5845.06
147	20    	5559.53	134.537  	5845.06
148	20    	5305.82	234.559  	5845.06
149	20    	5282.71	15.583   	5845.06
150	20    	5266.34	32.5923  	5845.06
151	20    	5552.69	-2.41724 	5845.06
152	20    	5553.48	13.4368  	5845.06
153	20    	5845.06	5845.06  	5845.06
154	20    	4762.21	-12.9614 	5845.06
155	20    	5265.07	44.0903  	5845.06
156	20    	5268.08	35.4568  	5845.06
157	20    	5269.97	77.4482  	5845.06
158	20    	5845.06	5845.06  	5845.06
159	20    	5267.97	6.9386   	5845.06
160	20    	5263.01	21.5037  	5845.06
