gen	nevals	avg     	min        	max    
0  	10    	0.382108	-0.0426875 	3.93862
1  	10    	2.57243 	-0.00737089	5.7523 
2  	10    	4.65731 	0.00533737 	8.22026
3  	10    	7.63719 	4.76972    	13.8786
4  	10    	9.85267 	5.67904    	13.8786
5  	10    	7.99761 	5.08685    	13.8786
6  	10    	11.8136 	6.79174    	17.5492
7  	10    	13.8792 	5.92026    	17.5492
8  	10    	15.6458 	2.90417    	17.5492
9  	10    	17.5492 	17.5492    	17.5492
10 	10    	17.5492 	17.5492    	17.5492
11 	10    	15.2383 	5.91813    	17.5492
12 	10    	15.2575 	2.95005    	17.5492
13 	10    	17.5492 	17.5492    	17.5492
14 	10    	16.2821 	4.87849    	17.5492
15 	10    	14.7107 	3.28117    	17.5492
16 	10    	17.5492 	17.5492    	17.5492
17 	10    	16.4884 	6.94109    	17.5492
18 	10    	17.5492 	17.5492    	17.5492
19 	10    	17.5492 	17.5492    	17.5492
20 	10    	16.1662 	3.71912    	17.5492
21 	10    	16.1699 	3.75564    	17.5492
22 	10    	17.5492 	17.5492    	17.5492
23 	10    	16.2597 	4.65374    	17.5492
24 	10    	16.3209 	5.26565    	17.5492
25 	10    	17.5492 	17.5492    	17.5492
26 	10    	17.5492 	17.5492    	17.5492
27 	10    	17.5492 	17.5492    	17.5492
28 	10    	15.21   	8.29837    	17.5492
29 	10    	16.1488 	3.5453     	17.5492
30 	10    	17.5492 	17.5492    	17.5492
31 	10    	14.9182 	4.15736    	17.5492
32 	10    	14.219  	-0.00779907	17.5492
33 	10    	15.9747 	1.8042     	17.5492
34 	10    	14.5778 	1.04197    	17.5492
35 	10    	16.3651 	5.70791    	17.5492
36 	10    	17.5492 	17.5492    	17.5492
37 	10    	16.171  	3.76696    	17.5492
38 	10    	16.1751 	3.8082     	17.5492
39 	10    	17.5492 	17.5492    	17.5492
40 	10    	16.2566 	4.62286    	17.5492
41 	10    	14.8854 	3.69135    	17.5492
42 	10    	15.6008 	3.75512    	17.5492
43 	10    	16.2787 	4.84418    	17.5492
44 	10    	15.8301 	2.96703    	17.5492
45 	10    	17.5492 	17.5492    	17.5492
46 	10    	16.3284 	5.34092    	17.5492
47 	10    	16.4902 	6.9587     	17.5492
48 	10    	17.5492 	17.5492    	17.5492
49 	10    	17.5492 	17.5492    	17.5492
50 	10    	16.2498 	4.55525    	17.5492
51 	10    	14.8856 	3.30069    	17.5492
52 	10    	16.4183 	6.23985    	17.5492
53 	10    	16.0687 	2.74388    	17.5492
54 	10    	17.5492 	17.5492    	17.5492
55 	10    	16.4108 	6.16546    	17.5492
56 	10    	14.0791 	4.07857    	17.5492
57 	10    	17.5492 	17.5492    	17.5492
58 	10    	15.4085 	6.13122    	17.5492
59 	10    	15.0225 	2.55629    	17.5492
60 	10    	17.5492 	17.5492    	17.5492
61 	10    	14.5713 	3.69235    	17.5492
62 	10    	17.5492 	17.5492    	17.5492
63 	10    	15.029  	2.36332    	17.5492
64 	10    	17.5492 	17.5492    	17.5492
65 	10    	17.5492 	17.5492    	17.5492
66 	10    	14.8886 	3.39559    	17.5492
67 	10    	17.5492 	17.5492    	17.5492
68 	10    	16.3062 	5.11874    	17.5492
69 	10    	14.8542 	4.35013    	17.5492
70 	10    	15.4281 	4.13024    	17.5492
71 	10    	16.7342 	9.39929    	17.5492
72 	10    	12.798  	3.34055    	17.5492
73 	10    	17.5492 	17.5492    	17.5492
74 	10    	17.5492 	17.5492    	17.5492
75 	10    	15.3529 	4.7508     	17.5492
76 	10    	14.4411 	-0.0251029 	17.5492
77 	10    	17.5492 	17.5492    	17.5492
78 	10    	17.5492 	17.5492    	17.5492
79 	10    	17.5492 	17.5492    	17.5492
80 	10    	16.5549 	7.60601    	17.5492
81 	10    	16.1852 	3.90875    	17.5492
82 	10    	13.1952 	2.03793    	17.5492
83 	10    	17.5492 	17.5492    	17.5492
84 	10    	17.5492 	17.5492    	17.5492
85 	10    	17.5492 	17.5492    	17.5492
86 	10    	17.5492 	17.5492    	17.5492
87 	10    	15.9177 	1.23403    	17.5492
88 	10    	16.5645 	7.70165    	17.5492
89 	10    	16.2451 	4.50828    	17.5492
90 	10    	17.5492 	17.5492    	17.5492
91 	10    	16.5244 	7.30142    	17.5492
92 	10    	17.5492 	17.5492    	17.5492
93 	10    	16.3632 	5.68875    	17.5492
94 	10    	15.6465 	7.42703    	17.5492
95 	10    	16.211  	4.16685    	17.5492
96 	10    	14.9363 	3.8867     	17.5492
97 	10    	17.5492 	17.5492    	17.5492
98 	10    	14.9619 	3.88811    	17.5492
99 	10    	17.5492 	17.5492    	17.5492
100	10    	17.5492 	17.5492    	17.5492
101	10    	14.7957 	2.43345    	17.5492
102	10    	17.5492 	17.5492    	17.5492
103	10    	17.5492 	17.5492    	17.5492
104	10    	16.3185 	5.24235    	17.5492
105	10    	16.7049 	9.10606    	17.5492
106	10    	17.5492 	17.5492    	17.5492
107	10    	16.5909 	7.96643    	17.5492
108	10    	16.4096 	6.15325    	17.5492
109	10    	17.5492 	17.5492    	17.5492
110	10    	15.9451 	1.50818    	17.5492
111	10    	16.7931 	9.98759    	17.5492
112	10    	16.7353 	9.40995    	17.5492
113	10    	17.5492 	17.5492    	17.5492
114	10    	17.5492 	17.5492    	17.5492
115	10    	16.5981 	8.03847    	17.5492
116	10    	17.5492 	17.5492    	17.5492
117	10    	17.5492 	17.5492    	17.5492
118	10    	15.9589 	7.21527    	17.5492
119	10    	17.5492 	17.5492    	17.5492
120	10    	16.404  	6.09709    	17.5492
121	10    	16.9869 	11.9264    	17.5492
122	10    	16.2284 	4.34059    	17.5492
123	10    	17.5492 	17.5492    	17.5492
124	10    	15.5083 	4.87253    	17.5492
125	10    	17.5492 	17.5492    	17.5492
126	10    	14.883  	3.96543    	17.5492
127	10    	17.5492 	17.5492    	17.5492
128	10    	16.0594 	2.65077    	17.5492
129	10    	17.5492 	17.5492    	17.5492
130	10    	16.4372 	6.42949    	17.5492
131	10    	17.5492 	17.5492    	17.5492
132	10    	16.4633 	6.69033    	17.5492
133	10    	17.5492 	17.5492    	17.5492
134	10    	14.8796 	1.69252    	17.5492
135	10    	16.2492 	4.54933    	17.5492
136	10    	16.174  	3.79734    	17.5492
137	10    	17.5492 	17.5492    	17.5492
138	10    	15.4935 	4.85282    	17.5492
139	10    	17.5492 	17.5492    	17.5492
140	10    	16.0487 	2.54371    	17.5492
141	10    	16.0683 	2.73998    	17.5492
142	10    	15.1061 	4.74844    	17.5492
143	10    	16.7732 	9.78912    	17.5492
144	10    	14.5479 	-0.0139971 	17.5492
145	10    	16.6248 	5.09953    	20.7545
146	10    	16.5612 	4.46348    	20.7545
147	10    	13.9833 	3.47991    	20.7545
148	10    	11.1665 	2.63985    	20.7545
149	10    	16.5749 	6.12891    	20.7545
150	10    	20.7545 	20.7545    	20.7545
151	10    	19.6407 	9.61636    	20.7545
152	10    	19.1066 	4.2758     	20.7545
153	10    	20.7545 	20.7545    	20.7545
154	10    	19.2335 	5.54425    	20.7545
155	10    	20.7545 	20.7545    	20.7545
156	10    	20.7545 	20.7545    	20.7545
157	10    	20.7545 	20.7545    	20.7545
158	10    	20.7545 	20.7545    	20.7545
159	10    	19.4015 	7.22425    	20.7545
160	10    	16.819  	6.07239    	20.7545
161	10    	20.7545 	20.7545    	20.7545
162	10    	20.7545 	20.7545    	20.7545
163	10    	20.7545 	20.7545    	20.7545
164	10    	18.5761 	5.63288    	25.7448
165	10    	21.7526 	20.7545    	25.7448
166	10    	16.143  	3.39581    	25.7448
167	10    	21.0678 	6.26472    	25.7448
168	10    	21.6549 	4.35704    	25.7448
169	10    	22.0761 	5.87783    	25.7448
170	10    	25.7448 	25.7448    	25.7448
171	10    	23.8532 	6.82821    	25.7448
172	10    	20.2133 	5.48935    	25.7448
173	10    	23.9127 	7.42352    	25.7448
174	10    	24.0004 	8.30036    	25.7448
175	10    	23.6955 	5.25165    	25.7448
176	10    	22.2698 	5.41191    	25.7448
177	10    	25.7448 	25.7448    	25.7448
178	10    	25.7448 	25.7448    	25.7448
179	10    	25.7448 	25.7448    	25.7448
180	10    	25.7448 	25.7448    	25.7448
181	10    	24.0837 	9.13419    	25.7448
182	10    	22.0297 	5.0041     	25.7448
183	10    	24.0713 	9.00986    	25.7448
184	10    	21.4912 	3.43345    	25.7448
185	10    	25.7448 	25.7448    	25.7448
186	10    	23.7556 	5.85277    	25.7448
187	10    	23.8338 	6.63475    	25.7448
188	10    	25.7448 	25.7448    	25.7448
189	10    	21.6888 	5.41293    	25.7448
190	10    	23.9467 	7.76362    	25.7448
191	10    	25.7448 	25.7448    	25.7448
192	10    	25.7448 	25.7448    	25.7448
193	10    	23.3991 	2.28734    	25.7448
194	10    	25.7448 	25.7448    	25.7448
195	10    	21.9246 	6.4044     	25.7448
196	10    	23.8262 	6.55854    	25.7448
197	10    	24.0853 	9.1497     	25.7448
198	10    	23.7733 	6.02931    	25.7448
199	10    	25.7448 	25.7448    	25.7448
