gen	nevals	avg     	min     	max    
0  	10    	-3.14038	-14.6523	8.94067
1  	10    	6.10735 	-2.53003	18.2463
2  	10    	14.331  	1.83203 	30.9575
3  	10    	30.4813 	14.395  	76.9983
4  	10    	44.2675 	18.0139 	76.9983
5  	10    	32.2101 	13.002  	76.9983
6  	10    	62.266  	23.187  	125.161
7  	10    	85.2227 	16.5649 	125.161
8  	10    	107.301 	8.25366 	125.161
9  	10    	125.161 	125.161 	125.161
10 	10    	125.161 	125.161 	125.161
11 	10    	103.758 	17.2551 	125.161
12 	10    	104.708 	8.38403 	125.161
13 	10    	125.161 	125.161 	125.161
14 	10    	114.128 	14.8306 	125.161
15 	10    	101.572 	7.01514 	125.161
16 	10    	125.161 	125.161 	125.161
17 	10    	115.03  	23.8496 	125.161
18 	10    	125.161 	125.161 	125.161
19 	10    	125.161 	125.161 	125.161
20 	10    	113.726 	10.8152 	125.161
21 	10    	113.737 	10.9214 	125.161
22 	10    	125.161 	125.161 	125.161
23 	10    	114.039 	13.9426 	125.161
24 	10    	114.014 	13.6907 	125.161
25 	10    	125.161 	125.161 	125.161
26 	10    	125.161 	125.161 	125.161
27 	10    	125.161 	125.161 	125.161
28 	10    	100.026 	29.6086 	125.161
29 	10    	113.418 	7.73584 	125.161
30 	10    	125.161 	125.161 	125.161
31 	10    	102.213 	9.62012 	125.161
32 	10    	100.481 	-2.677  	125.161
33 	10    	113.265 	6.19922 	125.161
34 	10    	101.802 	6.49146 	125.161
35 	10    	114.204 	15.594  	125.161
36 	10    	125.161 	125.161 	125.161
37 	10    	113.483 	8.38525 	125.161
38 	10    	113.493 	8.47705 	125.161
39 	10    	125.161 	125.161 	125.161
40 	10    	114.03  	13.8501 	125.161
41 	10    	102.119 	8.13574 	125.161
42 	10    	106.631 	8.35889 	125.161
43 	10    	113.851 	12.062  	125.161
44 	10    	109.709 	6.34351 	125.161
45 	10    	125.161 	125.161 	125.161
46 	10    	114.045 	14.0039 	125.161
47 	10    	114.822 	21.7668 	125.161
48 	10    	125.161 	125.161 	125.161
49 	10    	125.161 	125.161 	125.161
50 	10    	113.739 	10.9417 	125.161
51 	10    	102.426 	7.05688 	125.161
52 	10    	114.693 	20.4792 	125.161
53 	10    	113.425 	7.7981  	125.161
54 	10    	125.161 	125.161 	125.161
55 	10    	114.655 	20.0994 	125.161
56 	10    	93.8514 	11.9502 	125.161
57 	10    	125.161 	125.161 	125.161
58 	10    	104.599 	17.5598 	125.161
59 	10    	103.318 	6.25269 	125.161
60 	10    	125.161 	125.161 	125.161
61 	10    	96.6246 	8.13794 	125.161
62 	10    	125.161 	125.161 	125.161
63 	10    	103.505 	6.71655 	125.161
64 	10    	125.161 	125.161 	125.161
65 	10    	125.161 	125.161 	125.161
66 	10    	102.423 	7.33447 	125.161
67 	10    	125.161 	125.161 	125.161
68 	10    	113.953 	13.0835 	125.161
69 	10    	99.235  	10.2576 	125.161
70 	10    	105.271 	12.1016 	125.161
71 	10    	116.495 	38.4995 	125.161
72 	10    	81.913  	7.14209 	125.161
73 	10    	125.161 	125.161 	125.161
74 	10    	125.161 	125.161 	125.161
75 	10    	104.757 	14.3379 	125.161
76 	10    	100.194 	-8.61646	125.161
77 	10    	125.161 	125.161 	125.161
78 	10    	125.161 	125.161 	125.161
79 	10    	125.161 	125.161 	125.161
80 	10    	115.392 	27.4729 	125.161
81 	10    	113.524 	8.78687 	125.161
82 	10    	90.061  	6.19531 	125.161
83 	10    	125.161 	125.161 	125.161
84 	10    	125.161 	125.161 	125.161
85 	10    	125.161 	125.161 	125.161
86 	10    	125.161 	125.161 	125.161
87 	10    	113.278 	6.33057 	125.161
88 	10    	115.444 	27.9878 	125.161
89 	10    	113.728 	10.8289 	125.161
90 	10    	125.161 	125.161 	125.161
91 	10    	115.218 	25.7302 	125.161
92 	10    	125.161 	125.161 	125.161
93 	10    	114.449 	18.0447 	125.161
94 	10    	105.746 	24.3755 	125.161
95 	10    	113.609 	9.64209 	125.161
96 	10    	102.548 	8.7373  	125.161
97 	10    	125.161 	125.161 	125.161
98 	10    	102.402 	8.74048 	125.161
