gen	nevals	avg    	min   	max   
1  	25    	1512.37	598   	2897.6
2  	25    	1849.2 	604   	3182.8
3  	25    	2120.82	502.4 	3222.4
4  	25    	1574.26	582.4 	3214  
5  	25    	1962.54	629.2 	3060.4
6  	25    	1940   	511.6 	2846  
7  	25    	1933.25	649.6 	2848.4
8  	25    	1927.71	503.6 	3216.8
9  	25    	2127.89	600.8 	3006.8
10 	25    	2144.56	613.2 	3250  
11 	25    	2227.1 	824   	2898.4
12 	25    	2392.1 	901.6 	3308.8
13 	25    	2476.77	1959.2	3492.4
14 	25    	2622.11	2034.4	3610.4
15 	25    	2610.53	1833.2	3298.8
16 	25    	2563.15	703.6 	3442.4
17 	25    	2589.33	838.8 	3177.2
18 	25    	2335.39	866.4 	3114  
19 	25    	2473.42	1712.4	3184.4
20 	25    	2397.36	684.4 	3181.2
21 	25    	2304.7 	614   	3355.2
22 	25    	2476.19	767.6 	3825.6
23 	25    	2250.02	760.4 	3152  
24 	25    	2568.5 	1776.4	3278.4
25 	25    	2431.44	987.2 	3064.4
26 	25    	2590.08	1856  	3283.6
27 	25    	2430.18	1979.6	3215.2
28 	25    	2339.41	1608  	3115.2
29 	25    	2337.68	647.6 	3346.8
30 	25    	2317.2 	643.2 	3288.8
31 	25    	2344.29	677.2 	3398.4
32 	25    	2610.72	1903.2	3135.2
33 	25    	2457.71	612.4 	3493.6
34 	25    	2310.72	788.4 	3743.2
35 	25    	2431.44	990.4 	3762.4
36 	25    	2447.3 	895.6 	3151.6
37 	25    	2726.94	2053.6	3601.2
38 	25    	2603.89	1822  	3457.2
39 	25    	2506.16	1749.6	3723.2
40 	25    	2423.09	1912.8	3518.4
41 	25    	2540.34	1313.6	3434  
42 	25    	2381.5 	1487.2	3175.2
43 	25    	2623.42	1853.2	3418  
44 	25    	2525.17	1779.6	3361.6
45 	25    	2598.22	1776.4	3533.2
46 	25    	2491.6 	719.2 	3294.4
47 	25    	2513.46	1663.2	3092  
48 	25    	2439.38	881.6 	3726  
49 	25    	2414.38	1555.6	3139.2
50 	25    	2517.52	1927.2	3925.6
51 	25    	2681.22	1835.2	3912  
52 	25    	2463.62	778.8 	3306.8
53 	25    	2348.27	845.2 	3067.6
54 	25    	2543.33	1688.8	3472.8
55 	25    	2370.22	564.4 	3589.6
56 	25    	2489.25	1783.6	3286.8
57 	25    	2656.05	1896  	3542.4
58 	25    	2649.49	1967.6	3645.6
59 	25    	2490   	591.6 	3505.2
60 	25    	2464.9 	916.4 	3237.2
61 	25    	2439.22	922   	3487.2
62 	25    	2425.55	526.4 	3324  
63 	25    	2473.52	1855.2	3125.2
64 	25    	2442.29	698.4 	4396.8
65 	25    	2541.33	2042.8	3188.4
66 	25    	2346.19	728.4 	3538.8
67 	25    	2514.29	738.4 	3755.6
68 	25    	2373.82	648   	3583.6
69 	25    	2455.14	604   	3408  
70 	25    	2369.7 	623.6 	3353.6
71 	25    	2403.78	1050  	3191.2
72 	25    	2498.02	1252.4	3637.6
73 	25    	2328.91	626   	3761.6
74 	25    	2214.99	736.8 	3164.8
75 	25    	2355.23	634.4 	3029.6
76 	25    	2204.16	652.4 	3150.4
77 	25    	2549.97	571.2 	3292.8
78 	25    	2729.15	1936.8	4366.4
79 	25    	2576.54	2069.2	3214.4
80 	25    	2608.4 	1863.2	3721.2
81 	25    	2564.74	1878  	3128  
82 	25    	2562.59	2000.8	3371.2
83 	25    	2637.14	1950.8	3736.4
84 	25    	2622.43	1925.2	3313.2
