gen 	nevals	avg    	min   	max   
1   	25    	1654.85	701.2 	3425.2
2   	25    	1490.1 	592.4 	3087.6
3   	25    	1893.49	490.4 	3296  
4   	25    	1930.11	574   	3195.2
5   	25    	1694.53	650.4 	2889.2
6   	25    	1831.31	1132.8	3261.2
7   	25    	2203.68	915.2 	3039.2
8   	25    	2360.61	644.8 	4238.8
9   	25    	2592.58	1871.6	3309.2
10  	25    	2382.59	1091.6	3936.8
11  	25    	2523.28	1375.2	3818.8
12  	25    	2507.38	1759.2	3835.6
13  	25    	2198.67	1201.6	2953.6
14  	25    	2315.22	1234  	3308.8
15  	25    	2245.18	1332.8	3321.2
16  	25    	2455.71	728.8 	3621.6
17  	25    	2257.06	1352.4	3688.8
18  	25    	2222.02	656.8 	3133.2
19  	25    	2337.42	958.8 	3375.6
20  	25    	2397.66	1200.8	3078.4
21  	25    	2602.38	1538.8	3753.2
22  	25    	2376.43	1072.4	3601.6
23  	25    	2480.83	708.8 	3573.6
24  	25    	2722.56	1921.6	3750.4
25  	25    	2692.46	1744.4	3799.2
26  	25    	2642.99	1498.4	3492.8
27  	25    	2539.79	1926.4	3510.4
28  	25    	2695.81	1394.8	4450.8
29  	25    	2662.35	1546  	4177.2
30  	25    	2667.95	1777.2	4358.4
31  	25    	2631.01	1964.8	3579.6
32  	25    	2447.97	905.2 	3932  
33  	25    	2684.03	1519.6	4225.6
34  	25    	2750.43	1500.4	4707.2
35  	25    	2476.05	1671.2	3216.8
36  	25    	2718.1 	1945.2	3464.4
37  	25    	2764.75	1783.2	4186  
38  	25    	2786.34	1624.4	3705.6
39  	25    	2956.64	1504  	5045.6
40  	25    	2822.02	1796.8	4517.2
41  	25    	2738.43	1797.2	3813.2
42  	25    	2721.3 	2138  	3583.6
43  	25    	2795.15	1549.2	4115.2
44  	25    	2566.3 	998.8 	3940  
45  	25    	2527.89	1415.6	3548.8
46  	25    	2668.26	1999.6	4033.6
47  	25    	2510.93	1384.8	3847.6
48  	25    	2428.58	1869.6	3356  
49  	25    	2594.88	1268  	4038  
50  	25    	2468.35	1522.8	3298.4
51  	25    	2524.24	1362.8	4515.2
52  	25    	2746.22	1560.4	3799.6
53  	25    	2418.5 	1293.2	3853.6
54  	25    	2348.35	1600.4	3136.8
